Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-05-19,198.0,198.0,86.8,89.0,89.25,5283855.0,5328.89
2010-05-20,90.15,98.3,87.0,89.95,89.2,896367.0,829.8
2010-05-21,85.0,88.0,79.6,81.15,81.15,286794.0,236.74
2010-05-24,84.9,95.65,77.9,83.9,84.5,2536101.0,2240.8
2010-05-25,83.0,88.0,81.8,82.3,82.75,628237.0,534.89
2010-05-26,85.0,87.8,82.75,84.5,84.85,304574.0,260.12
2010-05-27,87.1,87.1,80.6,82.7,82.85,230322.0,190.34
2010-05-28,84.35,85.9,82.25,82.9,82.95,120383.0,101.02
2010-05-31,82.0,83.65,79.7,80.4,80.2,83014.0,67.11
2010-06-01,79.2,84.2,79.0,79.5,79.4,135665.0,110.72
2010-06-02,80.1,81.6,79.1,79.65,79.9,52372.0,41.97
2010-06-03,80.7,83.7,80.1,80.6,80.7,143667.0,117.34
2010-06-04,82.0,82.0,79.5,80.2,79.9,36968.0,29.78
2010-06-07,77.1,78.9,76.5,76.6,77.0,29817.0,23.11
2010-06-08,77.0,81.7,75.0,76.0,76.3,78739.0,61.65
2010-06-09,76.65,83.6,75.5,76.1,76.1,551222.0,439.07
2010-06-10,77.0,79.2,76.75,77.9,78.1,126443.0,98.59
2010-06-11,79.0,80.4,76.9,77.05,77.2,101723.0,79.76
2010-06-14,78.15,78.75,77.4,77.9,78.0,65643.0,51.34
2010-06-15,78.5,81.0,77.6,78.0,77.95,105861.0,83.14
2010-06-16,78.1,81.65,77.9,81.5,80.8,186680.0,150.09
2010-06-17,81.2,83.8,80.45,81.55,81.6,93901.0,77.13
2010-06-18,81.0,82.85,79.05,79.25,79.45,39851.0,32.32
2010-06-21,80.5,92.35,80.5,90.75,90.5,951605.0,848.24
2010-06-22,91.5,92.8,88.0,88.35,88.6,360144.0,326.19
2010-06-23,86.0,91.8,86.0,88.3,88.6,105494.0,94.59
2010-06-24,89.25,92.45,89.0,91.25,90.9,137820.0,125.67
2010-06-25,91.5,94.0,91.1,91.8,91.7,205882.0,191.18
2010-06-28,92.0,92.75,91.1,91.75,91.55,46505.0,42.67
2010-06-29,91.0,94.5,91.0,92.15,91.85,100266.0,92.84
2010-06-30,90.1,93.0,90.1,92.0,91.85,81488.0,75.12
2010-07-01,92.0,92.7,90.1,90.1,90.1,32789.0,29.72
