Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,130.0,131.5,129.35,130.85,130.65,154137.0,201.13
2010-01-05,131.0,131.85,130.0,130.0,130.1,238296.0,311.04
2010-01-06,130.5,131.8,129.4,130.15,130.05,418028.0,545.64
2010-01-07,130.95,135.65,130.05,131.7,132.4,1113710.0,1492.3
2010-01-08,133.45,134.7,132.5,132.9,132.95,217897.0,290.96
2010-01-11,133.9,134.6,129.7,131.0,130.75,357103.0,468.76
2010-01-12,131.2,134.5,130.05,130.75,130.4,328620.0,434.24
2010-01-13,130.6,131.4,128.0,130.9,130.8,161522.0,210.26
2010-01-14,131.45,132.6,130.65,132.1,131.7,129715.0,170.79
2010-01-15,131.15,134.45,130.3,132.95,132.95,565986.0,752.84
2010-01-18,133.0,137.9,131.15,135.9,136.25,850009.0,1154.25
2010-01-19,136.25,140.0,135.75,137.8,137.2,1368648.0,1898.97
2010-01-20,139.0,139.4,135.5,136.25,136.55,237660.0,325.8
2010-01-21,136.0,140.9,133.6,135.0,134.9,4195881.0,5788.5
2010-01-22,133.0,134.7,131.5,133.1,133.3,358310.0,476.36
2010-01-25,133.0,133.95,129.4,130.5,130.55,254296.0,331.82
2010-01-27,130.95,131.45,128.15,130.0,130.05,395751.0,514.59
2010-01-28,133.8,133.8,129.0,130.5,130.55,147828.0,192.9
2010-01-29,128.25,133.0,126.35,130.6,131.0,202217.0,263.25
2010-02-01,129.2,129.2,126.2,127.6,127.4,228985.0,292.25
2010-02-02,128.9,129.5,125.0,125.75,125.25,292119.0,371.86
2010-02-03,126.0,127.45,120.1,121.7,121.85,324990.0,400.92
2010-02-04,122.5,124.0,121.25,123.1,122.7,270143.0,331.04
2010-02-05,121.0,121.0,115.3,115.7,115.75,549641.0,642.39
2010-02-06,116.8,117.75,115.0,117.5,117.25,36860.0,42.98
2010-02-08,117.0,117.0,114.1,115.65,115.6,281353.0,324.6
2010-02-09,114.6,115.75,112.25,112.4,112.65,336687.0,382.69
2010-02-10,113.9,115.8,113.05,113.55,113.65,131813.0,150.42
2010-02-11,114.0,115.0,113.65,113.9,114.0,120382.0,137.44
2010-02-15,114.95,115.0,113.5,114.05,114.05,62342.0,71.16
2010-02-16,114.95,115.6,113.65,114.25,114.2,78702.0,90.07
2010-02-17,115.45,119.2,114.4,116.4,116.3,450446.0,527.9
2010-02-18,115.7,117.95,115.0,115.0,115.3,261668.0,304.86
2010-02-19,113.1,115.6,112.1,115.6,114.95,91452.0,104.68
2010-02-22,114.9,115.95,113.25,115.0,114.15,95280.0,108.89
2010-02-23,115.0,115.0,112.05,112.2,112.35,71417.0,81.07
2010-02-24,112.2,113.4,110.5,111.05,111.1,79624.0,88.86
2010-02-25,111.95,112.4,110.05,110.6,110.5,560509.0,624.44
2010-02-26,110.5,114.2,109.1,111.65,111.8,211968.0,238.5
2010-03-02,112.9,118.0,112.9,117.25,116.95,343725.0,401.78
2010-03-03,117.95,129.95,116.05,126.0,126.6,5868240.0,7226.81
2010-03-04,127.3,131.9,126.6,128.45,128.75,1166105.0,1511.01
2010-03-05,129.0,130.5,127.05,127.85,127.85,273557.0,352.42
2010-03-08,128.0,130.9,128.0,128.7,128.45,302201.0,391.43
2010-03-09,128.0,128.7,124.1,124.15,124.45,151095.0,189.75
2010-03-10,124.05,126.9,123.4,124.2,124.4,169944.0,211.85
2010-03-11,123.4,124.8,122.65,122.9,123.45,80701.0,99.8
2010-03-12,125.0,130.0,124.15,124.15,124.65,308271.0,390.02
2010-03-15,123.85,123.9,119.5,119.8,120.2,206907.0,250.95
2010-03-16,119.0,122.3,117.1,121.0,120.9,410910.0,496.44
2010-03-17,121.5,124.0,121.0,121.05,121.35,195858.0,239.22
2010-03-18,121.0,124.7,118.0,119.1,119.3,195869.0,234.23
2010-03-19,120.95,120.95,119.0,119.15,119.2,103199.0,123.37
2010-03-22,118.2,119.0,116.95,117.55,117.9,209418.0,246.67
2010-03-23,116.05,119.75,116.05,118.0,117.95,135934.0,160.45
2010-03-25,117.0,118.75,116.5,116.55,117.1,93104.0,109.19
2010-03-26,118.4,118.45,116.5,117.0,116.85,180211.0,211.31
2010-03-29,117.95,120.0,116.6,118.15,118.25,156170.0,185.21
2010-03-30,118.7,124.15,118.25,122.8,121.45,379504.0,464.04
2010-03-31,121.9,122.45,119.25,120.0,120.0,92276.0,111.51
2010-04-01,119.55,127.5,119.1,126.4,125.65,261854.0,325.33
2010-04-05,125.5,128.0,124.9,126.35,126.4,185533.0,234.15
2010-04-06,127.95,132.3,125.45,129.1,129.75,849450.0,1102.67
2010-04-07,131.0,132.9,129.1,130.0,129.75,475275.0,623.83
2010-04-08,129.05,132.4,129.05,131.75,131.6,591764.0,777.36
2010-04-09,132.2,139.95,132.2,136.9,136.2,1437362.0,1955.3
2010-04-12,137.4,140.9,137.0,139.25,139.25,1196936.0,1671.63
2010-04-13,139.0,139.8,137.05,138.5,138.05,285621.0,394.21
2010-04-15,139.0,139.9,134.0,134.0,134.7,266496.0,362.01
2010-04-16,135.0,141.1,130.5,138.0,138.75,606154.0,836.97
2010-04-19,136.75,136.75,132.55,134.35,134.4,226097.0,303.87
2010-04-20,134.75,139.5,134.75,137.5,137.85,388189.0,534.06
2010-04-21,139.1,139.5,135.15,135.65,136.45,214786.0,295.45
2010-04-22,135.0,139.0,135.0,136.7,136.7,235093.0,322.99
2010-04-23,137.0,140.9,135.7,137.65,138.8,665720.0,926.19
2010-04-26,138.0,139.8,135.2,136.25,135.6,221972.0,304.05
2010-04-27,135.95,136.8,134.3,135.0,135.35,109377.0,148.28
2010-04-28,133.35,135.0,132.65,134.45,133.75,193224.0,258.79
2010-04-29,135.45,137.3,133.3,136.4,136.85,132384.0,179.96
2010-04-30,137.1,139.15,136.85,138.0,137.9,295117.0,408.35
2010-05-03,136.95,139.0,135.1,138.0,137.85,183430.0,252.2
2010-05-04,138.1,139.9,134.15,135.0,134.85,293814.0,403.06
2010-05-05,134.0,134.45,129.15,132.85,133.5,736657.0,961.63
2010-05-06,133.0,134.5,131.0,133.0,132.5,121251.0,160.9
2010-05-07,130.0,131.9,128.7,129.8,129.9,272267.0,353.58
2010-05-10,131.0,134.0,130.05,131.55,131.6,77901.0,102.91
2010-05-11,134.8,138.4,132.05,133.1,132.95,146547.0,196.83
2010-05-12,134.0,135.6,132.0,134.1,134.1,124415.0,166.64
2010-05-13,134.0,135.5,132.7,133.0,133.0,94341.0,125.72
2010-05-14,132.95,137.25,132.0,133.5,134.45,371760.0,502.05
2010-05-17,135.1,142.9,132.4,141.15,141.35,2533630.0,3552.48
2010-05-18,142.0,152.9,137.0,152.75,151.75,6168968.0,9104.21
2010-05-19,153.0,160.0,147.35,147.55,149.1,4353360.0,6746.96
2010-05-20,148.0,159.9,144.2,159.5,156.15,2295128.0,3506.69
2010-05-21,155.5,157.0,149.8,155.45,155.45,2189605.0,3382.23
2010-05-24,156.0,160.0,151.8,152.0,153.45,1347008.0,2107.67
2010-05-25,151.25,156.7,147.05,149.0,149.65,846880.0,1287.59
2010-05-26,150.5,154.8,150.15,150.55,151.8,798764.0,1215.84
2010-05-27,150.6,152.0,148.0,150.5,151.05,733994.0,1105.82
2010-05-28,152.5,153.8,150.1,150.5,150.8,275595.0,418.21
2010-05-31,151.0,175.7,150.5,169.45,171.0,9917192.0,16708.96
2010-06-01,173.0,175.7,160.35,160.9,162.6,8243057.0,13937.46
2010-06-02,157.8,167.25,157.8,163.5,162.95,2300029.0,3757.48
2010-06-03,168.0,172.95,162.3,166.0,166.8,5267819.0,8877.81
2010-06-04,169.0,171.2,162.4,164.0,163.95,2492622.0,4161.59
2010-06-07,159.0,164.5,150.15,159.75,159.1,2599000.0,4183.74
2010-06-08,160.2,163.8,154.75,156.8,156.65,1592290.0,2530.94
2010-06-09,157.0,159.95,155.0,155.5,155.5,900303.0,1413.87
2010-06-10,157.0,162.0,154.45,161.5,161.05,1899536.0,3030.09
2010-06-11,162.9,163.75,158.35,158.5,159.0,808972.0,1301.82
2010-06-14,159.8,163.2,159.65,160.3,160.9,578456.0,932.14
2010-06-15,160.6,161.0,157.25,158.3,158.9,590498.0,938.57
2010-06-16,159.5,165.75,159.0,163.65,163.3,2776071.0,4523.1
2010-06-17,164.4,164.8,159.4,159.75,160.45,945248.0,1532.41
2010-06-18,161.1,166.0,161.1,162.9,162.85,1271013.0,2080.36
2010-06-21,163.1,165.5,162.4,162.8,162.9,430656.0,704.08
2010-06-22,162.2,176.0,161.1,175.35,174.85,7884745.0,13491.47
2010-06-23,175.0,184.45,174.1,180.25,180.05,8812974.0,15980.25
2010-06-24,181.7,189.0,181.0,185.0,185.25,5724288.0,10626.19
2010-06-25,185.25,187.3,176.15,177.7,178.25,1966806.0,3590.71
2010-06-28,179.95,181.4,176.1,179.0,178.9,939691.0,1682.82
2010-06-29,179.7,183.4,175.2,175.5,176.05,1388561.0,2494.93
2010-06-30,173.0,181.4,170.7,177.3,177.55,1328880.0,2356.99
2010-07-01,175.1,179.35,171.8,173.05,173.6,923187.0,1612.62
2010-07-02,174.0,175.9,169.8,170.0,170.7,573405.0,991.84
2010-07-05,169.7,175.6,166.65,174.9,174.1,822963.0,1422.67
2010-07-06,175.0,183.4,174.35,181.0,181.85,3532226.0,6360.07
2010-07-07,184.0,184.0,174.55,175.25,175.65,2029311.0,3618.79
2010-07-08,178.75,181.0,176.35,177.85,177.45,1425332.0,2549.78
2010-07-09,178.0,180.5,177.45,178.6,178.4,906055.0,1622.86
2010-07-12,179.4,180.3,176.7,177.3,178.15,638939.0,1140.33
2010-07-13,177.25,180.2,177.25,177.8,178.0,643116.0,1147.17
2010-07-14,179.4,179.65,173.55,175.0,174.6,792366.0,1396.1
2010-07-15,172.4,175.85,171.2,174.65,174.45,624840.0,1087.49
2010-07-16,174.0,176.0,173.0,175.5,174.95,715995.0,1250.24
2010-07-19,172.7,175.3,171.4,172.25,172.1,758526.0,1312.31
2010-07-20,172.7,177.5,171.15,171.15,172.45,1307228.0,2290.12
2010-07-21,172.65,174.9,170.0,172.8,172.5,701538.0,1213.17
2010-07-22,172.4,177.9,172.1,177.4,176.95,1318141.0,2313.22
2010-07-23,178.5,179.8,174.0,177.25,175.3,1585651.0,2806.27
2010-07-26,176.3,177.3,171.8,174.0,174.3,439736.0,765.66
2010-07-27,175.25,175.8,169.4,170.6,171.0,1238801.0,2123.32
2010-07-28,171.0,174.25,169.2,169.5,169.95,596590.0,1024.07
2010-07-29,170.6,171.4,169.3,171.0,170.9,463610.0,790.79
2010-07-30,170.4,173.0,167.0,167.1,168.65,928712.0,1577.57
2010-08-02,170.0,173.7,169.25,170.0,170.0,975359.0,1669.85
2010-08-03,170.9,172.9,169.5,172.0,172.0,1079577.0,1849.73
2010-08-04,172.0,172.8,169.55,170.35,170.15,466330.0,795.87
2010-08-05,170.5,173.6,169.8,171.0,171.7,1099493.0,1888.98
2010-08-06,171.5,172.4,169.5,170.1,170.1,580740.0,994.15
2010-08-09,170.1,171.0,167.6,169.25,168.85,402407.0,681.67
2010-08-10,168.9,170.75,168.1,168.7,168.65,288393.0,488.53
2010-08-11,168.2,170.3,167.0,169.95,168.95,451825.0,762.88
2010-08-12,168.5,171.25,167.1,171.1,170.75,479189.0,814.22
2010-08-13,170.7,175.95,169.55,175.9,174.6,1651197.0,2853.34
2010-08-16,176.2,179.55,173.7,175.4,175.55,2050024.0,3629.72
2010-08-17,176.25,181.0,176.25,177.15,176.95,1526642.0,2724.43
2010-08-18,177.25,179.4,175.05,175.6,176.25,685489.0,1216.36
2010-08-19,176.5,180.0,173.5,177.9,178.5,1071736.0,1898.6
2010-08-20,178.5,179.4,176.0,176.35,177.25,724892.0,1288.26
2010-08-23,177.5,177.6,170.15,170.9,171.7,1207689.0,2091.46
2010-08-24,171.9,172.7,168.2,168.6,169.4,650762.0,1108.47
2010-08-25,169.4,172.65,167.6,169.2,170.45,1204260.0,2053.19
2010-08-26,170.85,172.35,168.9,169.55,170.25,886460.0,1513.2
2010-08-27,170.5,170.9,168.6,170.45,170.05,530771.0,902.11
2010-08-30,170.9,172.95,166.25,167.85,168.0,306866.0,518.29
2010-08-31,167.15,170.75,165.55,170.45,168.95,785831.0,1321.77
2010-09-01,169.5,172.9,169.5,172.5,172.25,256326.0,439.15
2010-09-02,172.9,173.7,169.8,170.1,170.65,378847.0,649.89
2010-09-03,170.7,182.4,170.7,179.3,179.65,4037310.0,7232.96
2010-09-06,180.05,181.5,177.25,178.0,178.2,951940.0,1705.16
