Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,86.4,94.1,85.4,87.55,87.35,747411.0,652.29
2010-01-05,88.0,88.9,85.0,85.7,85.35,378134.0,328.83
2010-01-06,86.0,86.65,84.5,85.0,85.25,309088.0,264.38
2010-01-07,83.3,86.0,83.3,83.75,83.75,244435.0,206.32
2010-01-08,83.75,84.0,82.1,82.4,82.55,285410.0,237.08
2010-01-11,83.9,83.9,80.15,82.4,82.2,183987.0,152.52
2010-01-12,83.4,83.4,80.25,80.7,80.6,219365.0,179.4
2010-01-13,79.1,80.75,79.1,79.9,79.8,251734.0,201.27
2010-01-14,81.4,84.0,79.2,83.5,83.15,486571.0,399.26
2010-01-15,84.4,87.6,84.0,85.8,86.0,845840.0,727.95
2010-01-18,85.0,90.0,85.0,89.0,88.45,868409.0,766.93
2010-01-19,87.95,93.65,87.55,91.3,91.15,1643817.0,1509.38
2010-01-20,92.0,95.8,92.0,94.15,93.7,1404465.0,1319.5
2010-01-21,93.0,94.25,88.3,88.75,88.85,631559.0,573.65
2010-01-22,87.1,91.3,85.1,91.0,90.75,551717.0,491.67
2010-01-25,90.0,91.5,86.5,87.0,87.4,275631.0,242.94
2010-01-27,85.55,87.55,83.05,84.25,84.3,330520.0,280.58
2010-01-28,85.3,86.55,82.2,82.8,83.2,248510.0,209.59
2010-01-29,82.25,89.5,81.05,89.05,88.7,823069.0,706.63
2010-02-01,85.1,86.8,82.55,83.0,82.75,566519.0,474.3
2010-02-02,84.8,84.8,80.0,80.15,80.9,259897.0,214.96
2010-02-03,80.0,82.9,80.0,81.3,81.15,151868.0,124.46
2010-02-04,81.4,81.9,79.25,80.0,79.8,138846.0,111.98
2010-02-05,77.4,80.0,75.9,77.55,78.1,449003.0,349.57
2010-02-06,78.95,79.9,78.5,79.7,79.25,42266.0,33.43
2010-02-08,79.9,79.9,78.1,79.6,79.05,112513.0,88.97
2010-02-09,78.45,79.7,78.45,79.2,79.2,64416.0,50.97
2010-02-10,79.9,80.0,77.7,78.0,78.5,87797.0,69.55
2010-02-11,79.0,79.75,78.6,79.7,79.4,73250.0,58.02
2010-02-15,82.95,82.95,77.0,78.0,78.05,89027.0,69.7
2010-02-16,79.5,81.0,77.25,78.25,78.1,51336.0,39.99
2010-02-17,78.8,79.75,78.2,79.1,78.8,85720.0,67.74
2010-02-18,79.35,79.9,79.0,79.65,79.35,83270.0,66.09
2010-02-19,79.0,79.15,77.1,77.55,77.9,61942.0,48.42
2010-02-22,77.2,78.35,75.15,75.2,75.55,129108.0,99.34
2010-02-23,75.7,77.45,74.0,74.25,74.45,80101.0,60.65
2010-02-24,74.9,75.7,72.9,73.5,73.55,71015.0,52.58
2010-02-25,74.4,74.4,72.6,72.75,73.05,95958.0,70.6
2010-02-26,73.0,79.6,73.0,77.05,77.2,304492.0,232.35
2010-03-02,78.5,80.9,78.0,79.0,78.95,283071.0,224.03
2010-03-03,79.0,81.4,78.5,79.7,79.6,190697.0,152.77
