Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,179.0,184.7,179.0,184.7,184.7,1410.0,2.6
2010-01-05,193.95,193.95,188.0,193.95,193.95,20196.0,39.0
2010-01-06,193.95,203.65,190.5,203.65,203.65,5905.0,11.89
2010-01-07,203.65,212.4,197.4,198.0,201.2,3122.0,6.29
2010-01-08,197.1,211.3,197.1,208.0,209.65,14074.0,29.6
2010-01-11,213.0,215.0,205.0,207.0,206.3,8435.0,17.5
2010-01-12,204.0,216.65,204.0,215.7,216.2,22805.0,49.06
2010-01-13,216.0,223.5,210.0,220.0,220.0,15315.0,33.54
2010-01-14,226.0,231.0,219.2,230.75,230.3,6845.0,15.54
2010-01-15,230.0,237.7,224.0,229.0,228.15,4298.0,9.89
2010-01-18,227.9,227.9,216.75,216.75,216.75,2819.0,6.16
2010-01-19,205.95,216.65,205.95,205.95,206.1,1992.0,4.14
2010-01-20,216.0,216.0,201.7,212.0,212.45,1451.0,3.06
2010-01-21,208.0,212.0,202.0,202.0,203.7,1585.0,3.26
2010-01-22,196.0,200.0,193.55,196.5,196.1,1560.0,3.04
2010-01-25,200.0,200.0,190.1,195.0,195.0,220.0,0.43
2010-01-27,190.0,199.0,186.5,187.0,187.0,1674.0,3.16
2010-01-28,185.0,185.0,180.15,183.0,183.0,638.0,1.16
2010-01-29,179.0,189.0,174.3,189.0,187.6,5474.0,9.95
2010-02-01,184.0,187.0,183.1,184.95,184.95,719.0,1.33
2010-02-02,190.5,192.5,178.0,178.0,179.3,1532.0,2.88
2010-02-03,180.0,188.3,180.0,188.3,188.3,655.0,1.21
2010-02-04,197.0,197.1,185.15,185.5,185.5,663.0,1.26
2010-02-05,184.0,192.15,178.0,192.15,190.15,3873.0,7.11
2010-02-06,185.0,194.9,185.0,194.9,193.15,115.0,0.22
2010-02-08,195.0,195.0,183.75,190.15,190.15,383.0,0.71
2010-02-09,184.1,184.1,184.0,184.0,184.05,10.0,0.02
2010-02-10,189.65,189.65,180.0,180.25,180.25,340.0,0.63
2010-02-11,188.25,188.25,182.55,185.95,185.95,342.0,0.64
2010-02-15,186.1,186.2,179.0,179.0,179.95,264.0,0.48
2010-02-16,179.1,187.0,179.1,186.0,184.0,1295.0,2.4
2010-02-17,184.0,188.0,180.1,188.0,188.0,544.0,1.02
2010-02-18,185.0,191.5,185.0,190.9,190.45,952.0,1.79
2010-02-19,197.0,197.0,182.2,186.9,186.55,1237.0,2.32
2010-02-22,186.0,195.0,180.0,192.0,188.5,96.0,0.18
2010-02-23,188.0,188.0,179.1,179.65,179.65,664.0,1.21
2010-02-24,179.0,183.5,172.05,178.0,178.7,358.0,0.64
2010-02-25,180.0,183.0,173.0,173.0,173.95,325.0,0.57
2010-02-26,180.0,180.0,171.15,180.0,179.9,1262.0,2.23
2010-03-02,188.0,188.0,175.5,185.0,184.9,602.0,1.1
2010-03-03,182.75,184.75,178.0,182.15,182.15,913.0,1.66
