Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,340.0,345.9,336.0,337.0,336.9,28070.0,95.33
2010-01-05,343.8,349.8,340.05,344.2,345.4,23911.0,82.68
2010-01-06,348.0,363.5,345.15,353.0,355.8,57943.0,206.47
2010-01-07,357.2,374.0,355.0,357.7,356.5,94779.0,343.33
2010-01-08,361.9,368.0,354.25,355.05,356.45,67292.0,242.88
2010-01-11,364.4,364.4,348.1,349.0,349.65,76824.0,270.84
2010-01-12,349.0,355.0,340.0,342.5,341.55,33680.0,116.74
2010-01-13,341.55,348.0,338.6,344.1,343.55,37966.0,130.13
2010-01-14,354.0,354.6,344.25,348.0,346.15,19227.0,67.08
2010-01-15,350.0,365.1,346.3,352.5,354.5,87275.0,313.02
2010-01-18,355.0,367.75,354.3,356.0,356.5,78939.0,285.22
2010-01-19,359.5,369.0,356.0,358.0,358.1,97399.0,353.31
2010-01-20,361.0,397.0,359.0,380.35,379.3,440735.0,1677.7
2010-01-21,380.8,421.9,380.1,399.1,399.3,964808.0,3892.2
2010-01-22,389.9,411.9,371.0,396.15,399.35,369948.0,1454.58
2010-01-25,399.35,423.3,389.0,389.0,396.85,218582.0,895.75
2010-01-27,386.0,403.9,363.1,368.1,369.3,147438.0,573.01
2010-01-28,377.0,387.0,357.1,371.0,367.75,79510.0,295.08
2010-01-29,363.65,382.0,352.55,375.0,377.55,79419.0,291.68
2010-02-01,374.0,386.0,368.25,374.0,374.95,40086.0,151.75
2010-02-02,375.0,386.0,366.25,369.0,370.2,43063.0,162.78
2010-02-03,373.5,378.8,370.25,372.0,373.2,21410.0,80.05
2010-02-04,372.0,391.0,370.1,380.0,379.95,62810.0,239.4
2010-02-05,365.0,378.0,356.5,374.95,373.5,44430.0,163.78
2010-02-06,382.0,384.7,373.3,375.0,377.4,8340.0,31.71
2010-02-08,372.0,381.7,366.75,372.0,372.0,15428.0,57.62
2010-02-09,372.95,379.0,370.5,372.0,373.75,10588.0,39.62
2010-02-10,379.7,384.0,375.1,381.0,379.6,27923.0,106.03
2010-02-11,378.5,408.0,378.5,393.0,393.05,90734.0,360.08
2010-02-15,397.7,405.95,392.9,405.0,402.45,105621.0,422.53
2010-02-16,408.8,415.9,400.0,403.7,402.2,75052.0,306.77
2010-02-17,408.9,409.05,402.15,402.25,402.25,49166.0,198.24
2010-02-18,403.0,406.0,400.1,400.1,401.9,13436.0,54.04
2010-02-19,399.0,399.0,383.05,384.75,387.35,12051.0,47.14
2010-02-22,387.35,392.8,377.0,378.15,382.0,12152.0,47.05
2010-02-23,380.0,386.0,370.0,384.6,384.2,27466.0,104.57
2010-02-24,380.0,396.0,379.0,390.0,390.1,228669.0,881.2
2010-02-25,393.0,398.0,378.0,378.0,381.55,10928.0,42.3
2010-02-26,381.55,396.6,376.0,378.7,380.55,28170.0,109.65
2010-03-02,380.0,384.95,377.0,380.0,380.95,13562.0,51.72
2010-03-03,383.9,395.0,382.95,391.0,391.1,22520.0,87.59
