Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,11.7,12.2,10.35,11.95,11.85,841477.0,100.55
2010-01-05,12.25,12.25,11.65,11.8,11.75,414295.0,49.53
2010-01-06,12.0,12.0,11.5,11.5,11.6,165615.0,19.36
2010-01-07,11.6,11.9,11.3,11.4,11.55,308156.0,36.0
2010-01-08,11.6,12.05,11.35,11.75,11.7,223270.0,26.43
2010-01-11,11.5,12.0,11.3,11.85,11.8,171593.0,20.33
2010-01-12,11.9,12.0,11.4,11.45,11.45,300464.0,35.08
2010-01-13,11.6,11.6,11.2,11.4,11.4,127006.0,14.45
2010-01-14,11.7,11.8,11.25,11.65,11.6,119427.0,13.89
2010-01-15,11.6,12.95,11.5,12.4,12.65,1517226.0,186.69
2010-01-18,13.0,13.6,12.6,13.2,13.3,3029591.0,399.44
2010-01-19,13.45,13.6,12.55,12.75,12.65,1253577.0,162.86
2010-01-20,13.0,13.0,12.2,12.4,12.35,434892.0,54.99
2010-01-21,12.35,12.6,11.8,12.05,11.9,277680.0,33.85
2010-01-22,11.5,11.7,9.6,11.35,11.4,469327.0,52.36
2010-01-25,11.4,11.6,11.0,11.2,11.3,277756.0,31.37
2010-01-27,11.4,11.4,10.5,10.6,10.6,304005.0,33.06
2010-01-28,10.6,11.3,10.05,10.85,10.7,184867.0,19.95
2010-01-29,10.55,10.85,10.25,10.8,10.75,225675.0,23.81
2010-02-01,10.5,11.25,10.5,11.05,11.1,186928.0,20.71
2010-02-02,11.35,11.9,11.0,11.1,11.1,490443.0,55.74
2010-02-03,11.6,11.65,11.0,11.15,11.1,194257.0,21.76
2010-02-04,11.3,11.65,11.05,11.05,11.1,291838.0,33.06
2010-02-05,11.0,11.0,10.05,10.75,10.65,187397.0,19.99
2010-02-06,10.7,11.05,10.55,11.05,11.0,99131.0,10.82
2010-02-08,11.05,11.2,10.7,11.05,11.0,239334.0,26.17
2010-02-09,11.0,11.1,10.75,10.9,10.8,88549.0,9.7
2010-02-10,10.9,11.05,10.75,10.8,10.8,112166.0,12.25
2010-02-11,10.05,11.15,10.05,10.8,10.8,157472.0,17.17
2010-02-15,10.7,11.0,10.5,10.5,10.55,90898.0,9.76
2010-02-16,10.6,10.75,10.5,10.55,10.55,82007.0,8.66
2010-02-17,10.7,10.95,10.5,10.55,10.55,97755.0,10.43
2010-02-18,10.5,10.7,10.35,10.45,10.4,82481.0,8.64
2010-02-19,10.45,10.45,10.05,10.1,10.15,125000.0,12.79
2010-02-22,10.65,10.65,10.0,10.0,10.0,92338.0,9.4
2010-02-23,10.0,10.1,9.9,10.0,10.0,95332.0,9.53
2010-02-24,9.55,10.7,9.55,10.1,10.1,93111.0,9.42
2010-02-25,10.0,10.15,9.9,10.1,10.1,81896.0,8.24
2010-02-26,10.05,10.4,10.05,10.3,10.25,101811.0,10.46
2010-03-02,10.4,10.6,10.1,10.55,10.45,135623.0,14.14
2010-03-03,10.4,10.65,10.35,10.4,10.45,86858.0,9.1
2010-03-04,10.35,10.55,10.3,10.45,10.45,73553.0,7.72
2010-03-05,10.5,10.7,10.35,10.45,10.5,160661.0,16.87
2010-03-08,10.55,10.65,10.45,10.45,10.5,99270.0,10.41
2010-03-09,10.55,10.55,10.25,10.3,10.3,55977.0,5.79
2010-03-10,10.25,10.45,10.1,10.15,10.15,64353.0,6.59
2010-03-11,10.2,10.2,9.95,10.1,10.05,87315.0,8.8
2010-03-12,9.95,10.2,9.9,9.95,9.95,92926.0,9.26
2010-03-15,10.0,10.0,9.7,9.7,9.8,56323.0,5.54
2010-03-16,9.85,9.95,9.7,9.85,9.8,48745.0,4.78
2010-03-17,9.9,10.4,9.65,10.2,10.1,285862.0,28.96
2010-03-18,10.1,10.35,9.9,9.9,10.0,91352.0,9.19
2010-03-19,10.0,10.35,9.9,10.1,10.1,184848.0,18.75
2010-03-22,10.0,10.0,9.8,9.85,9.85,61975.0,6.15
2010-03-23,9.9,10.0,9.7,9.8,9.75,64733.0,6.37
2010-03-25,9.9,9.95,9.55,9.6,9.6,100455.0,9.71
2010-03-26,9.75,9.8,9.4,9.4,9.45,160757.0,15.38
2010-03-29,9.45,9.7,7.65,9.4,9.45,259944.0,24.52
2010-03-30,9.6,9.75,9.45,9.65,9.65,119718.0,11.53
2010-03-31,9.5,9.7,9.15,9.45,9.45,138875.0,13.15
2010-04-01,9.45,10.25,9.4,10.15,10.05,210455.0,21.02
2010-04-05,10.2,10.4,10.0,10.2,10.2,84824.0,8.64
2010-04-06,10.25,11.0,10.1,10.6,10.65,578007.0,61.72
2010-04-07,10.75,11.05,10.5,10.55,10.55,242141.0,26.13
2010-04-08,10.55,10.7,10.2,10.3,10.3,100928.0,10.59
2010-04-09,10.5,11.15,10.3,10.85,10.8,501684.0,54.46
2010-04-12,11.15,11.15,10.75,10.85,10.8,192254.0,21.06
2010-04-13,11.15,11.15,10.65,10.7,10.65,369549.0,39.97
2010-04-15,11.0,11.15,10.5,10.55,10.55,417241.0,45.22
