Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,158.8,166.0,157.0,165.7,165.0,214170.0,349.21
2010-01-05,167.0,173.5,166.0,167.0,167.0,303653.0,513.48
2010-01-06,168.45,169.2,161.95,168.0,168.2,84609.0,141.87
2010-01-07,168.0,172.0,167.05,168.5,168.4,90904.0,154.25
2010-01-08,155.4,169.8,155.4,164.4,163.3,69242.0,114.85
2010-01-11,166.4,170.0,164.4,167.75,167.35,57594.0,96.63
2010-01-12,168.9,168.9,164.15,165.05,164.95,84128.0,139.74
2010-01-13,164.95,169.5,161.7,167.7,166.5,64562.0,106.32
2010-01-14,168.95,173.5,167.7,170.9,169.25,225669.0,386.21
2010-01-15,171.9,173.95,170.55,172.6,172.4,108652.0,186.79
2010-01-18,172.0,173.2,164.2,165.0,166.95,110540.0,187.71
2010-01-19,165.0,169.5,163.0,164.4,164.4,79070.0,131.34
2010-01-20,163.6,165.85,161.1,162.0,161.75,67097.0,109.75
2010-01-21,164.5,164.5,157.8,159.8,159.05,102476.0,163.87
2010-01-22,157.0,162.0,151.0,160.8,160.45,92409.0,145.53
2010-01-25,159.5,162.0,154.8,156.0,157.65,48880.0,77.1
2010-01-27,156.1,158.75,145.45,146.25,147.8,60732.0,92.1
2010-01-28,150.0,152.4,147.0,150.05,151.05,47393.0,71.36
2010-01-29,142.0,151.6,142.0,149.2,150.5,39392.0,58.2
2010-02-01,154.9,162.95,150.0,159.9,157.7,29904.0,46.43
2010-02-02,159.9,164.95,153.1,163.0,160.3,62316.0,99.36
2010-02-03,162.0,162.95,157.25,158.05,158.5,38040.0,60.85
2010-02-04,158.5,159.4,154.55,155.75,155.15,21424.0,33.52
2010-02-05,149.0,153.5,147.05,152.55,152.8,32374.0,48.8
2010-02-06,156.0,156.4,151.3,153.0,152.7,4208.0,6.45
2010-02-08,154.9,154.9,149.55,151.25,151.0,12083.0,18.32
2010-02-09,150.0,156.8,149.0,155.4,155.95,28512.0,44.14
2010-02-10,157.1,163.5,155.1,162.4,160.75,49722.0,79.29
2010-02-11,158.0,163.1,158.0,162.0,161.9,37324.0,60.23
2010-02-15,160.0,162.8,157.1,162.0,160.75,12126.0,19.46
2010-02-16,157.9,165.0,157.9,163.0,163.15,29466.0,47.47
2010-02-17,164.95,167.9,162.0,163.95,163.35,35302.0,58.28
2010-02-18,162.0,176.0,162.0,168.0,167.9,329944.0,565.71
2010-02-19,168.0,171.25,163.3,168.0,167.4,63565.0,106.57
2010-02-22,168.0,172.0,165.1,165.2,166.2,84788.0,143.3
2010-02-23,168.0,173.0,161.0,161.1,161.95,215268.0,360.74
2010-02-24,160.0,164.7,154.0,163.5,163.5,31306.0,50.62
2010-02-25,162.55,166.5,159.3,159.55,163.1,31060.0,50.57
2010-02-26,164.0,165.5,159.6,165.4,163.85,54628.0,89.07
2010-03-02,160.55,167.9,160.55,166.7,166.55,28465.0,47.27
2010-03-03,166.7,167.4,164.05,165.5,165.85,38734.0,64.17
2010-03-04,166.0,166.0,164.1,165.0,164.85,24796.0,40.93
2010-03-05,165.1,169.9,164.2,164.2,164.9,67267.0,112.24
2010-03-08,167.0,169.7,165.8,167.55,168.0,32589.0,54.81
