Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-29,273.9,278.0,216.05,239.0,232.95,15284.0,38.49
2016-09-30,247.55,255.0,230.0,255.0,249.0,2668.0,6.5
2016-10-03,238.0,264.4,238.0,255.0,257.9,1512.0,3.88
2016-10-04,250.0,261.0,250.0,260.0,260.0,29.0,0.08
2016-10-05,254.0,254.0,251.0,253.0,253.0,768.0,1.94
2016-10-06,253.0,259.0,248.0,258.0,248.8,1305.0,3.28
2016-10-07,268.0,268.0,241.0,253.0,246.75,11347.0,28.07
2016-10-10,246.0,250.0,242.25,242.25,242.3,763.0,1.87
2016-10-13,242.3,258.9,234.0,251.65,240.25,571.0,1.36
2016-10-14,240.0,259.5,240.0,248.9,248.9,556.0,1.39
2016-10-17,248.75,254.0,237.0,240.5,241.9,1641.0,3.99
2016-10-18,240.0,249.0,240.0,245.0,241.3,1178.0,2.89
2016-10-19,243.6,250.0,243.55,249.95,245.2,1752.0,4.3
2016-10-20,245.0,248.5,239.3,239.3,239.3,432.0,1.06
2016-10-21,239.25,259.0,239.25,250.0,249.6,1484.0,3.7
2016-10-24,249.5,284.5,249.5,276.9,275.0,22148.0,59.85
2016-10-25,299.45,299.5,270.0,279.95,274.75,22483.0,62.37
2016-10-26,274.5,274.5,255.5,270.0,263.1,11762.0,31.15
2016-10-27,253.05,270.0,247.5,257.7,256.55,12098.0,30.84
2016-10-28,256.5,263.9,249.95,263.7,251.05,16183.0,40.6
2016-10-30,275.0,275.0,255.5,255.5,263.6,697.0,1.84
2016-11-01,269.5,272.4,254.1,269.5,259.15,1288.0,3.38
2016-11-02,252.65,275.0,252.0,271.4,268.85,14532.0,39.21
2016-11-03,266.0,270.0,256.3,259.6,257.65,12004.0,31.41
2016-11-04,259.0,259.0,241.5,241.5,247.25,1691.0,4.22
2016-11-07,251.15,263.95,250.8,259.85,255.3,702.0,1.78
2016-11-08,255.0,258.0,251.2,257.6,254.85,3713.0,9.4
2016-11-09,239.9,247.9,208.0,242.0,240.45,4131.0,9.69
2016-11-10,258.95,258.95,244.45,250.0,249.7,90.0,0.23
2016-11-11,237.0,237.0,223.2,224.1,225.85,1625.0,3.7
2016-11-15,227.0,227.0,185.2,213.0,209.8,2644.0,5.51
2016-11-16,210.0,219.0,187.0,200.0,203.85,2464.0,4.97
2016-11-17,210.0,210.0,193.5,193.5,193.5,8721.0,17.16
2016-11-18,201.8,219.0,189.95,216.7,210.0,3249.0,6.53
2016-11-21,211.0,216.7,209.0,215.0,215.0,2544.0,5.44
2016-11-22,208.1,215.0,200.95,215.0,212.4,770.0,1.59
2016-11-23,225.4,225.4,220.0,220.0,220.0,91.0,0.2
2016-11-24,196.1,219.8,196.1,217.0,214.3,167.0,0.35
2016-11-25,213.0,219.0,212.1,216.0,214.7,216.0,0.47
