Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-07,76.6,87.05,72.0,75.5,74.8,4619692.0,3711.24
2016-07-08,76.75,79.4,70.35,75.0,75.1,2547924.0,1906.97
2016-07-11,77.45,78.4,74.15,74.5,74.65,1067228.0,813.09
2016-07-12,75.0,75.4,69.2,69.75,69.8,1337111.0,948.91
2016-07-13,69.8,71.2,66.2,68.5,68.35,1101224.0,756.84
2016-07-14,70.35,71.0,64.25,65.2,65.2,1897922.0,1274.9
2016-07-15,64.8,68.7,62.6,67.85,67.8,2043279.0,1360.14
2016-07-18,71.05,71.9,64.9,66.25,65.35,1472415.0,998.16
2016-07-19,66.3,66.5,61.6,63.05,63.0,1314284.0,829.15
2016-07-20,63.5,65.85,62.4,65.3,65.15,1361872.0,881.15
2016-07-21,65.75,68.5,63.95,65.2,65.2,1152794.0,760.87
2016-07-22,65.85,67.3,64.2,64.55,64.85,933890.0,610.5
2016-07-25,65.2,70.9,64.85,69.95,69.6,2191728.0,1497.96
2016-07-26,70.3,70.3,64.8,65.6,65.25,845901.0,569.32
2016-07-27,65.6,66.75,63.4,65.9,66.0,713506.0,467.12
2016-07-28,66.6,66.7,64.25,64.6,64.6,474960.0,309.93
2016-07-29,64.95,65.3,62.3,63.0,62.85,449508.0,286.31
2016-08-01,63.55,64.5,62.15,62.35,62.45,388062.0,245.63
2016-08-02,63.0,63.25,57.9,59.2,59.1,741980.0,445.87
2016-08-03,58.8,62.8,57.35,61.1,61.0,844032.0,507.77
2016-08-04,61.85,61.95,59.8,60.1,60.15,252468.0,153.51
2016-08-05,60.5,63.4,60.5,61.75,61.5,565680.0,352.0
2016-08-08,62.4,64.7,61.7,62.85,63.0,466369.0,294.63
2016-08-09,63.6,63.85,58.05,58.5,58.65,519520.0,315.06
2016-08-10,59.0,60.8,58.95,59.65,59.7,374012.0,224.64
2016-08-11,60.4,62.0,59.0,61.0,60.8,287661.0,174.78
2016-08-12,61.5,61.5,58.4,58.85,58.7,260105.0,154.5
2016-08-16,59.7,59.9,57.3,57.75,57.65,296373.0,173.57
2016-08-17,58.4,59.0,57.45,57.45,57.7,211003.0,122.49
2016-08-18,58.4,59.6,57.9,58.8,58.85,283817.0,166.58
2016-08-19,59.15,62.2,58.7,59.45,59.45,984307.0,594.49
2016-08-22,60.0,60.4,58.5,58.8,58.75,419126.0,248.62
2016-08-23,58.2,59.9,58.0,59.1,58.75,553343.0,326.27
2016-08-24,58.45,59.15,57.55,57.8,57.85,378505.0,220.75
2016-08-25,57.5,58.75,57.0,57.6,57.55,480975.0,278.05
