Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-09-25,389.9,389.9,381.0,382.0,382.0,21.0,0.08
2012-09-26,382.5,384.0,382.5,384.0,384.0,46.0,0.18
2012-09-27,380.25,395.0,380.25,395.0,395.0,718.0,2.76
2012-09-28,390.0,405.0,390.0,390.2,392.35,3427.0,13.67
2012-10-01,390.3,407.0,390.2,407.0,401.55,507.0,2.0
2012-10-03,450.0,450.0,400.0,400.05,402.8,2956.0,11.86
2012-10-04,403.0,409.9,401.0,403.0,403.0,875.0,3.55
2012-10-05,400.05,410.0,400.05,410.0,407.0,615.0,2.48
2012-10-08,407.05,410.0,403.1,410.0,410.0,1684.0,6.87
2012-10-09,415.0,415.0,403.0,414.5,409.05,2317.0,9.4
2012-10-10,409.95,409.95,404.0,404.0,405.0,497.0,2.02
2012-10-11,405.0,405.0,398.0,398.0,402.0,1591.0,6.43
2012-10-12,400.0,406.0,396.0,397.0,396.95,345.0,1.38
2012-10-15,379.0,400.0,379.0,390.0,389.95,663.0,2.61
2012-10-16,392.0,395.0,385.1,389.9,387.6,532.0,2.06
2012-10-17,388.0,388.0,376.0,376.0,378.1,1371.0,5.28
2012-10-18,378.0,390.1,370.0,390.0,389.45,1689.0,6.47
2012-10-19,385.0,387.95,384.1,384.1,384.5,1142.0,4.4
2012-10-22,382.0,409.9,382.0,409.9,402.55,2091.0,8.23
2012-10-23,395.1,409.95,385.2,399.0,399.0,762.0,3.02
2012-10-25,395.1,409.95,390.05,406.0,400.9,2687.0,10.77
2012-10-26,421.0,447.85,411.0,425.05,431.3,61769.0,270.03
2012-10-29,426.0,444.0,426.0,439.95,436.9,7355.0,32.14
2012-10-30,440.0,455.0,432.0,449.95,450.95,12011.0,53.29
2012-10-31,454.0,460.0,440.1,454.0,458.3,12620.0,57.32
2012-11-01,459.0,474.9,459.0,468.15,468.95,11550.0,54.09
2012-11-02,472.95,479.9,462.05,462.05,467.0,8926.0,42.22
2012-11-05,467.0,475.0,453.0,457.0,456.4,5384.0,25.0
2012-11-06,456.55,456.55,420.0,446.5,445.25,9700.0,42.83
2012-11-07,444.0,460.0,444.0,453.0,452.0,5583.0,25.37
2012-11-08,450.0,465.0,450.0,460.0,460.0,10406.0,47.95
2012-11-09,467.0,475.6,443.0,444.5,448.6,11100.0,51.08
2012-11-12,451.2,465.7,451.1,460.0,457.8,9545.0,43.74
2012-11-13,462.0,469.0,458.0,462.15,465.6,5432.0,25.26
2012-11-15,466.1,468.05,460.75,466.0,464.7,5886.0,27.34
2012-11-16,460.0,469.9,460.0,465.0,464.25,4793.0,22.33
2012-11-19,464.0,475.0,464.0,464.95,465.75,10073.0,47.25
2012-11-20,459.0,481.35,457.45,469.95,469.85,7588.0,35.78
2012-11-21,467.0,469.85,450.0,461.0,461.8,5068.0,23.22
2012-11-22,461.9,467.0,456.1,461.0,462.5,1916.0,8.84
2012-11-23,469.0,469.0,451.95,457.95,457.05,3682.0,16.87
2012-11-26,459.85,472.4,458.55,468.75,468.05,2036.0,9.44
2012-11-27,468.0,468.05,458.0,458.1,461.85,2145.0,9.93
2012-11-29,457.35,470.0,457.35,460.0,460.95,2850.0,13.15
2012-11-30,465.0,472.45,458.1,469.85,463.7,2893.0,13.43
2012-12-03,465.0,470.0,460.05,462.5,462.1,1348.0,6.27
2012-12-04,460.55,487.95,457.0,483.75,480.6,22015.0,105.82
2012-12-05,480.0,507.0,478.2,489.9,487.3,12527.0,61.92
2012-12-06,497.95,505.0,488.0,494.0,490.35,6958.0,34.63
2012-12-07,495.1,499.0,482.1,490.0,486.15,4376.0,21.37
2012-12-10,485.0,488.95,474.0,487.0,482.5,2350.0,11.37
2012-12-11,485.0,487.85,471.2,472.0,473.25,1635.0,7.8
2012-12-12,470.5,480.0,470.5,471.0,472.75,1104.0,5.24
2012-12-13,472.75,478.6,462.2,466.0,466.2,3408.0,15.96
2012-12-14,473.05,478.0,462.0,462.55,463.4,1604.0,7.48
2012-12-17,467.05,469.6,460.4,465.0,465.4,3386.0,15.72
2012-12-18,469.0,474.7,463.0,471.95,471.65,1103.0,5.18
2012-12-19,460.0,478.0,460.0,472.0,472.15,2112.0,9.99
2012-12-20,470.25,478.95,470.25,470.3,472.85,1334.0,6.31
2012-12-21,471.5,474.9,470.15,471.0,470.95,2396.0,11.3
2012-12-24,473.5,473.5,465.55,468.0,467.4,2116.0,9.96
2012-12-26,464.0,468.85,462.0,465.9,465.05,1847.0,8.6
2012-12-27,460.0,479.0,460.0,479.0,473.65,1804.0,8.47
2012-12-28,474.7,483.0,468.5,481.1,476.5,1595.0,7.59
2012-12-31,474.95,482.0,472.3,482.0,479.9,4207.0,20.12
2013-01-01,482.0,482.0,475.15,480.0,479.85,3342.0,15.99
2013-01-02,480.0,491.2,477.05,483.5,484.9,6767.0,32.89
2013-01-03,480.0,487.0,461.0,476.0,476.95,1167.0,5.61
2013-01-04,477.05,484.75,473.0,475.2,476.5,527.0,2.52
2013-01-07,480.0,480.0,469.95,473.0,473.1,1372.0,6.49
2013-01-08,473.0,491.0,469.95,475.3,480.85,5699.0,27.2
2013-01-09,484.65,486.0,474.15,479.0,483.15,3066.0,14.72
2013-01-10,484.5,490.0,476.5,484.05,485.05,5370.0,26.07
2013-01-11,480.0,489.7,476.0,476.0,485.4,2952.0,14.34
2013-01-14,481.95,482.0,472.7,472.7,475.9,1471.0,6.98
2013-01-15,475.0,478.0,473.35,476.0,475.2,1452.0,6.91
2013-01-16,479.45,479.45,467.9,471.0,469.9,1918.0,9.02
2013-01-17,515.0,515.0,466.9,472.05,474.9,5322.0,25.05
2013-01-18,472.5,477.0,472.25,476.0,475.05,3107.0,14.74
2013-01-21,475.0,475.5,472.3,474.0,474.65,1334.0,6.33
2013-01-22,474.5,481.05,473.5,477.45,475.2,1679.0,8.02
2013-01-23,476.05,480.0,474.1,480.0,475.9,4447.0,21.19
2013-01-24,478.85,479.0,466.0,467.0,467.35,3507.0,16.46
2013-01-25,465.0,478.0,461.05,475.0,472.25,2963.0,13.94
2013-01-28,475.0,479.4,464.2,465.15,469.9,8688.0,40.83
2013-01-29,469.0,472.0,465.05,472.0,470.7,3161.0,14.8
2013-01-30,475.0,475.0,466.05,471.0,470.0,2764.0,12.99
2013-01-31,470.1,483.5,466.25,479.0,477.45,3738.0,17.7
2013-02-01,478.0,480.0,474.0,480.0,479.9,1358.0,6.49
2013-02-04,476.0,480.0,470.0,480.0,477.05,3200.0,15.19
2013-02-05,476.4,479.95,473.05,474.05,474.45,917.0,4.35
2013-02-06,473.25,476.7,473.0,476.5,475.35,1564.0,7.42
2013-02-07,470.35,480.0,467.1,475.1,478.4,4043.0,19.24
2013-02-08,483.0,483.0,475.0,478.0,478.35,2095.0,10.05
2013-02-11,485.0,485.0,474.0,480.0,480.8,2024.0,9.7
2013-02-12,459.9,474.95,453.6,467.5,465.3,6935.0,32.3
2013-02-13,466.3,468.0,461.0,466.0,465.7,2970.0,13.84
2013-02-14,455.55,465.1,452.1,464.0,462.4,8715.0,40.31
2013-02-15,460.0,460.0,436.95,443.0,444.45,6638.0,29.59
2013-02-18,448.05,449.5,432.95,434.35,434.8,2503.0,10.95
2013-02-19,437.0,439.9,422.2,424.0,427.95,1452.0,6.3
2013-02-20,431.95,439.45,429.05,435.95,435.6,540.0,2.34
2013-02-21,421.1,433.9,421.1,426.0,426.25,1492.0,6.36
2013-02-22,425.95,426.0,421.1,425.0,424.85,1596.0,6.76
2013-02-25,438.95,438.95,422.05,422.05,426.1,1299.0,5.56
2013-02-26,428.0,433.95,421.1,424.5,421.8,2477.0,10.51
2013-02-27,420.0,433.0,417.35,421.0,421.05,2635.0,11.1
2013-02-28,422.05,432.95,415.0,415.0,421.65,1388.0,5.88
2013-03-01,423.15,431.65,412.5,419.4,420.5,1484.0,6.24
2013-03-04,430.9,430.9,410.0,415.0,414.05,1374.0,5.69
2013-03-05,424.9,424.9,411.2,415.5,415.95,1782.0,7.39
2013-03-06,422.55,424.0,413.0,420.0,420.55,762.0,3.2
2013-03-07,422.95,425.0,419.1,425.0,423.95,911.0,3.86
2013-03-08,424.95,435.0,422.55,428.0,426.65,797.0,3.39
2013-03-11,426.35,438.7,426.35,433.0,434.9,3557.0,15.41
2013-03-12,435.0,440.0,433.4,435.5,435.5,1882.0,8.2
2013-03-13,445.0,450.0,431.0,435.6,435.0,3472.0,15.11
2013-03-14,435.0,438.95,432.2,433.5,434.0,1248.0,5.43
2013-03-15,431.0,440.0,431.0,435.0,435.15,546.0,2.39
2013-03-18,434.2,438.75,434.2,435.0,436.45,1773.0,7.72
2013-03-19,439.7,439.7,430.0,437.8,436.4,2617.0,11.34
2013-03-20,432.25,435.05,405.0,414.0,414.6,8110.0,34.58
2013-03-21,413.55,423.95,351.15,406.0,405.6,3124.0,12.45
2013-03-22,403.0,410.0,402.0,408.0,408.0,1204.0,4.87
2013-03-25,415.0,415.0,399.95,405.0,400.6,2415.0,9.71
2013-03-26,410.0,427.0,402.0,404.1,414.3,2796.0,11.51
2013-03-28,414.8,414.8,406.0,406.0,409.95,462.0,1.89
2013-04-01,425.0,485.0,402.05,402.15,406.8,3397.0,13.82
2013-04-02,406.8,415.0,402.1,415.0,412.15,2832.0,11.57
2013-04-03,413.0,420.0,408.8,408.8,410.6,2989.0,12.34
2013-04-04,410.0,415.0,405.0,415.0,410.95,1331.0,5.43
2013-04-05,410.0,414.0,407.1,414.0,411.5,619.0,2.54
2013-04-08,411.0,411.0,401.45,409.0,409.05,1212.0,4.95
2013-04-09,414.95,414.95,405.0,405.0,405.5,3807.0,15.44
2013-04-10,423.0,423.0,401.55,416.95,412.45,582.0,2.37
2013-04-11,410.0,424.8,406.3,420.0,420.05,12313.0,51.6
2013-04-12,410.0,416.9,400.0,404.0,406.1,834.0,3.4
2013-04-15,405.0,420.0,405.0,414.95,414.15,549.0,2.27
2013-04-16,413.0,417.65,410.1,417.65,415.8,697.0,2.89
2013-04-17,414.15,415.0,407.5,410.65,412.05,584.0,2.4
2013-04-18,407.0,419.95,407.0,410.0,410.15,318.0,1.31
2013-04-22,411.3,419.0,410.0,419.0,417.75,229.0,0.95
2013-04-23,419.0,427.4,413.15,423.75,423.3,865.0,3.63
2013-04-25,420.0,427.95,391.25,391.25,402.7,960.0,3.96
2013-04-26,406.0,417.9,392.1,410.0,411.4,720.0,2.95
2013-04-29,410.0,423.9,409.0,423.9,421.8,2045.0,8.41
2013-04-30,410.4,412.1,407.1,407.1,408.95,292.0,1.2
2013-05-02,415.0,418.0,409.9,409.9,410.3,2315.0,9.54
2013-05-03,410.0,415.0,409.8,411.2,411.2,165.0,0.68
2013-05-06,410.0,420.0,405.1,420.0,413.0,1470.0,6.01
2013-05-07,410.05,424.0,410.0,424.0,414.85,241.0,1.0
2013-05-08,415.0,424.95,414.0,419.7,419.6,191.0,0.8
2013-05-09,414.05,423.75,412.0,423.0,418.6,1391.0,5.8
2013-05-10,411.5,420.9,411.5,420.9,418.75,307.0,1.27
2013-05-11,412.0,412.0,412.0,412.0,412.0,2.0,0.01
2013-05-13,413.05,425.0,413.05,419.8,419.8,436.0,1.82
2013-05-14,420.0,425.0,417.0,417.0,419.55,294.0,1.24
2013-05-15,425.0,457.95,423.0,453.6,452.15,13238.0,59.55
2013-05-16,458.45,458.45,439.05,443.0,442.45,880.0,3.9
2013-05-17,436.3,444.0,436.1,443.9,441.05,390.0,1.72
2013-05-20,443.0,454.9,423.45,445.0,441.15,1339.0,5.87
2013-05-21,440.0,455.0,430.0,450.0,450.45,2038.0,9.09
2013-05-22,455.9,455.9,434.95,442.0,436.8,2050.0,9.05
2013-05-23,431.05,435.0,426.05,434.25,432.5,1591.0,6.88
2013-05-24,433.0,444.0,417.2,436.95,436.4,2817.0,12.06
2013-05-27,430.0,437.0,425.0,436.0,436.0,2252.0,9.73
2013-05-28,444.0,444.0,423.0,430.0,430.15,6779.0,29.16
2013-05-29,439.0,439.0,431.0,433.0,435.35,1462.0,6.34
2013-05-30,433.0,436.95,425.25,430.0,429.1,1647.0,7.1
2013-05-31,427.4,437.0,425.95,433.7,430.5,1126.0,4.84
2013-06-03,435.0,443.5,430.0,440.0,439.2,2222.0,9.65
2013-06-04,435.0,437.95,431.0,432.0,433.05,1806.0,7.83
2013-06-05,436.0,439.95,427.0,432.55,434.8,1039.0,4.52
2013-06-06,434.0,434.0,431.5,431.55,431.85,2480.0,10.72
2013-06-07,433.5,438.5,433.05,438.05,437.1,1883.0,8.18
2013-06-10,433.25,440.0,430.1,435.0,432.65,1142.0,4.97
