Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,85.05,88.0,85.05,87.0,87.0,4410.0,3.83
2010-01-05,84.7,91.35,84.7,91.35,91.35,20185.0,18.2
2010-01-06,93.0,93.5,91.0,92.5,92.9,17944.0,16.56
2010-01-07,90.25,93.95,90.05,93.35,92.55,4059.0,3.71
2010-01-08,90.55,92.8,90.0,90.3,90.9,3402.0,3.09
2010-01-11,87.25,94.75,87.25,94.75,93.8,34266.0,31.87
2010-01-12,91.05,93.95,91.0,93.0,93.0,22580.0,20.99
2010-01-13,90.15,92.5,89.35,92.4,92.35,4142.0,3.8
2010-01-14,92.0,94.0,92.0,93.05,93.25,3923.0,3.66
2010-01-15,93.0,94.0,93.0,93.15,93.55,7704.0,7.19
2010-01-18,90.15,95.0,90.15,93.0,93.6,10705.0,10.05
2010-01-19,92.0,94.45,91.0,92.0,91.4,5185.0,4.81
2010-01-20,88.0,93.3,88.0,91.35,91.3,9223.0,8.38
2010-01-21,93.3,93.3,89.55,90.0,89.85,8896.0,8.03
2010-01-22,87.0,92.65,85.45,89.0,89.9,6446.0,5.65
2010-01-25,86.1,92.0,86.1,90.0,90.0,6348.0,5.68
2010-01-27,86.05,90.0,86.05,86.1,86.85,8401.0,7.31
2010-01-28,86.2,89.0,84.05,89.0,88.65,3966.0,3.44
2010-01-29,86.0,93.0,84.3,93.0,91.4,33077.0,30.09
2010-02-01,90.0,96.0,89.2,93.3,93.4,12699.0,12.03
2010-02-02,91.1,95.5,91.1,95.0,94.45,9286.0,8.7
2010-02-03,99.0,99.0,95.0,96.6,96.6,9924.0,9.63
2010-02-04,96.5,96.5,92.0,95.0,93.2,3612.0,3.39
2010-02-05,90.0,93.0,89.5,93.0,91.7,12331.0,11.16
2010-02-06,90.0,91.85,88.8,91.5,90.95,3582.0,3.25
2010-02-08,88.05,92.0,88.05,91.8,91.35,2149.0,1.94
2010-02-09,89.0,91.95,89.0,90.1,91.1,2266.0,2.04
2010-02-10,87.5,92.8,87.5,89.7,89.95,2212.0,1.99
2010-02-11,88.2,92.5,88.0,90.6,90.05,3235.0,2.91
2010-02-15,92.7,93.9,88.05,89.0,88.75,1524.0,1.37
2010-02-16,89.0,91.0,89.0,90.0,90.05,1790.0,1.61
2010-02-17,91.8,93.7,90.1,92.0,91.6,5877.0,5.41
2010-02-18,92.5,92.5,91.2,91.3,91.95,2305.0,2.12
2010-02-19,89.65,93.0,89.65,92.1,91.7,11901.0,10.96
2010-02-22,91.05,92.45,90.0,91.25,91.15,5248.0,4.8
2010-02-23,88.15,94.9,88.15,90.5,91.3,8286.0,7.66
2010-02-24,88.1,91.95,88.1,90.25,90.3,2997.0,2.72
2010-02-25,89.2,90.5,87.0,87.3,87.55,6369.0,5.58
2010-02-26,89.9,90.0,87.5,89.4,89.1,2060.0,1.83
2010-03-02,92.0,92.0,88.5,89.25,89.55,2533.0,2.28
2010-03-03,90.2,92.9,90.15,91.5,91.15,4912.0,4.5
2010-03-04,90.35,95.75,90.3,95.75,95.55,18296.0,17.24
2010-03-05,99.0,100.35,96.15,97.4,97.75,23057.0,22.79
2010-03-08,100.0,102.5,97.05,97.05,98.1,11360.0,11.3
2010-03-09,97.25,98.85,95.2,95.2,96.7,4156.0,4.05
2010-03-10,95.7,106.4,95.0,106.4,106.4,28122.0,29.5
2010-03-11,106.4,117.0,106.4,111.5,111.3,150600.0,172.37
2010-03-12,111.6,111.75,105.0,105.0,106.45,24190.0,26.3
2010-03-15,108.8,109.65,101.85,102.0,102.75,11405.0,11.91
2010-03-16,104.95,106.9,100.75,103.5,104.15,14010.0,14.6
2010-03-17,103.0,106.0,101.0,101.05,102.55,7944.0,8.23
2010-03-18,106.0,109.8,101.0,101.0,101.4,2750.0,2.83
2010-03-19,101.2,106.0,100.15,100.15,101.0,11281.0,11.55
2010-03-22,102.9,109.0,101.0,102.4,103.35,17549.0,18.41
2010-03-23,104.0,105.0,98.0,98.95,98.95,17810.0,17.98
2010-03-25,100.0,101.0,95.8,97.3,98.1,10339.0,10.19
2010-03-26,99.85,99.85,94.25,95.0,95.7,9869.0,9.58
2010-03-29,96.1,96.9,94.5,95.3,95.85,7802.0,7.46
2010-03-30,94.25,101.0,94.25,97.0,97.05,25186.0,24.71
2010-03-31,100.35,100.35,96.0,96.2,96.3,3090.0,2.99
2010-04-01,95.0,97.85,95.0,96.4,96.3,8944.0,8.59
2010-04-05,95.0,103.0,94.05,102.0,102.0,40468.0,40.69
2010-04-06,106.9,111.5,102.5,103.0,103.3,14514.0,15.18
2010-04-07,105.9,106.1,101.5,102.0,102.15,10694.0,11.09
2010-04-08,101.9,110.0,101.9,103.0,104.0,56126.0,59.02
2010-04-09,105.95,105.95,102.1,103.55,102.85,4694.0,4.88
2010-04-12,102.35,103.6,101.15,101.5,102.3,3778.0,3.88
2010-04-13,103.2,103.2,99.1,102.0,101.85,4411.0,4.5
2010-04-15,102.0,107.0,99.25,100.25,100.4,17664.0,17.96
2010-04-16,98.05,102.95,98.05,100.5,101.45,10525.0,10.62
2010-04-19,96.1,101.0,96.1,99.9,99.2,6901.0,6.81
2010-04-20,98.0,102.25,98.0,99.3,99.8,4212.0,4.23
2010-04-21,100.55,101.5,99.55,99.55,100.3,5520.0,5.54
2010-04-22,99.0,110.35,99.0,110.35,110.35,81926.0,88.88
2010-04-23,113.5,114.75,105.0,105.15,105.75,64999.0,70.8
2010-04-26,106.0,106.95,103.2,103.25,103.85,12181.0,12.73
2010-04-27,103.25,105.5,102.25,102.3,102.6,11180.0,11.61
2010-04-28,103.0,103.0,100.65,102.6,102.1,5190.0,5.3
2010-04-29,102.0,106.4,102.0,102.85,102.45,16145.0,16.84
2010-04-30,103.0,106.0,102.4,103.15,103.6,13443.0,14.03
2010-05-03,101.25,106.9,101.25,102.5,103.3,11120.0,11.62
2010-05-04,102.8,104.75,100.3,100.5,101.05,9133.0,9.34
