Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-04-02,18.1,18.1,15.0,15.9,15.55,3626.0,0.56
2012-04-03,16.5,16.5,15.6,16.0,15.95,2665.0,0.42
2012-04-04,16.5,16.5,16.0,16.45,16.15,2189.0,0.36
2012-04-09,16.45,16.8,15.7,16.5,16.5,604.0,0.1
2012-04-10,17.3,17.3,15.7,15.7,16.0,5353.0,0.88
2012-04-11,16.85,16.85,15.4,16.1,16.05,3437.0,0.54
2012-04-12,16.8,16.8,16.0,16.3,16.3,75886.0,12.37
2012-04-13,16.9,19.4,15.65,16.4,16.3,6062.0,1.01
2012-04-16,17.9,17.9,15.35,15.35,15.65,15083.0,2.4
2012-04-17,16.85,16.85,15.0,15.4,15.45,4173.0,0.64
2012-04-18,16.6,16.6,14.95,15.6,16.15,24700.0,3.79
2012-04-19,16.0,16.5,15.3,16.5,15.45,123936.0,19.83
2012-04-20,16.5,16.5,15.1,15.1,15.3,2541.0,0.39
2012-04-23,16.3,16.3,14.35,14.75,14.8,225554.0,33.22
2012-04-24,16.6,16.6,13.9,14.45,14.2,49312.0,7.04
2012-04-25,15.45,15.45,13.95,14.0,14.0,5654.0,0.81
2012-04-26,14.9,14.9,13.8,14.75,14.5,10456.0,1.48
2012-04-27,14.8,14.8,14.0,14.0,14.25,2629.0,0.37
2012-04-28,14.9,15.6,14.9,15.45,15.45,7.0,0.0
2012-04-30,15.7,15.7,12.6,14.25,14.25,13364.0,1.88
2012-05-02,15.9,16.4,13.1,14.7,14.3,19449.0,2.8
2012-05-03,15.5,15.5,13.95,14.0,14.0,21261.0,2.98
2012-05-04,14.6,14.6,13.25,13.65,13.5,41663.0,5.73
2012-05-07,14.6,14.6,13.0,13.15,13.15,1677.0,0.22
2012-05-08,14.6,14.6,13.3,14.25,13.5,2569.0,0.36
2012-05-09,14.95,14.95,13.1,14.15,14.1,122.0,0.02
2012-05-10,14.5,14.5,13.45,14.0,14.0,1944.0,0.27
2012-05-11,14.9,14.9,11.2,13.5,13.5,7625.0,1.0
2012-05-14,14.8,14.8,13.2,13.2,13.2,2968.0,0.41
2012-05-15,14.4,14.4,13.15,14.0,13.7,16263.0,2.26
2012-05-16,13.05,14.0,13.05,13.6,13.6,10807.0,1.5
2012-05-17,13.1,14.0,12.2,14.0,14.0,18295.0,2.47
2012-05-18,13.1,13.95,12.65,12.7,12.8,3289.0,0.44
2012-05-21,12.05,13.75,12.05,13.5,13.5,3267.0,0.43
2012-05-22,13.1,13.5,12.85,13.2,13.15,14508.0,1.92
2012-05-23,12.6,13.5,12.6,13.5,13.45,1122.0,0.15
2012-05-24,12.6,13.5,12.6,13.2,13.2,7077.0,0.93
2012-05-25,13.0,13.8,12.6,13.35,13.5,1927.0,0.26
2012-05-28,13.0,14.5,12.6,14.25,14.25,6691.0,0.94
2012-05-29,14.5,14.5,13.3,14.25,14.25,13534.0,1.93
2012-05-30,14.0,14.4,13.6,14.4,14.2,1715.0,0.24
2012-05-31,14.0,14.4,13.6,14.0,14.0,1588.0,0.22
2012-06-01,13.1,14.0,13.1,13.35,13.55,1888.0,0.26
2012-06-04,13.2,14.4,13.05,14.4,14.3,397.0,0.05
2012-06-05,12.1,14.0,12.1,13.6,13.6,4193.0,0.59
2012-06-06,13.4,14.25,13.1,14.2,14.2,5253.0,0.75
2012-06-07,14.0,14.25,13.1,13.4,13.4,9966.0,1.4
2012-06-08,13.0,14.25,13.0,14.0,14.0,18343.0,2.54
