Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-02-26,323.0,330.75,310.55,325.2,327.1,71492.0,229.07
2016-02-29,323.85,343.6,315.6,336.5,336.4,80703.0,263.02
2016-03-01,336.5,339.9,324.0,325.0,325.15,61922.0,203.94
2016-03-02,331.0,344.95,327.0,328.1,329.2,111006.0,371.25
2016-03-03,332.0,332.05,320.3,321.5,321.7,81493.0,263.04
2016-03-04,323.0,332.0,320.0,322.0,321.4,33074.0,107.08
2016-03-08,322.0,328.9,311.5,315.0,314.25,66713.0,211.84
2016-03-09,317.25,327.0,311.0,315.75,315.25,61955.0,194.53
2016-03-10,320.85,337.0,312.25,335.0,330.45,147885.0,476.29
2016-03-11,331.95,337.0,327.85,335.25,334.25,135207.0,446.96
2016-03-14,331.1,341.65,331.1,335.95,337.65,74412.0,250.86
2016-03-15,335.05,348.0,332.4,344.15,344.6,77763.0,264.85
2016-03-16,335.0,344.9,335.0,340.0,340.15,157433.0,535.19
2016-03-17,343.95,346.6,334.6,340.0,339.2,83329.0,282.88
2016-03-18,333.3,340.0,322.4,334.0,333.05,86238.0,285.27
2016-03-21,339.95,344.0,327.95,327.95,329.3,92930.0,312.56
2016-03-22,335.0,341.75,327.0,328.0,329.05,126408.0,420.65
2016-03-23,330.35,334.4,325.1,326.0,327.75,64233.0,211.84
2016-03-28,329.8,332.5,315.55,318.25,319.8,187764.0,600.69
2016-03-29,324.95,327.6,316.3,318.35,320.8,203686.0,658.04
2016-03-30,319.0,328.45,319.0,321.7,324.65,191636.0,623.87
2016-03-31,324.8,349.4,322.0,341.5,344.05,170840.0,574.22
2016-04-01,341.8,347.8,335.95,345.0,344.9,62766.0,216.24
2016-04-04,346.0,346.0,335.5,338.0,337.8,229571.0,776.47
2016-04-05,337.5,343.5,336.0,339.0,340.15,43018.0,146.29
2016-04-06,343.7,349.0,339.2,347.8,345.3,31498.0,108.27
2016-04-07,344.1,356.95,341.45,347.95,348.5,587947.0,2036.47
2016-04-08,349.1,351.9,341.4,342.45,341.75,36918.0,127.06
2016-04-11,341.5,348.0,333.0,345.5,345.8,33191.0,113.78
2016-04-12,346.0,357.0,345.6,350.6,350.7,114227.0,403.36
2016-04-13,350.75,363.8,350.0,353.0,353.1,352685.0,1251.66
2016-04-18,343.0,364.4,343.0,355.25,357.85,106030.0,381.44
2016-04-20,360.2,372.0,354.0,356.0,359.7,103582.0,374.74
2016-04-21,359.95,366.0,352.1,358.0,360.6,70017.0,250.08
2016-04-22,362.0,374.25,358.0,373.8,372.35,90731.0,333.85
2016-04-25,372.35,375.05,367.0,370.0,373.45,151456.0,565.6
2016-04-26,375.0,379.0,370.1,370.15,374.7,132378.0,495.76
2016-04-27,373.2,374.95,364.0,367.75,367.75,26019.0,96.14
2016-04-28,365.05,368.7,344.05,345.65,349.05,253180.0,909.35
2016-04-29,354.65,367.0,350.45,363.2,365.2,220550.0,782.47
2016-05-02,364.95,374.5,358.25,369.05,372.75,131924.0,483.45
2016-05-03,371.2,376.7,368.0,370.0,370.0,69278.0,256.49
2016-05-04,362.55,372.0,361.0,363.2,367.1,81742.0,301.35
2016-05-05,368.7,368.7,355.95,362.0,360.9,164701.0,594.94
2016-05-06,360.95,370.0,356.4,362.15,362.3,85194.0,309.44
2016-05-09,367.85,370.35,361.75,368.05,369.45,113391.0,416.29
2016-05-10,367.75,370.1,359.45,360.0,360.85,105703.0,383.45
2016-05-11,361.0,365.0,358.05,363.0,362.8,150584.0,546.04
2016-05-12,364.95,370.05,364.0,370.0,369.95,176544.0,648.56
2016-05-13,369.95,377.4,365.3,374.0,373.75,209678.0,776.32
2016-05-16,375.85,390.85,373.25,381.5,383.0,85947.0,329.42
2016-05-17,383.9,386.0,373.3,374.5,379.35,63931.0,242.81
2016-05-18,378.85,380.5,374.0,379.0,379.9,33835.0,128.19
2016-05-19,382.3,382.3,371.95,377.0,377.4,63214.0,237.28
2016-05-20,370.25,374.05,359.95,369.85,368.15,190382.0,703.47
2016-05-23,374.65,377.0,370.4,374.0,372.55,173903.0,647.85
2016-05-24,371.95,384.45,370.6,380.65,380.45,49299.0,185.56
2016-05-25,383.85,385.55,374.8,380.2,382.1,47073.0,178.94
2016-05-26,377.55,379.95,365.0,365.05,366.3,261917.0,965.31
2016-05-27,368.95,382.8,365.25,381.8,380.45,136266.0,509.55
2016-05-30,379.25,382.95,375.0,382.0,381.95,231335.0,882.97
2016-05-31,378.0,383.5,345.0,363.0,356.05,873463.0,3163.02
2016-06-01,369.5,376.0,359.15,364.0,363.1,359556.0,1329.67
2016-06-02,366.8,373.0,345.0,369.1,369.9,135859.0,500.28
2016-06-03,363.55,382.8,363.55,381.25,380.6,210270.0,796.08
2016-06-06,375.0,407.0,371.25,397.5,399.2,483055.0,1922.93
2016-06-07,399.0,404.95,391.7,402.45,398.8,480473.0,1915.8
2016-06-08,404.95,448.0,403.75,423.05,424.6,895813.0,3840.88
2016-06-09,421.0,442.5,415.0,422.0,419.75,449065.0,1929.96
2016-06-10,425.95,454.0,425.7,449.05,442.25,937363.0,4113.51
2016-06-13,440.0,467.0,429.95,432.5,434.2,967757.0,4287.93
