Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,64.2,67.4,64.2,67.4,66.85,18113.0,12.05
2010-01-05,67.8,68.0,66.0,66.0,66.45,7794.0,5.23
2010-01-06,66.8,69.4,66.15,67.85,67.95,19317.0,13.1
2010-01-07,67.6,69.3,67.5,68.0,68.15,13570.0,9.28
2010-01-08,72.8,72.8,68.0,68.45,68.4,56532.0,39.39
2010-01-11,71.1,73.65,67.2,71.5,71.5,44860.0,32.12
2010-01-12,73.0,73.0,69.5,69.5,69.55,19550.0,13.88
2010-01-13,68.1,69.8,68.1,68.7,69.0,10029.0,6.92
2010-01-14,69.5,71.0,68.3,71.0,70.35,10880.0,7.6
2010-01-15,71.25,71.25,69.25,70.2,69.8,6169.0,4.33
2010-01-18,68.1,70.7,68.1,69.1,69.2,5814.0,4.06
2010-01-19,69.15,69.75,67.0,67.05,67.4,8801.0,6.01
2010-01-20,68.9,72.55,68.5,69.1,69.65,19419.0,13.69
2010-01-21,72.45,72.45,65.6,66.95,67.85,13500.0,9.23
2010-01-22,67.4,69.0,64.1,65.0,65.4,9086.0,6.08
2010-01-25,65.4,67.0,64.1,64.3,64.65,2175.0,1.43
2010-01-27,66.4,66.4,62.5,62.85,62.85,2254.0,1.43
2010-01-28,63.0,65.45,62.5,62.5,62.5,7589.0,4.84
2010-01-29,62.1,67.4,59.6,66.0,64.45,12697.0,7.94
2010-02-01,68.95,69.7,66.0,68.5,68.85,19854.0,13.5
2010-02-02,71.0,73.3,68.0,68.0,68.8,74639.0,53.36
2010-02-03,70.0,70.0,67.5,67.6,68.3,5153.0,3.53
2010-02-04,67.6,68.85,66.5,66.5,66.6,5108.0,3.46
2010-02-05,66.65,66.65,63.6,63.75,64.0,9243.0,5.97
2010-02-06,63.4,65.25,63.4,64.45,63.7,418.0,0.27
2010-02-08,63.2,65.95,62.05,64.15,64.55,12521.0,7.98
2010-02-09,64.0,65.5,63.55,64.0,64.05,5604.0,3.6
2010-02-10,64.6,65.2,62.55,64.15,64.0,8661.0,5.57
2010-02-11,63.8,64.55,63.1,63.75,64.0,2717.0,1.73
2010-02-15,64.25,68.6,63.3,65.85,65.65,14569.0,9.7
2010-02-16,65.2,67.5,65.2,65.55,65.6,11958.0,7.96
2010-02-17,66.6,67.5,65.1,65.65,66.05,9387.0,6.21
2010-02-18,65.5,65.5,64.1,64.7,64.5,740.0,0.48
2010-02-19,64.0,64.4,61.25,61.3,62.35,9103.0,5.7
2010-02-22,64.0,65.5,61.25,61.5,61.7,9686.0,6.12
2010-02-23,62.5,62.5,59.5,61.0,60.25,21367.0,13.08
2010-02-24,61.4,65.0,60.15,60.65,60.85,12100.0,7.56
2010-02-25,61.25,61.25,59.35,60.15,59.6,1755.0,1.06
2010-02-26,60.75,61.4,59.2,61.3,60.75,2385.0,1.44
2010-03-02,61.15,63.0,61.15,62.1,61.9,4431.0,2.76
2010-03-03,61.5,64.8,61.5,63.3,63.45,9433.0,6.0
2010-03-04,63.55,68.35,63.55,65.15,65.75,43879.0,29.33
2010-03-05,66.5,68.25,66.3,66.35,66.65,9973.0,6.68
2010-03-08,67.75,70.75,65.15,68.0,69.2,38880.0,26.77
2010-03-09,70.25,70.25,66.1,67.0,67.2,7226.0,4.86
2010-03-10,67.95,69.0,65.3,66.3,66.25,6307.0,4.26
2010-03-11,66.0,67.2,64.2,65.0,64.85,3790.0,2.48
2010-03-12,65.9,67.0,63.55,64.0,63.95,4736.0,3.06
2010-03-15,64.9,65.0,62.35,63.5,63.35,5046.0,3.21
2010-03-16,64.5,66.0,63.25,64.2,64.55,2233.0,1.43
2010-03-17,64.0,65.45,64.0,65.0,65.0,1282.0,0.83
2010-03-18,64.05,65.85,64.05,64.7,64.7,3088.0,2.01
2010-03-19,65.9,65.9,64.3,65.9,65.0,5195.0,3.37
2010-03-22,67.0,67.7,66.0,66.5,66.6,7984.0,5.34
2010-03-23,66.65,67.0,65.6,66.45,66.0,1673.0,1.11
2010-03-25,66.65,66.95,64.6,65.4,65.15,3532.0,2.3
2010-03-26,66.0,66.5,65.0,66.0,66.3,6197.0,4.07
2010-03-29,66.6,66.65,65.35,66.5,65.9,3340.0,2.21
2010-03-30,65.4,65.8,65.0,65.0,65.1,3963.0,2.59
2010-03-31,65.55,67.5,65.4,67.0,66.25,14401.0,9.52
2010-04-01,66.9,67.1,65.7,66.0,65.9,12213.0,8.09
2010-04-05,67.0,79.0,67.0,77.0,76.85,71793.0,53.93
2010-04-06,77.9,79.0,74.15,75.1,74.8,55516.0,42.42
2010-04-07,75.5,76.85,72.15,73.0,73.15,22189.0,16.59
2010-04-08,70.1,74.9,70.1,72.15,72.7,10362.0,7.6
2010-04-09,72.8,81.5,72.8,78.5,79.2,113060.0,88.53
2010-04-12,80.85,84.25,80.85,81.65,81.3,146222.0,120.77
2010-04-13,82.5,83.5,79.6,80.0,80.0,39011.0,31.79
2010-04-15,80.8,82.5,78.3,79.9,79.25,25150.0,20.34
2010-04-16,78.1,78.1,76.05,76.05,76.65,9798.0,7.55
2010-04-19,75.0,75.0,72.2,73.8,73.35,7633.0,5.63
2010-04-20,73.5,77.8,73.5,75.75,75.35,7487.0,5.66
2010-04-21,78.5,78.5,75.05,77.0,77.0,6856.0,5.25
2010-04-22,76.2,78.65,75.35,76.5,76.8,8117.0,6.23
2010-04-23,77.0,77.9,75.45,76.25,75.8,5402.0,4.14
2010-04-26,75.1,80.5,75.0,78.9,78.7,24884.0,19.61
2010-04-27,78.05,79.0,77.0,78.0,77.7,6751.0,5.29
2010-04-28,75.6,80.8,75.5,78.0,77.15,28853.0,22.69
2010-04-29,78.0,86.45,77.05,80.3,81.15,362923.0,303.4
2010-04-30,81.4,83.1,78.0,78.5,78.6,52759.0,42.59
2010-05-03,76.5,86.4,76.5,80.45,80.3,564364.0,471.98
2010-05-04,82.0,82.8,76.25,76.5,77.05,72510.0,58.14
2010-05-05,75.95,78.0,74.5,76.15,76.55,19741.0,15.03
2010-05-06,76.15,79.25,73.1,78.7,78.1,32393.0,25.1
2010-05-07,77.0,77.0,73.15,73.15,74.4,22352.0,16.75
2010-05-10,75.5,77.0,74.65,76.1,76.3,9791.0,7.44
2010-05-11,76.0,79.05,74.95,75.85,75.6,20320.0,15.51
2010-05-12,75.0,78.8,75.0,76.8,76.2,23587.0,17.98
2010-05-13,76.05,79.35,76.05,77.55,77.8,22810.0,17.72
2010-05-14,77.0,78.45,76.0,76.0,76.15,8780.0,6.76
2010-05-17,76.0,76.0,73.25,75.0,74.9,7529.0,5.6
2010-05-18,77.45,77.45,75.0,75.15,75.7,3024.0,2.28
2010-05-19,75.05,76.75,72.0,73.0,73.75,9244.0,6.94
2010-05-20,73.0,77.0,72.05,73.0,73.05,8080.0,5.97
2010-05-21,72.5,76.7,70.0,73.1,72.95,8670.0,6.26
2010-05-24,72.3,77.0,72.3,74.0,74.1,7045.0,5.32
2010-05-25,73.5,73.65,70.25,70.95,70.6,4651.0,3.38
2010-05-26,72.4,73.65,70.65,72.15,72.75,6205.0,4.47
2010-05-27,72.5,76.75,72.5,73.0,73.5,16973.0,12.73
2010-05-28,73.6,75.0,72.5,72.75,73.4,7996.0,5.91
2010-05-31,73.1,82.8,71.65,76.55,76.9,168600.0,134.05
2010-06-01,79.0,79.0,74.0,74.4,74.75,11675.0,8.8
2010-06-02,75.1,77.25,74.45,75.05,75.35,6493.0,4.89
2010-06-03,75.65,84.8,75.6,78.45,78.2,438149.0,358.89
2010-06-04,78.45,79.35,76.0,76.4,77.2,23549.0,18.36
2010-06-07,75.15,76.95,75.15,75.5,75.9,12101.0,9.19
2010-06-08,73.0,77.75,73.0,75.0,75.2,14629.0,11.13
2010-06-09,75.8,76.95,74.6,76.0,76.1,10183.0,7.73
2010-06-10,79.0,80.8,75.35,79.15,79.65,30389.0,24.04
2010-06-11,77.6,82.0,77.6,80.0,81.05,44067.0,35.56
2010-06-14,81.85,87.0,78.0,84.65,85.35,495785.0,423.72
2010-06-15,85.6,87.95,82.2,82.95,83.1,172226.0,147.99
2010-06-16,84.2,84.2,79.05,80.5,80.0,34363.0,28.11
2010-06-17,80.5,82.45,79.55,79.65,79.8,23374.0,18.83
2010-06-18,81.1,81.1,78.1,78.15,78.5,22653.0,17.98
2010-06-21,79.95,82.8,79.05,80.95,80.85,57590.0,46.85
2010-06-22,79.55,80.55,79.55,80.0,79.9,15434.0,12.35
2010-06-23,79.1,80.8,78.25,80.1,80.05,13301.0,10.63
2010-06-24,79.1,81.7,78.15,81.3,80.9,11108.0,8.93
2010-06-25,80.0,82.85,79.6,80.35,81.0,15388.0,12.54
2010-06-28,82.4,82.4,81.2,81.8,81.8,5275.0,4.31
2010-06-29,81.0,82.0,78.5,78.75,79.2,10637.0,8.5
2010-06-30,78.8,81.85,78.5,80.4,81.2,12405.0,9.95
2010-07-01,80.1,82.0,79.65,79.65,80.25,7966.0,6.44
2010-07-02,80.05,82.0,80.05,80.4,80.7,5624.0,4.57
2010-07-05,80.1,81.0,80.1,80.5,80.65,2622.0,2.12
2010-07-06,80.2,82.5,80.0,81.6,81.45,11952.0,9.75
2010-07-07,81.0,84.9,80.25,80.8,81.25,93269.0,77.67
2010-07-08,81.8,83.1,81.0,82.05,82.15,14751.0,12.15
2010-07-09,84.2,84.5,82.25,82.25,82.45,28485.0,23.76
2010-07-12,83.5,84.35,82.75,83.4,83.25,12346.0,10.32
2010-07-13,83.0,83.5,81.65,81.65,82.1,3087.0,2.54
2010-07-14,82.9,83.95,82.0,82.0,82.25,3738.0,3.11
2010-07-15,81.0,82.9,80.5,81.5,81.7,2990.0,2.44
2010-07-16,82.7,83.4,80.05,80.75,81.8,4671.0,3.81
2010-07-19,81.8,84.5,81.8,84.2,83.75,11782.0,9.83
2010-07-20,83.9,84.0,82.5,83.0,82.95,7363.0,6.14
2010-07-21,82.2,84.8,82.2,84.0,84.2,19178.0,16.13
2010-07-22,83.4,92.5,83.4,86.75,88.85,75119.0,66.39
2010-07-23,89.65,89.65,83.65,83.65,84.6,15016.0,12.88
2010-07-26,86.0,86.8,83.55,84.0,84.15,16297.0,13.86
2010-07-27,81.35,91.4,81.35,91.0,90.2,95983.0,85.68
2010-07-28,91.0,96.5,90.85,95.0,94.1,97926.0,92.05
2010-07-29,96.95,100.35,95.3,97.25,97.7,118704.0,116.67
2010-07-30,99.9,103.0,93.05,93.05,94.2,81032.0,80.33
2010-08-02,96.2,98.0,94.45,95.4,96.1,16451.0,15.85
2010-08-03,97.5,98.6,94.4,96.4,96.0,18095.0,17.52
2010-08-04,97.4,97.95,94.6,95.75,95.35,4585.0,4.4
2010-08-05,92.85,99.0,92.85,98.25,97.65,15804.0,15.32
2010-08-06,99.1,107.9,95.85,106.0,105.65,138869.0,145.57
2010-08-09,106.0,114.0,106.0,113.95,112.4,148681.0,164.32
2010-08-10,113.15,114.0,106.3,107.0,107.6,39760.0,43.46
2010-08-11,108.0,108.1,102.5,104.25,104.5,30938.0,32.49
2010-08-12,100.2,108.5,100.2,105.5,106.0,27206.0,28.85
2010-08-13,103.2,108.95,103.2,107.95,107.25,21138.0,22.6
2010-08-16,108.5,108.5,104.0,106.8,106.3,11454.0,12.17
2010-08-17,110.0,113.2,105.55,106.5,106.9,26439.0,28.49
2010-08-18,108.45,111.5,107.1,110.7,110.8,21812.0,23.94
2010-08-19,108.2,113.0,108.2,111.95,112.05,28810.0,32.21
2010-08-20,104.0,112.05,104.0,111.0,109.9,15762.0,17.27
2010-08-23,107.5,112.0,107.5,109.2,108.95,3560.0,3.89
2010-08-24,106.7,114.0,106.5,110.2,109.75,207007.0,227.07
2010-08-25,109.1,112.0,106.2,108.0,107.4,16612.0,18.11
2010-08-26,107.1,110.0,105.25,105.5,105.55,16530.0,17.6
2010-08-27,106.4,106.4,101.5,102.0,102.05,14981.0,15.46
2010-08-30,104.55,107.0,102.25,105.4,104.55,13171.0,13.74
2010-08-31,100.15,105.85,100.15,103.05,103.0,7808.0,8.06
2010-09-01,102.6,106.9,102.15,106.0,106.3,10807.0,11.34
2010-09-02,103.05,109.0,103.05,107.95,106.65,13819.0,14.76
2010-09-03,104.0,113.8,104.0,113.0,112.1,20006.0,21.91
2010-09-06,107.5,123.0,107.5,116.4,117.2,79546.0,94.24
2010-09-07,119.0,121.85,115.5,116.0,117.45,31875.0,37.96
2010-09-08,115.2,119.8,114.6,117.8,117.15,21249.0,24.87
2010-09-09,111.25,124.9,111.25,122.5,122.4,62293.0,76.27
2010-09-13,125.0,129.0,122.4,124.0,123.3,82836.0,104.46
2010-09-14,123.5,127.95,123.0,123.0,123.45,27233.0,34.12
2010-09-15,118.85,125.9,118.85,122.5,123.15,25054.0,31.19
2010-09-16,120.1,124.9,116.0,118.6,117.65,16370.0,19.77
2010-09-17,119.95,122.0,118.5,121.9,121.0,19519.0,23.42
2010-09-20,115.3,123.6,115.3,122.0,121.75,14162.0,17.33
