Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-07-07,69.25,69.25,59.35,60.2,60.85,134471.0,86.59
2016-07-08,61.65,62.8,59.25,59.85,59.6,22601.0,13.66
2016-07-11,61.2,62.4,56.3,57.0,57.35,75828.0,45.23
2016-07-12,57.9,59.9,57.25,58.15,58.1,24636.0,14.39
2016-07-13,58.0,60.4,58.0,58.5,58.55,24330.0,14.4
2016-07-14,58.55,58.7,56.15,58.3,57.9,10591.0,6.12
2016-07-15,58.0,60.0,56.05,56.35,56.95,22544.0,13.06
2016-07-18,57.4,58.9,56.15,58.5,58.3,14706.0,8.52
2016-07-19,57.55,59.4,55.05,57.0,56.75,20841.0,11.84
2016-07-20,55.1,60.5,55.1,60.0,59.95,29235.0,17.22
2016-07-21,62.0,62.0,58.5,59.0,60.05,19545.0,11.78
2016-07-22,60.05,60.85,57.5,57.5,58.15,7728.0,4.56
2016-07-25,56.05,59.8,56.05,57.6,57.65,25388.0,14.8
2016-07-26,59.5,60.0,56.1,56.5,56.75,20587.0,11.98
2016-07-27,57.95,58.5,56.45,57.05,57.35,10719.0,6.16
2016-07-28,59.3,59.45,57.5,58.0,58.1,21949.0,12.81
2016-07-29,58.5,59.5,57.3,57.3,57.65,12651.0,7.33
2016-08-01,58.5,59.6,57.1,57.1,57.2,14153.0,8.22
2016-08-02,56.25,58.4,56.2,57.0,57.45,9160.0,5.27
2016-08-03,57.0,57.0,55.0,55.95,55.3,11087.0,6.16
2016-08-04,54.7,58.4,54.2,56.9,56.4,11599.0,6.62
2016-08-05,57.9,58.3,56.0,57.0,56.9,11350.0,6.49
2016-08-08,56.55,57.05,55.0,55.7,55.5,17402.0,9.8
2016-08-09,57.7,57.7,54.1,54.75,55.05,17333.0,9.58
2016-08-10,53.55,54.9,50.3,54.6,54.5,19380.0,10.32
2016-08-11,54.2,54.5,51.5,52.5,52.8,9998.0,5.31
2016-08-12,51.15,53.0,51.15,51.7,51.85,5039.0,2.64
2016-08-16,51.7,51.7,49.05,50.0,50.0,17128.0,8.59
2016-08-17,50.0,53.5,49.75,52.5,52.55,22359.0,11.61
