Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-09-18,12.6,12.6,12.6,12.6,12.6,130.0,0.02
2012-10-03,10.1,10.45,10.1,10.1,10.15,2430.0,0.25
2012-10-04,9.5,10.25,9.5,10.25,10.25,208.0,0.02
2012-10-05,10.0,10.2,10.0,10.15,10.15,683.0,0.07
2012-10-08,9.0,11.0,9.0,11.0,10.95,1134.0,0.11
2012-10-09,9.5,11.5,9.1,9.6,9.6,3000.0,0.3
2012-10-10,9.55,10.5,9.55,10.5,10.5,27.0,0.0
2012-10-12,9.3,9.95,9.3,9.65,9.65,170.0,0.02
2012-10-15,9.35,9.35,9.35,9.35,9.35,115.0,0.01
2012-10-16,9.0,9.6,9.0,9.6,9.6,290.0,0.03
2012-10-17,9.05,9.35,9.0,9.35,9.35,548.0,0.05
2012-10-18,9.5,9.95,9.45,9.85,9.8,117.0,0.01
2012-10-19,10.45,10.45,10.45,10.45,10.45,500.0,0.05
2012-10-22,9.3,10.7,8.6,10.2,10.2,159676.0,15.11
2012-10-23,11.35,11.35,10.25,10.9,10.55,561.0,0.06
2012-10-25,10.8,11.15,10.45,10.45,10.45,3450.0,0.37
2012-10-26,10.05,11.25,9.95,10.95,10.45,1866.0,0.19
2012-10-30,9.55,10.65,9.55,10.0,9.95,1793.0,0.18
2012-10-31,10.0,10.0,9.45,9.5,9.5,1100.0,0.11
2012-11-01,9.55,9.55,9.55,9.55,9.55,90.0,0.01
2012-11-02,9.95,9.95,9.25,9.25,9.25,75.0,0.01
2012-11-06,9.8,9.8,9.8,9.8,9.8,1160.0,0.11
2012-11-08,11.7,11.75,11.7,11.75,11.75,3685.0,0.43
2012-11-09,13.4,13.65,12.7,12.8,12.75,33438.0,4.43
2012-11-12,13.45,14.45,13.0,13.95,13.85,9679.0,1.32
2012-11-13,14.85,14.85,13.2,13.5,13.6,4137.0,0.57
2012-11-15,13.2,13.2,12.8,12.85,12.85,2435.0,0.32
2012-11-16,14.0,14.0,11.9,12.1,12.05,15588.0,1.93
2012-11-19,11.5,11.55,11.5,11.5,11.5,520.0,0.06
2012-11-20,11.95,11.95,11.0,11.0,11.05,6436.0,0.73
2012-11-21,11.4,11.45,11.05,11.4,11.4,4147.0,0.47
2012-11-22,11.05,11.05,11.0,11.0,11.0,342.0,0.04
2012-11-23,11.35,11.35,10.55,11.25,11.2,2235.0,0.25
2012-11-26,10.7,10.7,10.7,10.7,10.7,10.0,0.0
2012-11-27,11.0,11.75,11.0,11.75,11.75,7613.0,0.89
2012-11-29,11.75,12.9,11.75,12.3,12.65,16623.0,2.07
2012-11-30,12.5,12.5,11.55,11.95,11.6,5861.0,0.69
2012-12-03,11.6,11.7,11.15,11.7,11.4,1525.0,0.18
2012-12-04,11.05,11.6,11.05,11.6,11.6,507.0,0.06
2012-12-05,11.1,11.1,11.1,11.1,11.1,100.0,0.01
2012-12-06,11.1,11.45,10.9,11.45,11.45,1850.0,0.21
2012-12-07,11.45,11.45,11.45,11.45,11.45,1000.0,0.11
2012-12-10,11.45,11.45,11.45,11.45,11.45,125.0,0.01
2012-12-11,11.4,11.4,10.9,11.35,11.35,2400.0,0.26
2012-12-12,11.85,11.85,11.0,11.0,11.0,618.0,0.07
2012-12-13,10.95,11.35,10.95,11.15,11.3,1400.0,0.16
2012-12-14,11.3,11.5,11.3,11.5,11.4,3625.0,0.41
2012-12-17,11.85,11.9,11.15,11.15,11.15,303.0,0.03
2012-12-18,11.5,11.5,11.4,11.4,11.4,303.0,0.03
2012-12-19,11.9,11.9,11.15,11.15,11.15,1300.0,0.15
2012-12-20,11.15,11.65,11.15,11.2,11.6,992.0,0.11
2012-12-21,11.1,11.6,11.1,11.35,11.35,1365.0,0.16
2012-12-24,11.45,11.45,11.2,11.2,11.2,2000.0,0.23
2012-12-27,11.25,11.6,11.15,11.2,11.2,1704.0,0.19
2012-12-28,11.3,11.3,11.3,11.3,11.3,718.0,0.08
2012-12-31,11.2,11.5,11.2,11.5,11.5,1355.0,0.16
2013-01-01,11.15,11.15,11.15,11.15,11.15,2000.0,0.22
2013-01-02,11.65,11.65,10.75,11.4,11.4,2970.0,0.32
2013-01-03,10.85,11.35,10.85,11.15,11.15,300.0,0.03
2013-01-04,10.85,11.0,10.85,11.0,10.95,974.0,0.11
2013-01-07,10.7,11.1,10.7,11.1,11.1,1650.0,0.18
2013-01-08,10.7,11.1,10.7,11.1,11.1,51.0,0.01
2013-01-09,11.65,11.65,11.65,11.65,11.65,4.0,0.0
2013-01-10,11.1,11.1,11.1,11.1,11.1,1044.0,0.12
2013-01-11,11.1,11.1,11.1,11.1,11.1,100.0,0.01
2013-01-15,10.55,10.55,10.55,10.55,10.55,4331.0,0.46
2013-01-16,10.55,10.55,10.15,10.25,10.25,1009.0,0.1
2013-01-17,10.3,10.75,10.3,10.75,10.75,600.0,0.06
2013-01-18,10.45,10.7,10.45,10.55,10.65,2546.0,0.27
2013-01-21,10.65,10.75,10.65,10.75,10.75,104.0,0.01
2013-01-22,10.4,10.4,10.25,10.25,10.3,4650.0,0.48
2013-01-23,10.0,10.8,10.0,10.8,10.8,1351.0,0.14
2013-01-24,10.8,10.8,10.3,10.3,10.3,366.0,0.04
2013-01-25,10.0,10.0,10.0,10.0,10.0,200.0,0.02
2013-01-28,9.85,10.05,9.85,10.05,10.05,227395.0,22.4
2013-01-29,10.55,10.55,10.55,10.55,10.55,20.0,0.0
2013-01-30,11.05,11.05,11.05,11.05,11.05,655.0,0.07
2013-02-01,11.6,11.6,11.6,11.6,11.6,2158.0,0.25
2013-02-04,12.15,12.15,12.15,12.15,12.15,100.0,0.01
2013-02-06,12.75,12.75,12.75,12.75,12.75,220.0,0.03
2013-02-07,13.35,13.35,12.95,12.95,12.95,8650.0,1.14
2013-02-08,13.0,13.4,13.0,13.4,13.1,2314.0,0.3
2013-02-11,12.9,13.15,12.75,12.75,12.75,805.0,0.1
2013-02-12,12.5,12.8,12.5,12.6,12.7,5400.0,0.68
2013-02-13,12.6,12.6,12.4,12.6,12.6,1700.0,0.21
2013-02-14,12.25,12.25,12.25,12.25,12.25,3.0,0.0
2013-02-15,12.05,12.1,12.0,12.1,12.1,1600.0,0.19
2013-02-18,12.1,12.7,12.05,12.7,12.7,76.0,0.01
2013-02-19,12.9,12.9,12.45,12.45,12.45,691.0,0.09
2013-02-21,12.9,12.9,12.2,12.2,12.2,700.0,0.09
2013-02-22,12.6,12.8,12.6,12.7,12.7,2745.0,0.35
2013-02-25,12.3,13.05,12.3,12.35,12.35,249.0,0.03
2013-02-26,12.8,12.95,12.15,12.15,12.85,5800.0,0.74
