Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,175.95,177.0,173.15,174.8,174.6,16986.0,29.76
2010-01-05,178.95,184.9,177.05,177.55,178.15,67756.0,121.36
2010-01-06,181.75,182.5,176.3,176.5,177.2,100833.0,181.65
2010-01-07,177.2,180.0,174.0,177.45,177.05,40767.0,72.55
2010-01-08,179.4,184.0,171.55,172.0,174.95,309180.0,554.56
2010-01-11,176.0,178.5,171.1,173.9,174.65,76302.0,132.12
2010-01-12,176.9,181.0,175.2,177.0,177.45,93473.0,166.74
2010-01-13,177.5,179.0,175.5,177.0,177.4,26845.0,47.56
2010-01-14,178.1,184.5,178.1,180.0,179.95,87077.0,158.23
2010-01-15,183.0,183.0,179.3,180.0,180.0,28795.0,51.95
2010-01-18,180.0,182.5,176.65,180.65,181.35,18787.0,33.85
2010-01-19,182.7,182.7,176.2,177.0,177.1,18009.0,32.22
2010-01-20,179.8,179.9,174.0,177.0,177.1,9134.0,16.15
2010-01-21,175.15,177.9,174.1,176.0,174.95,38437.0,67.54
2010-01-22,170.05,173.65,167.0,170.0,170.1,11092.0,18.87
2010-01-25,170.0,173.0,167.0,172.9,170.7,10824.0,18.51
2010-01-27,172.85,172.85,161.0,165.05,164.95,32330.0,53.86
2010-01-28,168.5,169.5,163.25,164.25,165.3,16495.0,27.44
2010-01-29,163.0,163.95,157.55,161.2,162.2,11963.0,19.15
2010-02-01,162.9,164.0,160.55,162.0,163.25,5894.0,9.6
2010-02-02,165.0,168.0,161.4,162.0,162.0,7106.0,11.7
2010-02-03,164.0,167.7,162.5,167.05,167.15,9388.0,15.64
2010-02-04,166.0,173.5,164.05,169.0,168.85,8614.0,14.43
2010-02-05,161.5,163.5,157.25,160.9,160.2,16797.0,26.92
2010-02-06,159.0,166.0,152.95,161.75,161.95,2630.0,4.23
2010-02-08,161.25,164.7,159.1,160.8,160.25,3593.0,5.79
2010-02-09,161.0,161.8,158.35,158.5,159.2,2729.0,4.37
2010-02-10,163.45,163.45,157.1,157.8,157.9,2337.0,3.73
2010-02-11,161.65,161.65,157.6,158.05,158.55,3176.0,5.04
2010-02-15,159.0,160.5,158.0,160.0,159.9,5761.0,9.21
2010-02-16,158.15,160.4,158.1,160.4,160.0,8102.0,12.96
2010-02-17,160.05,164.0,160.05,163.0,163.25,6835.0,11.03
2010-02-18,160.1,163.3,158.3,158.55,158.95,3150.0,5.05
2010-02-19,158.05,159.5,155.25,156.0,156.0,1983.0,3.11
2010-02-22,157.0,160.95,156.15,156.2,158.95,31276.0,49.18
2010-02-23,158.2,159.7,157.05,159.5,158.1,5422.0,8.58
2010-02-24,160.65,160.65,154.65,157.35,157.05,4496.0,7.03
2010-02-25,157.0,158.95,154.0,154.0,154.1,2451.0,3.8
2010-02-26,156.0,161.95,154.0,158.0,156.45,6250.0,9.83
2010-03-02,163.0,163.0,157.25,160.75,161.45,27135.0,43.66
