Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,728.0,744.0,723.75,743.7,741.4,817246.0,6029.43
2010-01-05,743.0,750.85,730.5,731.7,733.5,536445.0,3948.82
2010-01-06,733.9,736.9,722.15,724.9,726.55,283029.0,2061.58
2010-01-07,725.0,731.0,701.25,703.0,703.6,800948.0,5668.58
2010-01-08,704.5,714.6,702.0,703.6,703.65,668013.0,4725.97
2010-01-11,700.0,713.25,700.0,706.25,705.55,563905.0,3992.38
2010-01-12,710.2,727.0,708.0,723.6,721.9,1078917.0,7779.66
2010-01-13,710.0,736.5,710.0,734.5,734.15,800202.0,5806.76
2010-01-14,735.0,753.0,723.0,727.7,726.0,524939.0,3834.7
2010-01-15,728.0,734.4,718.0,719.95,721.25,303790.0,2206.36
2010-01-18,718.7,726.45,711.7,712.75,714.7,291526.0,2090.81
2010-01-19,703.15,720.0,700.0,700.0,702.4,161825.0,1148.15
2010-01-20,708.0,711.7,691.4,693.1,694.15,448880.0,3145.01
2010-01-21,700.0,700.3,672.5,692.0,689.75,684002.0,4704.5
2010-01-22,675.0,699.8,671.0,686.0,692.35,995704.0,6852.17
2010-01-25,680.0,687.8,673.1,679.0,677.75,789615.0,5359.78
2010-01-27,680.0,680.0,634.0,642.2,640.95,974920.0,6397.87
2010-01-28,641.05,679.9,640.1,677.9,669.0,1707193.0,11281.7
2010-01-29,660.05,683.8,642.0,677.0,678.6,781380.0,5155.64
2010-02-01,657.25,682.0,657.25,670.9,669.25,441695.0,2966.13
2010-02-02,655.5,706.9,655.5,691.0,689.2,1180235.0,8186.59
2010-02-03,697.2,729.9,692.7,722.0,724.7,1330210.0,9482.14
2010-02-04,701.35,723.0,686.2,701.0,692.4,369081.0,2601.08
2010-02-05,680.5,712.0,667.9,709.5,703.0,674791.0,4669.08
2010-02-06,710.0,716.45,705.0,714.55,710.9,80708.0,574.39
2010-02-08,712.0,718.8,684.5,707.0,706.8,567511.0,4004.62
2010-02-09,693.0,732.25,693.0,723.05,722.85,679370.0,4908.9
2010-02-10,726.3,731.95,714.25,717.0,719.05,495947.0,3589.44
2010-02-11,720.0,732.6,718.0,731.1,728.25,245385.0,1778.82
2010-02-15,730.0,738.4,721.6,725.25,726.55,302577.0,2209.3
2010-02-16,725.0,743.0,717.15,742.0,739.35,381004.0,2797.67
2010-02-17,744.05,753.55,735.4,741.3,743.55,560134.0,4169.77
2010-02-18,745.0,745.0,727.5,735.0,735.4,356654.0,2626.71
2010-02-19,730.0,746.9,724.5,731.1,733.7,477964.0,3524.33
2010-02-22,740.0,745.2,725.0,725.8,727.25,156685.0,1153.31
2010-02-23,723.95,744.0,720.15,741.5,740.45,487579.0,3577.64
2010-02-24,734.2,748.3,728.25,734.4,734.8,555596.0,4101.66
2010-02-25,780.0,780.0,670.0,676.95,674.7,3868283.0,26777.68
2010-02-26,671.0,682.7,656.35,664.9,662.95,1144641.0,7656.67
2010-03-02,670.0,679.8,657.0,668.7,668.7,753327.0,5046.2
2010-03-03,670.0,689.0,669.0,681.6,682.3,861196.0,5851.14
2010-03-04,674.0,685.4,667.05,668.05,668.25,1105894.0,7442.04
2010-03-05,675.0,678.4,667.0,672.0,671.35,384031.0,2582.15
2010-03-08,682.2,682.2,653.0,657.7,657.35,592675.0,3924.57
2010-03-09,657.35,665.2,650.5,656.0,657.0,625793.0,4128.25
2010-03-10,660.2,660.2,645.0,650.65,650.7,796552.0,5184.84
2010-03-11,655.0,655.0,643.25,652.4,648.5,616597.0,3996.82
