Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,67.0,68.6,66.5,67.9,67.35,112965.0,76.27
2010-01-05,67.55,68.5,66.0,66.2,66.4,86143.0,57.65
2010-01-06,66.25,67.0,65.1,65.4,65.6,36038.0,23.67
2010-01-07,65.2,66.5,64.95,65.15,65.1,65436.0,42.9
2010-01-08,64.55,69.15,64.55,67.5,67.15,171640.0,116.17
2010-01-11,67.5,72.3,66.2,71.25,71.2,285573.0,199.38
2010-01-12,71.5,74.9,70.65,70.8,71.2,241721.0,177.0
2010-01-13,70.8,73.95,69.2,71.0,70.95,115623.0,83.2
2010-01-14,72.0,80.0,72.0,77.0,77.35,637792.0,492.54
2010-01-15,77.7,79.2,75.0,75.15,75.5,173153.0,133.63
2010-01-18,75.95,77.4,74.7,74.8,75.15,88875.0,67.66
2010-01-19,75.3,76.4,72.05,72.3,72.65,58320.0,43.16
2010-01-20,73.0,75.0,71.35,72.0,71.85,49066.0,35.91
2010-01-21,72.0,74.2,69.15,69.25,69.55,64371.0,46.22
2010-01-22,66.5,67.9,64.25,66.0,66.45,68036.0,45.06
2010-01-25,66.15,66.75,65.0,65.0,65.2,16964.0,11.14
2010-01-27,65.0,66.4,60.8,60.9,61.1,40160.0,25.13
2010-01-28,63.4,64.35,58.0,61.0,61.05,26915.0,16.41
2010-01-29,58.6,62.25,58.0,61.6,61.5,26602.0,15.85
2010-02-01,61.4,65.0,60.2,63.2,63.7,60545.0,38.05
2010-02-02,62.55,65.7,62.5,62.5,62.95,36966.0,23.75
2010-02-03,63.25,64.5,62.65,63.1,63.35,11096.0,7.06
2010-02-04,63.0,63.0,59.3,60.8,60.2,33266.0,20.25
2010-02-05,58.1,60.55,57.15,57.95,57.9,21802.0,12.67
2010-02-06,58.05,59.4,57.65,58.8,58.7,4852.0,2.84
2010-02-08,58.25,59.9,58.25,59.45,59.35,9237.0,5.46
2010-02-09,58.4,60.7,58.1,58.8,58.75,14082.0,8.34
2010-02-10,58.8,63.5,58.1,60.35,60.45,65050.0,40.14
2010-02-11,60.0,68.5,60.0,64.3,63.7,371645.0,245.18
2010-02-15,65.0,67.5,63.0,63.75,63.4,52875.0,34.25
2010-02-16,64.85,66.35,63.3,64.5,64.9,41093.0,26.71
2010-02-17,65.9,66.85,62.15,62.45,63.0,23466.0,15.12
2010-02-18,62.2,66.5,62.2,64.0,64.3,45070.0,29.35
2010-02-19,64.5,64.5,61.6,61.6,62.2,14646.0,9.2
2010-02-22,63.2,64.85,60.2,60.95,60.7,17121.0,10.63
2010-02-23,62.9,62.9,59.0,60.0,59.5,28268.0,17.02
2010-02-24,58.2,61.7,58.2,60.95,61.0,15437.0,9.35
2010-02-25,61.0,62.65,61.0,62.15,61.85,16401.0,10.15
2010-02-26,61.55,64.1,61.45,63.5,63.25,44655.0,28.25
2010-03-02,63.0,65.95,63.0,65.6,65.5,37125.0,24.07
2010-03-03,65.95,67.5,64.8,66.7,66.4,63629.0,42.06
2010-03-04,67.1,67.65,65.05,66.0,65.85,25863.0,17.08
2010-03-05,66.05,68.4,65.3,65.5,66.15,70690.0,47.43
2010-03-08,67.45,68.9,65.55,66.45,66.35,20977.0,14.04
2010-03-09,65.6,66.5,63.75,63.75,63.95,21828.0,14.15
2010-03-10,63.8,65.3,63.55,64.65,64.3,13498.0,8.68
2010-03-11,64.1,65.45,63.5,63.5,63.8,7305.0,4.71
2010-03-12,62.6,64.7,62.25,63.85,63.6,10415.0,6.63
2010-03-15,64.0,64.0,60.1,61.65,61.55,39894.0,24.65
2010-03-16,64.5,64.5,62.0,63.5,63.15,10915.0,6.86
2010-03-17,63.5,64.0,62.25,62.65,62.7,9887.0,6.24
2010-03-18,63.45,64.0,62.55,63.1,63.1,8107.0,5.13
2010-03-19,63.8,64.0,62.5,63.1,63.5,11088.0,7.0
2010-03-22,62.55,63.6,62.5,62.8,62.85,7078.0,4.45
2010-03-23,61.6,64.0,61.6,62.95,62.65,18334.0,11.54
2010-03-25,62.5,63.85,62.15,62.6,62.9,20102.0,12.64
2010-03-26,62.45,63.75,62.1,62.3,62.35,11906.0,7.46
2010-03-29,63.0,63.95,60.5,61.0,61.15,34480.0,21.43
2010-03-30,62.2,64.2,62.2,62.85,62.35,24931.0,15.76
2010-03-31,63.25,66.85,62.85,64.95,64.75,118989.0,78.03
2010-04-01,65.7,70.4,64.65,68.2,67.95,76401.0,52.22
2010-04-05,67.25,72.0,67.25,69.05,69.1,80736.0,56.83
2010-04-06,69.9,69.9,67.85,68.9,68.5,24537.0,16.9
2010-04-07,68.1,73.0,62.7,68.0,69.45,71699.0,48.71
2010-04-08,67.15,72.2,67.1,68.8,68.15,68428.0,47.79
2010-04-09,69.05,71.45,68.75,69.0,69.35,79037.0,55.52
2010-04-12,69.0,74.5,68.75,73.0,73.5,163095.0,119.02
2010-04-13,74.0,74.7,71.6,72.2,72.35,52283.0,38.23
2010-04-15,73.9,74.0,70.85,71.35,71.2,35561.0,25.64
