Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-09-29,43.0,45.0,43.0,44.45,43.9,11517.0,5.09
2017-10-03,42.55,44.0,42.0,43.6,43.4,26608.0,11.42
2017-10-04,44.0,44.0,41.1,41.3,41.65,55274.0,23.4
2017-10-05,41.65,44.0,41.0,41.95,41.9,86065.0,36.42
2017-10-06,43.0,49.6,42.5,46.85,46.3,363665.0,166.95
2017-10-09,45.9,49.75,45.0,47.45,47.7,253484.0,121.91
2017-10-10,47.6,52.3,47.0,47.5,47.45,500272.0,249.41
2017-10-11,47.3,49.45,45.2,46.65,46.5,128809.0,61.16
2017-10-12,47.85,48.15,46.7,47.15,47.2,66970.0,31.6
2017-10-13,47.15,49.45,45.2,45.45,45.5,62538.0,29.04
2017-10-16,46.5,46.5,45.0,45.2,45.2,59504.0,27.08
2017-10-17,45.2,46.0,44.25,44.95,44.7,49875.0,22.36
2017-10-18,45.65,45.95,44.15,45.5,45.55,63364.0,28.82
2017-10-19,46.5,46.8,45.1,45.4,45.95,25976.0,11.95
2017-10-23,45.0,46.45,44.55,44.95,44.85,32365.0,14.64
2017-10-24,44.95,45.0,43.5,44.15,43.75,66685.0,29.56
2017-10-25,44.45,45.0,44.0,44.1,44.0,41099.0,18.22
2017-10-26,44.6,45.9,44.0,45.75,45.05,39705.0,17.74
2017-10-27,45.85,46.0,44.2,44.2,44.95,49011.0,21.98
2017-10-30,44.05,51.6,44.05,49.35,49.3,400563.0,197.7
2017-10-31,50.8,51.4,49.55,50.5,50.05,154780.0,78.29
2017-11-01,50.9,52.0,49.0,49.25,49.45,143385.0,72.85
2017-11-02,49.8,49.8,46.0,47.9,47.35,94493.0,44.81
2017-11-03,47.0,49.0,46.75,47.0,47.2,79378.0,37.9
2017-11-06,49.6,50.0,47.5,47.55,47.85,181425.0,88.01
2017-11-07,49.6,49.6,45.05,46.0,46.0,109728.0,51.76
2017-11-08,46.2,46.75,44.0,44.5,44.45,147934.0,66.28
2017-11-09,45.7,45.9,44.8,45.5,45.65,54597.0,24.72
2017-11-10,45.5,45.9,43.6,44.5,44.45,36657.0,16.38
2017-11-13,44.45,45.2,43.2,44.6,44.75,65495.0,29.23
2017-11-14,45.6,46.5,44.55,45.8,46.0,73815.0,33.44
2017-11-15,46.0,46.0,44.0,44.85,44.3,39699.0,17.73
2017-11-16,45.0,48.0,43.8,45.85,46.35,88159.0,41.09
2017-11-17,47.5,47.5,45.75,45.75,46.0,30650.0,14.14
2017-11-20,47.5,47.5,45.05,47.1,46.95,16831.0,7.79
2017-11-21,47.0,48.4,46.0,47.1,47.05,52147.0,24.72
2017-11-22,48.7,48.7,45.3,45.75,45.85,27475.0,12.68
2017-11-23,45.0,47.7,45.0,45.9,45.8,19833.0,9.18
2017-11-24,47.0,47.4,45.0,46.45,45.85,58667.0,26.88
2017-11-27,47.7,47.7,45.6,46.2,46.1,84094.0,39.15
2017-11-28,46.95,47.4,46.0,46.35,46.6,41852.0,19.53
2017-11-29,46.1,48.0,46.1,46.75,47.15,65890.0,31.09
2017-11-30,46.95,47.5,43.4,46.1,46.3,46924.0,21.6
2017-12-01,47.2,47.4,45.45,45.45,45.6,28246.0,12.99
2017-12-04,45.6,45.6,43.9,43.9,44.2,30389.0,13.61
2017-12-05,44.45,45.45,43.0,43.05,43.2,66210.0,28.79
2017-12-06,43.3,44.0,40.7,43.5,43.0,47508.0,20.35
2017-12-07,43.5,43.85,43.0,43.05,43.2,18074.0,7.85
2017-12-08,43.05,44.0,43.05,43.95,43.8,28132.0,12.31
2017-12-11,44.4,44.4,43.5,44.3,43.95,10071.0,4.44
