Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,70.0,83.9,70.0,83.9,83.9,546139.0,438.37
2010-01-05,87.9,87.9,77.3,78.3,78.75,215882.0,176.12
2010-01-06,78.0,81.95,78.0,80.5,80.8,96930.0,78.13
2010-01-07,80.8,82.5,80.05,80.6,80.75,66977.0,54.57
2010-01-08,81.0,81.75,79.8,79.8,80.3,39142.0,31.64
2010-01-11,81.0,82.8,78.5,79.35,79.05,28309.0,22.59
2010-01-12,82.5,84.4,77.25,81.3,81.35,66832.0,54.76
2010-01-13,80.0,81.0,79.5,80.5,80.25,16005.0,12.82
2010-01-14,80.3,85.9,80.3,81.55,81.85,62262.0,51.9
2010-01-15,83.45,88.6,81.9,84.15,84.4,308939.0,267.37
2010-01-18,85.35,85.35,82.65,82.65,83.05,14585.0,12.2
2010-01-19,83.15,84.9,79.65,80.25,80.3,11265.0,9.28
2010-01-20,82.5,82.5,78.4,78.4,79.05,14619.0,11.73
2010-01-21,78.5,79.0,74.0,76.05,75.25,30190.0,23.19
2010-01-22,74.0,76.75,72.5,76.0,75.65,20131.0,14.92
2010-01-25,77.9,77.9,74.5,74.75,74.75,6142.0,4.63
2010-01-27,75.8,75.8,71.85,72.0,72.1,9613.0,7.02
2010-01-28,72.1,74.0,71.3,72.0,71.95,4939.0,3.59
2010-01-29,69.85,80.95,69.15,73.5,75.05,158826.0,123.35
2010-02-01,75.75,76.7,73.2,75.9,75.5,10731.0,8.03
2010-02-02,76.0,77.0,71.5,71.5,71.95,4147.0,3.07
2010-02-03,73.5,77.9,72.1,72.65,72.95,17387.0,12.94
2010-02-04,72.1,74.2,70.0,70.45,70.5,4644.0,3.34
2010-02-05,65.6,71.5,65.0,65.05,65.6,8517.0,5.67
2010-02-06,68.5,69.3,66.6,69.25,69.05,1916.0,1.31
2010-02-08,68.0,69.15,63.5,68.0,66.95,7040.0,4.7
2010-02-09,66.1,70.8,66.1,67.2,67.9,11616.0,7.93
2010-02-10,67.6,69.85,67.25,68.15,67.8,3526.0,2.42
2010-02-11,67.1,69.0,67.1,68.05,68.55,2909.0,1.98
2010-02-15,70.0,71.5,68.1,68.8,69.1,10121.0,7.05
2010-02-16,68.25,71.4,68.0,68.95,68.95,5043.0,3.46
2010-02-17,67.1,70.3,67.1,68.5,68.6,6143.0,4.23
2010-02-18,68.5,75.8,68.0,71.1,72.35,261680.0,192.15
2010-02-19,72.15,79.0,72.15,72.55,73.2,299890.0,226.81
2010-02-22,73.55,76.0,70.25,70.5,70.8,25383.0,18.34
2010-02-23,68.25,72.95,67.5,68.0,68.6,25716.0,18.16
2010-02-24,68.0,69.5,66.2,66.55,67.1,15199.0,10.27
2010-02-25,65.3,67.8,65.1,66.25,65.8,9863.0,6.58
2010-02-26,66.95,67.4,65.5,67.4,66.2,12274.0,8.16
2010-03-02,67.4,71.0,67.4,67.6,67.75,32350.0,22.39
2010-03-03,68.5,69.2,67.0,68.4,68.5,10936.0,7.49
2010-03-04,68.0,70.25,68.0,68.4,69.0,13950.0,9.68
2010-03-05,68.5,69.85,68.15,68.2,68.5,5617.0,3.86
2010-03-08,69.45,69.45,68.55,69.0,68.95,3672.0,2.53
2010-03-09,68.1,70.0,67.6,68.0,67.85,5159.0,3.53
2010-03-10,68.0,68.45,67.1,67.45,67.15,5043.0,3.42
2010-03-11,67.45,69.6,66.3,66.8,66.5,3874.0,2.61
2010-03-12,67.5,67.9,64.55,64.55,65.35,3252.0,2.14
2010-03-15,65.3,65.4,63.35,64.8,64.05,2945.0,1.9
2010-03-16,65.0,66.0,63.2,66.0,64.75,2839.0,1.82
2010-03-17,64.0,66.45,63.6,63.6,64.05,6120.0,3.97
2010-03-18,54.5,68.5,54.5,65.5,65.55,12981.0,8.54
2010-03-19,67.5,67.5,65.0,65.9,65.75,4218.0,2.76
2010-03-22,64.5,66.8,64.0,65.0,65.0,1231.0,0.8
2010-03-23,66.4,66.4,63.6,63.6,63.8,1804.0,1.16
2010-03-25,62.5,63.75,62.5,62.65,62.7,2396.0,1.51
2010-03-26,62.25,63.75,62.1,62.1,62.6,3572.0,2.25
2010-03-29,62.1,70.4,62.0,66.0,65.2,124280.0,84.26
2010-03-30,65.2,67.85,64.05,64.55,64.8,27383.0,18.16
2010-03-31,67.0,67.0,64.0,64.0,64.6,9169.0,5.94
2010-04-01,65.9,70.3,64.2,69.0,68.65,53767.0,36.55
2010-04-05,68.6,70.7,68.25,70.0,69.9,15080.0,10.55
2010-04-06,69.8,71.9,69.15,69.2,69.55,17317.0,12.23
2010-04-07,70.5,72.0,69.6,70.5,70.2,21993.0,15.63
2010-04-08,69.0,71.6,69.0,70.45,70.4,5717.0,4.04
2010-04-09,70.5,72.0,70.1,71.0,71.15,9141.0,6.54
2010-04-12,72.55,76.95,72.55,74.1,74.05,55267.0,41.19
2010-04-13,70.35,76.65,70.35,72.5,72.5,11509.0,8.45
2010-04-15,75.9,76.0,72.0,72.75,72.45,8695.0,6.36
2010-04-16,72.85,72.85,70.3,71.8,71.3,15234.0,10.88
2010-04-19,66.0,70.95,66.0,69.4,69.5,5144.0,3.59
2010-04-20,71.75,77.0,68.5,69.8,69.3,9328.0,6.53
2010-04-21,70.0,72.0,69.8,70.6,70.55,24790.0,17.58
2010-04-22,70.0,74.5,69.7,72.55,72.25,23060.0,16.88
2010-04-23,72.2,74.4,71.0,71.4,71.4,9253.0,6.7
2010-04-26,71.65,73.5,71.6,72.2,72.3,13076.0,9.52
2010-04-27,72.8,73.95,71.65,72.3,72.35,22353.0,16.36
2010-04-28,72.5,72.5,69.0,71.0,70.95,11141.0,7.91
2010-04-29,71.5,72.25,71.0,71.15,71.2,2693.0,1.92
2010-04-30,71.45,72.95,69.5,70.1,69.9,2860.0,2.02
2010-05-03,68.2,71.75,68.2,69.0,69.05,16160.0,11.24
2010-05-04,70.0,71.3,68.4,68.4,68.8,6672.0,4.65
2010-05-05,67.0,68.95,65.6,68.0,67.45,6459.0,4.36
2010-05-06,67.5,67.95,66.3,66.3,66.5,4387.0,2.93
2010-05-07,65.5,66.45,63.6,64.75,64.15,3691.0,2.41
2010-05-10,66.0,67.45,65.25,66.0,65.95,6412.0,4.24
2010-05-11,66.5,67.35,64.3,64.5,64.7,2983.0,1.97
2010-05-12,65.5,66.25,63.65,63.8,63.75,2971.0,1.91
2010-05-13,64.5,67.85,64.5,65.55,65.6,5216.0,3.45
2010-05-14,66.5,67.5,65.05,65.1,65.5,2468.0,1.64
2010-05-17,63.2,65.7,62.45,64.0,64.0,5923.0,3.78
2010-05-18,64.5,68.0,64.2,64.25,64.25,7245.0,4.74
2010-05-19,64.5,66.0,63.95,64.1,64.3,5764.0,3.75
2010-05-20,63.15,65.5,63.15,64.15,64.15,2242.0,1.44
2010-05-21,62.5,63.85,61.0,62.8,63.2,2119.0,1.32
2010-05-24,64.1,66.0,63.0,63.0,63.95,10007.0,6.48
