Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,90.0,91.0,89.25,90.0,90.15,70294.0,63.34
2010-01-05,91.4,92.95,90.5,90.5,90.7,263427.0,241.23
2010-01-06,92.0,104.3,91.9,101.15,100.7,3403193.0,3410.54
2010-01-07,102.0,103.7,98.15,100.2,100.05,1888051.0,1906.65
2010-01-08,101.4,102.7,99.0,99.75,99.75,697023.0,698.08
2010-01-11,99.8,102.0,99.0,100.8,100.95,465432.0,470.81
2010-01-12,101.2,105.5,99.55,104.8,104.55,856733.0,886.03
2010-01-13,103.85,106.0,102.5,103.45,103.9,419848.0,436.89
2010-01-14,105.0,105.5,102.1,102.15,102.65,225296.0,233.13
2010-01-15,103.0,104.0,102.0,102.3,102.25,253310.0,260.36
2010-01-18,100.75,102.45,100.75,100.8,101.2,207300.0,211.11
2010-01-19,101.95,102.5,100.65,101.0,101.05,240950.0,245.01
2010-01-20,100.5,103.55,100.15,101.5,101.45,268442.0,273.05
2010-01-21,101.5,104.3,96.6,100.8,101.3,1224650.0,1234.41
2010-01-22,100.0,101.7,96.5,98.7,98.95,351564.0,348.36
2010-01-25,97.2,99.6,93.7,93.75,94.95,145525.0,141.19
2010-01-27,95.4,95.9,92.0,93.45,92.95,184318.0,172.95
2010-01-28,93.45,97.5,93.45,95.0,95.5,529084.0,506.9
2010-01-29,93.2,99.2,90.1,99.0,96.95,448085.0,428.78
2010-02-01,96.6,101.5,96.6,99.3,100.05,445157.0,444.44
2010-02-02,101.4,103.0,99.55,100.25,99.95,215428.0,218.32
2010-02-03,100.9,101.0,99.55,100.0,100.05,74714.0,74.82
2010-02-04,100.75,104.35,99.8,101.55,101.1,297124.0,304.04
2010-02-05,97.5,100.5,95.0,98.35,98.5,168930.0,167.21
2010-02-06,99.55,102.0,98.55,99.45,100.0,43616.0,43.74
2010-02-08,100.75,102.5,100.5,102.5,101.55,94420.0,95.96
2010-02-09,101.5,102.0,100.0,100.65,100.45,37618.0,38.02
2010-02-10,101.2,101.8,99.3,99.4,99.9,41485.0,41.78
2010-02-11,99.5,104.5,99.5,103.7,103.75,138536.0,142.13
2010-02-15,103.7,108.8,102.0,106.9,106.15,755151.0,809.59
2010-02-16,107.0,107.9,104.2,104.2,105.45,116162.0,123.19
2010-02-17,106.0,107.95,105.5,107.0,107.25,371441.0,398.23
2010-02-18,107.0,107.0,105.5,106.0,105.8,108722.0,115.49
2010-02-19,105.75,105.8,103.25,103.45,104.0,69134.0,71.9
2010-02-22,104.15,104.7,99.65,99.65,100.95,81370.0,84.11
2010-02-23,103.5,103.5,99.5,101.9,101.9,80799.0,81.54
2010-02-24,100.2,101.2,100.0,100.0,100.1,38391.0,38.51
2010-02-25,100.95,105.5,99.55,103.65,104.25,161426.0,167.01
2010-02-26,103.65,107.9,102.2,105.9,105.45,245169.0,259.25
2010-03-02,105.9,106.4,104.55,105.8,105.7,219924.0,231.38
2010-03-03,106.5,107.6,104.75,106.4,106.25,129489.0,137.49
2010-03-04,106.25,109.7,106.05,107.0,107.45,119118.0,127.65
2010-03-05,108.4,108.4,105.85,106.35,106.3,293070.0,313.7
2010-03-08,107.0,108.35,106.55,107.5,107.65,138705.0,149.3
2010-03-09,108.4,108.4,106.15,106.55,106.75,127364.0,136.63
2010-03-10,106.5,108.4,106.35,108.0,108.0,100623.0,108.13
2010-03-11,109.0,111.7,107.5,107.5,108.5,251017.0,273.47
2010-03-12,107.95,108.45,107.25,107.5,107.4,101728.0,109.54
2010-03-15,106.55,108.0,105.55,108.0,107.6,98962.0,105.29
2010-03-16,108.95,109.2,106.1,107.85,108.8,96187.0,103.99
2010-03-17,107.6,109.25,106.55,108.5,108.75,238439.0,259.02
2010-03-18,109.9,109.9,107.0,107.0,107.15,77847.0,83.98
2010-03-19,107.0,108.5,106.9,107.9,108.1,91914.0,99.16
2010-03-22,105.25,108.6,105.25,106.35,107.15,75202.0,80.64
2010-03-23,107.45,107.5,104.0,104.0,104.45,280646.0,298.68
2010-03-25,104.25,104.25,99.6,99.8,100.0,304355.0,306.03
2010-03-26,101.1,101.1,97.15,97.85,97.7,569427.0,565.18
2010-03-29,98.0,101.4,96.65,100.35,98.85,623821.0,611.46
2010-03-30,99.95,106.1,98.6,106.0,104.85,296210.0,304.77
2010-03-31,105.0,114.65,105.0,111.8,112.7,955351.0,1072.69
2010-04-01,114.0,125.45,113.0,124.5,124.05,1261204.0,1518.83
2010-04-05,125.9,127.0,120.5,123.5,124.0,362447.0,449.66
2010-04-06,124.0,128.2,123.0,124.2,124.2,831755.0,1043.58
2010-04-07,125.5,127.9,122.5,126.0,126.05,558207.0,695.29
2010-04-08,126.0,135.0,124.3,131.0,131.4,808784.0,1058.05
2010-04-09,132.7,140.5,131.65,140.0,139.75,925889.0,1269.85
2010-04-12,141.0,145.65,137.55,139.6,141.35,417112.0,591.68
2010-04-13,141.6,142.5,139.15,140.5,140.4,364321.0,513.46
2010-04-15,142.0,145.9,141.55,141.55,142.4,384048.0,552.93
2010-04-16,141.15,143.5,139.1,139.6,139.95,276998.0,391.62
2010-04-19,134.2,141.0,134.2,135.5,136.6,223909.0,309.66
2010-04-20,137.9,147.2,132.5,146.45,145.5,328510.0,467.09
2010-04-21,145.0,153.5,144.0,150.0,150.0,378329.0,566.26
2010-04-22,146.2,152.8,146.2,147.05,147.0,622092.0,920.59
2010-04-23,149.8,156.45,146.05,147.15,147.0,241808.0,355.21
2010-04-26,148.5,149.4,143.05,144.5,143.95,316663.0,458.15
2010-04-27,141.75,148.4,141.75,143.15,143.65,68939.0,98.81
2010-04-28,140.0,142.5,139.05,140.25,140.05,324357.0,455.89
2010-04-29,144.4,166.2,141.0,145.8,146.15,513987.0,749.81
2010-04-30,146.0,148.0,142.15,143.15,143.2,79572.0,114.06
