Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-29,254.1,266.7,246.25,252.7,252.4,14008351.0,36021.64
2018-01-30,250.7,261.0,234.4,253.55,252.95,2036442.0,5048.92
2018-01-31,252.0,258.0,244.55,249.5,249.55,658605.0,1652.6
2018-02-01,245.0,261.0,242.5,253.8,252.95,784681.0,1988.84
2018-02-02,246.15,251.8,231.65,234.4,233.9,483743.0,1153.93
2018-02-05,225.1,237.4,223.0,232.0,232.6,218693.0,508.51
2018-02-06,224.0,227.95,215.0,224.5,226.6,303655.0,671.66
2018-02-07,230.0,236.2,228.35,232.0,233.3,207757.0,482.79
2018-02-08,233.3,238.95,233.3,238.0,237.9,159340.0,377.84
2018-02-09,235.0,243.0,231.1,235.4,236.3,132285.0,312.2
2018-02-12,237.9,252.0,237.55,245.75,248.6,319651.0,790.81
2018-02-14,248.9,251.8,245.55,246.05,249.3,152694.0,379.66
2018-02-15,250.0,251.5,238.0,239.0,239.15,92349.0,226.23
2018-02-16,240.25,244.0,231.6,231.6,234.05,91927.0,217.55
2018-02-19,230.15,236.8,228.2,230.2,229.8,62408.0,144.77
2018-02-20,230.4,233.45,228.0,231.0,230.0,59487.0,137.26
2018-02-21,231.0,233.05,227.25,231.0,230.2,73689.0,169.89
2018-02-22,228.9,237.65,228.9,237.45,236.55,93627.0,218.81
2018-02-23,236.95,238.2,232.5,233.0,234.0,48360.0,114.21
2018-02-26,234.45,244.25,231.1,239.0,239.05,113804.0,270.71
2018-02-27,245.9,248.0,241.0,244.4,244.5,196307.0,479.16
2018-02-28,244.8,246.0,240.0,243.35,243.5,114283.0,277.72
2018-03-01,243.35,248.0,243.35,243.75,244.1,172192.0,422.46
2018-03-05,245.0,247.8,239.05,242.1,241.9,106999.0,260.38
2018-03-06,242.5,245.35,237.5,241.0,238.55,58602.0,141.79
2018-03-07,238.0,242.0,232.0,236.15,235.85,67101.0,159.2
2018-03-08,236.25,239.8,235.0,237.6,238.25,67681.0,160.56
2018-03-09,238.25,240.4,236.25,239.3,238.1,50588.0,120.58
2018-03-12,239.3,245.85,239.3,243.5,243.45,115154.0,280.17
2018-03-13,242.65,244.85,240.3,242.25,243.05,67591.0,164.63
2018-03-14,242.95,243.7,238.05,238.95,238.9,26245.0,63.05
2018-03-15,238.05,240.55,238.0,238.1,238.7,56262.0,134.45
2018-03-16,238.8,241.9,238.0,238.55,239.45,293721.0,703.46
2018-03-19,238.55,242.0,232.6,233.8,233.9,25097.0,59.27
2018-03-20,232.55,233.6,229.3,229.5,229.95,86787.0,200.25
2018-03-21,231.05,233.3,228.4,228.6,230.45,73067.0,168.78
2018-03-22,230.6,232.7,228.0,228.1,229.05,48979.0,112.56
2018-03-23,226.8,229.0,221.05,223.25,225.0,75896.0,170.75
2018-03-26,229.95,229.95,226.6,227.6,228.15,35944.0,82.12
2018-03-27,229.0,230.8,221.1,227.5,227.35,32179.0,73.44
2018-03-28,228.7,233.8,227.5,231.55,231.8,40668.0,94.32
2018-04-02,231.8,237.55,230.0,234.0,235.35,28158.0,65.71
2018-04-03,238.7,238.7,233.0,234.25,234.65,21845.0,51.25
2018-04-04,236.9,240.0,233.8,237.9,237.35,109248.0,260.68
2018-04-05,237.85,242.0,236.0,236.75,236.8,41336.0,98.53
2018-04-06,235.0,244.55,235.0,241.35,241.3,50642.0,121.68
2018-04-09,240.05,243.0,238.95,239.1,239.9,46638.0,112.07
2018-04-10,240.0,241.0,238.0,239.75,239.95,106674.0,255.94
2018-04-11,240.45,242.9,239.15,240.0,241.3,26418.0,63.78
2018-04-12,241.0,242.35,236.0,241.0,240.9,122315.0,294.3
2018-04-13,240.0,245.0,238.5,244.5,243.25,65364.0,158.49
2018-04-16,243.0,244.0,239.05,239.35,239.75,18452.0,44.58
2018-04-17,239.95,241.25,236.5,236.5,237.3,12816.0,30.51
2018-04-18,237.0,238.4,232.8,232.9,233.8,23666.0,55.71
2018-04-19,232.5,236.55,229.6,232.35,230.85,32408.0,75.27
2018-04-20,231.0,235.55,230.15,232.55,232.35,37242.0,86.87
2018-04-23,233.0,243.45,233.0,236.85,237.3,44551.0,106.2
2018-04-24,236.85,241.7,236.85,238.0,237.45,16345.0,38.96
2018-04-25,237.25,239.6,232.25,232.25,233.45,25910.0,61.42
2018-04-26,235.0,240.15,232.05,235.0,238.75,41655.0,98.36
2018-04-27,238.0,240.55,234.5,236.6,239.3,41418.0,98.55
2018-04-30,240.3,260.8,236.65,249.0,251.15,392785.0,985.93
2018-05-02,251.95,259.7,249.0,249.0,251.05,88505.0,223.37
2018-05-03,250.7,250.7,244.0,246.1,246.05,28981.0,71.1
2018-05-04,246.3,252.0,245.8,248.4,249.0,59727.0,149.42
2018-05-07,251.0,256.0,249.6,253.9,254.7,84523.0,214.36
2018-05-08,257.0,262.7,254.55,255.0,255.2,286173.0,742.04
2018-05-09,258.8,261.7,255.1,256.0,255.3,50431.0,130.15
2018-05-10,255.55,258.9,249.0,250.0,249.55,20660.0,52.24
2018-05-11,249.55,256.7,248.15,251.5,250.45,29931.0,75.05
2018-05-14,248.5,254.0,248.5,251.15,252.75,52484.0,132.73
2018-05-15,251.05,259.0,251.05,254.1,254.15,81874.0,209.8
2018-05-16,252.9,258.0,251.2,254.95,254.7,47630.0,121.58
2018-05-17,253.1,270.0,252.75,262.0,263.8,349283.0,920.29
2018-05-18,266.85,272.0,258.0,259.0,259.4,138811.0,366.39
2018-05-21,262.0,264.45,256.4,258.4,257.9,58786.0,153.21
2018-05-22,257.9,262.0,246.1,251.35,251.9,282877.0,729.76
2018-05-23,252.0,259.9,248.0,254.5,252.75,110773.0,281.46
2018-05-24,254.85,260.65,249.7,251.9,251.15,97661.0,249.34
2018-05-25,252.45,257.5,252.45,257.45,256.9,113820.0,290.51
2018-05-28,257.45,260.0,256.55,257.7,258.05,75583.0,195.69
2018-05-29,257.95,258.3,252.0,253.5,254.35,28544.0,72.86
2018-05-30,252.0,256.35,251.0,251.65,251.85,31066.0,78.51
2018-05-31,252.4,268.0,252.35,265.1,267.0,341333.0,899.19
2018-06-01,264.0,272.0,262.2,264.7,266.1,102557.0,275.12
2018-06-04,255.55,264.0,252.0,252.05,252.8,27252.0,69.8
2018-06-05,252.8,258.4,250.0,250.5,251.4,74159.0,188.2
2018-06-06,247.5,259.95,247.5,257.0,257.3,40321.0,103.36
2018-06-07,259.45,259.95,252.25,253.5,255.3,28239.0,72.76
2018-06-08,256.95,262.2,254.0,259.55,259.15,54301.0,140.67
2018-06-11,265.5,265.5,255.0,259.65,257.7,24218.0,63.02
2018-06-12,256.6,263.0,255.6,260.0,261.75,31260.0,81.72
2018-06-13,263.95,263.95,254.0,254.0,254.9,21564.0,55.53
2018-06-14,252.25,256.0,249.0,249.95,250.2,58791.0,147.85
2018-06-15,252.5,252.6,249.5,251.2,250.6,30071.0,75.46
2018-06-18,249.0,257.65,249.0,250.5,251.1,56565.0,142.19
2018-06-19,251.0,254.8,238.0,247.0,249.05,111720.0,277.51
2018-06-20,245.0,252.95,245.0,250.3,250.2,33780.0,84.5
2018-06-21,252.0,256.1,248.45,252.45,252.15,29594.0,74.45
2018-06-22,253.9,255.9,249.95,251.25,253.55,54870.0,137.78
2018-06-25,247.5,258.25,247.5,250.5,250.15,36121.0,90.77
2018-06-26,253.95,254.95,245.0,245.75,245.75,23708.0,59.13
2018-06-27,247.75,252.5,234.3,252.5,243.05,58046.0,138.89
2018-06-28,241.0,249.0,235.1,247.0,246.35,43652.0,105.95
2018-06-29,253.25,259.9,242.15,250.5,253.35,70207.0,177.32
2018-07-02,252.75,257.95,244.1,244.3,246.25,20218.0,50.03
