Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,312.0,321.2,302.05,319.05,317.9,639891.0,2008.37
2010-01-05,320.0,325.5,313.85,316.5,318.2,314972.0,1010.89
2010-01-06,317.2,342.8,313.2,339.0,339.1,898143.0,2999.69
2010-01-07,342.2,350.8,335.15,343.05,343.75,520655.0,1794.39
2010-01-08,345.0,352.0,342.0,350.0,348.9,300183.0,1044.93
2010-01-11,351.7,359.4,347.15,350.9,350.8,178684.0,633.8
2010-01-12,351.0,353.0,338.1,338.25,340.55,70984.0,244.92
2010-01-13,335.6,356.5,316.8,344.0,343.85,119241.0,413.69
2010-01-14,349.0,376.45,346.15,373.8,370.75,536382.0,1948.07
2010-01-15,372.0,378.0,363.7,364.0,367.5,184371.0,684.78
2010-01-18,368.0,371.0,360.0,362.4,363.9,89725.0,327.89
2010-01-19,367.1,381.8,362.6,372.0,372.65,252573.0,948.96
2010-01-20,375.85,376.8,361.25,362.0,364.3,89435.0,331.32
2010-01-21,366.7,377.0,342.65,345.45,345.55,232745.0,846.0
2010-01-22,348.95,354.0,325.5,338.0,339.75,251521.0,865.12
2010-01-25,340.0,346.9,335.25,336.05,337.75,47792.0,163.5
2010-01-27,338.4,342.0,321.2,326.0,324.55,56467.0,186.91
2010-01-28,325.05,338.95,318.0,321.4,320.1,26242.0,85.8
2010-01-29,315.1,337.0,308.0,335.0,333.45,57480.0,185.97
2010-02-01,335.0,342.0,325.0,337.5,338.4,35150.0,117.8
2010-02-02,340.1,349.0,326.55,345.0,344.95,63984.0,217.93
2010-02-03,352.0,355.8,340.0,340.55,342.25,91188.0,317.62
2010-02-04,348.8,348.8,325.15,326.0,328.1,31064.0,103.46
2010-02-05,315.1,333.95,310.0,330.0,330.65,32273.0,104.43
2010-02-06,334.85,334.95,326.15,331.0,331.2,9057.0,30.07
2010-02-08,333.85,342.75,331.5,336.35,339.45,62412.0,211.4
2010-02-09,339.0,344.0,334.25,338.0,338.8,20892.0,70.84
2010-02-10,343.0,346.0,333.7,337.05,337.8,43432.0,148.11
2010-02-11,332.25,352.8,332.25,346.5,347.35,92577.0,321.22
2010-02-15,345.1,356.9,338.7,339.0,342.2,63134.0,219.78
2010-02-16,345.95,348.0,341.0,344.8,343.85,33072.0,114.19
2010-02-17,348.0,351.5,341.1,342.5,342.95,38638.0,134.01
2010-02-18,344.0,346.8,335.05,336.4,336.8,35164.0,120.15
2010-02-19,337.8,341.0,330.0,335.15,336.05,25698.0,86.73
2010-02-22,339.9,349.7,338.6,340.95,340.8,121912.0,420.62
2010-02-23,340.8,348.8,340.8,345.0,345.15,89997.0,311.57
2010-02-24,306.65,348.8,306.65,341.9,340.45,89576.0,306.59
2010-02-25,342.0,352.8,338.0,346.15,349.5,58958.0,204.92
2010-02-26,348.85,349.0,343.15,345.0,344.95,21868.0,75.58
2010-03-02,348.0,350.7,342.2,345.35,347.15,47235.0,163.35
2010-03-03,350.5,350.5,343.0,344.5,345.5,8058.0,27.87
2010-03-04,342.1,347.9,340.5,341.0,341.55,57241.0,197.12
2010-03-05,349.0,349.7,340.1,340.1,340.9,7343.0,25.18
2010-03-08,347.1,357.7,346.5,352.0,351.3,60993.0,214.71
2010-03-09,353.0,362.0,348.5,353.0,357.5,146989.0,524.73
2010-03-10,360.0,422.0,358.3,396.45,400.25,2734479.0,11087.96
2010-03-11,381.55,398.8,368.4,375.0,376.05,810798.0,3095.65
2010-03-12,376.7,383.8,364.0,375.35,377.5,463870.0,1736.92
2010-03-15,377.5,384.7,359.25,359.7,362.5,297662.0,1117.77
2010-03-16,364.85,367.7,358.35,362.0,362.6,162255.0,591.15
2010-03-17,363.65,371.8,358.3,359.6,360.25,195498.0,715.11
2010-03-18,363.1,370.6,360.05,361.0,361.85,118795.0,433.73
2010-03-19,364.55,368.0,355.0,355.5,358.15,57455.0,208.13
2010-03-22,351.8,357.8,344.05,346.8,347.95,42494.0,149.71
2010-03-23,350.8,354.3,345.1,347.05,347.95,50857.0,177.79
2010-03-25,346.0,354.45,341.45,342.0,342.85,52676.0,183.01
2010-03-26,346.0,377.7,346.0,350.25,353.7,855353.0,3111.76
2010-03-29,358.4,358.4,340.65,342.15,342.5,81794.0,283.87
2010-03-30,346.5,349.8,340.0,343.0,343.35,60519.0,207.96
2010-03-31,346.0,348.0,341.0,343.0,342.4,45609.0,156.79
2010-04-01,346.0,361.3,344.15,349.6,351.05,128630.0,455.61
2010-04-05,354.95,368.9,351.05,364.0,364.35,181295.0,656.17
2010-04-06,367.0,376.0,360.3,368.3,371.45,211425.0,784.02
