Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1203.0,1205.0,1187.0,1187.0,1188.3,151.0,1.8
2010-01-05,1189.65,1210.0,1173.1,1197.65,1198.0,557.0,6.63
2010-01-06,1190.0,1198.75,1185.5,1193.9,1189.6,226.0,2.69
2010-01-07,1204.0,1209.8,1184.8,1186.3,1186.45,232.0,2.76
2010-01-08,1209.0,1290.0,1209.0,1215.0,1215.05,1433.0,17.83
2010-01-11,1220.0,1329.85,1220.0,1283.1,1286.3,2816.0,36.09
2010-01-12,1350.0,1350.0,1240.0,1240.0,1248.6,1258.0,16.15
2010-01-13,1230.0,1289.0,1220.1,1267.1,1276.75,740.0,9.3
2010-01-14,1300.0,1367.0,1282.2,1301.1,1302.75,2459.0,32.66
2010-01-15,1283.1,1329.2,1283.0,1290.0,1296.75,1331.0,17.33
2010-01-18,1300.0,1310.0,1253.0,1271.2,1277.4,617.0,7.9
2010-01-19,1297.9,1309.0,1246.0,1246.0,1250.95,602.0,7.63
2010-01-20,1234.4,1260.0,1220.0,1243.85,1243.6,311.0,3.85
2010-01-21,1240.0,1240.0,1180.0,1186.0,1187.7,676.0,8.14
2010-01-22,1150.0,1198.0,1140.0,1164.0,1168.1,461.0,5.34
2010-01-25,1141.0,1199.0,1141.0,1177.1,1176.85,576.0,6.79
2010-01-27,1133.0,1170.0,1066.2,1100.0,1081.4,657.0,7.24
2010-01-28,1141.0,1141.0,1057.0,1058.1,1059.85,573.0,6.15
2010-01-29,1030.0,1099.5,1030.0,1080.1,1091.65,491.0,5.22
2010-02-01,1055.0,1099.95,1054.05,1090.0,1090.0,303.0,3.31
2010-02-02,1121.0,1127.4,1060.0,1083.0,1062.45,151.0,1.64
2010-02-03,1095.4,1095.4,1071.0,1089.9,1089.9,136.0,1.47
2010-02-04,1066.0,1091.5,1060.0,1060.0,1060.55,304.0,3.26
2010-02-05,1070.0,1070.0,1010.1,1030.5,1030.5,412.0,4.3
2010-02-06,1060.0,1060.0,1060.0,1060.0,1060.0,8.0,0.08
2010-02-08,1025.0,1099.0,1024.0,1064.0,1064.0,1051.0,11.45
2010-02-09,1053.0,1084.9,1053.0,1084.0,1084.0,31.0,0.33
2010-02-10,1069.5,1132.0,1069.5,1095.0,1101.2,625.0,6.92
2010-02-11,1118.7,1118.9,1080.0,1104.5,1092.35,480.0,5.29
2010-02-15,1102.6,1102.6,1065.5,1080.0,1080.0,92.0,0.99
2010-02-16,1075.0,1078.0,1052.0,1060.0,1064.95,191.0,2.02
2010-02-17,1061.25,1096.8,1061.25,1075.0,1075.3,257.0,2.76
2010-02-18,1105.8,1105.8,1055.0,1055.0,1055.7,115.0,1.22
2010-02-19,1068.0,1068.0,1035.5,1038.0,1038.0,127.0,1.32
2010-02-22,1040.0,1111.1,1040.0,1040.0,1040.05,332.0,3.5
2010-02-23,1078.0,1078.0,1010.05,1028.9,1028.9,90.0,0.92
2010-02-24,1039.0,1039.0,1002.0,1029.0,1019.6,55.0,0.56
2010-02-25,1003.6,1023.8,1003.0,1018.0,1017.4,188.0,1.89
2010-02-26,1004.0,1035.0,1004.0,1035.0,1024.3,192.0,1.95
2010-03-02,1049.5,1054.9,1015.5,1046.9,1023.3,2317.0,23.89
2010-03-03,1041.0,1070.0,1007.0,1061.0,1059.2,256.0,2.7
2010-03-04,1042.0,1061.9,1031.0,1061.9,1052.5,348.0,3.64
2010-03-05,1069.0,1132.0,1060.0,1105.1,1106.55,1162.0,12.84
2010-03-08,1090.0,1200.0,1090.0,1130.0,1136.6,1217.0,14.12
2010-03-09,1151.0,1168.9,1110.0,1115.0,1114.4,395.0,4.46
2010-03-10,1141.0,1141.0,1100.0,1121.0,1118.95,173.0,1.93
2010-03-11,1100.0,1120.95,1100.0,1113.9,1101.3,117.0,1.29
2010-03-12,1103.0,1128.0,1085.0,1085.0,1088.25,202.0,2.21
2010-03-15,1092.6,1092.6,1070.15,1072.15,1072.4,295.0,3.17
2010-03-16,1081.0,1093.0,1062.0,1080.0,1080.0,125.0,1.35
2010-03-17,1105.0,1140.9,1077.35,1080.0,1081.35,210.0,2.32
2010-03-18,1114.95,1114.95,1065.1,1093.0,1090.2,264.0,2.87
2010-03-19,1095.0,1111.0,1071.0,1080.0,1080.4,478.0,5.2
2010-03-22,1060.0,1084.0,1052.5,1066.9,1064.05,5150.0,55.6
2010-03-23,1028.65,1069.0,1028.65,1057.0,1057.0,114.0,1.2
2010-03-25,1069.95,1075.9,1040.0,1040.0,1043.5,128.0,1.35
2010-03-26,1060.0,1149.0,1050.0,1091.0,1099.45,1415.0,15.5
2010-03-29,1111.0,1180.0,1103.05,1110.0,1119.9,3736.0,42.94
2010-03-30,1096.0,1129.0,1096.0,1116.8,1110.15,630.0,6.99
2010-03-31,1092.0,1108.4,1080.0,1080.0,1081.75,87.0,0.94
2010-04-01,1100.0,1129.0,1079.0,1112.55,1112.45,146.0,1.63
2010-04-05,1159.95,1160.0,1133.0,1150.0,1150.65,461.0,5.31
2010-04-06,1152.0,1299.0,1145.0,1220.1,1227.1,7631.0,94.52
2010-04-07,1290.0,1290.0,1191.0,1209.0,1200.05,1099.0,13.44
2010-04-08,1200.0,1219.0,1150.0,1150.0,1150.5,2238.0,26.11
2010-04-09,1150.0,1181.9,1146.1,1165.0,1149.65,538.0,6.2
2010-04-12,1155.1,1167.0,1130.0,1160.0,1157.2,610.0,6.98
2010-04-13,1198.0,1198.0,1145.0,1151.5,1151.4,573.0,6.65
2010-04-15,1150.0,1174.0,1147.1,1147.1,1148.55,461.0,5.32
2010-04-16,1140.0,1205.95,1130.0,1186.0,1183.15,1260.0,14.65
2010-04-19,1185.0,1220.0,1150.0,1176.8,1176.8,963.0,11.44
2010-04-20,1175.0,1200.0,1165.0,1178.8,1171.35,530.0,6.25
2010-04-21,1195.0,1201.05,1178.0,1185.0,1185.15,396.0,4.72
2010-04-22,1195.0,1230.0,1176.1,1176.1,1180.6,269.0,3.22
2010-04-23,1182.0,1184.0,1150.0,1161.2,1167.9,320.0,3.72
2010-04-26,1175.0,1285.0,1158.1,1188.0,1198.4,687.0,8.23
2010-04-27,1190.0,1250.0,1189.85,1220.0,1217.05,1508.0,18.42
2010-04-28,1215.0,1215.0,1182.0,1197.4,1189.5,343.0,4.09
2010-04-29,1176.05,1203.0,1176.05,1180.6,1183.8,381.0,4.54
2010-04-30,1191.6,1200.0,1172.4,1174.0,1183.15,1299.0,15.36
2010-05-03,1209.6,1209.8,1172.0,1184.0,1184.65,726.0,8.61
2010-05-04,1185.0,1199.0,1146.0,1156.0,1154.05,283.0,3.29
2010-05-05,1115.0,1150.0,1115.0,1150.0,1136.6,235.0,2.64
2010-05-06,1180.0,1183.0,1113.95,1140.0,1140.0,109.0,1.23
2010-05-07,1139.9,1139.9,1085.0,1119.5,1113.95,540.0,6.02
2010-05-10,1085.1,1180.0,1085.1,1138.0,1136.75,119.0,1.34
2010-05-11,1125.0,1125.0,1101.5,1105.0,1109.3,422.0,4.69
2010-05-12,1124.9,1144.0,1100.0,1109.0,1109.0,432.0,4.79
2010-05-13,1100.1,1123.8,1100.1,1100.3,1100.8,95.0,1.05
2010-05-14,1101.0,1115.0,1099.0,1100.0,1099.95,624.0,6.86
2010-05-17,1051.0,1075.0,1050.0,1070.0,1070.1,570.0,6.04
2010-05-18,1057.0,1089.9,1057.0,1078.0,1077.95,227.0,2.43
2010-05-19,1069.85,1078.9,1040.0,1040.0,1043.2,719.0,7.58
2010-05-20,1041.0,1041.0,1000.0,1015.0,1000.85,1190.0,12.07
2010-05-21,1000.0,1000.0,963.25,991.0,991.0,264.0,2.6
2010-05-24,1001.0,1029.9,1001.0,1002.4,1006.5,89.0,0.91
2010-05-25,991.0,1015.0,960.0,960.0,961.9,171.0,1.67
2010-05-26,955.0,1010.0,955.0,984.95,986.8,218.0,2.17
2010-05-27,995.0,1000.0,981.0,999.9,993.25,119.0,1.18
2010-05-28,980.0,1022.3,980.0,1012.0,1012.4,167.0,1.69
2010-05-31,1006.0,1016.0,991.0,991.0,994.95,203.0,2.03
2010-06-01,970.0,1025.0,970.0,992.3,999.0,147.0,1.49
2010-06-02,1000.0,1008.0,985.0,985.0,985.0,95.0,0.95
2010-06-03,990.0,1014.4,990.0,995.5,995.35,129.0,1.3
2010-06-04,1009.0,1009.0,999.0,999.0,999.25,55.0,0.55
2010-06-07,994.0,996.3,980.0,996.3,996.3,12.0,0.12
2010-06-08,980.0,980.0,975.0,976.0,976.0,51.0,0.5
2010-06-09,974.0,980.0,964.0,980.0,970.65,182.0,1.77
2010-06-10,970.05,985.0,970.05,985.0,985.0,304.0,2.99
2010-06-11,995.0,1000.0,983.2,983.2,983.2,51.0,0.5
2010-06-14,991.0,1008.8,985.1,1000.0,1000.0,27.0,0.27
2010-06-15,1005.0,1014.8,1000.0,1000.0,1000.0,47.0,0.47
2010-06-16,1000.0,1011.85,994.1,1004.05,1004.05,198.0,2.0
2010-06-17,1000.0,1015.0,1000.0,1014.9,1014.9,220.0,2.22
2010-06-18,1015.0,1019.95,990.0,990.0,990.0,65.0,0.65
2010-06-21,1000.05,1009.0,1000.0,1000.1,1000.1,443.0,4.43
2010-06-22,1000.25,1000.25,989.0,999.0,999.0,219.0,2.17
2010-06-23,992.1,999.0,990.0,999.0,999.0,81.0,0.81
2010-06-24,990.0,1069.0,985.0,1008.0,1011.05,1979.0,20.02
2010-06-25,1000.0,1014.9,1000.0,1002.0,1002.0,13.0,0.13
2010-06-28,986.0,1000.0,986.0,1000.0,1000.0,29.0,0.29
2010-06-29,992.0,995.5,975.5,975.5,975.55,148.0,1.46
2010-06-30,960.0,994.2,960.0,980.0,980.5,90.0,0.88
2010-07-01,990.5,990.5,969.0,985.0,983.4,64.0,0.63
2010-07-02,971.0,1006.9,960.0,1002.0,1002.3,956.0,9.53
2010-07-05,1016.0,1051.0,986.35,987.2,987.2,115.0,1.16
