Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-02-17,8.55,9.0,7.3,7.9,7.75,130698.0,10.33
2017-02-20,7.6,8.3,7.6,8.1,8.1,45151.0,3.56
2017-02-21,7.9,8.3,7.9,8.2,8.1,33980.0,2.77
2017-02-22,7.9,8.4,7.9,8.1,8.1,53689.0,4.37
2017-02-23,8.25,8.3,8.1,8.1,8.15,17927.0,1.47
2017-02-27,8.3,8.3,8.0,8.0,8.05,42766.0,3.44
2017-02-28,7.95,8.5,7.95,8.45,8.35,38231.0,3.17
2017-03-01,8.45,8.5,8.05,8.25,8.2,70076.0,5.81
2017-03-02,8.4,8.4,8.1,8.2,8.2,24777.0,2.03
2017-03-03,8.3,8.3,8.0,8.05,8.1,15916.0,1.29
2017-03-06,8.1,8.2,8.0,8.1,8.1,36690.0,2.96
2017-03-07,8.05,8.15,7.9,7.9,7.9,37202.0,2.97
2017-03-08,8.1,8.1,7.8,8.0,8.0,32542.0,2.56
2017-03-09,7.8,8.0,7.7,7.95,7.8,34274.0,2.68
2017-03-10,7.95,8.0,7.8,8.0,8.0,20546.0,1.63
2017-03-14,8.2,8.2,7.85,7.95,7.9,19503.0,1.54
2017-03-15,7.5,8.0,7.35,7.85,7.85,82739.0,6.37
2017-03-16,7.75,7.8,7.55,7.75,7.7,47666.0,3.65
2017-03-17,7.75,7.75,7.65,7.7,7.7,25101.0,1.93
2017-03-20,7.9,7.95,7.65,7.85,7.85,28699.0,2.25
2017-03-21,7.8,7.9,7.65,7.75,7.75,10991.0,0.85
2017-03-22,7.8,7.85,6.75,6.8,6.8,305471.0,21.8
2017-03-23,7.0,7.0,5.65,5.8,5.75,773796.0,46.6
2017-03-24,5.9,5.9,5.6,5.8,5.8,329683.0,19.1
2017-03-27,5.85,5.85,5.4,5.4,5.4,260482.0,14.34
2017-03-28,5.3,5.35,4.9,4.9,4.9,824044.0,40.49
2017-03-29,4.6,4.9,4.45,4.45,4.5,340731.0,15.68
2017-03-30,4.5,4.95,4.25,4.95,4.95,320055.0,14.99
2017-03-31,5.3,5.4,4.95,5.0,5.1,450489.0,23.84
2017-04-03,5.15,5.5,5.0,5.05,5.05,143207.0,7.44
2017-04-05,5.25,5.3,5.05,5.3,5.25,154393.0,8.05
2017-04-06,5.3,5.5,5.2,5.5,5.4,142021.0,7.59
2017-04-07,5.5,5.7,5.3,5.4,5.4,119473.0,6.46
2017-04-10,5.45,5.45,5.25,5.4,5.35,40407.0,2.15
2017-04-11,5.35,5.35,5.1,5.2,5.15,92080.0,4.79
2017-04-12,5.25,5.25,4.9,5.1,5.05,130582.0,6.58
2017-04-13,5.0,5.3,5.0,5.15,5.15,34729.0,1.81
2017-04-17,5.25,5.3,4.95,5.05,5.0,101548.0,5.17
2017-04-18,5.1,5.2,5.0,5.05,5.05,59756.0,3.06
2017-04-19,5.1,5.15,4.95,5.05,5.0,72874.0,3.67
2017-04-20,5.1,5.1,4.9,5.1,5.05,38250.0,1.93
2017-04-21,5.0,5.15,4.95,5.05,5.05,77556.0,3.9
2017-04-24,5.1,5.15,5.05,5.15,5.15,36498.0,1.87
2017-04-25,5.15,5.25,5.05,5.1,5.05,54745.0,2.81
2017-04-26,5.05,5.2,5.0,5.0,5.0,59850.0,3.03
2017-04-27,5.1,5.1,4.95,5.05,5.05,54710.0,2.73
2017-04-28,4.95,5.05,4.85,5.05,5.05,51386.0,2.56
2017-05-02,5.2,5.2,4.8,4.9,4.85,66355.0,3.3
2017-05-03,5.0,5.0,4.6,4.95,4.9,57532.0,2.77
2017-05-04,4.8,5.35,4.8,5.05,5.0,45397.0,2.27
2017-05-05,5.05,5.15,4.9,5.0,4.95,25500.0,1.27
2017-05-08,5.0,5.0,4.85,4.85,4.85,11959.0,0.59
2017-05-09,5.3,5.3,4.8,5.0,4.95,62991.0,3.19
2017-05-10,4.9,5.1,4.85,5.0,4.95,25863.0,1.28
2017-05-11,5.25,5.25,4.85,5.0,5.0,7927.0,0.4
