Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-07-26,163.0,169.8,155.3,164.9,164.5,12075.0,19.65
2018-07-27,164.9,172.7,161.0,162.45,162.7,349560.0,576.97
2018-07-30,160.0,167.95,158.65,162.7,164.05,15608.0,25.14
2018-07-31,164.05,164.05,157.0,158.0,157.75,80407.0,127.05
2018-08-01,162.0,162.0,154.0,154.0,155.25,33462.0,52.23
2018-08-02,155.0,163.0,155.0,163.0,163.0,66034.0,107.33
2018-08-03,168.0,171.15,164.5,171.15,171.15,77114.0,129.42
2018-08-06,179.7,179.7,179.7,179.7,179.7,9482.0,17.04
2018-08-07,188.65,188.65,188.65,188.65,188.65,42343.0,79.88
2018-08-08,198.05,198.05,198.0,198.05,198.05,59415.0,117.67
2018-08-09,207.95,207.95,188.15,203.0,199.95,156734.0,307.21
2018-08-10,204.0,208.9,195.5,204.9,204.8,98547.0,201.9
2018-08-13,215.0,215.0,205.0,215.0,215.0,125983.0,269.06
2018-08-14,225.75,225.75,215.5,225.75,225.75,103875.0,233.33
2018-08-16,224.4,232.0,215.0,226.0,228.8,89973.0,201.45
2018-08-17,224.0,232.7,222.0,227.0,226.45,20680.0,47.02
2018-08-20,226.0,237.75,222.0,237.75,237.75,41069.0,95.12
2018-08-21,249.6,249.6,249.6,249.6,249.6,33621.0,83.92
2018-08-23,262.0,262.05,243.0,249.5,249.0,89321.0,227.03
2018-08-24,257.0,261.45,243.0,261.45,261.45,91789.0,233.35
2018-08-27,274.0,274.5,260.0,263.25,265.0,72376.0,194.42
2018-08-28,265.0,265.0,251.75,255.0,254.25,70945.0,183.16
2018-08-29,242.0,254.25,241.55,241.55,241.55,33502.0,81.44
2018-08-30,232.0,240.8,229.5,235.5,234.15,49021.0,113.32
2018-08-31,230.0,236.0,226.0,234.0,233.7,14018.0,32.37
2018-09-03,230.0,234.5,225.0,227.8,225.85,22084.0,50.24
2018-09-04,225.25,237.1,218.0,236.5,230.1,30646.0,71.29
2018-09-05,231.5,232.0,218.6,230.1,230.3,40069.0,90.11
2018-09-06,234.8,241.8,230.6,241.8,241.8,49140.0,118.19
2018-09-07,253.7,253.85,249.0,253.85,253.85,20763.0,52.65
2018-09-10,266.5,266.5,261.0,266.5,266.5,61956.0,164.85
2018-09-11,279.8,279.8,263.1,275.5,271.0,162937.0,454.13
2018-09-12,270.0,275.0,257.45,266.0,265.3,57200.0,149.56
2018-09-14,271.9,271.9,257.0,264.8,263.2,22806.0,60.48
2018-09-17,265.0,265.0,251.0,265.0,262.1,23143.0,59.77
2018-09-18,259.0,264.8,255.0,261.8,256.6,11929.0,30.94
2018-09-19,256.6,261.8,245.0,250.0,246.7,12638.0,31.86
2018-09-21,253.0,253.0,234.4,234.4,234.4,24123.0,57.65
2018-09-24,243.45,243.45,222.7,222.7,222.7,31006.0,69.39
2018-09-25,218.5,228.4,211.6,220.0,219.25,36495.0,78.23
2018-09-26,217.0,227.9,209.15,219.8,215.75,5659.0,12.4
2018-09-27,212.0,222.75,205.0,216.0,212.1,42843.0,90.06
2018-09-28,219.85,219.85,201.5,203.9,203.1,32533.0,67.99
2018-10-01,193.65,213.25,193.0,213.25,213.25,97711.0,194.86
2018-10-03,220.0,223.0,209.05,222.5,221.7,28922.0,63.93
2018-10-04,214.8,228.9,210.65,210.65,211.5,82482.0,174.93
2018-10-05,210.65,218.0,205.0,205.0,205.9,12763.0,26.54
2018-10-08,205.9,206.0,195.65,199.45,196.45,24759.0,49.06
2018-10-09,199.0,199.7,186.65,186.65,186.65,81071.0,152.64
2018-10-10,193.1,195.95,182.0,195.95,195.95,15233.0,28.95
2018-10-11,187.0,200.0,186.2,192.0,191.8,23508.0,44.58
2018-10-12,201.0,201.35,201.0,201.35,201.35,9218.0,18.54
2018-10-15,211.4,211.4,211.4,211.4,211.4,2783.0,5.88
2018-10-16,221.95,221.95,221.95,221.95,221.95,1784.0,3.96
2018-10-17,233.0,233.0,210.9,221.65,217.35,128704.0,291.81
2018-10-19,206.55,215.7,206.5,209.85,207.8,48899.0,101.8
2018-10-22,214.95,214.95,197.45,197.45,198.9,23562.0,47.21
2018-10-23,190.0,198.55,189.0,191.5,190.0,34933.0,67.05
2018-10-24,198.0,198.0,186.5,188.9,188.85,9047.0,17.18
2018-10-25,188.0,190.0,182.1,189.0,188.85,6479.0,12.0
2018-10-26,189.0,195.0,182.0,190.0,189.35,16878.0,31.61
2018-10-29,198.8,198.8,198.8,198.8,198.8,5749.0,11.43
2018-10-30,207.0,218.65,203.15,207.0,207.6,70991.0,153.12
2018-10-31,209.0,213.2,196.0,206.5,205.6,13305.0,27.46
2018-11-01,208.85,211.4,203.5,204.1,205.55,16646.0,34.81
2018-11-02,209.95,213.9,203.3,205.4,204.35,41464.0,87.04
2018-11-05,200.2,224.75,200.15,224.75,224.75,56337.0,124.61
2018-11-06,224.0,247.2,224.0,244.0,242.65,114397.0,276.78
2018-11-07,248.0,251.05,238.5,245.0,245.6,52184.0,127.56
2018-11-09,252.0,252.0,240.5,245.0,244.0,22103.0,53.8
2018-11-12,243.15,254.4,227.0,251.25,250.8,55218.0,137.1
2018-11-13,240.0,249.85,231.5,235.0,234.7,32010.0,76.73
2018-11-14,233.1,239.0,224.9,225.55,226.15,19437.0,44.75
2018-11-15,229.95,232.8,217.0,217.0,219.05,24322.0,54.46
2018-11-16,220.7,235.5,217.5,230.0,230.3,34305.0,78.59
2018-11-19,234.95,241.05,232.0,236.85,235.8,25124.0,59.39
2018-11-20,235.05,237.75,223.15,228.2,225.45,19662.0,45.15
2018-11-21,219.5,231.15,219.5,225.5,224.7,17684.0,39.81
2018-11-22,228.0,228.85,220.4,224.9,222.65,20799.0,46.67
2018-11-26,229.75,229.95,218.0,219.6,219.0,13046.0,28.77
2018-11-27,227.5,227.5,213.35,213.55,214.4,28311.0,61.53
2018-11-28,213.05,218.05,208.0,210.0,210.45,22030.0,46.64
2018-11-29,213.8,219.0,210.55,215.6,213.6,12263.0,26.32
2018-11-30,215.75,216.25,211.05,211.05,212.8,9284.0,19.86
2018-12-03,219.8,219.8,214.95,218.4,218.0,11632.0,25.33
2018-12-04,218.05,219.8,212.05,213.0,213.8,12543.0,26.88
2018-12-05,213.05,217.9,205.0,206.1,207.6,18970.0,39.53
2018-12-06,209.95,222.0,202.0,218.0,215.95,16192.0,33.94
2018-12-07,223.5,224.0,214.95,217.1,217.65,21137.0,46.27
2018-12-10,206.0,213.85,194.4,204.0,203.4,36995.0,75.06
2018-12-11,208.85,215.25,202.0,206.0,206.7,31262.0,65.23
2018-12-12,211.75,213.3,206.7,207.95,208.55,41362.0,86.29
2018-12-13,210.0,211.7,206.1,206.15,207.15,19194.0,39.9
2018-12-14,205.0,208.15,204.75,206.2,206.45,9362.0,19.35
2018-12-17,207.3,213.55,201.0,205.95,204.95,76230.0,154.7
2018-12-18,205.9,207.9,201.95,205.1,204.8,14176.0,29.19
2018-12-19,205.55,216.35,205.5,207.1,207.35,48331.0,102.28
2018-12-20,209.2,211.45,205.5,206.0,206.65,12594.0,26.12
2018-12-21,208.75,210.55,200.0,201.1,200.6,30570.0,61.87
2018-12-24,199.0,201.0,196.1,197.95,196.9,12453.0,24.69
2018-12-26,195.0,206.9,188.15,205.0,200.1,23486.0,45.56
2018-12-27,204.0,240.1,204.0,239.6,239.6,812072.0,1889.6
2018-12-28,247.0,259.0,238.35,243.4,244.95,1103872.0,2762.25
2018-12-31,242.25,242.8,230.55,233.6,234.1,141283.0,333.75
2019-01-01,232.0,237.5,226.5,232.95,232.2,67438.0,155.64
2019-01-02,230.0,255.0,227.0,241.0,241.5,407306.0,1006.67
2019-01-03,243.0,253.1,240.4,243.0,241.75,132336.0,325.95
2019-01-04,243.7,252.0,239.45,242.5,241.75,154117.0,379.02
