Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,24.5,26.5,24.5,26.1,26.15,48140.0,12.58
2010-01-05,26.2,31.2,26.2,27.6,27.45,166541.0,45.4
2010-01-06,25.3,28.4,25.3,27.7,27.85,71904.0,20.04
2010-01-07,27.0,28.5,27.0,27.8,27.65,71378.0,19.98
2010-01-08,27.0,28.4,27.0,27.5,27.55,40862.0,11.36
2010-01-11,27.4,28.45,27.4,27.8,27.95,44392.0,12.47
2010-01-12,27.7,29.6,27.7,28.3,28.2,157700.0,45.43
2010-01-13,28.0,29.5,27.65,28.6,28.85,106425.0,30.32
2010-01-14,28.0,29.25,28.0,28.95,28.85,81029.0,23.4
2010-01-15,28.15,33.0,28.15,31.9,31.9,778720.0,244.31
2010-01-18,31.5,32.6,29.4,29.95,29.85,278347.0,85.83
2010-01-19,29.1,30.75,28.65,29.0,29.0,161463.0,47.75
2010-01-20,29.0,29.5,28.55,28.85,28.75,72704.0,21.02
2010-01-21,27.9,28.9,27.35,27.6,27.75,99752.0,27.9
2010-01-22,27.25,28.8,26.15,28.75,28.4,129636.0,35.6
2010-01-25,27.75,30.0,27.75,29.25,29.3,113056.0,33.06
2010-01-27,31.0,33.0,28.15,28.5,28.5,103501.0,30.08
2010-01-28,29.2,30.45,28.6,29.3,29.35,143099.0,42.31
2010-01-29,28.0,29.3,28.0,29.0,29.05,131959.0,37.99
2010-02-01,30.0,31.0,29.55,30.35,30.2,179949.0,54.64
2010-02-02,30.5,31.5,29.3,29.6,29.6,133730.0,40.62
2010-02-03,29.4,30.2,29.25,29.25,29.5,52605.0,15.66
2010-02-04,30.25,30.25,28.35,28.35,28.45,136276.0,39.44
2010-02-05,27.55,28.1,27.0,27.5,27.4,126958.0,34.96
2010-02-06,28.3,28.6,27.8,28.2,28.1,20915.0,5.89
2010-02-08,28.5,28.9,27.6,27.6,27.75,28984.0,8.17
2010-02-09,27.85,28.25,27.85,28.05,28.0,23277.0,6.52
2010-02-10,27.25,30.4,27.25,28.95,28.8,129580.0,38.17
2010-02-11,29.75,30.35,28.8,29.5,29.45,116168.0,34.14
2010-02-15,29.7,30.2,27.3,30.05,30.0,74452.0,22.16
2010-02-16,30.0,31.45,29.6,31.0,31.0,175188.0,53.6
2010-02-17,31.1,31.1,29.9,30.3,30.45,80445.0,24.44
2010-02-18,31.1,31.1,29.8,29.8,29.9,38271.0,11.52
2010-02-19,30.0,30.0,29.0,29.2,29.1,31528.0,9.29
2010-02-22,30.5,30.65,28.5,28.65,28.7,27559.0,8.02
2010-02-23,28.3,28.65,27.55,28.35,28.3,22820.0,6.46
2010-02-24,27.15,28.6,27.15,28.5,28.2,14612.0,4.12
2010-02-25,27.3,28.35,27.3,28.1,28.05,14490.0,4.07
2010-02-26,28.0,28.9,28.0,28.4,28.15,18018.0,5.1
2010-03-02,28.9,29.65,28.1,29.0,28.95,20508.0,5.91
2010-03-03,29.0,29.75,28.45,29.4,29.3,32128.0,9.45
2010-03-04,29.3,30.4,28.85,30.0,29.95,146143.0,43.86
2010-03-05,30.5,30.9,28.3,29.3,29.4,64774.0,19.38
2010-03-08,28.5,30.45,28.5,29.6,29.8,29480.0,8.81
2010-03-09,29.8,30.4,28.85,29.1,29.05,71484.0,20.91
2010-03-10,29.0,29.25,28.6,28.65,28.7,5906.0,1.71
2010-03-11,28.4,29.15,28.4,28.8,28.75,9732.0,2.81
2010-03-12,28.15,29.0,28.15,28.35,28.45,9493.0,2.72
2010-03-15,28.7,29.0,28.05,28.7,28.55,27257.0,7.81
2010-03-16,28.2,28.6,28.05,28.6,28.5,26124.0,7.42
2010-03-17,28.5,29.25,28.3,28.3,28.4,36922.0,10.57
2010-03-18,28.1,28.6,28.0,28.2,28.2,47924.0,13.49
2010-03-19,27.5,28.5,27.5,28.35,28.15,28758.0,8.1
2010-03-22,27.05,28.5,27.05,27.8,27.9,20523.0,5.79
2010-03-23,27.7,28.25,27.7,28.0,28.0,23226.0,6.5
2010-03-25,27.1,28.0,27.1,27.75,27.65,21103.0,5.83
2010-03-26,27.1,28.3,27.1,27.3,27.25,82573.0,22.71
2010-03-29,26.5,27.95,26.5,26.85,26.9,37645.0,10.21
2010-03-30,26.5,27.75,26.5,27.15,26.85,56841.0,15.47
2010-03-31,26.75,28.0,26.75,27.9,27.55,27777.0,7.65
2010-04-01,26.55,31.0,26.55,30.1,29.95,183934.0,55.22
2010-04-05,29.95,31.5,29.95,30.9,30.95,149508.0,46.41
2010-04-06,31.0,31.9,30.65,31.1,31.0,57727.0,17.89
2010-04-07,30.25,32.25,30.25,31.5,31.35,212866.0,67.67
