Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,15.45,15.45,14.65,14.95,14.8,9254.0,1.38
2010-01-05,14.85,15.3,14.55,14.85,14.7,19167.0,2.85
2010-01-06,15.15,15.15,14.5,14.5,14.55,20177.0,2.96
2010-01-07,14.25,15.0,14.25,14.6,14.6,18631.0,2.73
2010-01-08,14.8,15.9,14.5,15.25,15.25,34490.0,5.23
2010-01-11,15.15,16.0,15.1,15.85,15.7,40566.0,6.41
2010-01-12,15.7,18.85,15.7,18.8,18.0,429482.0,78.5
2010-01-13,18.7,20.95,17.5,20.6,20.55,619845.0,122.58
2010-01-14,21.1,22.65,20.8,21.25,21.25,954143.0,208.58
2010-01-15,21.4,21.9,19.5,19.5,19.65,143810.0,28.94
2010-01-18,19.65,20.1,18.6,19.1,19.2,81036.0,15.57
2010-01-19,19.3,19.45,18.15,18.4,18.4,35201.0,6.58
2010-01-20,18.35,18.8,18.15,18.15,18.2,17180.0,3.17
2010-01-21,17.55,18.5,17.0,18.15,18.1,34776.0,6.25
2010-01-22,17.3,18.0,16.65,17.3,17.4,30866.0,5.33
2010-01-25,17.4,17.5,16.6,16.8,16.9,16462.0,2.8
2010-01-27,17.45,17.45,16.15,16.5,16.45,16976.0,2.86
2010-01-28,16.5,16.65,15.7,16.4,16.25,13505.0,2.18
2010-01-29,16.1,17.25,15.55,17.2,16.9,25082.0,4.04
2010-02-01,17.1,17.45,16.1,17.3,16.95,14250.0,2.42
2010-02-02,16.55,18.0,16.4,17.25,16.9,22228.0,3.83
2010-02-03,17.2,17.45,16.9,17.0,17.15,20676.0,3.54
2010-02-04,17.0,17.3,16.5,17.0,16.7,11594.0,1.98
2010-02-05,15.8,16.5,15.75,16.5,16.35,22363.0,3.62
2010-02-06,17.2,17.3,15.75,16.35,16.4,6004.0,0.99
2010-02-08,16.0,17.15,16.0,16.8,16.7,9079.0,1.51
2010-02-09,16.3,16.75,16.2,16.45,16.3,15877.0,2.59
2010-02-10,16.0,16.6,16.0,16.4,16.25,13879.0,2.25
2010-02-11,16.8,16.9,16.0,16.9,16.55,23661.0,3.87
2010-02-15,16.6,16.65,15.1,15.8,15.6,11876.0,1.9
2010-02-16,16.8,16.8,15.5,16.15,15.9,10499.0,1.68
2010-02-17,14.35,16.7,14.35,15.5,15.55,8543.0,1.34
2010-02-18,15.25,15.9,15.25,15.35,15.35,9663.0,1.49
2010-02-19,15.95,15.95,14.6,14.6,14.75,8971.0,1.33
2010-02-22,14.15,15.35,14.05,14.15,14.15,18489.0,2.63
2010-02-23,14.15,14.7,14.05,14.4,14.1,6736.0,0.96
2010-02-24,13.7,13.75,13.4,13.4,13.4,7772.0,1.05
2010-02-25,13.8,14.1,12.9,13.5,13.4,11255.0,1.51
2010-02-26,13.0,14.05,12.95,14.05,13.9,2950.0,0.4
2010-03-02,14.0,14.6,14.0,14.6,14.6,9170.0,1.31
2010-03-03,14.7,15.35,14.6,15.35,15.25,7640.0,1.15
2010-03-04,14.55,15.9,14.55,15.6,15.5,6493.0,0.99
2010-03-05,15.0,15.6,14.8,15.0,15.0,12526.0,1.88
2010-03-08,14.9,14.9,14.3,14.75,14.65,4924.0,0.72
2010-03-09,15.4,15.4,14.1,14.75,14.25,8634.0,1.24
2010-03-10,14.0,14.75,13.9,14.0,14.1,5007.0,0.71
2010-03-11,13.4,14.3,13.4,13.9,13.9,5168.0,0.71
2010-03-12,14.6,14.6,13.6,13.8,13.85,3333.0,0.47
2010-03-15,14.0,14.0,13.3,13.65,13.65,2800.0,0.38
2010-03-16,13.55,13.55,13.15,13.25,13.25,1817.0,0.24
2010-03-17,13.25,13.8,13.0,13.05,13.05,5501.0,0.72
2010-03-18,13.25,13.25,13.05,13.05,13.05,3401.0,0.45
2010-03-19,13.1,13.4,12.75,13.05,13.05,3301.0,0.43
2010-03-22,13.4,13.4,12.6,12.6,12.6,2618.0,0.33
2010-03-23,13.25,13.25,12.4,13.0,12.5,4293.0,0.54
2010-03-25,13.0,13.0,12.15,12.3,12.55,10151.0,1.28
2010-03-26,12.1,13.0,12.1,12.45,12.45,5225.0,0.66
2010-03-29,12.0,12.9,12.0,12.15,12.45,7086.0,0.88
2010-03-30,12.2,12.8,11.9,11.9,12.0,8767.0,1.07
2010-03-31,12.55,12.55,12.0,12.55,12.3,2646.0,0.33
2010-04-01,12.2,12.95,12.2,12.95,12.95,1831.0,0.23
2010-04-05,13.0,13.6,13.0,13.5,13.5,8258.0,1.11
2010-04-06,13.0,14.0,12.85,13.5,13.5,11415.0,1.58
2010-04-07,13.5,13.95,13.0,13.15,13.15,4779.0,0.64
2010-04-08,13.0,13.7,13.0,13.65,13.6,2170.0,0.29
2010-04-09,14.2,14.2,13.0,13.25,13.65,3365.0,0.46
2010-04-12,13.5,13.75,13.25,13.75,13.75,3299.0,0.44
2010-04-13,13.25,13.7,13.15,13.7,13.7,2200.0,0.3
2010-04-15,13.7,13.7,13.15,13.25,13.25,1849.0,0.25
2010-04-16,13.1,13.85,12.6,13.0,13.0,4191.0,0.55
2010-04-19,12.8,13.35,12.7,12.9,12.9,3621.0,0.47
2010-04-20,12.8,13.55,12.8,13.0,13.0,1812.0,0.24
2010-04-21,12.4,13.45,12.4,13.45,13.35,1935.0,0.26
2010-04-22,13.55,13.7,12.85,13.05,13.05,2364.0,0.31
2010-04-23,13.5,13.7,12.8,13.7,13.55,4366.0,0.59
2010-04-26,13.7,14.1,13.3,13.3,13.4,13867.0,1.9
2010-04-27,13.95,14.1,13.95,14.1,14.1,3095.0,0.44
2010-04-28,14.8,14.85,14.5,14.85,14.8,45246.0,6.7
2010-04-29,15.25,15.25,14.3,14.45,14.65,12279.0,1.8
2010-04-30,14.35,14.95,13.95,13.95,13.95,27535.0,4.0
2010-05-03,14.2,14.6,13.55,14.3,14.3,2800.0,0.39
2010-05-04,13.65,14.3,13.65,14.3,14.15,7008.0,0.99
2010-05-05,13.6,14.15,13.45,14.15,14.1,5732.0,0.79
2010-05-06,13.9,14.0,13.8,14.0,14.0,1000.0,0.14
2010-05-07,13.3,14.0,13.3,13.8,13.5,9712.0,1.32
2010-05-10,13.4,14.2,13.4,14.1,14.0,9339.0,1.3
2010-05-11,13.95,14.5,13.9,14.5,14.5,1265.0,0.18
2010-05-12,13.8,14.0,13.8,13.9,13.9,2774.0,0.39
2010-05-13,13.2,14.2,13.2,13.95,13.9,2102.0,0.29
2010-05-14,13.9,13.9,13.9,13.9,13.9,1.0,0.0
2010-05-17,13.2,13.55,13.2,13.2,13.2,1349.0,0.18
2010-05-18,13.8,13.8,12.75,13.7,13.7,3746.0,0.48
2010-05-19,13.6,13.6,13.05,13.05,13.05,3030.0,0.4
2010-05-20,13.05,13.05,12.85,12.85,12.85,1566.0,0.2
2010-05-21,12.75,13.4,12.25,13.0,12.95,3012.0,0.38
2010-05-24,13.5,13.5,12.35,12.35,12.45,3318.0,0.42
2010-05-25,12.35,12.4,12.35,12.35,12.35,1175.0,0.15
2010-05-26,12.05,12.5,12.05,12.5,12.5,724.0,0.09
2010-05-27,13.05,13.05,12.15,12.15,12.2,302.0,0.04
2010-05-28,12.15,12.35,12.15,12.25,12.25,4065.0,0.5
2010-05-31,12.0,12.5,12.0,12.5,12.5,2865.0,0.35
2010-06-01,12.0,12.5,11.9,12.5,12.5,1490.0,0.18
2010-06-02,12.0,12.7,12.0,12.7,12.7,318.0,0.04
2010-06-03,12.2,12.85,12.1,12.1,12.15,2011.0,0.25
2010-06-04,12.7,12.7,12.1,12.1,12.1,810.0,0.1
2010-06-07,11.5,12.65,11.5,12.6,12.6,2367.0,0.28
2010-06-08,12.05,12.7,12.05,12.3,12.35,2211.0,0.27
2010-06-09,13.0,13.0,11.9,12.45,12.45,219.0,0.03
2010-06-10,12.0,12.0,11.95,11.95,11.95,250.0,0.03
2010-06-11,12.0,12.55,12.0,12.2,12.2,6572.0,0.81
2010-06-14,12.05,12.1,11.95,12.0,12.0,1750.0,0.21
2010-06-15,12.0,12.55,11.9,12.45,12.1,3549.0,0.43
2010-06-16,12.0,12.35,11.85,12.35,12.25,6956.0,0.84
2010-06-17,12.1,12.1,11.85,11.95,11.95,5945.0,0.71
2010-06-18,12.0,12.0,11.8,11.9,11.9,1225.0,0.15
2010-06-21,11.85,12.35,11.8,11.9,12.1,2822.0,0.33
2010-06-22,12.4,12.4,11.9,12.0,12.0,952.0,0.11
2010-06-23,12.6,12.6,11.75,11.8,11.8,6490.0,0.76
2010-06-24,11.95,12.2,11.9,11.9,11.9,1252.0,0.15
2010-06-25,12.0,12.3,11.8,11.9,11.95,3151.0,0.38
2010-06-28,12.45,12.45,11.8,11.9,11.9,1360.0,0.16
2010-06-29,12.3,12.3,11.9,11.95,11.95,1060.0,0.13
2010-06-30,11.95,12.25,11.8,12.25,12.25,795.0,0.09
2010-07-01,12.25,12.4,11.75,11.8,11.8,2520.0,0.3
2010-07-02,11.6,11.95,11.55,11.75,11.8,3693.0,0.43
2010-07-05,11.5,12.4,11.5,11.7,11.85,2943.0,0.35
2010-07-06,11.95,12.2,11.9,12.1,12.1,1205.0,0.15
2010-07-07,12.0,12.35,11.95,12.15,12.15,5202.0,0.64
