Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-04-17,52.0,57.0,52.0,57.0,56.65,294.0,0.17
2012-04-18,55.0,57.7,55.0,57.0,56.8,249.0,0.14
2012-04-19,54.0,57.0,51.2,53.0,53.65,2047.0,1.11
2012-04-20,55.25,55.25,53.2,53.2,53.25,1315.0,0.71
2012-04-23,51.85,56.95,51.85,51.85,51.95,2881.0,1.55
2012-04-24,54.25,56.7,50.55,55.0,55.5,6317.0,3.39
2012-04-25,56.9,56.9,53.3,54.9,54.0,601.0,0.33
2012-04-26,57.0,57.0,53.75,54.3,54.25,9162.0,5.01
2012-04-27,57.1,57.1,55.0,55.0,55.35,1656.0,0.92
2012-04-28,53.05,53.5,53.05,53.5,53.3,50.0,0.03
2012-04-30,52.0,54.45,52.0,53.5,53.5,1055.0,0.55
2012-05-02,55.9,55.9,53.0,54.0,54.0,1913.0,1.03
2012-05-03,52.0,53.8,52.0,53.5,53.55,538.0,0.28
2012-05-04,52.05,52.7,51.0,51.0,51.0,620.0,0.32
2012-05-07,56.65,56.65,51.15,51.15,51.15,220.0,0.11
2012-05-08,55.0,55.0,50.55,50.55,50.95,1441.0,0.74
2012-05-09,53.65,53.65,50.0,50.0,50.0,191.0,0.1
2012-05-10,53.65,53.65,49.0,49.0,49.05,372.0,0.19
2012-05-11,51.0,51.0,48.35,48.35,48.6,1026.0,0.5
2012-05-14,49.0,49.0,48.5,48.5,48.5,150.0,0.07
2012-05-15,48.5,50.0,48.0,50.0,50.0,621.0,0.31
2012-05-16,52.0,52.0,48.15,48.55,48.6,91.0,0.05
2012-05-17,51.9,55.45,47.8,47.8,48.95,1454.0,0.75
2012-05-18,49.0,49.0,49.0,49.0,49.0,491.0,0.24
2012-05-21,47.0,49.8,47.0,47.75,47.8,421.0,0.2
2012-05-22,51.0,53.65,45.45,45.45,45.45,2003.0,0.92
2012-05-23,45.5,45.5,43.0,45.0,45.0,200.0,0.09
2012-05-24,47.95,50.0,46.3,48.9,47.8,513.0,0.25
2012-05-25,46.3,48.95,46.3,48.95,48.95,238.0,0.12
2012-05-28,48.05,50.0,47.0,50.0,50.0,613.0,0.3
2012-05-29,47.0,50.75,45.05,50.75,50.75,753.0,0.38
2012-05-30,50.0,52.55,47.8,50.15,50.15,750.0,0.38
2012-05-31,54.0,55.6,50.0,50.0,50.0,1080.0,0.55
2012-06-01,54.0,54.95,50.6,52.35,52.35,311.0,0.16
2012-06-04,51.5,54.5,48.0,50.25,49.05,565.0,0.28
2012-06-05,47.5,53.65,47.5,52.0,50.2,747.0,0.39
