Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,270.0,270.0,263.1,265.6,266.75,3296.0,8.76
2010-01-05,268.0,270.0,262.05,270.0,269.6,2945.0,7.9
2010-01-06,262.1,270.4,262.1,266.8,267.8,2330.0,6.24
2010-01-07,267.8,271.0,267.1,268.0,268.0,2602.0,6.99
2010-01-08,268.1,274.95,268.1,272.0,272.95,4578.0,12.45
2010-01-11,285.0,285.0,265.0,273.0,273.0,5495.0,15.02
2010-01-12,270.0,274.3,269.2,272.0,271.7,5326.0,14.46
2010-01-13,267.5,275.0,267.5,272.0,271.9,3675.0,9.99
2010-01-14,280.0,280.0,270.75,274.0,273.4,2213.0,6.05
2010-01-15,268.15,277.95,268.15,277.95,276.2,3945.0,10.85
2010-01-18,275.0,285.0,273.65,275.0,275.0,2109.0,5.84
2010-01-19,278.0,278.0,272.0,272.0,273.1,1618.0,4.44
2010-01-20,277.0,277.0,269.1,273.0,271.65,2546.0,6.91
2010-01-21,270.0,273.0,265.1,273.0,269.75,1966.0,5.3
2010-01-22,260.5,270.0,260.0,265.5,265.5,1237.0,3.29
2010-01-25,268.25,274.0,261.2,264.9,263.9,1182.0,3.16
2010-01-27,264.1,264.1,254.1,256.0,255.85,1614.0,4.15
2010-01-28,260.0,268.0,250.0,255.0,254.95,646.0,1.64
2010-01-29,256.5,257.0,246.25,251.25,251.35,932.0,2.35
2010-02-01,236.5,273.0,236.5,258.0,255.15,573.0,1.49
2010-02-02,259.95,278.8,240.05,256.0,256.85,549.0,1.41
2010-02-03,251.1,263.5,249.0,252.0,251.35,755.0,1.9
2010-02-04,258.9,260.0,245.35,245.65,247.15,414.0,1.05
2010-02-05,236.0,246.8,236.0,240.0,241.05,1640.0,3.97
2010-02-06,240.0,243.3,240.0,241.0,242.2,126.0,0.31
2010-02-08,244.55,255.0,236.6,241.5,241.8,680.0,1.64
2010-02-09,240.5,242.95,240.0,240.0,240.0,1520.0,3.66
2010-02-10,245.0,278.8,240.05,275.0,271.25,4900.0,12.82
2010-02-11,265.0,283.25,259.0,277.8,276.2,9164.0,24.73
2010-02-15,270.15,280.0,261.5,262.0,262.95,2152.0,5.77
2010-02-16,260.05,266.5,260.0,260.0,260.0,1263.0,3.31
2010-02-17,269.0,272.9,261.5,263.05,263.05,1150.0,3.05
2010-02-18,269.0,269.0,259.6,261.25,264.7,502.0,1.33
2010-02-19,261.5,265.7,257.65,262.6,262.4,1387.0,3.65
2010-02-22,254.4,276.0,250.0,272.0,271.6,7850.0,21.07
2010-02-23,270.0,271.6,260.3,260.3,260.85,1438.0,3.79
2010-02-24,255.1,268.0,255.1,268.0,265.05,3847.0,10.07
2010-02-25,261.6,271.0,259.5,270.0,269.0,2802.0,7.52
2010-02-26,272.0,280.45,260.35,272.0,272.15,6937.0,19.15
2010-03-02,269.8,270.0,250.1,262.05,261.5,2814.0,7.54
2010-03-03,264.2,269.65,264.2,266.0,265.95,2398.0,6.4
2010-03-04,269.9,269.9,260.0,260.75,261.35,1517.0,4.02
2010-03-05,268.0,268.0,262.75,263.0,263.15,883.0,2.33
2010-03-08,263.5,275.0,262.05,269.5,269.75,8112.0,21.73
2010-03-09,270.0,272.95,270.0,272.0,272.0,3761.0,10.19
2010-03-10,271.0,288.4,271.0,288.0,278.3,3981.0,11.05
2010-03-11,300.0,309.2,278.1,280.0,281.95,7694.0,22.12
2010-03-12,272.05,283.0,270.0,270.1,271.0,1399.0,3.85
2010-03-15,273.8,273.8,267.05,267.1,267.1,868.0,2.34
2010-03-16,267.0,279.9,262.5,262.5,265.05,2536.0,6.75
2010-03-17,264.0,270.0,264.0,266.0,266.05,1283.0,3.42
2010-03-18,265.0,268.4,264.5,265.75,266.25,2140.0,5.69
2010-03-19,269.95,269.95,261.05,266.95,264.45,1387.0,3.68
2010-03-22,272.8,272.8,264.55,264.9,264.9,394.0,1.05
2010-03-23,267.5,269.95,265.6,265.6,266.65,952.0,2.54
2010-03-25,266.2,274.9,261.0,265.5,264.55,2314.0,6.2
2010-03-26,262.55,269.95,262.55,267.0,267.4,501.0,1.33
2010-03-29,265.05,267.9,262.4,265.95,264.15,1787.0,4.72
2010-03-30,298.0,298.0,267.65,275.65,274.75,4449.0,12.22
2010-03-31,273.35,305.8,272.0,305.8,294.95,10662.0,31.31
2010-04-01,282.7,299.0,280.0,299.0,289.8,8576.0,24.66
2010-04-05,290.0,290.5,282.3,283.0,283.7,2147.0,6.11
2010-04-06,281.5,289.0,275.1,275.5,276.85,883.0,2.48
2010-04-07,280.0,289.5,276.65,277.2,280.7,1643.0,4.66
2010-04-08,278.1,280.0,276.0,276.0,276.0,514.0,1.43
2010-04-09,273.4,283.0,273.4,277.0,275.9,399.0,1.1
2010-04-12,276.0,283.0,271.9,276.0,275.2,646.0,1.78
2010-04-13,272.15,277.0,271.0,274.9,273.8,2777.0,7.59
2010-04-15,275.0,281.0,275.0,277.0,277.2,472.0,1.31
2010-04-16,279.95,279.95,275.0,277.0,276.5,539.0,1.49
2010-04-19,268.5,277.0,268.5,275.0,275.0,1705.0,4.67
2010-04-20,278.5,308.0,272.5,294.0,294.5,6412.0,18.86
2010-04-21,294.0,322.0,283.35,288.0,292.25,13964.0,42.61
2010-04-22,288.0,294.0,288.0,290.6,291.0,1039.0,3.03
2010-04-23,287.55,297.5,284.5,287.0,287.2,855.0,2.46
2010-04-26,287.0,294.95,287.0,287.05,287.55,294.0,0.85
2010-04-27,287.0,291.95,282.0,282.0,282.0,407.0,1.16
2010-04-28,278.25,287.0,278.2,280.6,280.95,1048.0,2.94
2010-04-29,282.0,288.0,281.9,282.15,284.8,317.0,0.9
2010-04-30,282.0,284.9,280.2,281.5,281.85,416.0,1.17
2010-05-03,282.0,282.0,279.0,282.0,280.0,734.0,2.06
2010-05-04,280.1,302.0,280.1,291.0,297.15,8920.0,26.47
2010-05-05,286.0,298.0,280.0,295.0,292.25,6726.0,19.38
2010-05-06,286.75,296.7,284.25,296.7,292.85,1863.0,5.42
2010-05-07,290.05,299.0,284.5,291.4,293.75,2675.0,7.82
2010-05-10,291.0,295.0,287.15,287.2,289.5,649.0,1.89
2010-05-11,295.0,296.0,289.0,293.5,293.25,700.0,2.05
2010-05-12,292.0,292.0,287.1,287.75,288.05,246.0,0.71
2010-05-13,287.0,290.0,287.0,288.0,287.7,229.0,0.66
2010-05-14,285.25,296.9,280.2,296.4,290.9,1610.0,4.67
2010-05-17,276.5,284.95,276.5,282.75,281.25,800.0,2.24
2010-05-18,277.25,296.0,277.25,296.0,292.3,4907.0,14.3
2010-05-19,283.4,300.0,283.4,292.4,297.3,5251.0,15.56
2010-05-20,300.0,300.0,281.1,287.6,287.8,996.0,2.88
2010-05-21,295.0,296.0,279.9,295.0,292.75,5895.0,17.12
2010-05-24,283.0,297.0,283.0,285.0,286.2,1491.0,4.32
2010-05-25,284.05,286.0,279.05,280.0,282.2,3469.0,9.76
2010-05-26,284.1,284.1,275.0,275.0,275.6,2182.0,6.09
2010-05-27,277.1,282.0,276.0,277.0,277.05,475.0,1.33
2010-05-28,285.0,285.0,275.0,275.0,276.3,974.0,2.72
2010-05-31,277.1,285.0,275.0,277.0,275.45,2291.0,6.38
2010-06-01,276.4,282.5,275.0,275.0,275.05,590.0,1.63
2010-06-02,275.0,279.95,272.3,273.1,273.1,2250.0,6.18
2010-06-03,273.1,280.0,273.1,275.0,275.4,3703.0,10.19
2010-06-04,273.0,279.9,273.0,275.0,273.85,324.0,0.89
2010-06-07,270.0,274.0,270.0,271.5,271.6,464.0,1.26
2010-06-08,279.95,279.95,272.3,272.3,272.35,615.0,1.69
2010-06-09,272.05,280.0,269.45,280.0,276.55,6785.0,18.62
2010-06-10,274.3,277.0,274.3,275.0,275.0,1289.0,3.54
2010-06-11,275.0,279.9,272.35,272.35,272.35,1016.0,2.8
2010-06-14,278.0,280.0,271.3,271.3,271.45,1413.0,3.88
