Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-07-01,75.0,75.95,63.1,64.15,64.85,10830205.0,7349.53
2010-07-02,64.65,65.9,59.55,60.1,61.1,2380676.0,1501.18
2010-07-05,61.0,62.2,59.35,61.8,61.25,750319.0,455.26
2010-07-06,61.3,63.2,60.5,61.65,61.8,831241.0,515.42
2010-07-07,61.95,62.75,60.85,61.25,61.35,668847.0,414.33
2010-07-08,62.05,62.5,60.7,60.7,60.9,487213.0,298.21
2010-07-09,61.9,61.9,59.95,60.0,60.15,212550.0,128.7
2010-07-12,60.55,62.4,59.1,61.4,61.4,539534.0,331.15
2010-07-13,62.0,62.0,60.1,60.2,60.5,141752.0,86.63
2010-07-14,60.7,61.2,59.8,60.3,60.15,123190.0,74.59
2010-07-15,59.8,60.75,59.05,59.25,59.5,133953.0,80.29
2010-07-16,59.75,61.8,59.6,59.65,59.95,472562.0,284.2
2010-07-19,59.1,60.75,59.0,59.4,59.4,366117.0,218.15
2010-07-20,59.95,60.8,59.15,59.15,60.0,568581.0,339.96
2010-07-21,60.4,62.9,59.7,62.0,61.7,625816.0,385.49
2010-07-22,61.0,62.25,60.2,60.2,60.8,187229.0,115.14
2010-07-23,60.7,61.8,59.3,60.1,59.85,142554.0,86.13
2010-07-26,60.0,61.1,59.1,59.45,59.4,109756.0,65.75
2010-07-27,59.7,59.85,58.8,59.0,59.0,87939.0,52.15
2010-07-28,59.15,59.75,57.15,57.2,57.45,105509.0,61.02
2010-07-29,57.3,57.3,56.05,56.5,56.8,110917.0,62.79
2010-07-30,56.8,56.8,54.05,54.35,54.4,153993.0,84.88
2010-08-02,55.75,55.75,53.35,54.0,54.25,122393.0,66.8
2010-08-03,65.0,65.0,53.05,53.6,53.5,86669.0,47.08
2010-08-04,46.55,55.0,46.55,53.55,53.85,146977.0,79.79
2010-08-05,50.05,54.65,50.05,53.55,53.7,74208.0,39.94
2010-08-06,53.15,53.8,53.0,53.25,53.05,71565.0,38.04
2010-08-09,53.5,59.8,52.35,58.0,58.7,537649.0,307.98
2010-08-10,59.0,62.0,58.0,61.25,61.4,369023.0,224.88
2010-08-11,61.0,62.9,58.25,58.25,58.8,205984.0,124.72
2010-08-12,58.0,60.9,57.35,59.7,59.55,143244.0,85.24
2010-08-13,59.0,61.0,58.8,59.45,59.95,121910.0,73.54
2010-08-16,61.0,61.3,59.2,59.75,59.45,62381.0,37.53
