Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-04-21,16.6,16.6,15.1,15.1,15.1,15.15,38885.0
2016-04-22,15.1,15.85,14.5,15.85,15.8,15.18,30212.0
2016-04-25,15.2,15.8,15.2,15.8,15.8,15.37,8410.0
2016-04-26,15.05,16.0,15.05,15.8,15.8,15.6,28987.0
2016-04-27,15.05,16.0,15.05,15.5,15.5,15.46,23605.0
2016-04-28,14.85,15.9,14.85,15.45,15.45,15.44,3007.0
2016-04-29,16.0,16.0,14.9,15.15,15.15,15.1,5518.0
2016-05-02,14.9,15.45,14.7,15.4,14.85,14.91,13119.0
2016-05-03,15.45,15.45,14.3,14.3,14.3,14.66,22069.0
2016-05-04,14.0,14.85,14.0,14.85,14.05,14.11,8663.0
2016-05-05,14.75,14.75,14.1,14.7,14.15,14.18,11503.0
2016-05-06,14.0,14.85,13.9,14.8,14.8,14.67,11581.0
2016-05-09,14.8,15.5,14.8,15.5,15.5,15.43,30604.0
2016-05-10,14.75,16.1,14.75,15.75,15.75,15.14,10732.0
2016-05-11,15.0,15.75,15.0,15.35,15.35,15.42,6028.0
2016-08-23,13.45,14.55,13.45,14.2,14.35,8679.0,1.25
2016-08-24,14.0,14.5,14.0,14.1,14.2,5791.0,0.83
2016-08-25,14.0,14.9,13.65,14.8,14.85,47227.0,7.0
2016-08-26,14.9,15.3,14.15,14.35,14.35,22294.0,3.29
2016-08-29,14.95,14.95,13.65,14.1,13.9,15742.0,2.18
2016-08-30,13.4,14.5,13.4,14.0,13.9,5264.0,0.73
2016-08-31,14.5,14.5,13.4,13.7,13.5,23709.0,3.27
2016-09-01,13.5,13.85,13.25,13.5,13.5,6139.0,0.83
2016-09-02,14.05,14.05,13.3,14.0,13.3,13193.0,1.78
2016-09-06,14.5,14.5,13.25,13.8,13.45,7966.0,1.08
2016-09-07,13.65,13.85,13.1,13.55,13.55,6351.0,0.85
2016-09-08,14.05,14.1,13.55,13.95,13.8,4981.0,0.69
2016-09-09,14.1,14.1,13.55,13.65,13.75,6886.0,0.96
2016-09-12,14.0,14.1,13.15,13.9,13.75,21439.0,2.87
2016-09-14,13.55,13.6,13.15,13.5,13.5,16545.0,2.2
2016-09-15,13.7,14.4,13.6,14.0,13.95,16624.0,2.35
2016-09-16,14.65,14.65,13.8,14.2,13.9,22697.0,3.19
2016-09-19,12.55,14.4,12.55,13.95,13.8,9118.0,1.24
2016-09-20,15.15,15.15,13.2,13.75,13.7,13075.0,1.79
2016-09-21,13.0,14.0,13.0,14.0,13.9,14477.0,1.99
2016-09-22,13.8,14.0,13.6,13.85,13.8,14762.0,2.04
2016-09-23,13.8,13.85,13.6,13.75,13.75,4063.0,0.56
2016-09-26,13.55,13.85,13.5,13.85,13.85,19859.0,2.72
2016-09-27,14.1,14.1,13.5,13.8,13.6,2415.0,0.33
2016-09-28,14.75,14.75,13.05,14.0,13.75,26768.0,3.75
2016-09-29,14.2,14.95,12.4,12.6,12.5,26680.0,3.57
2016-09-30,12.05,13.5,12.0,13.45,13.4,17546.0,2.32
2016-10-03,13.85,13.85,13.1,13.35,13.45,23168.0,3.13
2016-10-04,13.9,14.0,13.65,14.0,14.0,16526.0,2.29
2016-10-05,14.4,15.25,13.9,14.7,14.8,91708.0,13.57
2016-10-06,15.5,16.25,14.8,15.55,15.45,222763.0,35.23
2016-10-07,16.7,18.5,15.6,18.2,18.45,396229.0,70.11
2016-10-10,18.9,19.55,17.0,18.3,18.65,314715.0,58.89
2016-10-13,19.95,19.95,17.8,18.55,18.65,160411.0,30.02
2016-10-14,19.5,19.5,18.85,18.95,19.05,54285.0,10.4
2016-10-17,19.35,21.1,19.2,20.7,20.9,238048.0,48.36
2016-10-18,21.55,22.55,19.6,19.95,19.95,214853.0,45.28
2016-10-19,20.9,20.9,19.5,20.3,20.2,58215.0,11.76
2016-10-20,19.95,20.8,19.95,20.5,20.5,58116.0,11.87
2016-10-21,19.55,21.35,19.55,21.1,21.1,160770.0,33.26
2016-10-24,22.8,22.8,21.5,22.0,22.05,216628.0,47.93
2016-10-25,22.75,22.75,20.8,21.8,21.6,55834.0,12.02
2016-10-26,21.6,21.65,20.8,21.0,21.1,45386.0,9.63
2016-10-27,21.0,21.35,20.35,21.05,21.0,44774.0,9.28
2016-10-28,20.5,21.5,20.5,20.5,20.6,20041.0,4.16
2016-10-30,21.75,21.9,20.45,21.0,21.05,23904.0,5.08
2016-11-01,21.3,22.5,21.0,21.4,21.65,73825.0,16.2
2016-11-02,21.4,21.7,20.3,20.7,20.8,55191.0,11.52
2016-11-03,20.5,22.35,20.5,21.65,21.5,95214.0,20.74
2016-11-04,25.8,25.8,20.65,21.5,21.1,197370.0,43.67
2016-11-07,22.9,22.9,19.05,21.9,21.8,123252.0,27.03
2016-11-08,21.3,22.8,21.3,21.5,21.85,68105.0,15.12
2016-11-09,20.0,21.5,17.55,21.5,20.95,137635.0,26.66
2016-11-10,21.9,22.35,20.25,20.4,20.45,111696.0,23.5
2016-11-11,20.0,20.9,19.75,20.4,19.95,40519.0,8.14
2016-11-15,19.75,19.75,18.0,18.3,18.2,33789.0,6.27
2016-11-16,18.4,18.75,18.0,18.05,18.1,17205.0,3.13
2016-11-17,18.1,18.55,17.6,17.8,17.8,21023.0,3.81
2016-11-18,17.6,18.25,17.6,17.9,17.8,14862.0,2.67
2016-11-21,17.35,17.7,16.4,16.4,16.5,14243.0,2.4
2016-11-22,16.55,17.2,16.0,16.9,16.75,22641.0,3.73
2016-11-23,16.4,17.5,13.7,17.25,17.1,59599.0,9.59
2016-11-24,16.8,17.1,16.3,16.7,16.7,36962.0,6.22
2016-11-25,16.6,18.05,16.6,17.9,17.8,16862.0,2.98
