Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,215.1,232.0,215.0,230.0,230.0,1860.0,4.2
2010-01-05,221.0,230.0,221.0,230.0,229.35,979.0,2.23
2010-01-06,221.35,240.85,221.35,230.05,232.3,550.0,1.27
2010-01-07,233.95,233.95,223.0,231.95,231.95,537.0,1.22
2010-01-08,232.0,236.85,225.2,227.0,227.0,675.0,1.56
2010-01-11,220.55,233.5,220.55,230.0,231.25,965.0,2.23
2010-01-12,225.0,233.7,222.0,225.05,225.05,794.0,1.79
2010-01-13,225.05,235.9,225.0,230.0,235.4,2763.0,6.42
2010-01-14,239.0,240.0,226.65,235.0,235.0,738.0,1.72
2010-01-15,231.1,233.0,227.25,233.0,233.0,355.0,0.82
2010-01-18,234.0,234.0,230.0,234.0,234.0,1729.0,4.04
2010-01-19,229.05,238.35,229.0,235.0,235.0,1443.0,3.38
2010-01-20,234.0,235.0,231.0,235.0,234.85,364.0,0.85
2010-01-21,238.95,239.0,233.2,233.25,235.05,522.0,1.23
2010-01-22,235.0,241.0,233.0,235.3,235.3,4630.0,10.97
2010-01-25,237.0,242.0,237.0,241.0,240.75,1812.0,4.36
2010-01-27,237.5,237.5,228.75,235.0,233.85,9608.0,22.57
2010-01-28,235.0,245.55,235.0,245.55,245.55,2056.0,5.01
2010-01-29,250.0,257.85,250.0,257.0,257.8,9058.0,23.34
2010-02-01,270.0,270.7,265.05,267.0,267.4,3267.0,8.78
2010-02-02,280.8,280.8,275.2,280.8,279.2,55286.0,155.24
2010-02-03,287.3,287.3,270.0,270.0,270.9,1810.0,5.12
2010-02-04,270.0,281.9,264.0,271.05,271.05,1130.0,3.14
2010-02-05,265.7,274.0,260.1,274.0,269.55,11422.0,30.16
2010-02-08,279.0,279.0,265.0,265.0,265.0,883.0,2.39
2010-02-09,265.0,265.0,262.0,262.0,262.0,67.0,0.18
2010-02-10,250.0,269.0,250.0,269.0,269.0,3639.0,9.71
2010-02-11,269.0,270.0,265.05,265.1,265.1,156.0,0.41
2010-02-15,256.2,265.0,256.2,265.0,263.85,2230.0,5.77
2010-02-16,255.35,277.0,255.35,275.0,274.95,984.0,2.64
2010-02-17,284.0,288.5,278.0,287.95,284.05,2263.0,6.45
2010-02-18,287.0,290.0,281.0,282.0,284.5,8154.0,23.36
2010-02-19,276.05,297.95,276.05,290.0,285.65,13575.0,38.83
2010-02-22,291.9,291.9,273.0,275.0,275.2,1215.0,3.42
2010-02-23,272.0,274.25,264.1,268.0,268.95,2327.0,6.31
2010-02-24,282.0,282.0,261.0,263.0,265.65,4299.0,11.63
2010-02-25,272.95,272.95,260.15,263.0,262.4,1151.0,3.01
2010-02-26,270.95,275.55,258.0,275.0,275.55,3944.0,10.74
2010-03-02,285.0,286.9,279.0,285.0,285.0,31861.0,89.35
2010-03-03,284.9,299.25,284.8,299.25,299.25,10027.0,29.61
2010-03-04,306.0,314.25,301.0,314.25,314.25,13037.0,40.68
2010-03-05,329.0,330.0,323.5,330.0,330.0,19586.0,64.63
2010-03-08,355.0,359.0,329.0,345.0,341.5,16207.0,54.95
2010-03-09,340.05,368.8,340.05,357.0,357.25,22920.0,82.38
2010-03-10,363.0,363.0,342.0,345.0,344.95,7500.0,26.37
2010-03-11,341.0,349.9,341.0,348.5,342.9,3043.0,10.45
