Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,1730.0,1742.8,1715.05,1720.0,1719.2,1490.0,25.74
2010-01-05,1716.2,1795.0,1716.2,1733.0,1737.05,55913.0,979.55
2010-01-06,1760.0,1760.0,1703.4,1707.0,1711.2,1149.0,19.81
2010-01-07,1780.0,1780.0,1715.0,1739.0,1727.8,18723.0,323.37
2010-01-08,1739.5,1739.5,1683.65,1695.0,1707.35,52457.0,895.62
2010-01-11,1700.0,1709.8,1685.0,1705.0,1702.35,888.0,15.08
2010-01-12,1705.0,1705.0,1686.0,1690.0,1692.25,350.0,5.93
2010-01-13,1700.0,1734.9,1700.0,1734.9,1731.2,1884.0,32.39
2010-01-14,1740.0,1744.0,1720.0,1744.0,1736.9,1630.0,28.21
2010-01-15,1730.0,1799.9,1730.0,1771.0,1772.25,3428.0,60.93
2010-01-18,1795.0,1800.0,1765.0,1798.95,1791.25,2788.0,49.6
2010-01-19,1775.0,1799.9,1755.0,1774.0,1773.15,1248.0,22.21
2010-01-20,1774.9,1774.9,1740.1,1750.0,1750.1,330.0,5.78
2010-01-21,1736.25,1750.0,1710.3,1716.0,1717.15,372.0,6.44
2010-01-22,1700.0,1700.0,1650.3,1690.0,1683.25,2163.0,36.33
2010-01-25,1680.1,1688.8,1602.0,1607.0,1615.75,1446.0,23.7
2010-01-27,1620.0,1655.0,1570.15,1585.0,1585.65,6174.0,97.93
2010-01-28,1585.65,1599.7,1575.3,1594.9,1577.75,610.0,9.69
2010-01-29,1575.0,1600.05,1560.0,1590.5,1593.55,1131.0,17.94
2010-02-01,1645.0,1775.0,1645.0,1750.0,1761.55,59082.0,996.64
2010-02-02,1750.0,1750.0,1720.0,1720.0,1728.0,1584.0,27.42
2010-02-03,1757.8,1771.95,1730.15,1765.0,1758.95,3022.0,52.88
2010-02-04,1734.0,1890.0,1734.0,1875.0,1850.35,15693.0,287.47
2010-02-05,1850.35,1897.0,1750.0,1851.0,1857.25,11357.0,210.02
2010-02-06,1845.0,1870.0,1825.0,1827.0,1837.05,745.0,13.75
2010-02-08,1850.0,1936.0,1850.0,1934.0,1925.95,12811.0,243.82
2010-02-09,1881.0,1969.0,1881.0,1912.0,1915.9,79991.0,1539.78
2010-02-10,1920.0,1948.0,1910.0,1940.05,1941.2,3209.0,62.12
2010-02-11,1960.0,1963.0,1919.05,1930.0,1930.35,4573.0,88.42
2010-02-15,1920.0,1930.0,1910.0,1911.05,1921.45,2037.0,39.16
2010-02-16,1927.0,1959.0,1913.0,1913.0,1920.8,2160.0,41.92
2010-02-17,1910.0,1938.0,1910.0,1920.0,1919.85,1058.0,20.36
2010-02-18,1922.0,1949.0,1905.4,1912.0,1912.45,725.0,13.92
2010-02-19,1915.1,1933.8,1900.0,1905.0,1907.4,436.0,8.33
2010-02-22,1906.5,1918.0,1903.5,1905.0,1904.1,539.0,10.27
2010-02-23,1904.0,1949.0,1900.0,1900.0,1902.3,1728.0,32.97
2010-02-24,1903.0,1917.0,1901.0,1905.0,1908.75,3745.0,71.54
2010-02-25,1905.0,1919.9,1895.0,1903.0,1903.0,7842.0,149.24
2010-02-26,1905.0,1939.35,1900.0,1914.0,1902.7,1510.0,28.84
2010-03-02,1945.0,1945.0,1900.0,1905.0,1906.15,1767.0,33.71
2010-03-03,1908.75,1920.0,1905.0,1905.5,1911.85,835.0,15.94
2010-03-04,1925.0,1942.45,1899.9,1915.0,1906.55,2870.0,54.74
2010-03-05,1907.1,1924.0,1902.0,1912.55,1921.4,2019.0,38.57
2010-03-08,1930.0,1930.0,1905.6,1924.0,1919.9,1138.0,21.83
2010-03-09,1915.1,1923.5,1908.1,1923.0,1917.15,345.0,6.61
2010-03-10,1910.1,1919.5,1902.5,1915.0,1915.3,1564.0,29.85
2010-03-11,1863.0,1924.5,1863.0,1900.0,1903.85,566.0,10.8
2010-03-12,1924.0,1934.8,1905.0,1912.25,1914.6,753.0,14.4
2010-03-15,1910.0,1919.0,1903.0,1905.0,1904.7,1179.0,22.47
2010-03-16,1905.25,1916.0,1905.0,1915.0,1906.45,1627.0,31.04
2010-03-17,1907.0,1915.0,1905.0,1913.25,1912.6,527.0,10.06
2010-03-18,1920.0,1920.0,1905.0,1908.0,1909.95,494.0,9.43
2010-03-19,1905.25,1908.75,1841.35,1853.0,1855.25,1973.0,36.93
2010-03-22,1880.0,1940.0,1875.0,1897.0,1891.4,2929.0,55.54
2010-03-23,1900.0,1910.0,1862.15,1900.0,1900.25,1379.0,26.18
2010-03-25,1920.0,1920.0,1900.0,1900.0,1902.3,3485.0,66.23
2010-03-26,1920.0,1920.0,1892.5,1920.0,1917.95,2011.0,38.32
2010-03-29,1858.6,1929.8,1858.6,1910.0,1910.7,3099.0,59.26
2010-03-30,1906.1,1970.1,1906.1,1970.1,1944.2,1327.0,25.65
2010-03-31,1970.0,2218.0,1970.0,1996.0,2011.25,56607.0,1190.56
