Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-12-09,1625.0,1510.5,1510.5,1510.5,1536.23,3312.0,50.88
2015-12-10,1451.0,1435.0,1435.0,1435.0,1435.24,1405.0,20.17
2015-12-11,1365.0,1363.25,1363.25,1363.25,1363.29,1454.0,19.82
2015-12-14,1369.9,1300.0,1300.0,1306.55,1337.72,1270.0,16.99
2015-12-15,1370.0,1305.0,1349.8,1329.8,1336.66,1038.0,13.87
2015-12-16,1368.95,1331.0,1340.0,1340.9,1342.21,459.0,6.16
2015-12-17,1350.0,1330.0,1350.0,1342.85,1339.04,592.0,7.93
2015-12-18,1368.5,1308.0,1350.0,1354.6,1353.21,662.0,8.96
2015-12-21,1404.85,1332.55,1375.0,1378.55,1355.8,601.0,8.15
2015-12-22,1447.45,1370.0,1447.45,1447.45,1432.53,4300.0,61.6
2015-12-23,1550.0,1723.8,1550.0,1633.0,1642.6,25001.0,412.21
2015-12-24,1699.0,1699.0,1586.0,1587.55,1606.5,4087.0,67.13
2015-12-28,1648.9,1648.9,1541.0,1546.15,1551.25,2502.0,39.32
2015-12-29,1559.95,1569.65,1463.0,1481.0,1489.35,2689.0,40.65
2015-12-30,1502.0,1527.95,1475.05,1490.0,1489.15,5708.0,84.82
2015-12-31,1475.0,1539.0,1450.0,1495.0,1500.05,4303.0,64.86
2016-01-01,1451.5,1520.0,1450.0,1500.0,1502.3,714.0,10.72
2016-01-04,1500.0,1531.0,1480.0,1500.0,1498.2,1328.0,19.91
2016-01-05,1485.05,1517.0,1480.0,1487.55,1490.45,910.0,13.61
2016-01-06,1488.05,1499.0,1474.95,1478.1,1479.6,875.0,13.0
2016-01-07,1465.05,1484.0,1424.95,1460.0,1447.6,1280.0,18.63
2016-01-08,1464.45,1479.25,1427.0,1440.0,1439.45,1344.0,19.42
2016-01-11,1420.0,1440.0,1395.0,1400.0,1400.9,1546.0,21.73
