Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,76.25,78.5,74.5,78.05,77.65,10994.0,8.42
2010-01-05,78.0,84.9,76.05,82.55,82.45,48700.0,39.31
2010-01-06,83.0,87.5,81.05,85.0,84.85,32851.0,27.73
2010-01-07,84.5,85.5,82.55,85.25,84.75,11602.0,9.76
2010-01-08,83.25,92.8,83.25,90.2,90.9,388860.0,353.47
2010-01-11,91.9,98.2,90.65,95.15,94.3,187296.0,178.14
2010-01-12,96.0,100.65,90.0,91.95,91.45,210093.0,202.5
2010-01-13,90.0,94.9,88.5,94.9,93.4,64093.0,59.04
2010-01-14,95.9,98.95,90.05,93.1,93.7,51558.0,49.21
2010-01-15,95.85,95.85,89.05,93.0,93.5,40492.0,37.27
2010-01-18,93.9,93.9,91.0,91.5,91.2,15582.0,14.29
2010-01-19,91.5,92.0,86.1,87.1,87.3,17475.0,15.69
2010-01-20,87.6,89.0,83.0,83.8,84.95,12995.0,11.16
2010-01-21,83.8,90.0,83.0,84.95,85.45,35548.0,30.93
2010-01-22,83.1,84.5,80.0,82.05,82.15,15986.0,13.16
2010-01-25,82.6,84.9,82.5,83.2,83.1,21752.0,18.18
2010-01-27,81.15,83.6,75.0,75.05,75.7,15116.0,11.86
2010-01-28,75.9,79.8,73.1,75.95,75.1,13862.0,10.51
2010-01-29,74.1,76.5,70.05,76.05,75.8,13030.0,9.58
2010-02-01,74.1,79.1,73.05,79.0,78.6,8241.0,6.37
2010-02-02,79.6,80.4,75.0,78.0,76.1,4292.0,3.33
2010-02-03,76.25,77.9,74.1,75.0,75.55,2167.0,1.65
2010-02-04,74.15,81.0,74.15,76.2,76.05,79711.0,62.41
2010-02-05,74.1,75.9,65.6,74.95,74.6,6591.0,4.8
2010-02-06,73.2,75.6,73.2,75.6,75.5,27.0,0.02
2010-02-08,73.25,77.95,73.25,76.7,77.15,6028.0,4.6
2010-02-09,76.65,81.95,75.2,76.75,76.0,38270.0,29.99
2010-02-10,77.0,77.8,73.55,73.6,74.6,4003.0,3.06
2010-02-11,74.0,76.0,73.15,73.6,73.85,4731.0,3.51
2010-02-15,75.1,77.5,73.6,77.5,77.0,8120.0,6.17
2010-02-16,76.0,79.0,74.05,77.1,77.5,7179.0,5.58
2010-02-17,78.0,88.5,76.5,83.1,83.1,383321.0,326.82
2010-02-18,83.0,84.0,78.1,78.65,79.6,36640.0,30.03
2010-02-19,80.0,84.2,78.0,82.45,81.3,50770.0,41.08
2010-02-22,80.65,82.9,78.0,80.0,80.1,17798.0,14.47
2010-02-23,79.0,79.45,76.1,76.5,76.6,11193.0,8.68
2010-02-24,77.0,77.0,75.1,75.2,75.9,9728.0,7.38
2010-02-25,76.0,77.85,75.0,77.0,77.05,6455.0,4.92
2010-02-26,76.0,84.0,76.0,83.0,83.1,25966.0,21.07
2010-03-02,83.4,90.45,81.0,90.0,89.7,43016.0,37.58
2010-03-03,88.1,92.6,87.05,89.0,88.2,21920.0,19.57
2010-03-04,90.45,92.5,87.5,92.0,91.5,10494.0,9.51
2010-03-05,90.3,94.0,88.5,91.0,90.6,21764.0,19.83
2010-03-08,89.55,91.75,89.0,89.0,89.35,19943.0,18.01
2010-03-09,90.5,93.9,88.05,92.5,92.8,19300.0,17.74
2010-03-10,92.0,92.8,88.0,90.0,89.6,12168.0,10.89
2010-03-11,88.55,89.45,87.15,88.05,88.0,9290.0,8.22
2010-03-12,88.8,90.9,86.55,89.0,90.05,29506.0,26.41
2010-03-15,88.6,89.45,86.0,88.0,88.1,3629.0,3.19
2010-03-16,88.0,90.8,86.6,90.05,89.15,10897.0,9.6
2010-03-17,88.15,89.25,87.3,88.0,88.0,6961.0,6.15
2010-03-18,87.95,88.5,87.1,88.0,87.75,9181.0,8.07
2010-03-19,88.0,89.05,85.8,89.05,87.95,5597.0,4.92
2010-03-22,87.1,88.8,86.1,88.7,87.65,6290.0,5.51
2010-03-23,86.5,88.0,85.6,86.95,85.9,2234.0,1.94
2010-03-25,87.85,87.85,83.0,83.0,84.3,3024.0,2.56
2010-03-26,84.0,86.5,83.2,85.0,84.8,8388.0,7.11
2010-03-29,86.9,90.5,77.5,89.0,89.0,15836.0,13.87
2010-03-30,89.5,96.0,88.0,90.95,90.65,48191.0,44.6
2010-03-31,90.5,91.9,88.55,89.95,89.2,4965.0,4.46
2010-04-01,88.6,101.5,88.6,95.35,95.45,97183.0,94.59
2010-04-05,95.45,101.9,94.0,100.7,100.0,45242.0,44.8
2010-04-06,100.0,104.8,98.0,102.5,102.2,55303.0,56.98
2010-04-07,100.95,102.5,98.0,101.0,101.1,24586.0,24.93
2010-04-08,100.0,101.1,97.5,100.9,99.9,14146.0,14.06
2010-04-09,100.4,101.9,99.1,101.0,101.15,13630.0,13.68
2010-04-12,99.65,101.9,98.5,101.0,100.1,14825.0,14.8
2010-04-13,101.0,103.0,100.0,100.0,100.15,17773.0,18.06
2010-04-15,100.15,102.0,97.25,97.5,97.65,18339.0,18.2
2010-04-16,97.5,99.0,94.3,94.75,95.05,9607.0,9.25
2010-04-19,94.05,94.7,92.5,92.95,93.15,5037.0,4.7
2010-04-20,93.0,98.45,92.75,95.6,95.55,10194.0,9.74
2010-04-21,95.0,103.35,95.0,102.0,100.2,40839.0,41.25
2010-04-22,101.5,102.0,99.15,99.95,99.9,9248.0,9.31
2010-04-23,99.0,106.85,97.0,99.2,100.1,144606.0,150.83
2010-04-26,99.0,101.35,96.0,96.05,96.75,13351.0,13.15
2010-04-27,94.55,100.4,94.55,96.2,96.05,11969.0,11.7
2010-04-28,94.95,95.0,92.1,92.55,92.45,32050.0,29.78
2010-04-29,92.55,97.9,92.55,95.6,96.35,23719.0,22.85
2010-04-30,95.5,97.95,92.6,92.65,95.55,21104.0,20.18
2010-05-03,89.0,95.0,88.05,91.9,92.05,10103.0,9.35
2010-05-04,94.5,94.5,91.2,91.25,91.4,14739.0,13.69
2010-05-05,88.15,91.0,85.25,90.0,90.05,8746.0,7.75
2010-05-06,86.0,94.8,82.5,88.85,88.6,7111.0,6.29
2010-05-07,87.5,89.0,85.05,86.4,85.75,6128.0,5.31
2010-05-10,87.1,89.5,85.5,87.25,87.2,5441.0,4.73
2010-05-11,99.9,104.6,84.05,89.85,89.65,3313.0,2.97
2010-05-12,90.0,92.0,87.0,87.45,87.55,21446.0,19.08
2010-05-13,87.0,89.95,86.65,87.1,87.1,2625.0,2.31
2010-05-14,87.0,90.0,87.0,87.6,87.95,15441.0,13.59
2010-05-17,84.6,86.5,79.0,85.95,84.9,5883.0,4.92
2010-05-18,86.5,90.35,85.3,87.0,88.65,4245.0,3.74
2010-05-19,86.95,89.0,86.5,88.6,87.05,14480.0,12.66
2010-05-20,85.7,91.4,85.7,91.35,89.1,28901.0,25.08
2010-05-21,84.1,91.0,84.1,90.5,89.7,25489.0,22.61
2010-05-24,88.55,94.6,86.1,86.1,88.05,19519.0,17.86
2010-05-25,88.75,88.75,82.1,82.1,82.7,17911.0,15.02
2010-05-26,87.9,88.0,82.3,88.0,86.85,34276.0,29.23
2010-05-27,87.0,94.0,87.0,90.15,90.6,19826.0,17.96
2010-05-28,93.0,93.95,90.5,91.15,91.75,6481.0,5.96
2010-05-31,90.0,94.55,90.0,92.7,92.95,22899.0,21.35
2010-06-01,92.1,92.65,87.8,88.1,90.1,4954.0,4.53
2010-06-02,90.05,92.85,90.05,91.55,91.85,24937.0,22.93
2010-06-03,92.7,95.8,92.0,93.05,94.5,93793.0,88.76
2010-06-04,94.9,94.9,92.0,93.0,93.0,21109.0,19.71
2010-06-07,89.5,91.95,88.8,91.0,91.0,2993.0,2.69
2010-06-08,92.0,92.5,90.1,91.35,91.55,5663.0,5.18
2010-06-09,94.0,95.85,90.5,93.5,93.35,11329.0,10.62
