Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-04-05,115.0,122.7,102.15,106.8,107.05,25022685.0,27622.77
2010-04-06,108.0,108.7,101.25,101.75,101.95,3487862.0,3624.91
2010-04-07,102.0,105.0,101.4,102.05,102.3,1551767.0,1593.15
2010-04-08,102.1,105.5,100.55,100.7,101.4,1525750.0,1577.16
2010-04-09,102.25,102.7,93.4,93.9,94.3,1132850.0,1098.63
2010-04-12,94.6,94.6,88.5,89.05,89.55,714031.0,645.59
2010-04-13,89.65,93.65,88.9,90.0,90.2,528229.0,483.42
2010-04-15,91.0,98.45,90.5,92.2,92.25,1857412.0,1761.16
2010-04-16,92.3,93.4,89.55,90.1,90.05,316380.0,288.27
2010-04-19,88.2,93.45,85.4,91.85,91.65,508303.0,463.13
2010-04-20,92.05,96.2,91.05,92.5,92.45,918499.0,860.73
2010-04-21,93.1,93.95,90.5,90.55,90.9,264130.0,243.16
2010-04-22,90.5,91.95,89.0,89.35,90.1,221589.0,201.13
2010-04-23,90.9,91.9,86.55,87.0,88.15,298274.0,267.06
2010-04-26,89.6,90.0,85.5,86.0,85.8,206037.0,179.59
2010-04-27,85.0,103.0,85.0,103.0,103.0,4576550.0,4509.71
2010-04-28,100.5,108.3,90.0,91.95,91.35,9633696.0,9440.86
2010-04-29,92.0,94.0,89.4,93.75,92.8,3128213.0,2874.67
2010-04-30,93.7,96.0,92.95,93.75,93.65,1582603.0,1497.08
2010-05-03,93.0,93.5,86.95,90.3,90.6,481732.0,440.0
2010-05-04,91.25,92.25,86.5,86.55,87.5,426444.0,382.04
2010-05-05,84.0,86.3,83.0,85.0,84.8,340019.0,287.21
2010-05-06,85.2,87.9,83.5,83.95,84.45,338187.0,288.23
2010-05-07,83.0,83.0,76.3,76.5,77.3,334948.0,266.14
2010-05-10,78.0,79.9,76.95,79.0,79.05,294334.0,229.96
2010-05-11,80.7,84.0,77.7,82.15,82.15,536518.0,438.69
2010-05-12,82.05,83.0,79.0,79.1,79.45,154849.0,124.85
2010-05-13,81.4,82.7,78.5,79.0,79.05,156149.0,125.56
2010-05-14,78.1,79.75,75.1,75.45,76.25,168475.0,131.3
2010-05-17,74.9,74.9,71.0,74.3,74.2,159735.0,116.36
2010-05-18,75.0,83.45,73.5,78.5,79.9,473890.0,375.33
