Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,30.35,33.1,30.35,33.1,33.1,795231.0,256.98
2010-01-05,34.4,35.0,32.35,32.8,32.9,582038.0,194.68
2010-01-06,33.45,33.45,32.0,32.9,32.7,237825.0,77.51
2010-01-07,33.25,33.5,32.15,32.8,32.7,158537.0,51.97
2010-01-08,32.95,35.0,32.9,33.95,33.85,500436.0,171.66
2010-01-11,35.3,36.3,34.8,35.3,35.2,439110.0,155.85
2010-01-12,35.55,35.6,33.2,33.45,33.4,234782.0,80.34
2010-01-13,33.0,34.95,32.5,34.7,34.5,199344.0,67.13
2010-01-14,35.5,41.4,35.5,39.9,40.15,4210466.0,1688.24
2010-01-15,39.9,40.7,37.5,37.8,37.75,813076.0,311.06
2010-01-18,37.1,38.75,36.6,36.95,37.0,351132.0,132.54
2010-01-19,37.95,37.95,36.15,36.25,36.35,294681.0,109.6
2010-01-20,36.9,36.9,35.1,35.5,35.6,292499.0,104.99
2010-01-21,34.95,36.95,34.05,34.8,34.45,325023.0,115.1
2010-01-22,33.5,34.0,32.75,32.9,33.15,120105.0,39.75
2010-01-25,32.4,32.75,31.5,32.05,32.35,73191.0,23.53
2010-01-27,32.0,32.0,30.75,30.75,30.75,59003.0,18.35
2010-01-28,30.1,32.0,29.25,30.35,29.75,87195.0,26.67
2010-01-29,29.2,31.0,28.3,31.0,30.75,81459.0,24.09
2010-02-01,31.7,31.8,30.7,31.05,31.3,88734.0,27.97
2010-02-02,31.3,32.5,30.2,30.3,30.3,78553.0,24.54
2010-02-03,31.35,31.8,30.0,30.3,30.3,49873.0,15.27
2010-02-04,30.9,30.95,30.1,30.45,30.1,41920.0,12.76
2010-02-05,29.6,29.6,28.6,29.4,29.05,57421.0,16.58
2010-02-06,29.0,30.2,27.75,30.2,29.55,14910.0,4.37
2010-02-08,29.5,30.2,28.6,30.2,30.0,67341.0,19.8
