Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,202.0,206.9,200.0,206.0,205.05,423560.0,861.14
2010-01-05,205.0,222.5,205.0,216.0,217.45,1149126.0,2448.88
2010-01-06,217.4,222.7,213.7,222.55,220.75,939014.0,2048.16
2010-01-07,223.0,230.5,219.0,225.6,226.9,932066.0,2104.69
2010-01-08,227.0,227.0,220.0,220.05,220.75,439736.0,983.28
2010-01-11,223.9,224.95,217.3,220.25,219.55,381213.0,845.57
2010-01-12,221.45,221.45,210.15,211.8,212.25,389670.0,836.68
2010-01-13,210.0,211.9,202.15,207.0,206.7,452478.0,937.63
2010-01-14,208.9,220.5,208.7,216.9,216.5,589442.0,1273.92
2010-01-15,218.4,219.9,206.2,207.75,207.9,335860.0,712.32
2010-01-18,206.8,211.0,202.0,203.4,203.6,397775.0,820.31
2010-01-19,203.5,206.9,201.0,201.45,201.95,261841.0,534.41
2010-01-20,203.0,206.4,201.0,202.8,202.65,264680.0,540.06
2010-01-21,203.0,203.5,193.45,193.55,195.4,402535.0,796.54
2010-01-22,191.0,196.0,187.2,195.7,194.9,246623.0,473.6
2010-01-25,192.1,200.9,191.0,195.6,196.1,218047.0,430.89
2010-01-27,195.0,196.45,180.55,181.95,182.55,188785.0,357.08
2010-01-28,186.0,190.0,182.0,184.0,184.45,247200.0,459.47
2010-01-29,181.9,192.0,178.4,190.75,189.7,255001.0,469.18
2010-02-01,188.45,198.3,188.45,194.05,193.75,181100.0,350.79
2010-02-02,196.9,209.3,196.2,200.15,200.35,791600.0,1613.25
2010-02-03,201.0,227.9,201.0,220.75,222.15,2350000.0,5005.19
2010-02-04,222.0,223.4,207.0,208.5,208.5,947537.0,2044.04
2010-02-05,201.1,217.5,193.0,212.25,210.25,1105413.0,2313.92
2010-02-06,214.0,215.8,212.15,213.75,214.0,71782.0,153.64
2010-02-08,215.0,222.0,209.7,212.5,213.5,928252.0,2008.87
2010-02-09,214.9,215.5,205.25,208.0,207.55,392937.0,821.37
2010-02-10,209.5,211.95,201.5,203.0,202.9,563667.0,1164.86
2010-02-11,205.0,205.9,195.25,197.15,197.45,472523.0,951.21
2010-02-15,200.0,208.5,198.15,206.2,206.0,762126.0,1560.81
2010-02-16,207.4,209.25,204.15,208.35,207.8,199700.0,413.95
2010-02-17,207.5,213.8,204.0,206.1,206.2,688137.0,1436.12
2010-02-18,207.0,209.9,205.15,205.8,206.25,124417.0,257.07
2010-02-19,205.0,206.25,200.75,201.95,201.4,225499.0,456.87
2010-02-22,204.9,209.6,202.2,204.5,204.55,298789.0,619.6
2010-02-23,204.9,204.9,201.0,201.75,201.6,92735.0,188.14
2010-02-24,200.1,204.8,197.0,203.0,202.1,271641.0,546.68
2010-02-25,203.0,204.8,198.0,198.1,198.6,77513.0,155.08
2010-02-26,201.0,204.7,197.0,201.25,201.75,148272.0,299.89
2010-03-02,204.0,205.75,201.3,202.5,202.5,79772.0,161.8
2010-03-03,203.5,211.85,203.5,208.0,207.65,327691.0,684.19
2010-03-04,209.0,213.4,207.05,211.0,211.25,255634.0,539.26
2010-03-05,213.0,226.7,205.35,225.25,224.8,1252967.0,2779.3
2010-03-08,228.2,239.9,227.1,236.75,236.85,1442037.0,3393.77
2010-03-09,238.05,238.4,227.35,227.5,228.2,322323.0,746.19
2010-03-10,227.0,231.0,226.0,226.1,226.8,195755.0,447.58
2010-03-11,227.15,228.15,222.15,223.85,223.7,116273.0,262.0
2010-03-12,226.5,226.5,220.25,222.05,221.55,117523.0,261.74
2010-03-15,221.55,225.1,218.15,219.0,220.2,124832.0,277.18
