Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-01-31,300.0,315.0,285.0,285.0,285.0,28678.0,82.18
2018-02-01,270.75,270.75,270.75,270.75,270.75,351.0,0.95
2018-02-02,257.25,257.25,257.25,257.25,257.25,494.0,1.27
2018-02-05,244.4,244.4,244.4,244.4,244.4,102.0,0.25
2018-02-06,232.2,232.2,232.2,232.2,232.2,17.0,0.04
2018-02-07,220.6,220.6,220.6,220.6,220.6,2627.0,5.8
2018-02-08,209.6,209.6,209.6,209.6,209.6,151.0,0.32
2018-02-09,199.15,199.15,199.15,199.15,199.15,581.0,1.16
2018-02-12,189.2,189.2,189.2,189.2,189.2,2088.0,3.95
2018-02-14,179.75,179.75,179.75,179.75,179.75,621.0,1.12
2018-02-15,161.8,191.8,161.8,183.0,183.45,1695964.0,2841.8
2018-02-16,193.8,201.75,176.65,180.3,184.2,409515.0,776.91
2018-02-19,186.0,186.0,166.4,175.5,174.15,214138.0,372.91
2018-02-20,174.0,174.0,161.5,166.0,164.0,256858.0,434.76
2018-02-21,166.0,167.0,152.05,162.8,162.85,196032.0,320.45
2018-02-22,159.25,166.0,157.2,160.1,161.65,158803.0,257.33
2018-02-23,160.0,170.0,153.0,167.25,165.45,178223.0,287.17
2018-02-26,163.0,165.5,158.0,161.0,159.7,52160.0,83.94
2018-02-27,157.05,162.3,156.1,157.3,158.35,91403.0,146.93
2018-02-28,155.0,161.35,155.0,161.0,159.7,138527.0,220.73
2018-03-01,163.0,175.65,160.25,175.65,175.65,45124.0,77.08
2018-03-05,178.0,178.1,160.35,166.0,166.3,91736.0,152.48
2018-03-06,167.0,171.95,161.2,161.5,164.55,67804.0,111.83
2018-03-07,160.05,164.0,155.0,157.0,158.05,11726.0,18.65
2018-03-08,164.9,166.4,151.1,159.2,162.4,20085.0,31.98
2018-03-09,158.1,162.7,155.6,160.0,159.95,42734.0,68.54
2018-03-12,158.1,164.0,158.0,163.0,161.55,9766.0,15.59
2018-03-13,158.0,168.0,158.0,161.05,161.9,148151.0,238.02
2018-03-14,161.05,163.6,160.05,163.0,162.9,10462.0,16.9
2018-03-15,159.2,177.0,159.2,169.9,171.35,80207.0,137.44
2018-03-16,171.0,172.0,157.75,167.0,163.7,212692.0,343.59
2018-03-19,161.1,169.4,161.0,169.4,167.5,19057.0,31.33
2018-03-20,161.1,169.55,161.1,167.7,166.45,20419.0,34.05
2018-03-21,165.0,183.05,165.0,183.05,183.05,30894.0,54.77
2018-03-22,197.0,201.35,177.0,186.0,186.9,129050.0,245.79
2018-03-23,178.0,183.4,174.0,180.0,179.7,55878.0,100.28
2018-03-26,172.0,182.8,172.0,177.0,178.85,20435.0,36.35
2018-03-27,178.85,195.0,178.45,180.0,180.9,20948.0,37.81
2018-03-28,175.35,182.5,171.0,182.0,178.15,1350982.0,2405.92
2018-04-02,178.6,195.95,178.6,195.95,195.95,22425.0,42.97
2018-04-03,208.0,215.5,195.95,215.5,215.5,36211.0,77.54
2018-04-04,229.0,233.4,198.0,201.0,201.35,66356.0,140.37
2018-04-05,203.15,220.0,199.1,204.25,207.45,80930.0,169.43
2018-04-06,207.0,214.0,196.6,214.0,210.35,13094.0,26.98
2018-04-09,214.1,216.4,204.0,208.1,209.45,6462.0,13.51
2018-04-10,211.0,211.0,199.5,207.5,207.3,150435.0,309.5
2018-04-11,203.7,228.0,199.0,228.0,201.6,1193905.0,2406.65
2018-04-12,221.75,221.75,221.75,221.75,221.75,3619.0,8.03
2018-04-13,243.9,243.9,227.0,228.1,231.45,158548.0,379.95
