Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,111.9,111.9,105.7,110.0,108.9,4327.0,4.72
2010-01-05,110.1,114.7,110.1,113.0,112.95,2503.0,2.82
2010-01-06,114.0,129.0,111.0,116.0,117.55,72547.0,87.84
2010-01-07,119.0,125.95,115.0,119.8,122.1,11529.0,13.77
2010-01-08,121.0,125.0,118.0,122.5,121.9,5585.0,6.89
2010-01-11,120.25,126.4,120.25,122.6,123.05,6309.0,7.83
2010-01-12,126.0,128.0,123.0,126.5,126.0,10199.0,12.85
2010-01-13,126.5,139.7,126.5,137.0,135.4,25992.0,35.1
2010-01-14,143.5,144.0,139.0,141.85,141.95,10457.0,14.85
2010-01-15,142.25,143.95,140.05,141.75,140.6,7659.0,10.87
2010-01-18,139.0,143.0,135.25,138.3,139.4,4142.0,5.83
2010-01-19,142.2,142.8,137.0,138.0,137.9,3201.0,4.5
2010-01-20,139.0,139.7,128.25,128.25,129.6,4756.0,6.21
2010-01-21,122.0,135.95,122.0,129.0,129.8,5327.0,6.87
2010-01-22,123.55,127.0,123.5,124.1,125.75,1526.0,1.91
2010-01-25,123.9,130.0,122.0,123.0,123.05,521.0,0.65
2010-01-27,121.0,123.95,117.0,117.0,118.5,1687.0,2.01
2010-01-28,113.0,120.0,113.0,116.85,116.85,819.0,0.96
2010-01-29,111.6,122.7,111.5,122.7,122.65,4364.0,5.24
2010-02-01,127.0,127.0,116.55,116.55,116.55,1224.0,1.46
2010-02-02,121.95,122.4,120.05,122.4,122.4,2580.0,3.14
2010-02-03,127.0,127.0,117.2,121.9,120.5,1320.0,1.62
2010-02-04,122.6,122.6,115.0,115.0,115.0,2571.0,3.02
2010-02-05,115.0,115.0,109.25,113.0,113.0,720.0,0.8
2010-02-06,118.0,118.0,118.0,118.0,118.0,10.0,0.01
2010-02-08,118.0,119.0,117.1,117.1,117.85,100.0,0.12
2010-02-09,120.5,122.0,112.3,122.0,118.85,920.0,1.08
2010-02-10,113.15,120.0,113.0,119.9,119.9,762.0,0.9
