Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,85.0,85.0,80.05,83.0,82.7,2373.0,1.95
2010-01-05,84.4,84.4,81.75,82.75,81.85,7069.0,5.83
2010-01-06,83.5,83.5,79.7,79.7,79.8,13497.0,10.96
2010-01-07,79.8,83.4,79.8,83.4,81.8,8878.0,7.15
2010-01-08,84.25,90.0,82.7,87.5,87.55,17858.0,15.18
2010-01-11,90.0,92.55,86.0,88.5,88.4,3295.0,2.95
2010-01-12,88.55,90.0,85.25,87.0,87.0,4596.0,4.01
2010-01-13,95.0,95.0,82.0,85.0,84.95,7137.0,6.12
2010-01-14,85.0,89.0,83.4,83.75,84.1,4690.0,4.01
2010-01-15,85.5,85.5,83.8,83.8,84.05,1000.0,0.85
2010-01-18,84.7,86.2,82.5,82.5,83.15,2840.0,2.39
2010-01-19,85.0,91.5,85.0,90.2,91.4,15158.0,13.77
2010-01-20,90.55,92.6,87.55,89.0,88.55,12962.0,11.56
2010-01-21,90.75,92.5,86.0,87.9,87.15,20938.0,18.8
2010-01-22,87.45,87.45,83.05,83.55,84.2,6304.0,5.34
2010-01-25,85.45,89.9,83.5,83.5,84.25,1889.0,1.6
2010-01-27,84.0,84.0,75.9,78.0,77.95,16423.0,13.15
2010-01-28,77.0,81.0,72.3,81.0,79.15,15194.0,11.76
2010-01-29,80.45,80.5,75.5,77.5,77.3,12135.0,9.38
2010-02-01,81.0,84.7,79.5,82.0,81.75,15611.0,12.8
2010-02-02,85.0,89.7,83.0,83.25,83.25,18750.0,16.02
2010-02-03,85.0,86.85,84.0,85.0,84.8,7174.0,6.12
2010-02-04,83.95,84.0,81.25,81.6,81.8,8758.0,7.28
2010-02-05,74.2,79.5,74.2,77.0,77.0,5785.0,4.49
2010-02-06,77.0,80.0,77.0,77.4,77.4,2168.0,1.7
2010-02-08,80.1,80.1,75.0,75.0,75.1,4449.0,3.37
2010-02-09,75.35,78.0,74.0,75.55,76.0,18380.0,14.07
2010-02-10,75.5,78.0,75.0,77.8,77.7,1633.0,1.26
2010-02-11,76.1,78.0,75.0,75.0,75.2,3011.0,2.28
2010-02-15,76.1,76.5,75.0,75.05,75.1,1345.0,1.01
2010-02-16,74.1,75.4,74.0,74.75,74.75,6489.0,4.84
2010-02-17,76.9,77.4,75.0,75.0,75.0,4086.0,3.08
2010-02-18,77.45,77.75,75.05,75.1,75.25,1252.0,0.95
2010-02-19,75.1,75.1,73.0,73.0,74.0,3509.0,2.62
2010-02-22,75.0,75.4,70.0,71.0,70.75,18105.0,13.19
2010-02-23,71.0,72.95,69.0,69.0,69.25,2245.0,1.59
2010-02-24,69.15,69.5,68.5,69.0,69.0,240.0,0.17
