Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-02-10,113.75,113.8,108.1,108.1,108.1,104044.0,115.57
2017-02-13,102.7,102.7,102.7,102.7,102.7,97098.0,99.72
2017-02-14,97.6,102.0,97.6,97.6,97.6,217564.0,212.85
2017-02-15,92.75,92.75,92.75,92.75,92.75,19993.0,18.54
2017-02-16,88.15,95.3,88.15,95.0,93.5,420449.0,386.15
2017-02-17,93.0,94.0,88.85,90.35,89.8,299065.0,269.11
2017-02-20,87.0,94.25,87.0,94.25,94.2,296207.0,273.37
2017-02-21,94.1,98.9,93.7,96.5,94.9,261839.0,251.46
2017-02-22,95.0,96.0,93.1,94.6,94.2,214358.0,202.66
2017-02-23,93.65,95.5,92.75,93.85,93.9,180250.0,169.23
2017-02-27,95.0,95.0,87.65,91.2,90.9,375044.0,343.02
2017-02-28,91.5,92.0,87.4,88.0,87.7,247698.0,219.64
2017-03-01,89.0,91.5,88.5,89.35,89.45,321772.0,290.18
2017-03-02,89.95,89.95,86.05,87.0,86.75,255212.0,224.31
2017-03-03,86.5,87.7,82.25,84.0,84.2,248256.0,211.39
2017-03-06,85.3,86.25,83.35,84.65,84.25,166796.0,141.28
2017-03-07,84.5,85.5,81.6,85.0,84.25,220519.0,183.31
2017-03-08,84.25,85.0,80.1,81.5,81.0,286522.0,234.43
2017-03-09,80.1,82.8,80.05,81.4,81.25,171526.0,139.78
2017-03-10,82.4,82.4,77.0,77.9,77.75,401364.0,315.04
2017-03-14,78.5,82.4,78.2,78.4,78.75,244647.0,194.89
2017-03-15,79.0,80.9,79.0,80.75,80.6,133863.0,107.19
2017-03-16,80.6,86.4,80.6,86.0,85.75,359629.0,303.46
2017-03-17,85.25,87.3,82.15,83.45,83.35,216907.0,183.85
2017-03-20,83.95,86.9,83.0,85.25,85.05,298798.0,253.73
2017-03-21,85.1,86.25,83.5,84.8,84.45,313313.0,265.84
2017-03-22,84.05,84.05,82.2,82.85,83.35,101426.0,84.4
2017-03-23,82.0,84.5,82.0,83.1,83.2,144884.0,121.18
2017-03-24,83.2,84.2,81.4,81.75,81.95,176061.0,145.08
2017-03-27,82.0,82.25,80.0,80.05,80.2,134142.0,108.24
2017-03-28,81.5,83.45,80.6,81.8,81.45,115558.0,94.63
2017-03-29,81.95,81.95,77.75,77.75,78.25,337761.0,267.44
2017-03-30,79.0,80.45,78.95,79.25,79.1,214685.0,170.98
2017-03-31,79.7,80.5,78.25,79.0,79.05,267799.0,211.76
2017-04-03,79.2,87.5,79.2,86.45,86.45,553161.0,468.52
2017-04-05,87.0,91.9,87.0,90.5,90.8,623384.0,563.26
2017-04-06,90.0,91.25,88.5,88.7,89.4,205059.0,183.75
2017-04-07,88.95,93.0,88.5,90.7,90.55,351832.0,322.46
2017-04-10,91.5,92.5,87.9,90.4,89.05,256950.0,232.3
2017-04-11,89.75,89.75,88.15,88.15,88.3,159715.0,141.58
2017-04-12,88.5,88.85,86.35,87.3,87.4,176261.0,154.24
2017-04-13,87.5,90.5,87.0,89.6,89.55,225880.0,201.37
2017-04-17,89.1,91.75,88.0,91.05,91.3,258155.0,232.92
2017-04-18,93.45,94.5,87.15,87.4,87.5,679276.0,618.29
2017-04-19,87.5,89.0,87.0,87.65,87.75,85741.0,75.32
2017-04-20,88.35,90.6,88.15,89.0,89.05,120105.0,107.04
2017-04-21,89.3,89.85,87.5,88.25,88.0,121802.0,107.89
2017-04-24,88.0,89.0,87.0,89.0,88.15,216864.0,190.54
2017-04-25,88.5,90.75,87.0,87.3,87.35,245958.0,217.47
2017-04-26,88.1,88.1,85.4,85.6,85.8,215121.0,185.52
2017-04-27,85.8,86.6,84.05,84.25,84.45,183402.0,156.01
2017-04-28,84.5,85.6,83.2,84.45,84.5,180576.0,152.38
2017-05-02,84.5,86.2,83.1,84.5,84.65,139254.0,117.81
2017-05-03,84.6,85.95,83.1,85.5,85.5,232627.0,197.18
2017-05-04,85.7,85.7,84.0,84.2,84.6,97686.0,82.55
2017-05-05,84.6,85.55,82.5,82.5,82.95,123054.0,102.84
2017-05-08,83.75,85.0,82.95,83.1,83.4,74292.0,61.97
2017-05-09,83.5,84.4,82.5,83.7,83.85,145398.0,121.06
2017-05-10,83.95,84.8,83.5,83.8,84.0,92669.0,77.9
2017-05-11,84.55,85.9,83.05,84.2,84.75,110904.0,94.1
2017-05-12,84.9,85.15,83.1,83.5,83.5,127595.0,107.09
2017-05-15,84.15,86.95,83.3,84.65,84.6,161221.0,137.09
2017-05-16,84.5,85.8,84.0,84.4,84.35,90608.0,76.66
2017-05-17,84.5,85.25,83.5,83.95,83.95,99687.0,83.8
2017-05-18,84.0,84.5,82.25,82.5,82.45,93240.0,77.26
2017-05-19,82.6,83.0,80.1,81.2,81.05,135957.0,110.64
2017-05-22,80.8,82.25,79.55,79.95,79.7,132631.0,106.61
2017-05-23,79.8,79.9,75.75,78.5,78.55,173460.0,134.75
2017-05-24,78.5,78.9,76.7,78.25,78.15,91813.0,71.74
2017-05-25,78.15,81.0,76.65,81.0,80.0,142698.0,112.83
2017-05-26,82.0,82.0,80.0,80.65,80.6,88187.0,71.24
2017-05-29,80.0,83.0,80.0,81.0,80.6,88733.0,71.94
2017-05-30,80.5,81.7,79.0,79.6,79.3,91193.0,72.87
2017-05-31,82.0,83.0,76.25,79.15,78.3,518667.0,412.19
2017-06-01,79.0,80.2,77.5,78.8,78.95,234541.0,185.64
2017-06-02,80.0,80.35,76.75,78.2,78.15,356174.0,280.0
2017-06-05,78.7,80.35,76.0,78.95,78.95,348186.0,273.76
2017-06-06,79.0,82.4,78.5,82.0,81.85,247963.0,199.65
2017-06-07,82.5,83.15,79.3,79.9,80.3,283933.0,229.74
2017-06-08,80.0,81.0,79.4,79.4,79.75,51173.0,40.95
2017-06-09,80.4,83.25,78.8,83.0,82.95,290021.0,236.41
2017-06-12,82.5,83.1,79.8,80.1,80.25,136075.0,110.8
2017-06-13,80.1,82.5,79.85,79.95,80.0,130125.0,104.81
2017-06-14,80.9,81.3,79.4,80.2,79.95,65785.0,52.66
2017-06-15,80.0,84.4,79.5,83.0,82.55,326252.0,269.76
2017-06-16,82.0,84.4,82.0,83.0,82.5,129437.0,107.56
2017-06-19,82.5,84.3,82.0,83.0,83.25,107592.0,89.51
2017-06-20,83.25,83.25,81.5,81.65,81.6,40360.0,33.16
2017-06-21,81.6,82.85,80.5,81.6,81.2,61441.0,50.01
2017-06-22,80.55,81.95,78.8,80.9,81.0,154142.0,124.45
2017-06-23,80.0,81.7,79.05,79.7,79.6,99050.0,79.37
2017-06-27,80.0,82.0,78.15,81.0,81.15,219640.0,176.32
2017-06-28,80.2,80.5,79.1,79.8,79.4,48751.0,38.92
2017-06-29,80.0,81.5,79.05,80.9,81.0,161494.0,130.71
2017-06-30,81.0,81.0,79.5,80.0,80.1,46740.0,37.44
2017-07-03,80.0,81.5,80.0,80.7,80.85,60216.0,48.74
2017-07-04,80.9,81.45,80.0,80.5,80.35,58451.0,47.1
2017-07-05,80.9,81.9,80.5,81.45,81.0,113085.0,91.9
2017-07-06,82.45,82.5,80.25,80.6,80.5,91572.0,74.1
2017-07-07,81.45,82.8,80.0,82.6,82.4,151531.0,123.48
2017-07-10,82.8,83.0,80.0,82.3,82.5,34971.0,28.87
2017-07-11,83.0,83.6,81.0,81.25,81.4,67952.0,55.96
2017-07-12,81.15,83.0,81.15,82.6,82.5,107826.0,89.04
2017-07-13,82.8,91.85,82.45,90.7,90.45,1646846.0,1468.54
2017-07-14,92.6,95.4,91.2,92.0,91.95,1382889.0,1286.86
2017-07-17,92.8,92.8,88.6,89.5,89.65,326061.0,292.96
2017-07-18,89.0,89.25,88.0,88.75,88.15,139724.0,123.62
2017-07-19,88.2,91.4,87.55,89.4,89.0,338800.0,302.88
2017-07-20,93.2,93.2,89.6,89.65,90.4,556310.0,505.61
2017-07-21,90.05,91.9,88.6,90.6,90.65,291633.0,263.33
2017-07-24,91.45,92.75,90.0,90.05,90.5,342502.0,313.44
2017-07-25,91.5,91.5,89.45,89.95,89.75,137296.0,123.85
2017-07-26,90.0,90.95,88.7,88.85,89.15,146783.0,131.59
2017-07-27,89.0,90.15,86.5,86.75,86.85,179055.0,157.65
2017-07-28,86.0,89.1,85.1,88.6,88.25,172909.0,151.06
2017-07-31,88.8,91.55,87.15,89.5,89.6,274612.0,247.43
2017-08-01,90.0,90.4,87.15,88.0,87.8,130327.0,114.69
2017-08-02,87.5,88.5,86.5,87.1,86.9,99194.0,86.76
2017-08-03,87.0,88.4,84.6,88.0,87.8,185297.0,160.71
2017-08-04,87.5,88.15,86.3,87.0,87.35,72096.0,63.06
2017-08-07,87.0,88.45,85.2,85.2,85.6,212023.0,183.91
2017-08-08,86.0,87.7,84.1,86.6,87.0,194138.0,166.39
2017-08-09,86.6,86.6,84.95,85.0,85.0,92215.0,78.53
2017-08-10,85.05,85.8,84.0,85.0,84.4,348471.0,295.65
2017-08-11,82.5,82.95,80.95,82.4,82.25,158549.0,130.51
2017-08-14,83.75,83.8,81.75,82.45,82.0,169100.0,139.23
2017-08-16,83.4,83.7,81.85,82.8,82.75,89839.0,74.33
2017-08-17,84.0,84.0,82.25,82.85,82.45,47096.0,39.1
2017-08-18,83.5,83.5,80.0,81.6,81.65,123802.0,100.88
