Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,38.15,39.0,37.1,38.5,38.55,53409.0,20.52
2010-01-05,39.0,41.0,38.4,39.8,39.7,255026.0,101.51
2010-01-06,40.4,41.4,39.55,39.65,39.95,121090.0,48.79
2010-01-07,40.85,46.45,39.25,44.25,44.65,1035063.0,461.33
2010-01-08,44.85,45.9,42.6,43.15,43.0,336038.0,149.93
2010-01-11,44.3,45.15,42.35,42.7,42.9,223507.0,98.31
2010-01-12,42.5,43.9,41.1,41.3,41.45,94011.0,40.11
2010-01-13,41.65,42.8,40.9,41.75,41.8,96999.0,40.44
2010-01-14,42.4,43.25,40.75,41.15,41.2,82109.0,34.41
2010-01-15,41.4,42.05,40.25,40.25,40.8,70782.0,29.36
2010-01-18,41.45,46.0,40.2,43.75,43.6,334797.0,148.19
2010-01-19,43.5,44.4,41.8,42.65,42.2,61836.0,26.58
2010-01-20,42.6,45.2,42.5,43.75,44.05,192176.0,84.53
2010-01-21,44.15,50.25,43.5,44.6,44.75,1056485.0,501.51
2010-01-22,44.25,45.0,42.2,42.2,42.6,237157.0,103.02
2010-01-25,42.45,43.7,39.1,39.1,39.5,204328.0,83.98
2010-01-27,39.4,41.7,36.45,36.8,36.95,198295.0,78.09
2010-01-28,38.1,38.5,36.0,36.65,36.85,99952.0,37.33
2010-01-29,36.0,37.7,34.5,36.9,37.2,94033.0,34.02
2010-02-01,36.65,38.7,36.65,38.6,38.45,75910.0,28.9
2010-02-02,37.55,40.7,37.55,38.2,38.45,129841.0,51.01
2010-02-03,39.0,39.25,38.3,38.7,38.55,65574.0,25.4
2010-02-04,38.15,38.9,36.15,36.45,36.35,34918.0,13.08
2010-02-05,36.95,36.95,34.5,34.7,34.75,62948.0,22.01
2010-02-06,36.0,36.3,35.2,36.2,36.0,16677.0,6.0
2010-02-08,36.35,36.4,35.2,36.0,35.75,37589.0,13.48
2010-02-09,35.1,36.6,35.1,35.9,35.9,16375.0,5.89
2010-02-10,35.9,36.45,35.5,35.8,35.7,20276.0,7.29
2010-02-11,36.0,36.85,35.1,35.5,35.45,23234.0,8.36
2010-02-15,35.7,36.3,35.35,35.4,35.5,17147.0,6.15
2010-02-16,35.1,36.5,35.0,35.2,35.35,31983.0,11.29
2010-02-17,36.8,36.8,35.1,35.2,35.3,35016.0,12.56
2010-02-18,36.0,36.0,34.85,35.0,35.0,13856.0,4.89
2010-02-19,35.5,35.5,34.05,34.1,34.1,15526.0,5.32
2010-02-22,34.5,35.35,32.55,33.0,33.1,43487.0,14.82
2010-02-23,33.0,33.4,31.5,31.7,31.7,27334.0,8.87
2010-02-24,31.85,32.1,31.0,31.85,31.35,35861.0,11.28
2010-02-25,31.5,32.9,30.7,32.7,32.25,50715.0,16.05
2010-02-26,32.9,34.3,32.25,33.55,33.3,65265.0,21.9
2010-03-02,34.3,34.45,33.2,34.45,33.85,20691.0,6.97
