Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-07-30,0.5,0.5,0.5,0.5,0.5,1000.0,0.0
2018-08-06,0.45,0.5,0.45,0.5,0.45,29323.0,0.14
2018-08-13,0.5,0.5,0.4,0.45,0.45,14480.0,0.06
2018-08-27,0.45,0.45,0.45,0.45,0.45,1.0,0.0
2018-09-03,0.45,0.45,0.45,0.45,0.45,401.0,0.0
2018-09-10,0.45,0.45,0.45,0.45,0.45,3200.0,0.01
2018-09-24,0.4,0.5,0.4,0.4,0.4,31031.0,0.14
2018-09-25,0.45,0.45,0.4,0.45,0.45,37300.0,0.16
2018-09-26,0.45,0.5,0.45,0.45,0.45,11493.0,0.06
2018-09-27,0.45,0.45,0.45,0.45,0.45,9205.0,0.04
2018-09-28,0.45,0.5,0.4,0.4,0.5,10780.0,0.05
2018-10-01,0.55,0.55,0.45,0.45,0.45,9372.0,0.05
2018-10-03,0.45,0.5,0.45,0.45,0.45,1105.0,0.01
2018-10-04,0.45,0.5,0.45,0.45,0.45,72816.0,0.35
2018-10-05,0.45,0.5,0.45,0.45,0.45,4669.0,0.02
2018-10-08,0.45,0.5,0.45,0.5,0.5,1739.0,0.01
2018-10-09,0.45,0.5,0.45,0.45,0.45,67488.0,0.32
2018-10-10,0.45,0.5,0.45,0.5,0.5,11695.0,0.06
2018-10-11,0.45,0.5,0.45,0.5,0.5,6080.0,0.03
2018-10-12,0.45,0.55,0.45,0.45,0.5,6511.0,0.03
2018-10-15,0.55,0.55,0.45,0.55,0.55,44279.0,0.23
2018-10-16,0.5,0.6,0.5,0.6,0.6,31344.0,0.16
2018-10-17,0.55,0.65,0.55,0.65,0.65,25663.0,0.15
2018-10-19,0.6,0.65,0.6,0.6,0.6,41547.0,0.25
2018-10-22,0.6,0.6,0.55,0.55,0.55,36432.0,0.2
2018-10-23,0.5,0.6,0.5,0.6,0.55,55829.0,0.33
2018-10-24,0.55,0.6,0.5,0.6,0.6,88898.0,0.52
2018-10-25,0.55,0.55,0.55,0.55,0.55,77252.0,0.42
2018-10-26,0.5,0.55,0.5,0.55,0.55,90973.0,0.46
2018-10-29,0.55,0.55,0.5,0.5,0.5,222514.0,1.2
2018-10-30,0.55,0.55,0.5,0.5,0.5,24349.0,0.13
2018-10-31,0.5,0.55,0.5,0.55,0.55,17654.0,0.1
2018-11-01,0.6,0.6,0.5,0.5,0.6,35913.0,0.2
2018-11-02,0.6,0.6,0.55,0.55,0.55,52023.0,0.29
2018-11-05,0.55,0.55,0.5,0.5,0.5,98246.0,0.52
2018-11-06,0.5,0.55,0.5,0.5,0.55,21582.0,0.11
2018-11-07,0.55,0.55,0.55,0.55,0.55,20.0,0.0
2018-11-09,0.5,0.55,0.5,0.55,0.55,31497.0,0.16
2018-11-12,0.5,0.55,0.5,0.5,0.5,14477.0,0.07
2018-11-13,0.5,0.5,0.45,0.5,0.45,497221.0,2.27
2018-11-14,0.5,0.5,0.45,0.5,0.5,2707.0,0.01
2018-11-15,0.5,0.55,0.45,0.5,0.5,78806.0,0.39
2018-11-16,0.5,0.55,0.45,0.5,0.5,11898.0,0.06
2018-11-19,0.5,0.55,0.45,0.55,0.55,16327.0,0.08
2018-11-20,0.55,0.55,0.55,0.55,0.55,1.0,0.0
2018-11-21,0.5,0.5,0.5,0.5,0.5,1143.0,0.01
2018-11-22,0.5,0.5,0.45,0.45,0.45,1767.0,0.01
2018-11-26,0.45,0.5,0.45,0.45,0.45,24735.0,0.12
2018-11-27,0.5,0.5,0.45,0.5,0.5,9504.0,0.05
2018-11-28,0.45,0.5,0.45,0.5,0.5,8031.0,0.04
2018-11-29,0.5,0.5,0.45,0.5,0.45,4976.0,0.02
2018-11-30,0.5,0.5,0.4,0.5,0.45,8582.0,0.04
2018-12-03,0.45,0.5,0.4,0.5,0.5,361889.0,1.8
2018-12-04,0.55,0.55,0.55,0.55,0.55,11892.0,0.07
2018-12-05,0.6,0.6,0.55,0.6,0.6,41195.0,0.24
2018-12-06,0.65,0.65,0.6,0.6,0.6,74559.0,0.47
2018-12-07,0.6,0.65,0.6,0.6,0.6,33331.0,0.2
2018-12-10,0.6,0.6,0.55,0.6,0.6,53960.0,0.31
2018-12-11,0.6,0.65,0.55,0.65,0.65,48724.0,0.31
2018-12-12,0.6,0.7,0.6,0.7,0.7,16055.0,0.11
2018-12-13,0.65,0.75,0.65,0.75,0.75,16357.0,0.12
2018-12-14,0.75,0.8,0.7,0.8,0.8,65354.0,0.51
2018-12-17,0.8,0.85,0.8,0.85,0.85,971.0,0.01
2018-12-18,0.9,0.9,0.85,0.9,0.9,67400.0,0.6
2018-12-19,0.95,0.95,0.95,0.95,0.95,27632.0,0.26
2018-12-20,1.0,1.0,0.95,1.0,1.0,388904.0,3.87
2018-12-21,1.05,1.05,0.95,1.05,1.05,512928.0,5.35
2018-12-24,1.1,1.1,1.1,1.1,1.1,434348.0,4.78
2018-12-26,1.15,1.15,1.1,1.15,1.15,396327.0,4.53
2018-12-27,1.2,1.2,1.15,1.2,1.2,659992.0,7.91
2018-12-28,1.25,1.25,1.2,1.25,1.25,1584307.0,19.77
2018-12-31,1.3,1.3,1.25,1.3,1.3,1268261.0,16.47
2019-01-01,1.35,1.35,1.3,1.35,1.35,1445886.0,19.42
2019-01-02,1.4,1.4,1.3,1.3,1.3,687192.0,9.07
2019-01-03,1.25,1.25,1.25,1.25,1.25,147381.0,1.84
2019-01-04,1.2,1.2,1.2,1.2,1.2,56882.0,0.68
