Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-05-04,119.2,121.8,117.75,117.75,118.15,68034.0,81.05
2018-05-07,117.65,120.15,117.25,119.45,119.6,106316.0,126.36
2018-05-08,117.25,121.5,117.25,118.3,118.55,121577.0,145.03
2018-05-09,118.3,119.55,117.2,117.35,117.6,89672.0,105.96
2018-05-10,117.0,118.2,112.4,114.4,113.1,165097.0,189.96
2018-05-11,114.0,117.3,109.8,110.0,110.45,324642.0,366.36
2018-05-14,110.4,111.9,107.0,109.0,109.1,118845.0,129.96
2018-05-15,109.0,112.05,106.0,107.5,107.25,156848.0,171.6
2018-05-16,106.4,110.45,104.1,109.4,108.55,170637.0,183.87
2018-05-17,109.35,111.5,106.25,107.05,107.05,355227.0,383.35
2018-05-18,107.9,109.0,105.0,105.6,105.8,134042.0,142.79
2018-05-21,106.65,106.65,98.75,102.15,101.8,357157.0,360.6
2018-05-22,102.0,105.5,100.55,103.85,104.45,95439.0,98.61
2018-05-23,105.6,107.5,104.15,105.6,105.35,84895.0,89.61
2018-05-24,105.75,106.95,101.95,104.95,104.85,150458.0,157.28
2018-05-25,104.6,107.5,104.6,106.7,107.2,94126.0,100.33
2018-05-28,108.0,116.65,108.0,114.0,113.9,708177.0,804.08
2018-05-29,114.9,119.5,113.1,115.75,116.7,564896.0,658.04
2018-05-30,116.9,120.3,113.5,119.0,118.1,475221.0,564.79
2018-05-31,117.25,118.5,113.5,114.0,115.15,178213.0,205.32
2018-06-01,114.0,116.0,106.1,107.7,109.05,2893830.0,3156.81
2018-06-04,109.5,110.4,104.0,104.45,104.7,333053.0,357.95
2018-06-05,103.5,106.0,100.05,105.65,104.7,439261.0,453.94
2018-06-06,104.3,107.15,103.0,107.0,106.1,193069.0,202.67
2018-06-07,107.85,110.8,105.2,109.15,109.0,681635.0,741.96
2018-06-08,109.0,110.6,107.5,109.15,109.5,90454.0,98.86
2018-06-11,109.55,112.7,109.25,111.4,111.25,135460.0,151.12
2018-06-12,111.6,113.05,109.5,112.7,111.7,153553.0,171.53
2018-06-13,112.1,113.75,110.2,110.35,110.85,82648.0,92.69
2018-06-14,110.9,111.0,108.0,108.2,108.35,48996.0,53.4
2018-06-15,108.8,109.15,107.25,107.5,107.6,50356.0,54.46
2018-06-18,107.7,107.7,105.1,105.2,105.55,38163.0,40.55
2018-06-19,105.8,105.85,101.8,102.85,102.85,97555.0,100.84
2018-06-20,103.4,104.85,101.35,103.0,102.65,78759.0,81.22
2018-06-21,102.85,103.3,100.1,101.3,101.2,108106.0,109.6
2018-06-22,101.3,105.4,97.3,105.0,104.65,242018.0,246.42
2018-06-25,104.95,106.0,100.7,101.5,101.7,80407.0,83.24
2018-06-26,101.75,104.0,101.1,101.3,101.5,178087.0,183.4
2018-06-27,101.95,103.1,97.0,98.25,99.0,142823.0,142.51
2018-06-28,99.0,99.0,95.0,95.1,95.2,158089.0,152.19
2018-06-29,95.9,105.65,95.6,104.95,104.55,545240.0,564.08
2018-07-02,105.7,105.7,98.55,99.75,99.9,196833.0,198.41
2018-07-03,99.8,101.45,97.5,99.3,99.55,90327.0,90.18
2018-07-04,99.55,100.1,97.65,98.6,99.0,95435.0,94.45
2018-07-05,99.05,104.25,99.05,102.05,102.75,232320.0,236.31
2018-07-06,102.0,103.5,101.0,101.95,101.8,132759.0,135.62
2018-07-09,102.0,103.5,101.5,102.25,102.4,79809.0,81.81
2018-07-10,102.0,104.8,102.0,104.0,104.05,177940.0,185.05
2018-07-11,103.8,103.85,100.35,100.6,100.7,58437.0,59.46
2018-07-12,101.4,103.9,100.0,100.0,100.45,124105.0,126.53
2018-07-13,101.0,101.0,97.0,97.05,97.15,114363.0,112.09
2018-07-16,97.8,98.2,92.25,93.0,93.1,106971.0,101.69
2018-07-17,93.5,97.2,93.45,96.05,96.45,86259.0,82.15
2018-07-18,96.5,97.7,94.0,94.4,94.55,185671.0,176.95
2018-07-19,94.55,94.65,91.65,91.65,92.2,56690.0,52.7
2018-07-20,92.5,97.3,91.95,96.7,96.3,172231.0,164.36
2018-07-23,95.0,98.2,95.0,97.3,97.35,77835.0,75.42
2018-07-24,97.6,105.85,97.5,101.9,101.9,413597.0,424.85
2018-07-25,102.1,103.5,99.7,100.15,100.5,149830.0,150.8
2018-07-26,101.15,111.9,101.15,109.0,107.3,1284698.0,1396.99
2018-07-27,108.05,123.85,108.05,117.1,117.45,4976246.0,5766.08
2018-07-30,118.3,118.3,112.55,114.25,114.45,398842.0,457.97
2018-07-31,115.0,115.75,106.6,107.65,108.65,6994614.0,7591.14
2018-08-01,107.85,109.25,104.1,105.8,106.4,2705315.0,2892.77
2018-08-02,105.85,108.2,105.3,105.9,105.9,932870.0,996.26
2018-08-03,106.65,108.85,106.2,107.65,107.35,615687.0,662.39
2018-08-06,107.95,108.5,106.15,106.7,107.65,601478.0,646.83
2018-08-07,107.8,109.9,105.3,106.25,106.25,1108447.0,1194.17
2018-08-08,106.9,107.3,103.4,104.0,103.9,617704.0,651.94
