Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-05-29,190.0,199.5,190.0,199.5,199.5,425256.0,813.9
2017-05-30,209.45,209.45,209.45,209.45,209.45,6926.0,14.51
2017-05-31,219.9,219.9,203.2,218.0,218.35,279052.0,608.17
2017-06-01,211.0,219.0,211.0,218.0,218.05,110148.0,239.44
2017-06-02,218.1,220.0,215.05,216.0,217.5,95689.0,208.48
2017-06-05,220.0,221.0,216.0,220.5,219.95,110002.0,240.86
2017-06-06,221.0,230.9,215.1,230.9,230.15,80946.0,183.7
2017-06-07,234.45,241.65,234.45,241.65,241.65,29388.0,70.44
2017-06-08,253.7,253.7,249.0,253.7,253.7,16959.0,42.99
2017-06-09,266.35,266.35,260.4,266.35,266.35,25907.0,68.93
2017-06-12,272.0,276.5,242.0,265.9,265.3,205096.0,541.81
2017-06-13,265.9,307.7,259.0,288.0,290.0,629555.0,1801.83
2017-06-14,290.0,300.0,282.0,287.55,290.65,299032.0,874.84
2017-06-15,290.95,299.95,287.55,295.0,294.3,183258.0,541.94
2017-06-16,296.75,309.8,296.0,299.55,299.15,269675.0,817.16
2017-06-19,301.7,317.5,292.5,304.2,304.85,603204.0,1852.99
2017-06-20,305.4,309.45,285.75,288.95,290.05,212643.0,638.74
2017-06-21,292.35,298.8,289.0,297.15,296.6,133659.0,394.31
2017-06-22,296.95,299.0,275.0,277.5,278.6,208583.0,592.17
2017-06-23,278.0,280.75,264.0,266.0,267.35,143371.0,386.11
2017-06-27,262.3,267.8,258.0,260.0,260.5,130790.0,340.63
2017-06-28,256.05,260.85,251.2,256.2,255.5,152133.0,391.06
2017-06-29,258.8,275.2,256.85,272.45,272.3,260666.0,696.89
2017-06-30,272.0,275.0,267.4,268.3,269.65,54834.0,149.29
2017-07-03,270.45,287.9,268.35,281.55,281.65,129737.0,365.07
2017-07-04,283.25,283.3,276.0,276.0,276.95,54759.0,152.33
2017-07-05,278.75,287.95,274.7,277.85,276.9,149496.0,420.39
2017-07-06,279.8,281.5,274.3,278.65,278.05,174476.0,485.03
2017-07-07,275.05,299.9,275.0,291.1,289.3,210667.0,608.76
2017-07-10,293.0,295.0,280.6,290.7,291.1,12807.0,37.4
2017-07-11,293.05,297.0,282.4,285.4,284.45,102116.0,296.74
2017-07-12,288.75,299.9,287.1,292.0,289.7,80005.0,234.19
2017-07-13,293.85,294.0,287.3,288.5,289.15,67156.0,194.77
2017-07-14,290.0,297.05,288.1,291.0,290.75,203267.0,595.17
2017-07-17,292.85,294.75,286.95,289.5,288.35,121601.0,353.73
2017-07-18,289.25,290.1,281.0,286.0,284.95,73148.0,209.09
2017-07-19,287.65,287.65,281.35,284.1,285.4,29885.0,85.1
2017-07-20,287.3,287.3,279.4,283.05,283.7,32477.0,91.74
2017-07-21,284.05,294.7,284.05,292.0,292.35,138771.0,404.82
2017-07-24,292.65,293.25,283.0,283.25,283.7,59006.0,169.24
2017-07-25,283.6,292.4,283.55,288.25,290.0,73265.0,211.2
2017-07-26,294.25,294.25,286.25,291.0,291.2,45973.0,133.0
2017-07-27,294.8,294.8,286.5,287.5,289.05,47870.0,138.94
2017-07-28,286.5,308.2,280.0,303.1,302.2,412459.0,1221.14
2017-07-31,303.0,313.5,302.9,309.05,309.7,202176.0,623.22
2017-08-01,312.45,314.0,306.05,310.0,307.85,341992.0,1053.25
2017-08-02,311.95,314.0,306.5,310.9,310.1,393255.0,1213.25
2017-08-03,311.05,319.0,306.5,316.5,316.1,453360.0,1418.75
2017-08-04,315.45,341.2,315.05,329.5,330.15,405183.0,1340.1
2017-08-07,331.7,349.8,326.65,334.1,336.15,315403.0,1068.97
2017-08-08,336.0,348.9,325.0,333.25,333.75,148604.0,501.14
2017-08-09,333.75,345.85,303.2,315.65,317.65,510080.0,1638.79
2017-08-10,319.0,325.0,308.0,313.0,314.2,128128.0,403.47
2017-08-11,305.25,319.9,303.0,309.0,307.7,192151.0,604.62
2017-08-14,311.0,317.95,306.05,308.0,309.6,53340.0,165.43
2017-08-16,312.25,312.25,307.0,308.05,308.4,62852.0,194.04
2017-08-17,308.45,315.05,308.0,312.0,310.5,17714.0,55.16
2017-08-18,306.05,319.9,306.05,314.0,315.5,58318.0,182.6
2017-08-21,317.35,323.85,308.4,309.0,309.25,59118.0,184.82
2017-08-22,311.95,316.0,309.1,315.95,310.8,84147.0,261.48
2017-08-23,313.6,319.0,313.0,314.05,316.5,59785.0,188.29
2017-08-24,316.5,321.9,315.65,319.5,319.9,25312.0,80.74
2017-08-28,327.0,329.0,319.55,326.0,325.3,45897.0,149.14
2017-08-29,325.2,339.0,322.85,328.35,330.45,83059.0,276.07
2017-08-30,329.55,338.0,327.0,332.0,333.7,141261.0,474.69
2017-08-31,332.9,337.4,331.2,334.4,333.35,20920.0,70.2
2017-09-01,335.45,337.4,325.0,328.0,329.9,100281.0,331.09
2017-09-04,332.95,332.95,324.0,330.0,327.7,45850.0,149.51
2017-09-05,336.0,339.0,326.35,339.0,336.3,264563.0,888.44
2017-09-06,344.8,353.4,335.05,347.6,346.85,239201.0,831.86
2017-09-07,349.55,359.7,345.2,356.65,356.1,161053.0,570.63
2017-09-08,359.0,368.8,355.2,360.0,360.15,332407.0,1203.88
2017-09-11,364.9,364.9,351.5,353.2,355.65,76944.0,275.68
2017-09-12,353.0,373.8,353.0,359.8,358.85,67882.0,244.89
2017-09-13,360.4,362.05,350.6,355.1,357.8,62052.0,221.52
2017-09-14,359.95,360.65,352.45,356.0,355.6,23849.0,84.99
2017-09-15,355.0,356.9,349.0,350.0,350.15,13784.0,48.52
2017-09-18,352.05,368.65,351.25,355.05,355.5,21224.0,75.85
2017-09-19,360.0,361.0,350.0,360.0,359.4,14507.0,51.8
2017-09-20,359.3,365.0,355.5,362.0,361.5,68108.0,244.97
2017-09-21,360.35,360.35,350.0,355.9,358.75,28800.0,102.56
2017-09-22,353.45,358.8,345.05,348.0,349.75,90733.0,318.33
2017-09-25,345.9,350.0,323.3,330.9,330.15,249634.0,826.44
2017-09-26,329.65,342.2,325.1,333.25,335.2,300345.0,993.99
2017-09-27,336.45,341.8,324.0,332.0,333.05,86564.0,287.23
2017-09-28,335.95,339.2,329.0,329.55,330.35,33927.0,113.04
2017-09-29,337.7,342.45,333.15,335.6,338.9,40990.0,139.09
2017-10-03,345.0,350.0,337.15,344.0,345.95,75027.0,260.33
2017-10-04,347.0,371.5,345.6,359.5,359.05,125511.0,451.11
2017-10-05,366.6,366.6,354.5,360.0,358.9,32911.0,118.27
2017-10-06,357.35,366.3,357.0,363.0,361.1,49936.0,181.06
2017-10-09,351.0,385.0,351.0,369.0,367.0,366599.0,1349.99
2017-10-10,373.05,426.0,373.0,410.0,410.8,443641.0,1811.81
2017-10-11,446.5,469.0,402.65,410.3,411.2,689970.0,2975.24
2017-10-12,415.1,426.8,399.65,413.35,413.4,97711.0,404.31
2017-10-13,417.5,443.2,407.65,429.7,424.85,307335.0,1318.75
2017-10-16,430.05,441.55,411.05,424.0,422.95,114950.0,490.01
2017-10-17,424.05,434.0,420.1,422.6,422.85,67579.0,286.84
2017-10-18,422.9,428.75,420.45,422.2,423.45,18503.0,78.54
2017-10-19,425.0,445.0,425.0,429.0,431.8,40680.0,176.85
2017-10-23,435.0,435.0,421.05,423.85,423.05,23655.0,101.02
2017-10-24,424.0,427.9,420.1,423.4,421.95,22421.0,94.95
2017-10-25,422.0,426.95,415.0,421.3,420.85,54520.0,229.58
2017-10-26,420.95,428.5,415.05,424.0,422.25,26338.0,110.74
2017-10-27,424.45,427.0,418.05,420.0,419.55,29247.0,123.16
2017-10-30,419.55,427.0,419.55,423.0,421.7,20808.0,87.9
2017-10-31,421.75,440.0,420.1,429.0,428.95,58521.0,252.8
2017-11-01,434.0,441.0,425.5,432.65,433.3,53150.0,231.46
2017-11-02,432.9,437.55,426.65,428.9,428.5,45634.0,197.39
2017-11-03,437.0,442.5,392.5,421.0,423.4,129761.0,561.12
2017-11-06,425.8,429.55,414.0,417.0,415.85,65153.0,272.64
2017-11-07,416.05,422.0,415.0,419.95,417.15,26766.0,111.82
2017-11-08,420.0,420.0,409.05,414.95,414.3,45192.0,187.85
2017-11-09,410.95,419.5,409.05,411.0,410.9,26904.0,110.84
2017-11-10,413.0,417.15,405.0,415.05,413.45,12569.0,51.77
2017-11-13,425.0,425.0,403.0,405.1,408.65,17820.0,72.87
2017-11-14,405.95,415.8,405.05,405.7,406.0,18880.0,76.78
2017-11-15,403.95,411.65,399.25,402.0,401.9,26754.0,108.55
2017-11-16,398.95,408.3,394.85,398.95,398.6,35830.0,143.24
2017-11-17,400.0,432.7,399.05,418.3,418.65,136691.0,568.84
2017-11-20,423.3,423.3,410.1,410.3,412.6,19415.0,80.81
2017-11-21,417.95,422.0,415.1,416.15,417.0,33340.0,139.55
2017-11-22,419.05,424.45,415.5,419.0,419.85,17123.0,72.03
2017-11-23,422.9,430.0,418.45,427.5,424.9,20150.0,85.49
2017-11-24,424.0,432.6,422.9,428.95,426.75,20454.0,87.1
2017-11-27,428.95,459.7,415.1,437.1,438.75,246886.0,1092.05
2017-11-28,442.0,458.5,440.0,449.75,449.85,117223.0,528.46
2017-11-29,454.15,458.0,447.1,451.3,451.0,41013.0,185.72
2017-11-30,449.95,487.9,441.0,460.0,462.0,175889.0,821.23
2017-12-01,475.0,489.9,463.0,469.05,467.3,137986.0,657.4
2017-12-04,473.4,489.0,451.0,487.95,481.15,213303.0,1024.67
2017-12-05,480.8,500.35,477.9,479.3,479.45,98769.0,479.82
2017-12-06,479.0,490.0,470.05,477.0,478.25,54209.0,260.37
2017-12-07,480.45,493.0,480.1,491.6,491.15,53181.0,259.42
2017-12-08,496.95,519.0,495.0,500.0,500.95,193286.0,983.24
2017-12-11,506.0,521.8,503.1,517.9,516.65,94674.0,487.19
2017-12-12,517.0,521.7,505.0,507.25,508.5,55475.0,285.81
2017-12-13,507.0,541.0,507.0,526.0,517.85,191541.0,1007.75
2017-12-14,528.0,538.0,521.0,524.05,524.55,85164.0,448.46
2017-12-15,540.0,541.0,513.35,516.55,518.35,195881.0,1035.15
2017-12-18,500.0,529.0,484.95,516.2,515.25,139613.0,716.44
2017-12-19,528.0,529.0,518.55,524.0,524.15,167949.0,879.63
2017-12-20,527.0,547.0,525.05,538.0,535.7,147599.0,794.87
2017-12-21,539.9,539.9,518.3,520.0,522.85,83419.0,440.3
2017-12-22,526.0,532.0,515.1,531.0,524.2,73423.0,383.58
2017-12-26,533.9,539.0,518.25,524.8,520.5,73873.0,388.56
2017-12-27,526.0,527.0,508.5,511.0,514.3,76574.0,397.13
2017-12-28,516.5,517.1,502.95,510.5,511.4,49439.0,252.29
2017-12-29,515.0,525.0,506.1,523.0,520.0,60573.0,312.84
2018-01-01,520.05,537.7,515.55,522.25,520.2,39720.0,208.97
2018-01-02,527.4,527.4,509.25,513.4,513.45,38835.0,199.58
2018-01-03,515.0,522.0,508.05,511.5,510.1,55422.0,284.69
2018-01-04,510.0,528.0,510.0,522.2,525.7,48060.0,250.38
2018-01-05,526.9,547.0,524.0,547.0,544.25,117498.0,631.18
2018-01-08,547.5,595.0,541.65,581.05,576.45,370987.0,2124.27
2018-01-09,582.0,595.0,554.0,560.0,559.65,159231.0,907.88
2018-01-10,565.0,571.95,547.25,562.0,562.8,53127.0,298.22
2018-01-11,560.15,571.5,545.0,558.2,557.55,60583.0,340.01
2018-01-12,556.55,569.0,551.75,557.0,562.25,74339.0,418.22
2018-01-15,565.55,580.0,565.5,575.0,574.5,83139.0,477.84
2018-01-16,578.95,578.95,561.95,569.0,564.4,117328.0,666.45
2018-01-17,556.0,576.7,556.0,575.0,574.75,75155.0,427.97
2018-01-18,585.0,585.0,557.5,565.0,559.7,85950.0,486.48
2018-01-19,568.9,573.0,560.0,568.05,569.2,49789.0,281.29
2018-01-22,570.0,575.45,561.6,567.0,564.8,44940.0,253.88
2018-01-23,574.0,575.1,563.7,565.0,565.05,58005.0,330.45
2018-01-24,570.0,570.0,556.05,561.7,559.95,28669.0,161.28
2018-01-25,556.0,567.0,548.0,558.0,555.2,19469.0,108.47
2018-01-29,556.0,564.7,537.0,541.0,542.3,29336.0,160.2
2018-01-30,535.0,538.1,517.05,520.0,522.1,48417.0,254.26
2018-01-31,526.2,535.0,511.0,522.0,520.35,29257.0,151.94
2018-02-01,529.0,542.0,520.2,535.0,534.6,45190.0,241.04
2018-02-02,535.05,535.05,505.3,509.0,509.15,83696.0,431.2
2018-02-05,507.9,507.9,483.0,499.35,496.55,42196.0,209.21
2018-02-06,470.0,495.0,432.65,468.0,469.9,119061.0,560.24
2018-02-07,488.9,510.6,480.0,492.6,494.65,90877.0,450.62
2018-02-08,500.0,533.0,500.0,512.0,514.75,145124.0,754.12
2018-02-09,509.7,523.0,505.0,516.1,516.2,58711.0,303.46
2018-02-12,520.2,529.0,512.2,515.0,515.15,57153.0,297.02
2018-02-14,525.0,525.0,511.05,512.8,514.25,51178.0,264.69
2018-02-15,512.55,521.45,489.1,506.4,496.1,42794.0,217.25
2018-02-16,506.0,506.95,492.0,499.0,494.15,20769.0,103.4
2018-02-19,497.5,501.1,477.0,486.0,490.1,31322.0,153.69
2018-02-20,485.0,495.05,485.0,488.0,489.3,13337.0,65.52
2018-02-21,487.0,493.2,482.8,482.8,486.7,10977.0,53.62
2018-02-22,480.05,485.05,472.05,476.95,475.75,94500.0,450.43
2018-02-23,477.55,489.0,477.55,488.95,487.9,26442.0,128.25
2018-02-26,493.8,499.9,486.0,488.15,489.9,44981.0,222.36
2018-02-27,496.55,496.55,488.25,488.25,491.4,44027.0,216.34
2018-02-28,480.8,500.0,480.8,494.5,497.55,68697.0,337.52
2018-03-01,487.65,504.95,487.65,500.0,500.8,262822.0,1312.97
2018-03-05,491.2,504.0,490.0,504.0,502.1,31669.0,158.23
2018-03-06,508.3,508.3,491.0,491.0,495.9,18866.0,94.89
2018-03-07,497.0,497.0,470.0,471.5,473.55,44290.0,212.05
2018-03-08,475.0,482.9,452.7,468.5,468.65,24874.0,116.19
2018-03-09,471.5,472.0,464.15,465.1,466.75,37070.0,173.12
2018-03-12,463.05,474.4,460.0,464.95,464.9,19626.0,91.33
2018-03-13,469.8,470.0,460.0,465.0,466.7,18938.0,88.07
2018-03-14,461.1,480.0,460.55,468.15,469.85,28651.0,134.97
2018-03-15,477.0,477.15,465.05,465.8,468.0,17322.0,81.16
