Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,113.5,117.4,112.55,116.7,116.55,2068498.0,2388.19
2010-01-05,118.0,120.65,116.25,117.85,117.8,3659934.0,4321.75
2010-01-06,118.7,122.35,117.0,120.45,120.1,2705560.0,3243.89
2010-01-07,120.5,123.85,118.55,123.45,123.1,2394529.0,2898.46
2010-01-08,123.0,125.25,119.55,120.6,120.3,2068522.0,2536.86
2010-01-11,121.5,122.0,116.15,117.25,116.9,2082548.0,2466.17
2010-01-12,117.0,119.0,115.0,115.75,115.55,2256082.0,2630.22
2010-01-13,116.5,124.6,116.5,122.75,122.35,9602995.0,11720.56
2010-01-14,123.05,123.45,119.1,120.1,119.8,1907181.0,2308.23
2010-01-15,119.9,123.4,119.15,120.5,120.45,1980532.0,2393.01
2010-01-18,120.5,124.95,119.5,124.5,124.1,2442134.0,2996.4
2010-01-19,124.1,125.2,118.2,119.2,119.6,2076531.0,2507.53
2010-01-20,120.45,120.65,115.65,118.1,117.95,779757.0,922.88
2010-01-21,116.0,117.75,111.6,113.25,113.4,1731594.0,1975.36
2010-01-22,112.5,115.9,106.9,113.0,113.4,2406952.0,2706.81
2010-01-25,113.0,114.35,110.85,111.9,111.75,777913.0,873.85
2010-01-27,111.0,112.7,108.5,109.5,110.1,1281442.0,1416.6
2010-01-28,112.0,113.5,109.7,111.0,111.0,1632087.0,1812.43
2010-01-29,110.8,111.55,106.75,109.8,109.8,889536.0,971.86
2010-02-01,110.0,110.5,107.3,109.7,109.3,1307246.0,1428.53
2010-02-02,111.0,111.3,103.65,104.4,104.25,2216903.0,2372.46
2010-02-03,105.0,108.2,104.5,107.1,107.0,1432794.0,1527.07
2010-02-04,107.0,108.1,104.6,106.0,105.7,1008856.0,1073.92
2010-02-05,102.2,106.0,102.1,105.7,105.4,602415.0,627.16
2010-02-06,106.4,106.5,105.0,106.1,105.95,73067.0,77.34
2010-02-08,106.75,108.5,104.3,108.5,107.55,715291.0,764.51
2010-02-09,108.5,109.15,106.4,107.0,106.95,736240.0,793.19
2010-02-10,108.4,108.6,106.75,107.2,107.05,335114.0,360.33
2010-02-11,115.0,115.0,106.55,107.0,107.0,332669.0,356.55
2010-02-15,107.7,107.95,105.25,106.05,106.05,234026.0,248.92
2010-02-16,106.1,107.05,105.05,106.9,106.7,205845.0,218.2
2010-02-17,107.0,109.8,106.6,109.0,108.65,452229.0,487.96
2010-02-18,108.95,111.2,107.3,107.6,107.95,847717.0,924.11
2010-02-19,107.25,108.0,106.25,107.15,107.1,302432.0,323.78
2010-02-22,107.25,109.4,106.35,107.0,106.85,282952.0,304.93
2010-02-23,106.5,107.8,104.8,105.65,105.85,184898.0,196.81
2010-02-24,106.0,107.55,105.0,105.55,105.85,473693.0,501.31
2010-02-25,106.6,106.65,103.95,105.0,104.9,930023.0,977.91
2010-02-26,105.1,106.9,104.65,105.05,105.1,343090.0,362.85
2010-03-02,106.0,112.0,106.0,111.9,110.95,867997.0,947.93
2010-03-03,113.0,116.3,112.5,115.65,115.85,1405118.0,1615.61
2010-03-04,116.0,117.0,114.05,114.35,114.7,431370.0,497.12
2010-03-05,107.2,115.7,107.2,114.8,114.6,534450.0,612.96
2010-03-08,115.0,116.95,113.1,114.4,114.4,340045.0,388.7
2010-03-09,114.9,117.3,112.05,112.5,112.5,641508.0,735.17
2010-03-10,110.6,113.85,110.6,112.85,112.85,338577.0,382.46
2010-03-11,123.0,123.0,112.4,112.85,112.9,273682.0,309.34
2010-03-12,113.1,114.0,110.65,111.7,111.55,308875.0,346.61
2010-03-15,112.0,112.0,109.2,109.5,110.0,395742.0,437.87
2010-03-16,110.0,110.0,107.8,108.45,108.6,416633.0,451.79
2010-03-17,109.0,109.85,108.45,109.1,109.2,247238.0,269.83
2010-03-18,109.85,110.0,108.6,109.1,109.1,198362.0,216.42
2010-03-19,109.3,112.6,108.2,111.6,111.95,693499.0,770.06
2010-03-22,111.9,114.2,111.0,111.4,111.85,864243.0,973.19
2010-03-23,112.0,112.55,108.15,108.7,109.3,505330.0,558.61
2010-03-25,109.5,110.5,108.1,108.6,108.6,734973.0,801.15
2010-03-26,109.0,110.35,108.25,108.3,108.5,324845.0,355.54
2010-03-29,108.5,111.9,107.5,111.05,110.35,402451.0,440.56
2010-03-30,111.0,115.4,109.15,114.05,113.7,904179.0,1019.92
2010-03-31,114.0,115.6,110.5,111.3,112.05,923887.0,1049.76
2010-04-01,112.5,113.0,110.65,110.8,110.9,280885.0,313.13
2010-04-05,112.0,113.0,110.5,111.75,111.7,343354.0,383.99
2010-04-06,112.0,113.0,110.65,111.7,111.8,419626.0,468.21
2010-04-07,112.0,113.6,111.6,112.5,112.6,528274.0,594.89
2010-04-08,113.5,113.8,110.6,111.2,111.25,483451.0,541.91
2010-04-09,110.5,112.7,110.5,111.5,111.15,415891.0,464.4
2010-04-12,111.5,112.25,110.2,110.95,111.25,373687.0,415.92
2010-04-13,112.0,113.15,109.55,110.15,110.0,1866697.0,2063.6
2010-04-15,110.8,111.75,110.1,111.5,111.1,359738.0,399.02
2010-04-16,112.0,113.2,110.2,111.6,111.9,847046.0,950.9
2010-04-19,111.5,111.5,109.0,109.9,110.1,462087.0,508.73
2010-04-20,110.5,112.95,110.0,110.95,111.0,648320.0,720.6
2010-04-21,110.5,113.0,110.5,112.45,112.5,520091.0,583.42
2010-04-22,111.6,115.2,111.55,114.0,113.9,994785.0,1128.89
2010-04-23,114.0,114.2,112.4,112.8,113.15,399625.0,452.87
