Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-03-17,413.0,415.0,367.2,372.0,372.9,18387985.0,70212.82
2017-03-20,365.0,374.5,357.5,367.95,367.75,2347970.0,8589.11
2017-03-21,369.95,370.0,351.45,356.45,354.9,897556.0,3216.17
2017-03-22,350.0,363.0,348.0,357.7,357.95,646194.0,2314.87
2017-03-23,357.8,361.7,356.2,358.0,357.9,297101.0,1064.95
2017-03-24,356.5,365.5,355.55,358.55,358.7,475727.0,1713.77
2017-03-27,358.6,360.9,356.25,357.95,357.95,227922.0,816.28
2017-03-28,358.0,359.35,352.85,354.0,354.2,222788.0,791.7
2017-03-29,354.8,358.65,349.5,354.0,355.0,507467.0,1792.51
2017-03-30,354.7,362.9,353.5,358.45,358.5,401770.0,1440.7
2017-03-31,358.4,363.0,354.6,360.1,360.55,187444.0,670.71
2017-04-03,361.0,365.0,357.1,361.0,361.75,379700.0,1367.52
2017-04-05,362.1,363.0,356.05,360.0,359.7,625700.0,2250.5
2017-04-06,358.15,359.9,357.2,358.0,358.05,239367.0,857.31
2017-04-07,356.0,368.6,356.0,362.7,362.1,240615.0,874.94
2017-04-10,361.4,373.7,360.5,361.55,361.5,261663.0,959.54
2017-04-11,361.0,364.95,359.95,361.3,361.4,113785.0,412.65
2017-04-12,362.0,372.5,359.4,362.5,362.65,275616.0,1008.18
2017-04-13,363.8,364.4,358.75,360.0,359.9,158403.0,570.99
2017-04-17,360.0,360.65,345.0,348.0,348.25,760742.0,2662.74
2017-04-18,350.1,354.55,339.0,343.0,341.5,306443.0,1057.26
2017-04-19,344.95,348.4,340.1,343.5,343.7,67023.0,230.4
2017-04-20,344.0,347.85,340.25,345.0,345.05,65573.0,225.27
2017-04-21,347.0,347.0,341.1,346.35,346.0,127075.0,438.35
2017-04-24,346.25,347.85,339.0,345.75,343.25,61588.0,212.32
2017-04-25,342.0,346.9,342.0,345.3,344.95,61992.0,213.77
2017-04-26,342.1,355.0,342.1,353.6,353.5,127395.0,445.54
2017-04-27,352.25,354.45,349.0,351.4,350.1,203112.0,711.15
2017-04-28,354.5,354.5,349.5,350.0,350.4,29433.0,103.08
2017-05-02,350.1,351.9,347.5,349.35,349.2,33499.0,117.21
2017-05-03,348.6,357.2,348.15,355.0,355.15,64672.0,229.39
2017-05-04,356.0,356.0,355.0,356.0,355.45,43446.0,154.28
2017-05-05,353.45,358.6,349.25,349.8,350.1,57711.0,203.57
2017-05-08,348.9,354.0,348.85,350.0,350.1,18838.0,65.95
2017-05-09,347.65,351.3,346.0,346.3,346.85,31720.0,110.49
2017-05-10,346.3,348.9,342.1,343.0,344.45,224546.0,774.7
2017-05-11,342.3,345.5,339.4,340.5,340.0,47894.0,163.23
2017-05-12,342.0,345.15,339.05,341.5,342.25,80588.0,275.12
2017-05-15,341.35,343.95,341.0,342.5,342.55,26926.0,92.25
2017-05-16,342.05,345.5,336.5,344.95,344.95,130275.0,446.7
2017-05-17,344.35,346.0,339.0,345.2,344.55,59827.0,204.69
2017-05-18,344.75,344.75,339.95,340.0,340.55,72127.0,245.74
2017-05-19,340.05,344.0,340.0,341.0,341.0,95188.0,324.58
2017-05-22,341.0,344.9,336.35,343.9,344.25,43968.0,150.41
2017-05-23,338.5,343.25,333.5,340.0,340.0,32092.0,108.56
2017-05-24,338.1,350.0,337.1,347.0,346.7,56521.0,193.39
2017-05-25,347.0,347.0,341.55,343.55,344.05,32666.0,112.4
2017-05-26,340.0,343.5,339.2,341.0,341.7,74058.0,252.4
2017-05-29,340.0,341.0,334.0,339.5,340.2,167215.0,567.93
2017-05-30,341.0,347.45,334.6,345.0,345.5,200888.0,683.69
2017-05-31,340.45,353.8,339.85,351.6,348.65,53425.0,184.84
2017-06-01,349.85,349.85,334.1,337.1,337.05,25049.0,85.21
2017-06-02,339.75,340.9,338.25,340.0,340.05,24989.0,84.95
2017-06-05,341.0,345.25,338.05,340.05,340.0,37992.0,129.61
2017-06-06,337.45,343.7,337.45,340.45,340.1,19631.0,66.78
2017-06-07,341.95,341.95,338.5,340.0,339.95,14370.0,48.9
2017-06-08,340.05,344.8,339.0,342.0,342.05,23987.0,81.78
2017-06-09,344.0,344.0,339.3,342.0,341.9,25317.0,86.25
2017-06-12,340.0,348.0,340.0,346.0,346.55,51109.0,176.46
2017-06-13,345.05,349.55,344.95,348.0,349.15,37871.0,131.84
2017-06-14,349.0,350.7,345.0,346.5,346.95,12152.0,42.17
2017-06-15,342.1,345.75,342.1,345.4,345.1,25307.0,87.32
2017-06-16,346.15,363.95,346.15,359.3,360.55,216466.0,775.02
2017-06-19,355.0,359.7,355.0,356.0,356.0,16256.0,57.94
2017-06-20,356.05,357.95,355.0,356.0,355.95,11716.0,41.73
2017-06-21,355.0,358.4,353.0,358.35,355.95,22014.0,78.21
2017-06-22,355.05,362.0,354.85,356.0,356.55,23076.0,82.63
2017-06-23,356.0,359.0,354.0,356.25,356.35,26071.0,92.89
2017-06-27,351.5,356.0,345.0,349.5,349.3,14018.0,49.01
2017-06-28,346.1,353.0,346.05,353.0,351.45,10673.0,37.36
2017-06-29,347.25,356.0,347.25,350.6,352.5,14533.0,51.21
2017-06-30,346.1,360.0,346.05,350.0,351.45,25892.0,91.31
2017-07-03,356.5,360.9,350.0,359.6,359.75,30703.0,109.61
2017-07-04,358.1,368.0,358.1,365.0,366.0,59329.0,216.84
2017-07-05,365.3,367.5,359.05,359.65,361.25,12543.0,45.62
2017-07-06,358.0,362.0,357.5,360.0,360.0,16098.0,57.9
2017-07-07,355.0,366.6,355.0,358.15,358.3,15235.0,55.04
2017-07-10,355.1,358.0,355.0,357.0,357.0,4204.0,15.02
2017-07-11,360.0,363.7,351.5,357.0,358.3,386710.0,1391.68
2017-07-12,355.5,362.5,355.5,362.05,361.5,36871.0,132.85
2017-07-13,363.95,364.45,359.85,360.45,360.2,22350.0,80.9
2017-07-14,360.45,364.0,358.0,361.0,360.15,33588.0,121.12
2017-07-17,358.05,362.5,356.1,360.0,359.25,34387.0,123.72
2017-07-18,356.0,359.9,354.95,358.0,357.7,127735.0,454.23
2017-07-19,358.0,384.9,356.15,376.0,377.1,279148.0,1049.54
2017-07-20,376.9,376.9,364.55,368.0,370.7,37727.0,139.57
2017-07-21,370.95,371.95,362.0,364.5,365.65,16970.0,62.08
2017-07-24,368.9,373.9,362.65,366.0,365.25,22101.0,81.47
2017-07-25,374.9,374.9,363.75,366.25,366.65,17164.0,63.33
2017-07-26,369.95,370.0,360.0,362.15,363.0,11470.0,41.8
2017-07-27,362.1,368.9,358.0,361.25,359.9,16420.0,59.41
2017-07-28,357.0,365.0,357.0,361.1,361.0,14264.0,51.31
2017-07-31,364.0,367.0,357.95,360.95,358.9,10277.0,37.13
2017-08-01,365.1,370.0,357.3,360.0,360.1,110194.0,397.22
2017-08-02,360.05,367.0,355.5,357.0,357.1,17672.0,63.84
2017-08-03,357.05,361.0,350.75,352.0,352.2,9724.0,34.63
2017-08-04,351.35,353.95,350.0,353.95,352.95,8413.0,29.58
2017-08-07,356.45,358.0,350.0,352.0,352.4,58729.0,208.29
2017-08-08,353.0,355.0,348.4,350.0,353.5,72071.0,253.38
2017-08-09,355.0,355.0,345.0,345.0,351.3,15344.0,53.96
2017-08-10,345.1,356.0,345.1,352.0,350.3,36031.0,126.64
2017-08-11,345.1,352.6,337.0,345.5,346.3,203222.0,706.52
2017-08-14,340.15,366.5,340.15,366.0,365.75,38530.0,139.97
2017-08-16,362.0,377.95,361.95,373.0,372.5,50750.0,188.77
2017-08-17,368.15,381.6,368.0,375.4,374.25,65303.0,246.77
