Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,55.0,56.0,54.05,55.5,55.6,33750.0,18.57
2010-01-05,56.5,57.0,54.75,55.2,55.5,22292.0,12.42
2010-01-06,55.9,58.2,55.5,57.1,57.0,71988.0,41.11
2010-01-07,57.7,59.0,56.65,57.7,57.25,58314.0,33.7
2010-01-08,58.3,59.5,57.25,57.5,57.6,35066.0,20.43
2010-01-11,59.2,63.4,59.0,63.4,63.4,157423.0,97.94
2010-01-12,63.4,68.8,63.4,66.15,66.3,478456.0,320.12
2010-01-13,66.0,68.8,65.0,66.5,66.1,135611.0,90.88
2010-01-14,66.3,68.5,65.2,65.2,65.65,56803.0,38.03
2010-01-15,66.5,71.8,63.25,70.0,69.6,314287.0,215.17
2010-01-18,69.5,70.85,67.55,68.0,68.0,83338.0,57.65
2010-01-19,66.2,68.95,65.1,65.1,66.05,54587.0,36.58
2010-01-20,65.1,67.25,65.0,65.4,65.25,49228.0,32.49
2010-01-21,65.25,68.5,63.5,65.15,65.35,71758.0,47.0
2010-01-22,63.5,66.6,61.1,64.55,64.95,56836.0,36.44
2010-01-25,64.75,69.0,63.1,63.15,63.8,108572.0,71.99
2010-01-27,63.0,63.8,60.3,60.3,60.85,71771.0,44.59
2010-01-28,62.0,62.5,58.35,59.0,58.95,31446.0,19.01
2010-01-29,58.1,60.0,56.8,59.25,59.3,33942.0,19.68
2010-02-01,59.9,64.9,59.9,61.5,60.85,26697.0,16.31
2010-02-02,61.8,62.75,59.0,59.25,59.55,27147.0,16.51
2010-02-03,59.7,61.1,58.5,59.0,59.1,21265.0,12.7
2010-02-04,59.0,59.4,57.5,57.75,57.7,22159.0,12.9
2010-02-05,56.9,57.0,54.7,55.95,55.55,21303.0,11.89
2010-02-06,56.85,57.4,56.2,56.5,56.5,4582.0,2.6
2010-02-08,57.0,57.0,55.0,56.3,56.1,7926.0,4.46
2010-02-09,55.15,57.0,55.15,56.65,56.65,9502.0,5.38
2010-02-10,57.0,59.0,56.7,57.6,57.45,11873.0,6.83
2010-02-11,58.0,58.1,56.05,58.0,57.65,18099.0,10.34
2010-02-15,57.5,59.75,56.85,58.1,57.75,19479.0,11.24
2010-02-16,57.3,58.4,57.05,58.05,58.1,11453.0,6.63
2010-02-17,58.4,61.0,57.95,59.0,59.6,42467.0,25.33
2010-02-18,60.75,61.0,59.2,59.25,59.6,38170.0,22.98
2010-02-19,58.55,59.4,58.2,59.15,59.05,11074.0,6.52
2010-02-22,59.4,60.4,56.5,57.0,57.05,9318.0,5.39
2010-02-23,57.0,57.9,55.85,57.1,57.2,19083.0,10.85
2010-02-24,56.05,57.25,56.05,57.25,56.9,7920.0,4.48
2010-02-25,56.6,57.4,54.75,54.8,55.0,32588.0,18.07
2010-02-26,55.0,55.75,54.0,54.0,54.2,75681.0,41.53
2010-03-02,55.0,55.3,54.25,54.65,54.85,18585.0,10.19
2010-03-03,54.8,56.0,54.55,54.55,54.8,27968.0,15.39
2010-03-04,54.65,58.5,54.65,58.45,58.1,81485.0,45.89
2010-03-05,58.5,61.5,58.5,59.5,59.25,39186.0,23.41
2010-03-08,60.4,61.9,59.0,60.0,60.2,39177.0,23.72
2010-03-09,59.5,61.1,58.2,60.6,60.3,44714.0,26.74
2010-03-10,60.0,64.0,60.0,62.1,62.2,61338.0,38.19
2010-03-11,61.6,63.8,61.6,63.45,63.0,69548.0,43.81
2010-03-12,62.55,63.4,60.8,61.2,61.2,15303.0,9.46
2010-03-15,59.0,61.7,59.0,60.0,59.95,12741.0,7.67
2010-03-16,60.0,61.9,60.0,60.65,60.85,16139.0,9.82
2010-03-17,60.8,62.0,60.1,60.55,60.7,29336.0,18.01
2010-03-18,61.2,61.2,58.1,58.55,58.85,19154.0,11.34
2010-03-19,59.0,60.0,58.3,60.0,59.6,18102.0,10.76
2010-03-22,59.0,60.45,58.6,59.5,59.1,12469.0,7.45
2010-03-23,59.5,60.45,57.9,59.0,58.4,32966.0,19.49
2010-03-25,59.7,59.7,58.0,58.5,58.8,6930.0,4.04
2010-03-26,58.0,59.4,57.7,58.1,58.25,18299.0,10.7
2010-03-29,59.75,59.75,56.7,57.9,57.3,17001.0,9.84
2010-03-30,58.0,58.25,56.6,57.0,57.1,10527.0,6.04
2010-03-31,57.05,58.0,57.05,57.2,57.4,3288.0,1.89
2010-04-01,57.85,60.0,57.75,59.95,59.7,8906.0,5.27
2010-04-05,60.5,64.7,59.7,64.0,63.65,41587.0,25.94
2010-04-06,64.0,65.0,62.2,64.0,63.55,33727.0,21.51
2010-04-07,63.5,64.4,62.1,63.15,62.75,20189.0,12.82
2010-04-08,62.5,62.85,60.6,60.6,60.95,8480.0,5.23
2010-04-09,61.4,63.0,60.6,61.75,62.4,13087.0,8.14
2010-04-12,62.5,65.0,61.7,62.0,62.45,30446.0,19.32
