Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-10-08,471.55,471.55,351.2,388.0,387.4,10247015.0,40549.63
2010-10-11,389.0,402.75,386.1,387.1,388.3,670534.0,2625.94
2010-10-12,390.0,390.7,374.0,378.1,379.95,517609.0,1960.36
2010-10-13,382.0,389.75,377.55,379.0,378.65,238599.0,913.79
2010-10-14,380.9,384.0,376.5,376.5,377.45,252910.0,960.45
2010-10-15,377.45,378.95,354.55,355.6,358.75,280241.0,1023.54
2010-10-18,360.0,363.4,339.15,350.2,348.4,197412.0,681.69
2010-10-19,350.0,384.0,350.0,363.9,373.5,475847.0,1750.15
2010-10-20,360.0,379.35,358.0,360.55,362.7,308740.0,1146.91
2010-10-21,363.45,370.0,354.0,359.9,358.2,119015.0,429.68
2010-10-22,360.0,369.7,353.15,355.0,355.75,161904.0,588.95
2010-10-25,365.0,365.0,350.55,352.0,353.15,82026.0,291.41
2010-10-26,354.0,361.0,348.0,348.9,348.95,67928.0,240.71
2010-10-27,347.1,356.0,342.0,348.2,349.7,223416.0,784.33
2010-10-28,350.1,379.0,344.9,368.0,368.2,360437.0,1314.77
2010-10-29,372.05,373.8,358.0,363.45,363.0,99165.0,361.24
2010-11-01,365.0,369.9,359.0,361.1,360.95,156158.0,562.86
2010-11-02,360.0,365.0,358.65,365.0,361.65,135158.0,486.93
2010-11-03,362.1,369.9,359.0,363.0,362.75,56388.0,204.82
2010-11-04,360.25,368.0,360.25,364.2,365.65,80069.0,291.98
2010-11-05,365.0,367.5,360.05,363.15,364.55,9501.0,34.62
2010-11-08,365.0,381.75,361.25,373.0,372.15,152716.0,573.44
2010-11-09,374.4,379.9,366.25,375.0,374.95,98464.0,368.25
2010-11-10,376.0,379.0,361.0,377.55,376.3,120788.0,453.12
2010-11-11,375.0,391.0,369.0,380.25,377.65,221882.0,846.19
2010-11-12,377.65,379.7,372.0,377.0,377.5,90242.0,340.0
2010-11-15,377.5,382.4,370.0,374.8,373.65,74840.0,281.02
2010-11-16,372.85,374.8,355.1,365.0,364.75,40295.0,146.97
2010-11-18,372.2,375.0,357.0,360.0,360.55,30656.0,111.44
2010-11-19,367.7,373.95,360.0,360.1,363.3,47004.0,172.33
2010-11-22,363.3,368.8,360.0,366.9,366.0,19224.0,70.05
2010-11-23,368.8,370.0,350.1,357.0,358.1,24896.0,89.01
2010-11-24,359.9,363.0,348.1,350.0,350.4,18003.0,63.93
2010-11-25,352.0,352.0,340.1,341.1,341.75,20138.0,69.38
2010-11-26,338.5,350.0,311.25,340.0,339.35,67631.0,220.65
2010-11-29,340.0,340.0,330.0,339.8,338.3,14325.0,48.3
2010-11-30,335.0,348.0,333.0,340.0,342.15,22850.0,77.29
2010-12-01,335.1,355.0,332.0,348.05,348.35,30021.0,105.04
2010-12-02,351.3,362.0,350.0,352.5,354.0,17937.0,64.05
2010-12-03,356.5,356.5,339.0,340.0,342.3,10436.0,35.9
2010-12-06,341.0,348.45,325.0,338.95,337.85,57328.0,197.48
2010-12-07,330.0,340.0,329.2,339.0,335.85,98317.0,329.33
2010-12-08,339.0,339.0,325.0,330.85,328.85,56332.0,185.34
2010-12-09,324.0,332.7,321.1,332.4,325.0,101673.0,335.66
2010-12-10,325.0,333.5,320.5,330.0,331.3,13207.0,43.47
2010-12-13,335.15,341.0,329.75,331.0,330.05,28998.0,96.36
2010-12-14,333.0,337.0,326.0,335.0,330.7,36747.0,121.02
