Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,107.05,108.0,106.0,106.4,106.5,95682.0,102.16
2010-01-05,126.4,126.4,107.5,109.75,109.6,540019.0,593.03
2010-01-06,110.1,111.45,107.65,108.5,108.25,135174.0,147.28
2010-01-07,109.9,109.9,106.75,107.95,107.4,76608.0,82.77
2010-01-08,107.4,112.5,106.15,111.4,110.8,323059.0,355.79
2010-01-11,111.5,115.5,111.35,112.05,112.45,422531.0,480.11
2010-01-12,114.0,114.0,107.8,108.5,108.25,156307.0,172.78
2010-01-13,107.0,109.45,106.25,109.0,109.3,108238.0,117.37
2010-01-14,110.0,117.95,110.0,115.4,115.9,588996.0,677.77
2010-01-15,117.6,121.0,116.35,118.2,118.45,613840.0,729.66
2010-01-18,119.45,121.5,118.0,118.5,118.45,272348.0,326.3
2010-01-19,120.0,120.0,113.6,114.0,114.9,178032.0,207.29
2010-01-20,115.55,115.9,111.0,113.0,112.65,122753.0,139.05
2010-01-21,111.8,119.3,111.8,113.0,113.85,392048.0,454.56
2010-01-22,110.2,112.95,107.5,109.1,109.25,169740.0,186.82
2010-01-25,109.95,111.8,105.2,107.5,107.45,229927.0,248.57
2010-01-27,106.0,108.15,99.5,100.5,100.45,87095.0,90.48
2010-01-28,101.0,104.15,101.0,101.5,101.6,75597.0,77.71
2010-01-29,96.15,102.5,96.0,102.0,100.95,167451.0,167.04
2010-02-01,102.0,104.25,101.1,101.85,101.9,59130.0,60.63
2010-02-02,106.4,107.45,102.05,102.85,102.85,109771.0,114.9
2010-02-03,105.0,108.5,103.6,108.1,107.7,141218.0,150.88
2010-02-04,106.8,107.0,103.5,105.0,104.85,32795.0,34.48
2010-02-05,98.2,105.0,98.1,104.3,104.3,93032.0,94.73
2010-02-06,104.0,105.8,102.05,103.4,103.4,9496.0,9.83
2010-02-08,104.95,105.8,102.0,102.0,102.65,31027.0,32.17
2010-02-09,102.1,104.3,102.0,102.0,102.35,17544.0,18.0
2010-02-10,104.0,105.0,100.0,101.0,100.6,29712.0,30.3
2010-02-11,101.0,103.0,99.65,100.0,100.25,32036.0,32.44
2010-02-15,101.95,102.0,98.0,99.5,99.7,48825.0,48.82
2010-02-16,100.0,100.8,97.6,100.8,99.75,36149.0,35.78
2010-02-17,100.95,102.8,100.1,102.0,102.1,58402.0,59.41
2010-02-18,101.5,105.0,100.1,101.35,101.85,142591.0,146.63
2010-02-19,100.5,100.9,99.0,99.5,99.5,25893.0,25.83
2010-02-22,100.7,101.8,99.05,99.95,99.6,25819.0,25.85
2010-02-23,98.1,99.9,97.0,97.2,97.15,25604.0,25.1
2010-02-24,97.15,98.4,96.0,96.3,96.2,21147.0,20.46
2010-02-25,96.25,97.0,95.5,96.0,95.85,14706.0,14.16
2010-02-26,95.75,99.0,95.0,98.45,97.65,18882.0,18.42
2010-03-02,99.0,100.0,98.0,98.4,98.5,19203.0,18.94
2010-03-03,99.0,101.0,99.0,99.4,99.4,33500.0,33.44
2010-03-04,99.3,103.7,99.3,101.5,101.9,98878.0,101.05
2010-03-05,101.5,103.0,100.25,100.4,100.95,30314.0,30.82
2010-03-08,101.0,103.0,100.9,101.5,101.15,35487.0,36.15
2010-03-09,101.5,102.0,100.25,100.5,100.75,19095.0,19.3
2010-03-10,101.0,101.35,99.5,100.0,100.15,25456.0,25.52
2010-03-11,100.0,101.95,98.2,99.0,98.75,21806.0,21.67
2010-03-12,98.75,100.0,97.2,98.0,97.7,25870.0,25.41
2010-03-15,95.6,98.9,95.6,97.35,97.4,13200.0,12.87
2010-03-16,96.1,98.8,96.0,97.55,97.55,23887.0,23.15
2010-03-17,98.5,101.0,95.1,98.7,97.6,51500.0,51.06
2010-03-18,99.55,110.5,99.55,104.7,105.15,968534.0,1032.89
2010-03-19,106.45,107.5,103.5,106.8,106.55,204156.0,215.9
