Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,9.8,9.8,9.25,9.25,9.3,4500.0,0.42
2010-01-05,9.25,9.75,9.25,9.75,9.6,6245.0,0.6
2010-01-06,9.9,9.9,9.2,9.85,9.7,1223.0,0.11
2010-01-07,9.25,9.9,9.25,9.9,9.9,4734.0,0.46
2010-01-08,9.35,10.8,9.35,10.25,10.0,3494.0,0.35
2010-01-11,10.95,10.95,9.2,10.35,9.95,8781.0,0.91
2010-01-12,10.25,10.7,9.9,10.05,10.05,2856.0,0.29
2010-01-13,9.8,10.6,9.8,10.55,10.5,1642.0,0.17
2010-01-14,10.15,11.0,10.15,10.7,10.65,9877.0,1.04
2010-01-15,11.05,11.3,10.7,11.15,11.15,10291.0,1.14
2010-01-18,12.15,12.15,11.05,11.05,11.05,4409.0,0.5
2010-01-19,11.45,11.45,10.5,10.85,10.55,18638.0,2.02
2010-01-20,10.05,10.55,10.0,10.15,10.15,15785.0,1.6
2010-01-21,10.75,10.75,9.85,10.15,10.15,815.0,0.08
2010-01-22,10.0,10.3,9.65,10.15,10.2,1833.0,0.18
2010-01-25,10.15,10.3,9.7,10.0,10.0,3500.0,0.35
2010-01-27,9.5,10.35,9.5,9.5,9.55,926.0,0.09
2010-01-28,9.5,9.5,9.5,9.5,9.5,350.0,0.03
2010-01-29,9.1,9.6,9.1,9.6,9.6,100.0,0.01
2010-02-01,9.6,9.6,9.15,9.15,9.15,493.0,0.05
2010-02-02,9.15,9.4,8.85,9.2,9.2,2270.0,0.21
2010-02-03,8.75,9.6,8.75,9.55,9.55,1342.0,0.12
2010-02-04,9.85,9.85,9.6,9.6,9.6,21.0,0.0
2010-02-05,9.6,9.6,9.15,9.15,9.15,502.0,0.05
2010-02-06,9.45,9.45,9.45,9.45,9.45,1.0,0.0
2010-02-08,9.0,9.7,9.0,9.25,9.0,762.0,0.07
2010-02-09,8.65,9.0,8.55,8.55,8.55,2178.0,0.19
2010-02-10,8.8,8.9,8.4,8.75,8.75,1901.0,0.16
2010-02-11,8.4,8.55,8.4,8.45,8.45,1701.0,0.14
2010-02-15,8.45,8.45,8.2,8.4,8.4,1501.0,0.12
2010-02-16,8.2,8.2,8.2,8.2,8.2,130.0,0.01
2010-02-17,8.4,8.5,8.4,8.45,8.45,198.0,0.02
2010-02-18,8.75,8.75,8.75,8.75,8.75,31.0,0.0
2010-02-19,8.7,8.7,8.4,8.4,8.4,542.0,0.05
2010-02-22,8.15,8.8,8.15,8.7,8.7,3131.0,0.27
2010-02-23,8.45,8.45,8.35,8.35,8.35,201.0,0.02
2010-02-24,8.25,8.25,7.95,7.95,7.95,1754.0,0.14
2010-02-25,8.0,8.3,8.0,8.0,8.0,1000.0,0.08
2010-02-26,8.25,8.4,7.95,8.0,8.0,571.0,0.05
2010-03-02,7.9,8.25,7.9,8.25,8.25,626.0,0.05
2010-03-03,8.0,8.25,8.0,8.0,8.0,1711.0,0.14
2010-03-04,8.05,8.35,7.8,7.95,8.0,2701.0,0.22
2010-03-05,8.0,8.3,8.0,8.3,8.3,3851.0,0.31
2010-03-08,7.7,8.4,7.65,8.2,8.2,2419.0,0.2
2010-03-09,8.1,8.65,8.1,8.6,8.45,650.0,0.05
2010-03-10,8.3,8.95,8.3,8.4,8.4,5139.0,0.43
2010-03-11,8.15,8.9,8.15,8.3,8.3,1479.0,0.12
2010-03-12,8.0,8.6,8.0,8.25,8.25,1155.0,0.09
2010-03-16,8.35,8.8,8.3,8.8,8.55,486.0,0.04
2010-03-17,8.3,8.3,8.15,8.15,8.15,1443.0,0.12
2010-03-18,8.0,8.75,8.0,8.55,8.55,229.0,0.02
2010-03-19,8.2,8.65,8.15,8.55,8.55,572.0,0.05
2010-03-22,7.85,8.4,7.85,7.85,7.85,342.0,0.03
2010-03-23,8.2,8.2,7.85,7.85,7.85,501.0,0.04
2010-03-25,8.05,8.1,8.05,8.1,8.1,300.0,0.02
2010-03-26,8.1,8.3,7.7,7.8,7.95,5440.0,0.44
2010-03-29,8.6,8.6,7.75,7.8,7.8,2501.0,0.2
2010-03-30,8.5,8.6,8.15,8.45,8.45,1940.0,0.16
2010-03-31,7.85,8.75,7.85,8.25,8.3,1480.0,0.12
2010-04-01,8.15,8.55,8.15,8.25,8.25,1040.0,0.09
2010-04-05,8.05,8.55,8.0,8.55,8.55,711.0,0.06
2010-04-06,8.15,9.2,8.15,8.75,8.75,2649.0,0.23
2010-04-07,9.65,9.65,8.05,9.65,9.65,8222.0,0.79
2010-04-08,10.0,10.15,9.4,9.4,9.65,7038.0,0.69
2010-04-09,10.45,10.45,9.2,9.85,9.6,704.0,0.07
2010-04-12,10.55,10.6,9.15,9.4,9.65,2812.0,0.28
2010-04-13,9.75,9.85,9.3,9.75,9.7,1847.0,0.18
2010-04-15,9.95,9.95,9.35,9.55,9.55,4644.0,0.45
2010-04-16,9.35,9.35,9.3,9.3,9.3,17.0,0.0
2010-04-19,8.85,9.8,8.85,9.45,9.7,1268.0,0.12
2010-04-20,9.35,9.4,8.85,9.25,9.2,11947.0,1.11
2010-04-21,9.3,9.5,9.3,9.5,9.5,3332.0,0.31
2010-04-22,9.4,9.7,9.3,9.3,9.35,1455.0,0.14
2010-04-23,9.2,9.4,9.15,9.15,9.2,1704.0,0.16
2010-04-26,9.15,9.5,9.15,9.3,9.3,3298.0,0.31
2010-04-27,9.3,9.5,9.25,9.25,9.25,3660.0,0.34
2010-04-28,8.45,9.4,8.45,9.05,9.05,1268.0,0.11
2010-04-29,9.05,9.05,8.8,8.8,8.8,2805.0,0.25
2010-04-30,8.8,9.1,8.8,8.85,8.9,3837.0,0.34
2010-05-03,9.1,9.1,8.65,8.95,8.95,263.0,0.02
2010-05-04,8.85,8.95,8.8,8.95,8.95,401.0,0.04
2010-05-05,8.5,8.85,8.2,8.75,8.7,3751.0,0.32
2010-05-06,8.5,8.9,8.5,8.85,8.85,437.0,0.04
2010-05-07,8.5,8.7,8.15,8.7,8.7,564.0,0.05
2010-05-10,8.15,9.25,8.15,8.85,8.85,944.0,0.08
2010-05-11,8.55,9.0,8.5,8.85,8.85,2409.0,0.21
2010-05-12,8.95,8.95,8.4,8.95,8.95,13.0,0.0
2010-05-13,8.7,8.8,8.4,8.45,8.45,723.0,0.06
2010-05-14,8.95,8.95,8.0,8.35,8.35,5057.0,0.42
2010-05-17,8.05,8.05,7.7,7.7,7.7,3030.0,0.24
2010-05-18,7.75,8.0,7.75,7.95,7.95,1093.0,0.09
2010-05-19,7.6,8.45,7.6,8.0,8.0,2169.0,0.17
2010-05-20,8.05,8.1,8.05,8.1,8.1,1100.0,0.09
2010-05-21,7.75,8.35,7.75,8.0,8.0,437.0,0.03
2010-05-24,8.0,8.4,8.0,8.1,8.1,355.0,0.03
2010-05-25,8.0,8.3,7.7,7.75,7.75,1960.0,0.15
2010-05-26,7.15,7.75,7.15,7.5,7.6,1218.0,0.09
2010-05-27,8.3,8.35,7.8,8.35,7.8,243.0,0.02
2010-05-28,8.05,8.05,7.7,7.95,7.75,352.0,0.03
2010-05-31,7.95,8.0,7.6,7.6,7.6,450.0,0.03
2010-06-01,8.2,8.3,7.2,7.25,7.3,11288.0,0.88
2010-06-02,7.95,7.95,7.6,7.9,7.9,364.0,0.03
2010-06-03,8.0,8.05,7.65,8.05,8.0,704.0,0.05
2010-06-04,7.4,8.0,7.4,7.6,7.6,2100.0,0.16
2010-06-07,7.6,8.4,7.0,8.0,7.95,3905.0,0.3
2010-06-08,7.55,8.05,7.55,8.05,8.05,42.0,0.0
2010-06-09,8.85,8.85,7.45,7.75,7.75,3831.0,0.31
