Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-05,19.15,19.15,19.15,19.15,19.15,10.0,0.0
2010-01-06,19.15,19.15,19.15,19.15,19.15,47.0,0.01
2010-01-12,20.15,20.15,20.15,20.15,20.15,175.0,0.04
2010-01-15,21.2,21.2,21.2,21.2,21.2,1113.0,0.24
2010-01-18,22.3,22.3,22.3,22.3,22.3,50.0,0.01
2010-01-19,23.45,23.45,23.45,23.45,23.45,35.0,0.01
2010-01-20,24.0,24.0,24.0,24.0,24.0,100.0,0.02
2010-01-21,24.8,24.8,24.8,24.8,24.8,1.0,0.0
2010-01-28,24.45,24.5,24.45,24.5,24.5,100.0,0.02
2010-01-29,23.35,23.35,23.35,23.35,23.35,65.0,0.02
2010-02-02,23.35,24.0,23.35,23.55,23.55,199.0,0.05
2010-02-04,24.75,24.75,24.75,24.75,24.75,100.0,0.02
2010-02-05,26.0,26.0,26.0,26.0,26.0,490.0,0.13
2010-02-08,27.3,27.3,25.2,25.2,25.2,1385.0,0.37
2010-02-11,25.25,25.25,25.2,25.2,25.25,110.0,0.03
2010-02-24,25.3,25.3,25.3,25.3,25.3,10.0,0.0
2010-02-26,25.5,25.5,25.5,25.5,25.5,2.0,0.0
2010-03-08,23.0,23.5,23.0,23.0,23.0,211.0,0.05
2010-03-09,21.9,21.9,21.9,21.9,21.9,249.0,0.05
2010-03-17,21.6,21.6,21.6,21.6,21.6,4.0,0.0
2010-03-23,22.5,22.5,22.5,22.5,22.5,50.0,0.01
2010-03-26,23.5,23.5,22.25,22.4,22.35,1250.0,0.28
2010-03-29,22.0,22.0,21.25,21.6,21.6,1451.0,0.31
2010-03-30,20.65,22.7,20.65,21.95,21.95,359.0,0.07
2010-03-31,23.05,23.05,23.05,23.05,23.05,1.0,0.0
2010-04-01,23.3,23.3,23.3,23.3,23.3,1.0,0.0
2010-04-06,24.0,24.5,24.0,24.5,24.5,100.0,0.02
2010-04-09,23.4,23.4,23.4,23.4,23.4,13.0,0.0
2010-04-12,23.05,23.05,23.05,23.05,23.05,15.0,0.0
2010-04-13,22.3,22.3,22.3,22.3,22.3,25.0,0.01
2010-04-20,23.45,23.45,23.45,23.45,23.45,1.0,0.0
2010-05-10,28.75,28.75,28.75,28.75,28.75,101.0,0.03
2010-05-11,28.0,28.0,27.35,27.35,27.35,51.0,0.01
2010-05-12,26.5,26.5,26.0,26.0,26.0,99.0,0.03
2010-05-27,24.0,24.0,24.0,24.0,24.0,50.0,0.01
2010-05-28,23.0,23.0,23.0,23.0,23.0,100.0,0.02
2010-06-01,23.5,23.5,23.0,23.0,23.0,150.0,0.04
2010-06-04,22.0,22.0,22.0,22.0,22.0,4.0,0.0
2010-06-07,22.5,22.5,22.5,22.5,22.5,50.0,0.01
2010-06-11,23.55,23.65,22.5,23.65,23.65,231.0,0.05
2010-06-14,23.0,23.0,23.0,23.0,23.0,20.0,0.0
2010-06-16,24.0,24.0,24.0,24.0,24.0,50.0,0.01
2010-06-17,23.0,23.0,23.0,23.0,23.0,50.0,0.01
2010-06-22,24.15,24.15,24.15,24.15,24.15,100.0,0.02
2010-06-23,24.15,24.15,24.15,24.15,24.15,37.0,0.01
2010-06-24,23.0,24.15,23.0,24.15,24.15,490.0,0.12
2010-06-28,23.1,23.1,23.1,23.1,23.1,50.0,0.01
2010-06-29,24.3,24.3,24.3,24.3,24.3,100.0,0.02
2010-06-30,23.35,23.35,23.35,23.35,23.35,100.0,0.02
2010-07-05,22.3,24.55,22.3,24.55,24.5,225.0,0.05
2010-07-06,23.35,25.75,23.35,25.75,25.75,250.0,0.06
2010-07-07,24.5,25.5,24.5,24.5,24.55,1043.0,0.26
2010-07-08,25.25,25.75,25.25,25.7,25.7,300.0,0.08
2010-07-09,27.0,27.0,24.65,26.5,26.5,309.0,0.08
2010-07-12,27.45,27.7,27.45,27.7,27.7,200.0,0.06
2010-07-13,26.5,26.5,26.35,26.35,26.35,225.0,0.06
2010-07-15,27.0,27.7,27.0,27.7,27.6,825.0,0.23
2010-07-16,29.0,29.0,29.0,29.0,29.0,500.0,0.14
2010-07-19,30.4,30.45,30.4,30.45,30.45,1077.0,0.33
2010-07-20,29.6,30.0,29.6,30.0,30.0,287.0,0.09
2010-07-26,28.5,28.5,28.5,28.5,28.5,100.0,0.03
2010-08-02,28.5,29.5,27.7,29.0,29.0,1614.0,0.46
2010-08-03,28.95,30.05,28.95,30.05,30.05,191.0,0.06
2010-08-04,30.0,30.0,29.0,29.0,29.1,199.0,0.06
2010-08-05,28.9,28.9,28.1,28.1,28.1,15.0,0.0
2010-08-06,28.3,29.55,28.3,28.45,28.45,2296.0,0.67
2010-08-09,27.5,29.9,27.5,29.9,29.9,600.0,0.18
2010-08-10,29.75,29.75,29.25,29.25,29.25,50.0,0.01
2010-08-16,30.25,30.25,30.1,30.1,30.1,102.0,0.03
2010-08-18,29.8,29.8,29.0,29.0,29.0,59.0,0.02
2010-08-20,27.6,27.6,27.55,27.55,27.55,150.0,0.04
2010-08-23,27.25,28.0,27.25,28.0,28.0,1198.0,0.33
2010-08-24,28.0,28.0,28.0,28.0,28.0,50.0,0.01
2010-08-25,26.6,27.4,26.6,27.0,27.0,455.0,0.12
2010-08-27,27.0,27.0,25.65,25.65,25.65,3197.0,0.83
2010-08-30,25.65,25.65,24.4,24.4,24.45,6818.0,1.69
2010-08-31,23.3,23.4,23.25,23.25,23.25,10554.0,2.45
2010-09-01,23.3,23.6,22.1,22.9,22.8,22600.0,5.02
2010-09-02,22.7,23.9,22.7,23.75,23.75,171.0,0.04
2010-09-03,24.0,24.35,23.75,23.75,23.75,170.0,0.04
2010-09-06,24.05,24.95,23.8,24.95,24.95,688.0,0.17
2010-09-07,24.5,24.5,23.7,23.85,23.75,4447.0,1.06
2010-09-08,24.5,24.7,24.5,24.7,24.6,200.0,0.05
2010-09-14,24.65,24.65,24.3,24.3,24.3,20.0,0.0
2010-09-15,25.0,25.55,24.25,24.95,24.95,181.0,0.05
2010-09-16,24.0,25.05,24.0,24.9,24.9,541.0,0.13
2010-09-17,25.0,25.7,25.0,25.15,25.15,444.0,0.11
2010-09-20,26.25,26.25,25.15,25.15,25.15,8.0,0.0
2010-09-21,25.2,25.2,25.15,25.15,25.15,10.0,0.0
2010-09-23,24.5,25.5,24.0,25.5,25.5,201.0,0.05
2010-09-24,25.4,25.4,24.85,24.85,25.05,29.0,0.01
2010-09-27,25.05,25.05,25.05,25.05,25.05,4.0,0.0
2010-09-28,25.05,25.05,24.75,24.75,24.75,20.0,0.0
2010-10-01,24.15,25.7,24.15,25.7,25.7,12.0,0.0
2010-10-05,25.5,25.5,25.0,25.05,25.05,9.0,0.0
2010-10-06,24.75,24.75,24.65,24.65,24.65,3.0,0.0
2010-10-07,24.65,24.65,23.5,23.5,23.5,25.0,0.01
