Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,29.05,30.95,29.05,30.95,30.95,823361.0,252.76
2010-01-05,31.1,32.5,30.0,32.3,32.45,1227269.0,389.3
2010-01-06,32.3,32.9,31.5,31.9,31.85,538461.0,173.16
2010-01-07,32.0,32.5,31.15,31.2,31.45,293348.0,93.32
2010-01-08,31.5,32.05,30.9,31.1,31.0,397405.0,125.09
2010-01-11,31.7,31.7,30.25,30.75,30.8,202154.0,62.72
2010-01-12,31.45,31.7,29.6,29.65,29.75,426144.0,129.61
2010-01-13,29.65,30.35,29.2,30.25,30.25,266377.0,79.29
2010-01-14,30.0,30.75,29.6,30.0,29.9,203441.0,61.23
2010-01-15,30.0,30.0,29.5,29.8,29.75,134753.0,40.26
2010-01-18,29.25,30.15,29.25,29.7,29.45,155545.0,46.41
2010-01-19,29.5,30.2,28.9,28.95,29.0,323165.0,94.79
2010-01-20,29.3,29.45,28.55,28.6,28.6,146526.0,42.28
2010-01-21,28.1,28.95,27.15,27.55,27.55,226996.0,62.98
2010-01-22,27.0,27.05,25.65,26.8,26.6,543787.0,143.52
2010-01-25,26.9,28.0,26.9,27.2,27.4,229706.0,63.07
2010-01-27,27.0,27.5,25.0,25.1,25.3,267200.0,69.86
2010-01-28,25.1,27.2,24.55,26.7,26.55,564498.0,148.17
2010-01-29,25.55,26.7,25.0,26.25,26.15,258935.0,66.51
2010-02-01,26.1,26.5,25.45,25.75,25.75,253698.0,65.63
2010-02-02,26.45,26.55,24.8,25.2,25.15,170472.0,43.95
2010-02-03,25.4,25.8,25.1,25.45,25.35,73871.0,18.78
2010-02-04,25.1,25.8,23.9,24.0,24.15,144546.0,35.67
2010-02-05,23.2,23.8,22.25,23.15,22.75,335284.0,77.47
2010-02-06,23.45,24.05,23.2,23.8,23.8,47015.0,11.15
2010-02-08,24.0,24.5,23.0,23.5,23.45,114752.0,26.99
2010-02-09,23.05,23.95,23.05,23.75,23.55,153812.0,36.22
2010-02-10,23.9,25.0,23.55,24.65,24.6,208203.0,51.17
2010-02-11,24.95,25.95,24.65,25.55,25.45,165708.0,41.8
2010-02-15,25.75,25.75,23.15,24.2,24.45,64738.0,15.87
2010-02-16,24.95,25.0,24.25,24.5,24.45,32663.0,8.01
2010-02-17,24.5,25.1,24.5,24.65,24.7,50771.0,12.57
2010-02-18,24.95,27.15,24.7,25.8,26.15,300670.0,78.18
2010-02-19,26.15,26.9,24.55,25.1,25.15,237273.0,60.95
2010-02-22,25.9,25.9,24.8,25.0,25.0,70599.0,17.7
2010-02-23,24.6,25.45,24.55,25.1,25.0,61290.0,15.3
2010-02-24,24.25,24.9,23.6,24.1,24.05,32082.0,7.78
2010-02-25,24.45,25.0,24.05,24.15,24.2,60965.0,14.88
2010-02-26,23.75,25.6,23.75,25.1,25.05,88400.0,21.99
2010-03-02,25.4,25.95,25.35,25.95,25.8,141752.0,36.44
2010-03-03,26.25,26.9,26.25,26.7,26.6,239476.0,63.73
2010-03-04,26.95,27.0,26.05,26.1,26.2,94001.0,24.91
2010-03-05,26.7,26.7,26.05,26.05,26.2,57963.0,15.25
2010-03-08,26.6,26.95,25.8,26.1,26.05,85043.0,22.39
2010-03-09,25.85,26.8,25.6,25.95,25.8,77620.0,20.37
2010-03-10,26.15,26.15,25.05,25.1,25.25,67927.0,17.27
2010-03-11,25.4,25.4,24.8,25.0,25.0,56568.0,14.15
2010-03-12,25.0,25.5,24.65,25.0,25.0,54670.0,13.71
2010-03-15,24.55,24.8,23.95,24.1,24.05,178198.0,43.2
2010-03-16,23.9,24.85,23.75,24.85,24.6,60548.0,14.76
2010-03-17,24.95,25.35,24.95,25.25,25.15,76907.0,19.25
