Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-07-02,190.0,224.5,190.0,211.3,213.3,49663840.0,102844.44
2018-07-03,212.15,222.0,212.0,215.15,215.65,7408058.0,16102.84
2018-07-04,216.0,216.65,205.0,205.45,206.5,3170177.0,6650.55
2018-07-05,204.8,205.9,196.4,196.85,197.75,3264529.0,6516.03
2018-07-06,195.0,203.9,194.9,197.5,197.15,1601560.0,3199.75
2018-07-09,198.7,201.0,195.1,196.05,196.0,831185.0,1639.35
2018-07-10,197.25,205.5,194.75,201.2,201.3,2932465.0,5878.68
2018-07-11,200.95,208.3,200.0,200.6,200.85,1418616.0,2895.02
2018-07-12,201.8,206.5,201.75,204.2,204.85,1165956.0,2380.59
2018-07-13,204.5,206.25,199.35,199.5,200.2,578480.0,1171.0
2018-07-16,200.45,201.4,194.0,194.35,194.75,479279.0,940.1
2018-07-17,195.0,196.6,192.15,194.4,194.3,450128.0,875.29
2018-07-18,195.55,200.9,193.1,196.95,197.5,888979.0,1757.78
2018-07-19,198.3,200.35,193.1,196.7,196.4,465160.0,915.29
2018-07-20,196.15,196.95,193.35,194.5,195.05,239361.0,467.49
2018-07-23,195.8,200.5,195.25,197.75,198.1,449060.0,888.53
2018-07-24,197.95,202.0,197.45,200.2,200.25,512006.0,1023.6
2018-07-25,200.3,207.4,200.3,206.1,205.65,1005731.0,2058.29
2018-07-26,206.35,225.95,206.05,223.9,223.1,3887186.0,8563.38
2018-07-27,226.0,267.7,220.1,258.55,264.65,10669062.0,26731.44
2018-07-30,263.4,284.5,252.5,254.8,256.1,9100050.0,24552.92
2018-07-31,255.7,265.0,245.5,250.0,249.7,4041538.0,10302.14
2018-08-01,250.5,259.9,249.5,254.0,253.2,1811665.0,4606.6
2018-08-02,254.85,259.75,251.0,257.5,257.15,1365515.0,3487.98
2018-08-03,258.9,285.0,258.6,281.0,281.7,5673821.0,15627.96
2018-08-06,284.5,290.45,275.3,281.0,281.35,2531653.0,7150.65
2018-08-07,281.0,283.0,272.05,275.65,275.8,901354.0,2493.68
2018-08-08,276.0,281.7,274.0,275.05,276.7,801327.0,2220.52
2018-08-09,276.8,279.7,271.55,274.45,274.9,746790.0,2059.73
2018-08-10,274.0,274.95,260.25,262.25,261.95,530509.0,1417.02
2018-08-13,257.0,276.2,255.15,270.2,270.25,1410290.0,3787.89
2018-08-14,272.6,277.7,268.65,270.9,271.95,682921.0,1855.64
2018-08-16,271.0,289.85,267.15,288.5,285.5,1955810.0,5492.72
2018-08-17,293.5,326.0,290.9,308.35,309.65,12132714.0,37905.13
2018-08-20,311.0,318.9,307.5,308.3,309.9,4030172.0,12618.02
2018-08-21,309.7,321.85,307.55,313.0,313.25,3610530.0,11427.7
2018-08-23,314.2,318.45,310.2,314.6,314.95,1449630.0,4564.8
2018-08-24,313.85,318.2,309.25,310.0,311.0,942779.0,2955.48
2018-08-27,313.4,321.3,291.1,296.25,296.1,5398922.0,16483.6
2018-08-28,299.0,304.0,292.1,293.25,293.4,1108155.0,3291.8
2018-08-29,293.05,296.5,283.4,285.55,285.7,878478.0,2538.23
2018-08-30,286.9,293.4,280.4,287.9,287.9,1000185.0,2870.45
2018-08-31,289.7,292.2,284.1,284.6,285.6,475101.0,1363.44
2018-09-03,287.0,288.5,278.45,279.9,279.9,500351.0,1419.83
2018-09-04,280.0,281.9,260.0,264.1,264.1,950857.0,2551.4
2018-09-05,264.1,269.5,245.0,252.4,252.1,1368130.0,3474.14
2018-09-06,255.95,266.9,252.1,264.0,264.5,1438528.0,3756.33
2018-09-07,264.9,265.35,257.9,260.75,261.0,544151.0,1422.23
2018-09-10,265.75,275.0,265.75,270.0,269.55,1524667.0,4117.94
