Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,77.4,77.4,75.0,76.0,75.95,22566.0,17.25
2010-01-05,76.9,77.0,76.0,76.3,76.35,5095.0,3.91
2010-01-06,77.4,77.4,75.1,75.6,75.75,3914.0,2.98
2010-01-07,76.85,79.55,76.5,79.35,79.5,29441.0,23.04
2010-01-08,80.9,84.5,80.5,81.45,81.85,44320.0,36.58
2010-01-11,82.9,85.95,82.9,84.1,84.2,28010.0,23.76
2010-01-12,85.9,86.9,82.1,82.25,82.35,8956.0,7.55
2010-01-13,83.9,83.9,82.0,82.55,82.65,11904.0,9.81
2010-01-14,82.6,90.95,82.6,90.95,90.95,46196.0,41.1
2010-01-15,94.0,94.0,87.5,89.1,89.4,17555.0,15.83
2010-01-18,93.9,97.9,92.9,94.0,93.45,70235.0,67.08
2010-01-19,96.9,101.85,95.0,95.2,95.6,78413.0,77.26
2010-01-20,96.0,98.0,95.0,96.9,95.9,31238.0,30.18
2010-01-21,93.0,94.9,90.0,90.0,90.75,16820.0,15.53
2010-01-22,84.0,90.0,82.1,88.65,87.55,12353.0,10.79
2010-01-25,90.0,90.0,83.75,88.0,87.25,8582.0,7.38
2010-01-27,88.65,93.0,82.3,82.6,84.25,14696.0,12.88
2010-01-28,83.35,86.0,79.0,80.05,80.85,8797.0,7.18
2010-01-29,80.05,84.3,78.3,82.8,83.1,5256.0,4.24
2010-02-01,80.1,86.0,80.1,85.0,85.1,12645.0,10.79
2010-02-02,85.25,88.8,83.5,83.7,83.7,6584.0,5.62
2010-02-03,82.5,85.0,82.5,83.3,83.95,1795.0,1.5
2010-02-04,85.85,85.85,81.25,83.0,82.65,2761.0,2.31
2010-02-05,77.6,81.5,77.6,80.25,81.15,3833.0,3.07
2010-02-06,81.0,84.0,78.2,81.85,81.85,2705.0,2.19
2010-02-08,83.9,83.9,80.65,82.0,82.0,1753.0,1.45
2010-02-09,81.0,83.3,78.5,78.5,79.35,3163.0,2.54
2010-02-10,79.1,81.5,79.1,80.0,80.7,3623.0,2.93
2010-02-11,80.05,82.75,79.0,79.0,79.15,2452.0,1.97
2010-02-15,77.3,80.85,77.3,78.3,78.8,2843.0,2.25
2010-02-16,77.75,86.4,77.75,84.95,83.95,12643.0,10.18
