Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,83.0,87.8,81.45,86.35,85.8,324340.0,277.81
2010-01-05,88.8,88.8,84.15,84.4,84.5,169122.0,145.24
2010-01-06,85.5,87.5,83.75,85.3,85.45,228885.0,197.06
2010-01-07,87.0,87.0,84.5,84.55,84.9,76715.0,65.65
2010-01-08,86.6,88.2,85.25,85.8,86.2,154158.0,134.01
2010-01-11,86.9,87.8,86.0,86.4,86.4,60384.0,52.43
2010-01-12,86.9,87.0,83.0,83.55,83.5,58119.0,49.45
2010-01-13,83.0,87.8,83.0,84.95,85.5,187599.0,161.32
2010-01-14,85.75,86.7,85.15,85.7,85.65,78235.0,67.28
2010-01-15,85.5,87.9,85.15,85.15,85.55,149208.0,129.06
2010-01-18,85.5,87.35,84.5,84.6,84.75,104953.0,90.38
2010-01-19,86.0,86.0,84.3,84.85,84.65,42658.0,36.41
2010-01-20,85.0,85.8,82.0,82.75,82.65,52331.0,43.82
2010-01-21,81.0,83.95,79.0,79.5,79.9,51722.0,41.79
2010-01-22,78.7,80.0,75.35,77.95,77.95,72489.0,56.36
2010-01-25,76.15,78.8,76.15,77.3,77.5,32272.0,25.09
2010-01-27,77.5,77.7,72.3,72.3,73.65,51562.0,38.77
2010-01-28,74.2,75.8,71.55,71.6,72.15,36973.0,27.1
2010-01-29,71.7,73.9,69.25,72.95,73.0,45031.0,31.98
2010-02-01,73.95,76.95,72.25,74.7,74.8,39279.0,29.17
2010-02-02,76.0,76.25,72.55,73.5,73.4,29144.0,21.73
2010-02-03,74.8,74.9,73.5,74.3,74.15,19002.0,14.12
2010-02-04,73.5,74.8,71.6,72.0,71.95,17953.0,13.05
2010-02-05,69.9,72.4,69.5,71.5,70.65,33022.0,23.33
2010-02-06,72.0,73.0,71.6,72.9,72.9,6023.0,4.37
2010-02-08,74.0,74.85,72.0,73.9,73.3,21560.0,15.82
