Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-29,54.45,54.45,54.45,54.45,54.45,2036.0,1.11
2016-09-30,49.05,50.0,49.05,49.05,49.05,7654.0,3.8
2016-10-03,44.2,53.95,44.2,53.9,53.9,1167.0,0.6
2016-10-04,49.05,58.0,49.05,53.75,53.75,1821.0,1.0
2016-10-05,54.0,54.0,52.0,52.0,52.3,2644.0,1.39
2016-10-06,51.0,54.0,51.0,54.0,51.65,477.0,0.25
2016-10-07,51.0,52.5,51.0,51.1,51.65,5423.0,2.81
2016-10-10,52.5,54.85,49.5,50.55,50.05,2872.0,1.45
2016-10-13,51.05,53.7,50.5,53.0,52.15,286.0,0.15
2016-10-14,54.7,54.7,47.4,53.9,53.0,5307.0,2.79
2016-10-17,51.0,52.1,50.8,50.8,51.15,6501.0,3.34
2016-10-18,52.5,54.0,52.05,54.0,54.0,6437.0,3.43
2016-10-19,54.0,54.0,51.0,53.8,52.85,5511.0,2.9
2016-10-20,54.5,54.5,52.5,53.65,52.65,5979.0,3.18
2016-10-21,53.0,53.0,51.0,51.05,52.0,5676.0,2.98
2016-10-24,52.0,53.0,51.0,52.5,52.35,9248.0,4.8
2016-10-25,53.0,53.95,52.1,53.5,52.9,7593.0,4.02
2016-10-26,53.0,53.95,51.0,51.15,51.15,5292.0,2.78
2016-10-27,51.5,54.4,51.0,51.0,51.0,5348.0,2.79
2016-10-28,52.0,53.9,51.2,53.7,53.7,9123.0,4.83
2016-10-30,53.5,53.5,52.0,52.0,52.0,1100.0,0.57
2016-11-01,53.0,55.0,51.6,52.0,52.0,5626.0,2.97
2016-11-02,52.0,52.1,50.15,51.25,51.25,5037.0,2.59
2016-11-03,52.0,52.05,50.1,50.1,50.2,5708.0,2.95
2016-11-04,50.5,51.5,48.15,51.0,50.95,5212.0,2.62
2016-11-07,50.95,53.9,50.0,53.9,50.5,6220.0,3.19
2016-11-08,50.5,52.5,50.5,52.45,51.35,5037.0,2.62
2016-11-09,50.0,55.0,50.0,52.0,52.0,5900.0,3.06
2016-11-10,52.0,55.0,50.0,54.0,50.95,5329.0,2.78
2016-11-11,52.5,53.95,50.0,53.95,52.0,20592.0,10.42
2016-11-15,52.0,52.5,49.0,52.5,49.6,5577.0,2.87
2016-11-16,52.5,55.0,50.0,51.1,53.4,7201.0,3.79
2016-11-17,52.5,52.65,49.5,49.5,49.5,5908.0,3.04
2016-11-18,52.5,52.6,49.55,49.6,49.6,8838.0,4.45
2016-11-21,51.0,52.0,49.0,50.0,50.0,7057.0,3.55
2016-11-22,52.0,54.95,49.5,49.5,50.0,7566.0,3.8
2016-11-23,50.0,51.15,49.0,49.0,49.3,5547.0,2.78
2016-11-24,50.0,51.95,44.65,48.75,49.0,5554.0,2.76
2016-11-25,50.0,50.35,45.55,48.0,48.15,5413.0,2.68
2016-11-28,49.5,52.0,45.5,51.0,51.0,6234.0,3.13
2016-11-29,50.75,51.6,45.65,49.0,47.15,6398.0,3.22
2016-11-30,48.5,51.6,48.5,50.25,50.25,5027.0,2.54
2016-12-01,52.5,52.6,49.5,49.5,49.55,5167.0,2.64
2016-12-02,54.0,54.0,49.0,49.0,49.8,14006.0,7.04
2016-12-05,51.05,51.5,49.5,51.4,51.4,5213.0,2.66
2016-12-06,52.0,52.05,50.0,50.1,50.1,5104.0,2.64
2016-12-07,52.0,52.1,50.05,51.0,51.0,5028.0,2.57
2016-12-08,51.0,52.0,50.1,52.0,52.0,5199.0,2.66
2016-12-09,51.25,51.4,50.0,50.0,50.0,5041.0,2.56
2016-12-12,51.05,52.0,50.05,52.0,52.0,5049.0,2.58
2016-12-13,51.0,52.0,50.75,52.0,51.55,5097.0,2.6
2016-12-14,51.5,51.65,50.0,50.2,50.2,5271.0,2.69
2016-12-15,51.0,52.0,50.5,51.45,51.45,5193.0,2.67
