Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,91.2,95.3,90.75,95.3,95.3,145795.0,136.98
2010-01-05,100.1,100.1,100.0,100.1,100.1,83896.0,83.98
2010-01-06,105.15,105.15,102.15,105.15,104.85,1606890.0,1681.96
2010-01-07,107.4,108.9,104.5,106.45,107.45,3273547.0,3489.86
2010-01-08,107.9,110.4,102.5,103.3,103.15,1076371.0,1138.48
2010-01-11,105.45,106.9,102.6,103.3,102.95,622203.0,649.42
2010-01-12,104.3,104.3,100.0,100.0,100.45,458297.0,468.56
2010-01-13,100.45,100.9,99.0,99.6,99.9,316090.0,315.15
2010-01-14,100.0,104.5,99.0,99.15,99.45,432803.0,438.09
2010-01-15,100.0,101.0,98.5,98.65,98.85,249961.0,249.34
2010-01-18,99.5,99.9,97.1,97.1,97.35,285809.0,281.62
2010-01-19,98.0,98.35,92.75,93.1,93.1,396052.0,375.8
2010-01-20,93.0,93.9,88.75,89.0,89.95,900202.0,828.05
2010-01-21,89.45,91.0,84.6,84.75,85.6,401251.0,352.53
2010-01-22,85.0,87.75,81.4,84.85,85.15,414887.0,352.53
2010-01-25,85.15,88.8,85.0,87.95,87.95,277061.0,241.3
2010-01-27,86.8,88.85,80.15,82.5,81.95,282753.0,240.29
2010-01-28,85.0,85.3,80.35,82.0,81.6,253396.0,208.8
2010-01-29,83.0,83.0,78.0,81.0,81.25,295973.0,237.16
2010-02-01,82.0,89.4,80.65,89.4,88.3,347646.0,300.04
2010-02-02,91.75,91.75,84.1,84.5,84.7,291661.0,256.64
2010-02-03,85.0,86.75,83.1,84.85,84.65,207852.0,176.94
2010-02-04,85.0,85.5,76.2,77.25,76.9,598219.0,480.22
2010-02-05,74.4,75.0,69.25,69.25,69.25,1125574.0,798.4
2010-02-06,71.9,72.4,70.1,71.85,71.85,115203.0,82.37
2010-02-08,72.0,73.45,69.55,71.45,71.5,328233.0,235.46
2010-02-09,72.0,72.85,69.85,70.0,70.0,348191.0,247.56
2010-02-10,71.0,71.25,67.25,67.95,67.8,382888.0,266.08
2010-02-11,69.8,70.3,68.1,68.3,68.75,510422.0,353.29
2010-02-15,69.2,69.75,67.8,68.3,68.15,182975.0,125.56
2010-02-16,68.6,69.0,67.8,68.7,68.55,181743.0,124.71
2010-02-17,70.0,72.7,68.55,70.55,70.65,494270.0,349.86
2010-02-18,71.0,71.0,68.35,68.6,68.65,121461.0,84.25
2010-02-19,68.0,68.0,63.7,64.0,64.0,453160.0,294.75
2010-02-22,66.0,67.85,63.35,63.8,63.85,345173.0,224.16
2010-02-23,62.95,63.6,61.25,61.9,61.65,272709.0,168.98
2010-02-24,59.9,65.4,58.0,64.1,64.55,405233.0,252.77
2010-02-25,65.45,66.55,62.6,63.05,63.2,179790.0,116.21
2010-02-26,63.5,65.75,62.55,64.5,64.45,169777.0,108.74
2010-03-02,65.0,66.0,63.8,65.45,65.65,241138.0,156.11
2010-03-03,65.5,69.8,65.0,68.6,68.3,479974.0,327.53
2010-03-04,69.4,72.5,67.9,70.25,70.2,667431.0,468.54
2010-03-05,71.5,72.65,69.7,71.1,71.0,601947.0,428.15
2010-03-08,74.0,74.0,71.2,71.9,71.75,335615.0,242.91
2010-03-09,71.75,72.0,70.05,70.45,70.4,184527.0,131.36
2010-03-10,70.1,70.2,66.7,67.4,67.45,310690.0,212.33
2010-03-11,67.0,69.8,64.75,65.2,65.05,676681.0,449.8
2010-03-12,66.05,67.1,63.35,63.85,63.85,427968.0,277.56
2010-03-15,63.0,64.95,62.0,63.6,63.65,432291.0,274.02
2010-03-16,64.4,65.55,63.55,65.35,65.3,256619.0,166.25
2010-03-17,65.9,65.9,63.55,63.9,63.8,154418.0,99.55
2010-03-18,65.0,65.5,62.5,63.9,64.05,208787.0,134.32
2010-03-19,65.4,65.9,64.5,65.0,65.05,389956.0,254.75
2010-03-22,63.0,65.45,62.55,63.0,63.1,270729.0,173.3
2010-03-23,62.9,63.75,60.1,60.15,60.45,300476.0,185.59
2010-03-25,62.0,64.0,59.55,59.7,60.05,283752.0,171.65
2010-03-26,61.85,61.85,59.55,60.0,59.85,341875.0,207.03
2010-03-29,60.6,60.9,58.9,59.35,59.25,278461.0,166.59
2010-03-30,64.0,64.0,59.0,59.15,59.2,435800.0,261.85
2010-03-31,59.5,60.45,59.1,59.3,59.2,166586.0,99.28
2010-04-01,59.9,59.9,56.55,56.6,56.8,293956.0,169.7
2010-04-05,57.1,61.75,56.25,60.5,60.25,456355.0,271.08
2010-04-06,61.3,61.9,59.8,60.9,60.8,254884.0,155.19
2010-04-07,61.6,62.5,59.25,59.6,59.6,486164.0,297.0
2010-04-08,60.0,60.45,58.3,58.35,58.5,186591.0,110.74
2010-04-09,59.0,59.55,57.8,58.0,58.05,128181.0,74.77
2010-04-12,58.0,59.4,57.35,57.85,57.95,425738.0,248.08
2010-04-13,59.0,59.6,58.1,58.9,58.9,405002.0,239.08
2010-04-15,59.9,59.9,58.15,58.4,58.35,346982.0,205.45
2010-04-16,58.1,60.75,57.6,58.95,58.85,377960.0,224.95
2010-04-19,57.1,58.3,56.5,57.1,57.05,149448.0,85.63
2010-04-20,57.15,58.3,57.1,57.5,57.45,128759.0,74.15
2010-04-21,58.75,58.75,56.85,57.35,57.15,188741.0,108.25
2010-04-22,57.5,57.5,56.0,56.2,56.3,127330.0,72.19
2010-04-23,56.35,57.0,55.0,55.25,55.2,159413.0,88.63
2010-04-26,55.5,55.85,53.75,54.1,54.15,229052.0,124.95
2010-04-27,53.6,55.0,53.2,53.6,53.5,133063.0,72.15
2010-04-28,51.4,53.6,51.4,52.8,52.5,198298.0,104.52
2010-04-29,53.4,53.4,52.0,52.0,52.2,107904.0,56.61
2010-04-30,52.35,55.4,52.3,54.45,54.35,457553.0,247.64
2010-05-03,55.8,56.2,53.35,55.2,54.95,212945.0,117.63
2010-05-04,56.5,56.5,53.1,53.65,53.4,140079.0,76.72
2010-05-05,51.0,53.35,51.0,53.2,53.0,173806.0,91.16
2010-05-06,54.0,54.9,52.3,53.8,53.8,189514.0,102.11
2010-05-07,52.5,53.2,50.5,51.9,51.35,104073.0,53.96
2010-05-10,52.35,52.85,51.8,52.3,52.3,75683.0,39.56
2010-05-11,54.0,54.0,51.3,51.5,51.65,101446.0,53.27
2010-05-12,52.0,52.8,49.75,51.05,51.2,248879.0,127.78
2010-05-13,51.35,53.6,51.3,52.9,53.1,303495.0,159.63
2010-05-14,53.4,54.0,51.5,51.8,51.85,172542.0,91.23
2010-05-17,50.0,51.8,50.0,51.4,51.35,166175.0,84.65
2010-05-18,51.55,53.2,51.55,52.0,52.1,139180.0,72.81
2010-05-19,53.0,53.0,50.0,50.3,50.25,134068.0,69.24
2010-05-20,51.4,51.4,48.55,49.0,48.95,111430.0,55.84
2010-05-21,47.0,48.55,46.2,47.6,47.85,93344.0,44.61
2010-05-24,48.9,50.55,48.9,49.0,49.1,111532.0,55.41
2010-05-25,50.0,50.0,46.8,46.9,47.15,111526.0,53.66
2010-05-26,47.35,48.3,47.0,47.55,47.4,65797.0,31.23
2010-05-27,47.6,47.8,46.5,46.75,46.85,75574.0,35.47
2010-05-28,49.5,55.35,46.45,54.0,54.15,1074694.0,569.02
2010-05-31,54.15,54.15,51.0,52.4,52.15,355972.0,186.12
2010-06-01,53.0,54.35,51.55,51.55,52.05,270123.0,143.46
2010-06-02,52.9,53.35,52.0,52.5,52.55,138980.0,73.23
2010-06-03,54.0,54.0,51.8,52.05,52.45,133520.0,70.31
2010-06-04,53.0,57.4,52.1,54.7,54.8,902580.0,502.34
2010-06-07,52.35,54.0,51.3,52.95,52.9,200887.0,106.59
2010-06-08,54.1,54.75,52.3,52.7,52.85,206031.0,110.52
2010-06-09,52.9,53.7,52.35,52.65,52.6,127791.0,67.87
2010-06-10,54.0,54.0,52.3,53.4,52.95,63038.0,33.35
2010-06-11,55.0,55.0,52.2,52.2,52.45,72319.0,38.33
2010-06-14,52.6,54.5,52.35,54.5,53.65,122004.0,65.05
2010-06-15,55.3,58.5,54.55,55.85,56.25,881714.0,497.07
2010-06-16,57.4,57.8,54.8,54.95,55.15,294908.0,166.39
2010-06-17,55.5,56.0,54.45,54.55,54.95,145551.0,80.44
2010-06-18,55.0,55.8,54.0,54.15,54.35,116683.0,64.15
2010-06-21,54.0,55.2,50.9,54.4,54.65,111097.0,60.72
2010-06-22,54.65,55.2,53.15,53.3,53.55,179915.0,97.64
2010-06-23,54.0,55.0,52.6,52.9,52.8,187788.0,99.99
2010-06-24,53.5,53.75,51.5,51.95,51.85,177398.0,93.32
2010-06-25,52.0,53.75,51.5,52.6,52.6,184733.0,97.87
2010-06-28,54.0,57.35,50.15,56.35,56.4,777120.0,432.72
2010-06-29,57.5,57.5,55.3,55.45,55.55,379629.0,213.63
2010-06-30,55.0,56.9,54.25,55.85,55.7,269788.0,150.75
2010-07-01,55.7,57.15,55.0,55.55,55.7,285528.0,160.07
2010-07-02,56.5,56.5,55.1,55.45,55.6,136770.0,76.46
2010-07-05,55.1,55.95,54.5,54.6,54.7,94975.0,52.47
2010-07-06,55.3,56.0,54.35,54.4,54.55,159950.0,88.24
2010-07-07,54.9,55.2,54.0,54.1,54.2,97421.0,53.2
2010-07-08,55.95,55.95,53.55,53.85,53.75,145487.0,79.21
2010-07-09,54.0,58.4,54.0,57.3,57.2,1039263.0,592.53
2010-07-12,57.9,59.8,57.2,57.6,57.65,452634.0,264.45
2010-07-13,58.0,59.5,56.9,59.0,58.85,449995.0,263.7
2010-07-14,59.05,60.25,58.3,58.45,58.7,488412.0,290.87
2010-07-15,58.05,58.7,56.85,57.4,57.25,150735.0,86.7
2010-07-16,57.15,58.6,57.15,58.2,58.2,177659.0,103.31
2010-07-19,57.25,59.0,57.25,57.3,57.45,125799.0,73.08
2010-07-20,58.25,58.3,55.7,56.15,55.9,145795.0,82.66
2010-07-21,56.35,57.0,55.1,55.3,55.45,120354.0,67.09
2010-07-22,55.5,56.4,54.5,55.5,55.75,122524.0,68.26
2010-07-23,56.95,58.1,56.3,56.85,56.75,263472.0,150.55
2010-07-26,57.05,57.65,55.1,55.2,55.45,116683.0,65.56
2010-07-27,55.0,56.2,55.0,55.4,55.45,121335.0,67.5
2010-07-28,56.8,56.8,54.9,55.0,55.05,108958.0,60.58
2010-07-29,55.5,55.5,53.2,54.1,53.95,289534.0,156.64
2010-07-30,54.6,54.6,53.0,53.05,53.1,208292.0,111.72
2010-08-02,53.85,53.85,52.35,52.8,52.9,164306.0,86.83
2010-08-03,52.5,54.75,52.5,54.0,54.25,239563.0,128.76
2010-08-04,54.0,55.25,53.5,53.6,53.8,260840.0,141.47
2010-08-05,53.6,54.5,53.25,53.3,53.35,254681.0,137.17
2010-08-06,53.6,54.65,53.05,53.15,53.3,110002.0,59.25
2010-08-09,53.4,53.85,52.5,53.0,53.0,128082.0,68.17
