Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-11-22,101.15,108.0,101.0,108.0,105.45,1600.0,1.64
2016-11-23,109.0,109.0,108.0,108.9,108.9,20835.0,22.64
2016-11-24,114.0,114.0,108.0,111.9,111.9,268.0,0.3
2016-11-25,110.0,117.4,109.05,115.0,115.8,40386.0,46.68
2016-11-28,117.0,117.0,110.05,110.05,110.25,39436.0,43.59
2016-11-29,114.7,114.7,107.05,111.1,111.35,33509.0,37.62
2016-11-30,113.5,116.9,111.0,113.0,114.75,30351.0,34.54
2016-12-01,115.0,115.0,112.9,114.5,113.05,13511.0,15.31
2016-12-02,106.05,117.95,106.0,112.0,112.0,4907.0,5.49
2016-12-05,114.0,117.0,111.0,116.0,116.35,38743.0,43.63
2016-12-06,117.75,119.95,115.0,119.95,119.95,4251.0,4.92
2016-12-07,130.95,130.95,114.0,117.3,117.8,148969.0,179.51
2016-12-08,124.7,124.7,114.0,115.0,118.1,23601.0,27.83
2016-12-09,121.0,121.0,114.0,117.0,116.75,25243.0,28.98
2016-12-12,107.25,119.85,107.25,110.0,116.45,19865.0,23.18
2016-12-13,111.0,111.3,106.0,107.95,106.3,11647.0,12.77
2016-12-14,110.0,110.0,102.75,107.0,106.9,65921.0,70.25
2016-12-15,101.25,115.0,101.0,108.45,107.35,37653.0,40.81
2016-12-16,115.0,115.0,106.0,107.05,107.1,23727.0,25.43
2016-12-19,114.0,114.0,104.0,106.0,105.2,14640.0,15.43
2016-12-20,112.0,112.9,103.5,107.0,106.55,44580.0,47.82
2016-12-21,105.05,107.4,105.0,106.5,106.5,13912.0,14.76
2016-12-22,106.45,106.5,100.1,104.4,104.15,37633.0,39.27
2016-12-23,106.9,109.0,105.7,108.0,106.85,88247.0,93.76
2016-12-26,106.0,106.0,104.9,105.0,105.0,19902.0,20.9
2016-12-27,105.0,110.0,105.0,108.5,106.75,22861.0,24.68
2016-12-28,110.5,110.5,104.75,105.0,104.95,51912.0,55.26
2016-12-29,101.0,106.95,99.0,106.75,106.8,21231.0,22.55
2016-12-30,107.0,112.0,107.0,110.0,110.05,146296.0,160.65
2017-01-02,102.0,116.5,102.0,110.0,110.95,100986.0,113.91
2017-01-03,109.1,117.7,109.1,111.0,112.1,97745.0,109.51
2017-01-04,115.0,119.0,110.95,115.65,114.85,145473.0,163.3
2017-01-05,115.0,118.75,111.75,112.45,112.25,116408.0,132.87
2017-01-06,114.85,114.9,108.0,109.0,108.95,40327.0,44.79
2017-01-09,112.0,112.0,110.0,110.0,110.15,36162.0,40.33
2017-01-10,107.45,112.0,107.45,111.95,110.95,3100.0,3.43
2017-01-11,112.0,113.6,107.5,109.95,107.9,118463.0,128.05
2017-01-12,112.1,112.95,107.1,108.6,109.3,5583.0,6.15
2017-01-13,108.75,111.65,108.6,109.05,109.2,5488.0,6.02
2017-01-16,109.5,110.5,108.95,109.15,110.0,171638.0,187.55
2017-01-17,111.0,112.65,110.05,112.65,111.95,3078.0,3.43
2017-01-18,113.95,114.3,111.3,111.6,112.8,6540.0,7.42
2017-01-19,115.8,115.8,111.15,113.7,113.95,58794.0,67.27
2017-01-20,106.1,113.55,106.1,112.9,112.65,6334.0,7.12
2017-01-23,116.9,116.9,112.55,115.0,115.0,6282.0,7.22
2017-01-24,115.0,118.0,115.0,117.95,116.3,20883.0,24.27
2017-01-25,115.75,118.25,115.5,118.0,117.2,17627.0,20.62
2017-01-27,119.0,119.0,114.95,117.0,116.8,26948.0,31.35
2017-01-30,124.7,124.7,116.65,117.5,117.15,43442.0,51.15
2017-01-31,118.0,118.0,114.0,115.0,115.05,7377.0,8.51
2017-02-01,114.1,117.0,114.05,116.0,116.15,5190.0,6.01
2017-02-02,115.5,115.95,114.5,114.5,114.7,14941.0,17.17
2017-02-03,115.95,117.75,115.0,117.0,115.0,132441.0,152.36
2017-02-06,120.8,126.5,118.0,118.0,118.3,329077.0,393.58
2017-02-07,121.3,134.7,121.3,132.2,132.15,174446.0,228.15
2017-02-08,134.05,138.0,133.3,136.5,135.5,32191.0,43.66
2017-02-09,135.5,143.0,134.0,136.8,136.85,98811.0,134.34
2017-02-10,139.9,140.0,136.5,136.85,137.3,89142.0,123.19
2017-02-13,143.0,145.0,131.8,132.1,132.65,13747.0,18.64
2017-02-14,135.0,135.0,129.0,133.0,131.0,7166.0,9.45
2017-02-15,133.0,134.0,130.75,131.0,131.0,8969.0,11.83
2017-02-16,130.0,134.0,128.5,130.5,130.0,22130.0,28.77
2017-02-17,131.0,133.0,130.9,133.0,131.6,15190.0,20.0
2017-02-20,130.1,137.2,130.1,136.0,136.55,43574.0,58.97
2017-02-21,135.0,135.0,131.45,131.45,132.05,4226.0,5.6
2017-02-22,131.05,133.7,130.05,130.05,130.05,27063.0,35.31
2017-02-23,132.5,132.5,130.05,130.05,130.05,7417.0,9.66
2017-02-27,132.9,133.0,127.65,127.65,127.85,4606.0,5.99
2017-02-28,137.8,137.8,126.15,129.0,129.0,5601.0,7.19
2017-03-01,130.0,130.0,128.0,128.0,129.25,3117.0,4.03
2017-03-02,129.9,129.9,119.05,119.1,120.25,19696.0,24.21
2017-03-03,124.8,126.0,121.2,124.7,123.85,18215.0,22.5
2017-03-06,124.7,125.0,118.6,121.25,120.45,44015.0,53.25
2017-03-07,120.45,121.0,114.6,120.5,120.5,26551.0,31.94
2017-03-08,116.0,120.0,116.0,116.7,116.85,11202.0,13.0
2017-03-09,118.0,122.65,118.0,120.05,121.6,50043.0,60.61
2017-03-10,122.2,123.6,120.0,122.8,122.8,3655.0,4.46
2017-03-14,123.2,123.5,120.5,123.0,123.0,2950.0,3.62
2017-03-15,123.0,127.9,121.2,124.0,124.6,3117.0,3.88
2017-03-16,124.6,126.0,121.1,125.5,121.15,2423.0,2.95
2017-03-17,124.0,124.0,117.0,118.0,117.75,12489.0,15.05
2017-03-20,123.0,123.0,116.4,116.4,119.35,14117.0,16.91
2017-03-21,119.3,119.4,116.8,118.9,118.9,19006.0,22.63
2017-03-22,117.7,117.8,115.1,116.85,116.0,15285.0,17.89
2017-03-23,117.0,117.0,110.2,111.5,112.6,61053.0,68.93
2017-03-24,117.5,117.5,112.5,114.9,114.9,15361.0,17.67
2017-03-27,120.0,120.0,111.0,115.5,115.15,25740.0,29.36
2017-03-28,115.0,116.0,111.2,115.4,115.35,13780.0,15.83
2017-03-29,112.0,117.0,112.0,113.0,113.65,24797.0,28.21
2017-03-30,116.4,116.4,113.5,113.5,113.5,24177.0,27.59
2017-03-31,113.5,114.95,107.85,111.0,108.15,31774.0,34.89
2017-04-03,108.2,110.0,104.0,110.0,109.25,13467.0,14.25
2017-04-05,109.35,109.35,108.5,109.0,109.0,4055.0,4.42
2017-04-06,104.8,109.5,104.8,109.5,109.25,300.0,0.32
2017-04-07,110.4,110.4,106.1,106.1,106.15,1105.0,1.19
2017-04-10,104.1,109.95,104.0,109.95,109.95,2250.0,2.42
2017-04-11,115.4,115.4,110.15,115.4,115.4,9392.0,10.77
2017-04-12,121.15,121.15,115.0,115.0,115.0,1898.0,2.22
2017-04-13,120.7,120.7,113.0,115.0,114.75,3790.0,4.38
2017-04-17,110.0,120.0,110.0,118.0,118.0,2227.0,2.64
2017-04-18,119.0,119.0,114.0,117.75,114.95,2150.0,2.53
2017-04-19,115.0,115.0,114.2,114.2,114.2,1000.0,1.15
2017-04-20,115.0,119.9,115.0,119.9,119.1,6047.0,7.18
2017-04-21,119.9,121.95,113.75,113.75,114.65,4732.0,5.49
2017-04-24,119.0,119.0,118.5,118.5,118.5,2551.0,3.03
2017-04-25,121.4,121.4,113.1,119.4,119.4,1936.0,2.24
2017-04-26,114.6,118.0,114.4,117.0,117.0,1812.0,2.08
2017-04-27,113.8,118.9,113.8,114.25,115.95,1671.0,1.93
2017-04-28,120.5,120.5,117.0,117.0,117.0,6600.0,7.75
2017-05-02,120.0,120.0,115.15,115.15,115.15,2311.0,2.71
2017-05-03,115.05,120.9,115.05,118.0,119.4,6107.0,7.31
2017-05-04,118.9,120.0,116.0,117.0,119.25,7987.0,9.36
2017-05-05,122.0,122.0,117.0,117.0,117.25,4510.0,5.33
2017-05-08,118.9,120.0,117.0,120.0,119.3,5144.0,6.1
2017-05-09,119.0,119.0,117.05,119.0,117.95,2450.0,2.89
2017-05-10,115.0,120.0,115.0,117.0,117.25,13592.0,16.19
2017-05-11,114.85,122.0,114.85,121.0,121.0,2810.0,3.3
2017-05-12,117.0,118.0,115.45,118.0,116.95,5852.0,6.83
2017-05-15,120.95,120.95,117.0,118.0,118.0,3678.0,4.35
2017-05-16,118.0,119.0,115.0,115.0,115.0,8370.0,9.86
2017-05-17,119.9,119.9,112.1,112.1,112.45,867.0,0.98
2017-05-18,116.0,118.05,116.0,118.05,118.05,5399.0,6.33
2017-05-19,118.5,118.5,116.5,116.5,116.5,450.0,0.53
2017-05-22,114.2,116.5,110.75,116.5,111.95,8862.0,9.92
2017-05-23,112.0,116.7,107.45,107.45,110.55,2592.0,2.88
2017-05-24,114.0,114.5,111.0,114.5,114.5,11863.0,13.56
2017-05-25,118.0,118.0,111.0,117.25,117.25,5635.0,6.5
2017-05-26,115.0,117.0,112.0,116.0,116.0,18280.0,21.13
2017-05-29,115.4,115.4,115.4,115.4,115.4,1.0,0.0
2017-05-30,113.05,120.65,112.95,113.25,113.1,245.0,0.28
2017-05-31,113.0,114.7,110.0,111.0,111.0,22750.0,25.54
2017-06-01,111.2,112.0,111.2,112.0,112.0,750.0,0.84
2017-06-02,112.0,114.9,110.0,110.85,110.85,9878.0,10.96
2017-06-05,115.5,115.5,110.0,111.45,111.45,3556.0,3.96
2017-06-06,108.15,109.0,108.15,108.5,108.5,200.0,0.22
2017-06-07,111.5,114.4,109.0,109.15,110.75,5205.0,5.79
2017-06-08,114.5,114.5,109.0,114.25,114.4,33870.0,37.6
2017-06-09,114.95,114.95,113.9,114.5,114.5,3700.0,4.24
2017-06-12,112.0,114.4,109.1,114.0,113.6,41711.0,47.32
2017-06-13,111.0,114.3,109.0,111.0,110.75,14156.0,15.68
2017-06-14,113.4,113.5,112.0,113.5,112.9,30511.0,34.56
2017-06-15,116.75,116.75,111.05,111.1,111.1,201.0,0.22
2017-06-16,117.0,117.0,111.35,111.35,111.35,37635.0,42.92
2017-06-19,113.0,114.8,109.5,109.5,109.65,14218.0,15.97
2017-06-20,113.85,113.9,109.95,112.7,112.7,26402.0,29.73
2017-06-21,112.7,112.7,110.2,110.3,111.25,9597.0,10.74
2017-06-22,110.3,113.8,107.6,107.6,109.1,16737.0,18.7
2017-06-23,112.5,112.5,108.5,109.1,111.05,34862.0,38.6
2017-06-27,108.5,109.95,107.0,107.0,107.0,1295.0,1.4
2017-06-28,106.9,109.8,106.9,107.0,109.3,13006.0,14.19
2017-06-29,105.0,111.9,104.4,105.0,105.05,4928.0,5.21
2017-06-30,105.0,111.0,100.0,107.1,110.3,21760.0,23.38
2017-07-03,112.95,112.95,105.0,105.0,105.15,605.0,0.64
2017-07-04,102.0,110.0,102.0,106.0,105.1,8501.0,9.11
2017-07-05,105.1,106.5,105.1,106.5,106.5,1010.0,1.08
2017-07-06,105.1,110.9,96.0,106.0,108.65,23667.0,24.65
2017-07-07,106.1,109.8,105.0,105.0,105.05,347576.0,370.98
2017-07-10,107.95,107.95,102.35,107.6,107.6,3.0,0.0
2017-07-11,118.0,118.0,103.65,103.65,104.0,57262.0,60.23
2017-07-12,101.0,106.2,95.1,103.1,104.65,8281.0,8.16
2017-07-13,104.6,107.95,101.25,103.9,103.45,8224.0,8.48
2017-07-14,101.6,105.0,101.5,104.95,104.65,2961.0,3.06
2017-07-17,108.7,108.9,102.0,104.0,104.35,43127.0,45.05
2017-07-18,103.9,107.4,103.0,107.4,104.05,4606.0,4.8
2017-07-19,107.35,107.4,101.4,101.4,101.9,2586.0,2.72
2017-07-20,106.0,106.0,99.6,100.95,100.2,15341.0,15.85
2017-07-21,101.1,104.9,100.0,104.0,100.85,8122.0,8.17
2017-07-24,100.0,102.7,99.5,99.5,99.95,3084.0,3.09
2017-07-25,97.95,100.0,97.65,97.65,98.05,694.0,0.69
2017-07-26,102.0,103.0,99.0,103.0,101.65,857.0,0.87
2017-07-27,103.0,104.4,102.7,102.7,102.7,15620.0,16.07
2017-07-28,100.0,103.4,92.45,92.45,92.85,110778.0,105.55
2017-07-31,93.0,94.95,88.75,89.9,89.25,20328.0,18.38
2017-08-01,89.0,92.85,84.25,88.0,88.05,21842.0,19.19
2017-08-02,87.05,92.9,87.05,92.5,92.45,55501.0,50.87
2017-08-03,90.25,91.9,89.0,91.9,89.85,3089.0,2.77
2017-08-04,92.0,94.0,86.0,86.25,87.35,58448.0,51.82
2017-08-07,88.0,91.9,87.5,88.65,88.65,1826.0,1.63
2017-08-22,77.25,98.0,70.95,73.0,76.6,85099.0,65.84
2017-08-23,71.05,81.95,71.05,78.0,79.85,17880.0,13.71
2017-08-24,73.0,81.85,73.0,75.0,76.0,2437.0,1.85
2017-08-28,71.0,78.0,69.7,71.0,70.8,8328.0,6.05
2017-08-29,74.95,74.95,70.15,71.4,71.3,7545.0,5.39
2017-08-30,71.3,74.0,71.3,73.45,73.1,3598.0,2.65
2017-08-31,70.6,75.0,70.6,72.0,71.95,4521.0,3.25
2017-09-01,70.15,73.9,70.15,71.3,73.25,19785.0,14.48
2017-09-04,73.0,77.0,72.5,73.6,74.25,13354.0,9.95
2017-09-05,74.25,89.1,74.25,89.1,89.0,40884.0,34.91
2017-09-06,90.0,100.0,88.0,94.95,95.85,208280.0,191.51
2017-09-07,97.0,97.0,89.6,90.05,90.65,298490.0,270.14
2017-09-08,93.9,95.9,90.5,91.4,91.6,401471.0,371.62
2017-09-11,92.9,97.25,88.2,89.5,89.65,93124.0,84.91
2017-09-12,89.75,94.5,87.05,92.0,92.5,162376.0,150.11
2017-09-13,93.2,93.2,88.25,89.0,90.0,171170.0,155.01
2017-09-14,91.0,91.0,88.55,88.85,89.55,32148.0,28.87
2017-09-15,88.5,91.0,88.5,89.0,89.75,9241.0,8.3
2017-09-18,89.0,89.8,87.75,89.0,88.1,5260.0,4.65
2017-09-19,91.6,91.6,86.25,86.5,87.45,28516.0,25.33
2017-09-20,89.0,95.5,88.0,93.0,92.7,344338.0,321.28
2017-09-21,92.05,96.0,91.1,91.5,92.45,31994.0,29.7
2017-09-22,94.9,94.9,88.1,88.1,90.75,182573.0,165.2
2017-09-25,90.0,90.0,78.3,85.7,85.3,17172.0,14.4
2017-09-26,81.05,89.8,80.6,88.65,88.65,59929.0,53.04
2017-09-27,90.85,92.0,82.15,83.0,83.6,56466.0,48.82
2017-09-28,83.65,87.0,76.8,77.25,80.15,56444.0,46.79
2017-09-29,77.25,82.75,73.25,74.45,74.1,75613.0,57.99
2017-10-03,78.5,78.5,74.5,76.0,75.55,43099.0,32.81
2017-10-04,76.1,78.0,73.55,75.0,74.55,47200.0,36.15
2017-10-05,75.0,78.0,74.55,76.0,76.05,44934.0,34.09
2017-10-06,76.2,85.4,76.0,77.55,77.85,95183.0,76.36
2017-10-09,78.5,83.5,77.95,82.25,82.95,63091.0,50.75
2017-10-10,94.0,94.0,80.1,80.5,81.45,83903.0,70.61
2017-10-11,84.65,84.7,80.5,83.0,83.85,44528.0,37.14
2017-10-12,82.0,84.8,80.8,84.8,83.4,13024.0,10.75
2017-10-13,87.0,87.0,80.0,80.0,80.4,12340.0,10.13
2017-10-16,84.4,84.4,76.05,76.05,77.15,23503.0,18.64
2017-10-17,79.1,79.1,72.2,73.5,74.5,24610.0,18.56
2017-10-18,74.0,77.4,74.0,75.75,76.05,12571.0,9.55
2017-10-19,78.0,78.0,74.2,75.5,75.75,4719.0,3.57
2017-10-23,77.75,77.9,72.05,73.7,72.65,32864.0,24.69
2017-10-24,77.0,87.15,75.5,87.15,87.15,381821.0,321.84
2017-10-25,87.0,95.0,82.0,90.0,91.35,481175.0,435.93
2017-10-26,91.0,97.8,75.6,78.0,77.55,704361.0,600.22
2017-10-27,79.85,81.8,76.95,78.0,79.7,65526.0,52.0
2017-10-30,80.0,82.7,78.0,79.95,79.2,47853.0,38.06
2017-10-31,79.95,80.4,77.5,78.95,77.9,40074.0,31.54
2017-11-01,79.75,81.0,77.65,79.35,78.95,28522.0,22.53
2017-11-02,80.7,81.0,78.0,78.9,78.85,14914.0,11.77
2017-11-03,80.75,80.75,75.3,79.15,79.4,40351.0,31.19
2017-11-06,79.5,81.9,78.05,78.8,79.2,36777.0,29.25
2017-11-07,80.45,90.0,78.6,79.0,79.0,132895.0,109.4
2017-11-08,81.7,81.7,76.5,76.5,76.75,51786.0,40.34
2017-11-09,76.95,78.0,73.15,74.0,74.75,31702.0,23.92
2017-11-10,75.0,75.0,72.05,72.5,73.05,14451.0,10.64
2017-11-13,73.5,73.8,71.5,72.0,71.9,14916.0,10.82
2017-11-14,72.3,73.25,70.9,73.25,71.95,6888.0,4.95
2017-11-15,72.0,73.9,69.6,69.7,69.95,119496.0,84.08
