Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-01-04,214.1,221.0,214.1,219.0,219.05,949.0,2.09
2010-01-05,216.05,226.95,216.05,222.0,223.35,1969.0,4.37
2010-01-06,222.0,224.8,220.1,224.05,223.75,2277.0,5.08
2010-01-07,225.9,225.9,215.6,222.8,221.95,828.0,1.82
2010-01-08,225.8,225.8,215.3,222.8,219.5,1202.0,2.67
2010-01-11,220.0,225.5,218.0,220.0,220.0,2290.0,5.07
2010-01-12,221.2,230.0,220.0,220.0,220.9,2240.0,5.0
2010-01-13,217.05,224.0,217.0,217.05,217.05,2473.0,5.43
2010-01-14,222.0,225.0,218.2,219.0,219.35,1298.0,2.86
2010-01-15,244.9,257.0,220.6,223.0,221.35,3153.0,7.13
2010-01-18,227.35,227.35,222.75,225.0,224.45,999.0,2.25
2010-01-19,219.1,230.0,219.1,223.3,223.35,1343.0,3.03
2010-01-20,222.1,225.0,221.1,221.1,221.1,6861.0,15.26
2010-01-21,218.45,224.7,215.05,218.95,217.9,1058.0,2.31
2010-01-22,212.0,216.85,210.0,215.0,216.05,620.0,1.33
2010-01-25,213.5,214.95,210.0,210.0,210.7,537.0,1.14
2010-01-27,217.9,217.9,206.15,208.35,207.2,1992.0,4.18
2010-01-28,209.0,212.0,208.0,209.0,208.9,929.0,1.94
2010-01-29,207.0,211.0,203.0,210.5,209.8,1436.0,2.97
2010-02-01,215.0,219.0,214.25,219.0,218.75,375.0,0.82
2010-02-02,226.0,237.0,215.5,221.0,219.0,17769.0,40.4
2010-02-03,228.5,228.5,215.1,219.0,217.3,485.0,1.07
2010-02-04,223.45,223.45,215.0,215.0,215.55,1038.0,2.28
2010-02-05,203.25,211.0,203.25,210.05,210.05,445.0,0.93
2010-02-06,206.05,216.0,206.05,212.15,212.15,900.0,1.9
2010-02-08,214.4,214.4,209.05,210.0,212.2,218.0,0.46
2010-02-09,214.95,214.95,208.05,209.0,208.95,297.0,0.63
