Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-05-23,88.0,116.8,86.5,113.0,112.0,42733504.0,42382.22
2011-05-24,113.1,119.1,100.2,104.55,105.65,18168969.0,19396.88
2011-05-25,106.0,125.05,94.35,123.5,123.05,17032069.0,19181.69
2011-05-26,123.1,133.3,117.1,123.4,126.0,12173135.0,15219.9
2011-05-27,124.4,127.4,118.0,121.5,121.05,1743949.0,2126.49
2011-05-30,121.5,145.15,96.85,96.85,96.85,6528105.0,7139.34
2011-05-31,87.4,89.1,77.5,77.5,77.5,7141604.0,5938.56
2011-06-01,70.0,81.3,63.5,80.0,80.3,10737851.0,8027.76
2011-06-02,73.15,80.2,72.3,72.3,72.3,1554437.0,1176.3
2011-06-03,69.95,70.45,65.5,65.5,65.75,1546198.0,1042.63
2011-06-06,62.3,67.3,61.5,67.0,66.95,1358315.0,890.88
2011-06-07,66.85,68.4,65.25,67.0,67.15,599646.0,401.77
2011-06-08,67.0,67.9,65.1,66.75,67.0,315261.0,210.41
2011-06-09,65.0,68.95,64.1,64.95,65.55,181242.0,120.67
2011-06-10,65.5,66.35,60.15,61.15,61.15,263361.0,165.72
2011-06-13,61.5,67.3,58.3,67.3,67.25,868834.0,563.17
2011-06-14,68.0,70.85,64.8,65.35,66.2,653725.0,442.99
2011-06-15,66.0,66.0,62.25,62.6,62.8,203575.0,130.08
2011-06-16,62.0,62.6,59.6,61.6,61.25,151631.0,92.88
2011-06-17,61.05,62.9,59.1,59.5,59.75,151827.0,92.34
2011-06-20,60.0,60.75,53.8,54.0,55.05,165447.0,93.76
2011-06-21,53.0,55.8,52.3,52.3,52.3,55624.0,29.54
2011-06-22,51.3,52.0,49.7,49.7,49.7,16348.0,8.15
2011-06-23,47.5,47.5,47.25,47.25,47.25,5104.0,2.41
2011-06-24,44.9,44.9,44.9,44.9,44.9,14432.0,6.48
2011-06-27,42.65,47.15,42.65,45.75,45.7,174528.0,79.55
2011-06-28,45.55,48.0,45.0,48.0,48.0,97588.0,46.16
2011-06-29,49.45,50.4,49.2,50.4,50.4,51008.0,25.54
2011-06-30,50.9,52.0,47.9,47.9,48.25,69949.0,34.37
2011-07-01,48.05,48.25,45.85,45.85,45.9,41844.0,19.38
2011-07-04,44.4,46.0,43.6,43.8,44.2,35170.0,15.59
2011-07-05,44.05,44.9,42.45,43.95,43.95,28616.0,12.57
2011-07-06,44.65,44.65,42.3,43.0,42.8,26395.0,11.39
2011-07-07,42.2,44.0,41.8,42.7,42.65,23788.0,10.11
2011-07-08,42.3,42.85,40.55,40.75,40.75,26161.0,10.9
2011-07-11,41.4,41.4,38.9,38.9,39.45,30223.0,12.04
2011-07-12,37.85,38.8,37.5,37.5,37.7,27945.0,10.65
2011-07-13,37.5,38.5,36.75,37.65,37.6,32448.0,12.19
2011-07-14,38.5,39.45,36.4,38.0,38.1,63113.0,23.9
2011-07-15,38.5,38.5,36.6,37.2,37.1,23125.0,8.63
2011-07-18,37.9,37.9,35.55,36.1,36.35,32423.0,11.79
2011-07-19,36.2,36.7,35.05,35.35,35.4,14398.0,5.15
2011-07-20,35.55,35.55,33.65,33.9,33.65,23931.0,8.22
2011-07-21,32.55,34.0,32.55,33.75,33.2,15304.0,5.09
2011-07-22,33.2,34.0,32.65,34.0,33.65,20650.0,6.84
2011-07-25,33.65,34.6,33.1,33.95,33.7,11638.0,3.93
2011-07-26,33.95,34.0,32.1,32.6,32.5,16082.0,5.28
2011-07-27,32.5,32.5,31.1,31.95,31.75,8516.0,2.71
2011-07-28,30.85,31.55,30.2,30.2,30.2,16392.0,4.98
2011-07-29,29.5,30.45,29.0,29.0,29.0,18249.0,5.35
2011-08-01,29.9,29.9,28.2,28.6,28.4,15547.0,4.43
2011-08-02,28.4,28.75,27.2,27.2,27.6,11971.0,3.35
2011-08-03,27.9,29.0,27.75,29.0,29.0,20798.0,5.92
2011-08-04,29.45,30.45,29.45,30.45,30.45,7970.0,2.43
2011-08-05,32.0,32.0,28.95,30.1,30.45,23723.0,7.16
2011-08-08,29.15,29.75,28.95,28.95,28.95,6221.0,1.81
2011-08-09,27.5,27.9,27.5,27.5,27.65,10071.0,2.78
2011-08-10,26.6,29.05,26.6,28.6,28.9,16418.0,4.72
2011-08-11,27.55,28.95,27.45,28.1,27.65,9623.0,2.69
2011-08-12,28.5,28.7,27.1,28.5,27.9,10435.0,2.91
2011-08-16,28.85,28.85,26.5,26.5,26.5,5372.0,1.44
2011-08-17,25.5,26.65,25.2,26.25,25.95,8680.0,2.24
2011-08-18,25.2,26.25,24.65,25.9,25.15,4241.0,1.08
2011-08-19,24.1,26.45,23.9,26.45,26.4,57624.0,14.97
2011-08-22,26.95,26.95,25.5,26.0,26.25,6135.0,1.6
2011-08-23,26.0,26.8,25.8,26.8,26.7,69348.0,18.48
2011-08-24,26.0,28.05,26.0,26.05,26.95,182929.0,49.9
2011-08-25,26.85,26.85,26.1,26.35,26.35,2264.0,0.6
2011-08-26,25.25,26.55,25.05,25.05,25.2,14938.0,3.85
2011-08-29,26.3,26.4,24.0,25.3,25.75,7755.0,1.98
2011-08-30,25.45,26.5,25.05,25.5,25.75,13591.0,3.51
2011-09-02,25.2,26.3,25.0,26.2,25.85,7461.0,1.9
2011-09-05,25.85,26.6,25.0,25.0,25.05,14046.0,3.58
2011-09-06,24.2,25.9,24.0,25.9,25.9,7982.0,2.01
2011-09-07,25.5,26.7,25.0,25.6,26.05,15033.0,3.88
2011-09-08,25.4,26.2,25.4,25.9,25.95,4270.0,1.11
2011-09-09,25.35,26.7,25.35,25.8,26.25,8322.0,2.17
2011-09-12,25.35,27.9,25.1,26.55,26.2,3983.0,1.05
2011-09-13,25.45,27.0,25.45,26.8,26.6,3663.0,0.97
2011-09-14,26.0,29.3,25.95,29.3,29.3,148057.0,43.28
2011-09-15,31.2,31.8,29.55,29.8,30.0,16524.0,5.0
2011-09-16,31.5,31.5,29.05,29.3,29.25,5350.0,1.58
2011-09-19,28.5,29.45,27.5,27.7,27.7,3748.0,1.06
2011-09-20,26.5,28.5,26.5,27.1,27.25,4521.0,1.23
2011-09-21,26.6,28.95,26.6,28.9,28.35,6263.0,1.75
2011-09-22,28.3,29.1,27.05,27.5,28.15,11859.0,3.3
2011-09-23,27.1,27.9,26.35,27.1,27.3,3742.0,1.02
2011-09-26,27.1,28.0,27.05,28.0,27.8,2743.0,0.75
2011-09-27,27.0,28.05,26.4,26.4,26.9,3168.0,0.86
2011-09-28,26.4,27.5,25.65,26.05,26.0,4807.0,1.27
2011-09-29,25.75,26.5,25.5,25.95,25.95,4628.0,1.19
2011-09-30,25.7,26.4,24.5,25.0,25.05,4494.0,1.13
2011-10-03,24.6,25.9,24.0,24.15,24.4,4003.0,0.98
2011-10-04,23.05,24.85,23.0,23.45,23.4,4412.0,1.05
2011-10-05,22.8,23.75,22.0,22.6,22.85,8686.0,1.98
2011-10-07,22.5,25.0,22.1,23.2,23.9,5916.0,1.42
2011-10-10,23.4,24.35,23.2,23.75,23.55,8370.0,2.01
2011-10-11,24.75,25.4,22.8,24.25,23.9,3696.0,0.9
2011-10-12,23.2,24.7,23.2,24.25,24.05,1097.0,0.26
2011-10-13,23.6,24.95,23.6,24.3,24.45,5858.0,1.44
2011-10-14,25.25,25.25,23.4,24.5,24.4,3136.0,0.76
2011-10-17,23.9,24.75,23.9,24.1,24.1,3690.0,0.9
2011-10-18,23.3,26.55,23.0,26.55,26.55,47589.0,12.16
2011-10-19,27.8,28.4,25.55,25.65,26.0,23705.0,6.34
2011-10-20,26.45,27.25,24.2,25.5,25.2,11612.0,2.99
2011-10-21,25.95,25.95,23.75,23.9,24.05,3952.0,0.98
2011-10-24,25.7,25.8,22.3,24.5,24.55,17340.0,4.12
2011-10-25,23.75,24.95,23.75,24.1,24.5,5316.0,1.3
2011-10-26,24.0,25.9,23.8,25.4,25.0,5231.0,1.3
2011-10-28,25.1,25.5,24.0,24.6,24.25,6821.0,1.66
2011-10-31,25.7,26.4,24.5,24.9,24.95,2388.0,0.6
2011-11-01,24.6,26.0,24.0,26.0,25.25,5959.0,1.48
2011-11-02,24.4,26.0,24.4,26.0,25.9,2099.0,0.53
2011-11-03,25.0,25.65,24.35,25.45,25.4,7825.0,1.95
2011-11-04,24.65,25.95,24.6,25.0,25.0,23243.0,5.81
2011-11-08,25.05,30.0,25.05,30.0,30.0,47628.0,13.17
2011-11-09,32.9,34.8,30.0,31.5,31.2,79243.0,25.88
2011-11-11,30.8,32.4,28.2,30.9,30.35,15961.0,4.87
2011-11-14,29.1,32.0,29.1,30.5,31.1,37935.0,11.81
2011-11-15,31.0,31.0,28.15,28.9,29.3,7582.0,2.25
2011-11-16,28.15,31.45,25.35,27.9,27.45,6857.0,1.9
2011-11-17,26.3,27.45,25.1,26.7,25.95,51294.0,13.57
2011-11-18,25.05,26.05,24.35,25.25,24.9,5425.0,1.36
2011-11-21,24.5,25.85,24.5,24.65,24.85,4843.0,1.2
2011-11-22,24.1,25.8,22.5,23.6,23.7,8823.0,2.11
2011-11-23,24.7,24.7,22.8,23.0,23.0,13316.0,3.1
2011-11-24,22.3,23.95,22.3,23.55,23.15,2296.0,0.53
2011-11-25,23.1,26.8,23.0,24.0,24.0,9968.0,2.43
2011-11-28,23.4,27.05,23.4,26.1,26.6,130910.0,34.06
2011-11-29,27.45,30.15,26.5,29.25,29.5,75705.0,21.22
2011-11-30,29.05,30.6,26.35,27.0,27.8,72110.0,20.87
2011-12-01,28.0,29.9,26.0,26.5,26.55,8474.0,2.34
2011-12-02,25.85,27.45,25.85,27.1,26.65,2707.0,0.72
2011-12-05,27.4,28.1,25.45,27.05,27.5,8012.0,2.19
2011-12-07,27.1,27.5,26.0,26.85,26.8,66901.0,18.08
2011-12-08,25.85,27.5,25.85,27.5,27.45,3593.0,0.97
2011-12-09,26.15,26.75,23.5,26.05,26.05,53219.0,13.83
2011-12-12,25.9,27.1,25.15,25.15,25.75,3778.0,0.97
2011-12-13,25.0,26.4,25.0,25.1,25.2,3855.0,0.98
2011-12-14,26.25,26.25,25.35,25.8,25.65,71580.0,18.51
2011-12-15,24.9,25.7,23.8,24.5,24.7,2988.0,0.74
2011-12-16,24.65,25.7,23.9,23.9,24.15,9545.0,2.35
2011-12-19,23.55,24.5,22.9,23.15,23.1,6887.0,1.61
2011-12-20,23.0,23.7,22.8,23.0,23.05,5789.0,1.35
2011-12-21,23.8,23.9,22.7,23.6,23.35,4284.0,1.0
2011-12-22,23.5,23.9,22.5,23.25,23.8,2450.0,0.57
2011-12-23,23.9,26.25,23.2,26.25,24.25,5291.0,1.26
2011-12-26,24.25,24.75,24.2,24.45,24.45,5620.0,1.37
2011-12-27,24.15,24.8,21.0,23.2,23.25,4812.0,1.15
2011-12-28,23.05,25.0,23.05,24.0,24.35,135487.0,32.97
2011-12-29,23.45,24.5,22.2,22.5,22.5,95973.0,22.24
2011-12-30,23.15,23.5,22.0,22.4,22.45,70167.0,16.02
2012-01-02,22.55,23.0,22.05,22.25,22.25,3392.0,0.76
2012-01-03,23.0,23.0,22.0,22.35,22.6,5936.0,1.34
2012-01-04,23.8,23.8,23.0,23.1,23.2,33491.0,7.94
2012-01-05,23.5,23.7,23.05,23.2,23.3,2079.0,0.48
2012-01-06,22.9,23.95,21.55,23.3,23.7,66831.0,15.7
2012-01-07,23.9,23.9,23.1,23.5,23.5,230.0,0.05
2012-01-09,23.05,23.85,23.05,23.85,23.75,63286.0,14.94
2012-01-10,23.6,25.5,23.55,25.15,24.85,196890.0,48.41
2012-01-11,24.05,26.9,24.05,25.6,26.35,140987.0,36.0
2012-01-12,25.6,27.0,25.5,26.0,26.0,31324.0,8.15
2012-01-13,25.15,28.25,25.15,26.8,26.7,5481.0,1.49
2012-01-16,25.5,27.5,25.5,27.5,27.0,11810.0,3.18
2012-01-17,26.3,27.9,26.3,26.65,26.65,5989.0,1.6
2012-01-18,26.55,26.85,26.1,26.75,26.3,1887.0,0.5
2012-01-19,26.65,27.3,25.25,27.3,27.3,4291.0,1.14
2012-01-20,28.0,28.45,26.5,27.15,27.2,6522.0,1.81
2012-01-23,26.95,27.4,26.5,27.0,26.95,2563.0,0.69
